"year","month","day","team","opponent","location","teamscore","oppscore","OT","D1"
2015,11,19,"A&M-Corpus Chris","Texas A&M","V",70,95,NA,2
2015,11,21,"A&M-Corpus Chris","Texas","V",56,67,NA,2
2015,11,26,"A&M-Corpus Chris","Furman","N",73,69,NA,2
2015,11,27,"A&M-Corpus Chris","Elon","V",85,81,NA,2
2015,12,2,"A&M-Corpus Chris","Austin Peay","H",61,48,NA,2
2015,12,5,"A&M-Corpus Chris","Texas St.","H",47,39,NA,2
2015,12,12,"A&M-Corpus Chris","UTSA","V",85,79,NA,2
2015,12,15,"A&M-Corpus Chris","Wisconsin","V",49,64,NA,2
2015,12,20,"A&M-Corpus Chris","Cal Poly","H",80,74,NA,2
2015,12,28,"A&M-Corpus Chris","Austin Peay","V",74,70,NA,2
2016,1,5,"A&M-Corpus Chris","Central Ark.","H",94,82,NA,2
2016,1,9,"A&M-Corpus Chris","McNeese","V",77,68,NA,2
2016,1,11,"A&M-Corpus Chris","Lamar University","V",91,82,NA,2
2016,1,16,"A&M-Corpus Chris","Nicholls St.","H",76,71,NA,2
2016,1,19,"A&M-Corpus Chris","Northwestern St.","V",89,79,NA,2
2016,1,23,"A&M-Corpus Chris","New Orleans","H",97,76,NA,2
2016,1,26,"A&M-Corpus Chris","Southeastern La.","H",73,63,NA,2
2016,1,30,"A&M-Corpus Chris","SFA","H",61,66,NA,2
2016,2,2,"A&M-Corpus Chris","Incarnate Word","V",65,70,NA,2
2016,2,6,"A&M-Corpus Chris","Sam Houston St.","H",51,48,NA,2
2016,2,8,"A&M-Corpus Chris","Houston Baptist","H",83,76,NA,2
2016,2,13,"A&M-Corpus Chris","SFA","V",58,70,NA,2
2016,2,15,"A&M-Corpus Chris","New Orleans","V",65,57,NA,2
2016,2,20,"A&M-Corpus Chris","Incarnate Word","H",90,69,NA,2
2016,2,23,"A&M-Corpus Chris","Abilene Christian","H",65,59,NA,2
2016,2,27,"A&M-Corpus Chris","Sam Houston St.","V",75,70,NA,2
2016,3,3,"A&M-Corpus Chris","Houston Baptist","V",81,71,NA,2
2016,3,5,"A&M-Corpus Chris","Abilene Christian","V",74,69,NA,2
2016,3,11,"A&M-Corpus Chris","Sam Houston St.","N",79,76,NA,2
2016,3,12,"A&M-Corpus Chris","SFA","N",60,82,NA,2
2016,3,16,"A&M-Corpus Chris","Louisiana","V",72,96,NA,2
2015,11,22,"Abilene Christian","Portland","V",57,87,NA,2
