CityID,City,State
4001,Abilene,TX
4002,Akron,OH
4003,Albany,NY
4004,Albuquerque,NM
4005,Allentown,PA
4006,Ames,IA
4007,Amherst,MA
4008,Anaheim,CA
4009,Anchorage,AK
4010,Ann Arbor,MI
4011,Annapolis,MD
4012,Arlington,TX
4013,Asheville,NC
4014,Athens,GA
4015,Athens,OH
4016,Atlanta,GA
4017,Atlantic City,NJ
4018,Auburn,AL
4019,Auburn Hills,MI
4020,Austin,TX
4021,Bakersfield,CA
4022,Baltimore,MD
4023,Bangor,ME
4024,Baton Rouge,LA
4025,Bayamon,PR
4026,Beaumont,TX
4027,Berkeley,CA
4028,Bethlehem,PA
4029,Billings,MT
4030,Birmingham,AL
4031,Blacksburg,VA
4032,Bloomington,IN
4033,Boca Raton,FL
4034,Boiling Springs,NC
4035,Boise,ID
4036,Boone,NC
4037,Borinquen,PR
4038,Bossier City,LA
4039,Boston,MA
4040,Boulder,CO
4041,Bowling Green,KY
4042,Bowling Green,OH
4043,Bozeman,MT
4044,Bridgeport,CT
4045,Bronx,NY
4046,Brookings,SD
4047,Brooklyn,NY
4048,Brooklyn Heights,NY
4049,Buffalo,NY
4050,Buies Creek,NC
4051,Burlington,VT
4052,Cambridge,MA
4053,Cancun,MX
4054,Cape Girardeau,MO
4055,Carbondale,IL
4056,Casper,WY
4057,Cedar City,UT
4058,Cedar Falls,IA
4059,Cedar Park,TX
4060,Champaign,IL
4061,Chapel Hill,NC
4062,Charleston,IL
4063,Charleston,NC
4064,Charleston,SC
4065,Charleston,WV
4066,Charlotte,NC
4067,Charlottesville,VA
4068,Chattanooga,TN
4069,Cheney,WA
4070,Chestnut Hill,MA
4071,Chicago,IL
4072,Cincinnati,OH
4073,Clarksville,TN
4074,Clemson,SC
4075,Cleveland,OH
4076,Clinton,SC
4077,College Park,MD
4078,College Station,TX
4079,Columbia,SC
4080,Columbus,OH
4081,Conway,AR
4082,Conway,SC
4083,Cookeville,TN
4084,Coral Gables,FL
4085,Corpus Christi,TX
4086,Corvallis,OR
4087,Cullowhee,NC
4088,Dallas,TX
4089,Davidson,NC
4090,Davis,CA
4091,Dayton,OH
4092,Daytona Beach,FL
4093,DeKalb,IL
4094,DeLand,FL
4095,Denton,TX
4096,Denver,CO
4097,Des Moines,IA
4098,Detroit,MI
4099,Dover,DE
4100,Duluth,GA
4101,Durham,NC
4102,Durham,NH
4103,East Lansing,MI
4104,East Rutherford,NJ
4105,Easton,PA
4106,Edinburg,TX
4107,Edwardsville,IL
4108,El Paso,TX
4109,Elon,NC
4110,Emmitsburg,MD
4111,Estero,FL
4112,Eugene,OR
4113,Evanston,IL
4114,Evansville,IN
4115,Fairfax,VA
4116,Fairfield,CT
4117,Fargo,ND
4118,Farmville,VA
4119,Fayetteville,AR
4120,Flagstaff,AZ
4121,Fort Collins,CO
4122,Fort Hood,TX
4123,Fort Myers,FL
4124,Fort Wayne,IN
4125,Fort Worth,TX
4126,Fresno,CA
4127,Fullerton,CA
4128,Gainesville,FL
4129,Garland,TX
4130,Glendale,AZ
4131,Glens Falls,NY
4132,Grambling,LA
4133,Grand Forks,ND
4134,Greeley,CO
4135,Green Bay,WI
4136,Greensboro,NC
4137,Greenville,MS
4138,Greenville,NC
4139,Greenville,SC
4140,Greenwood,MS
4141,Gulfport,MS
4142,Hackensack,NJ
4143,Hamden,CT
4144,Hamilton,NY
4145,Hammond,LA
4146,Hampton,VA
4147,Hanover,NH
4148,Harrisonburg,VA
4149,Hartford,CT
4150,Hattiesburg,MS
4151,Hempstead,NY
4152,High Point,NC
4153,Highland Heights,KY
4154,Hoffman Estates,IL
4155,Honolulu,HI
4156,Hot Springs,AR
