team,rpi,rpi_rank
Kansas,0.6717,1
Villanova,0.67,2
Virginia,0.657,3
Oregon,0.6568,4
North Carolina,0.6548,5
Oklahoma,0.6506,6
Miami (FL),0.639,7
Xavier,0.6337,8
Utah,0.6297,9
Kentucky,0.6277,10
West Virginia,0.6239,11
Michigan St.,0.6234,12
Maryland,0.622,13
SMU,0.6166,14
Duke,0.6157,15
Louisville,0.6128,16
Purdue,0.6105,17
Texas A&M,0.6097,18
Indiana,0.6088,19
Iowa St.,0.6081,20
Saint Joseph's,0.6075,21
California,0.6057,22
Seton Hall,0.6057,23
Notre Dame,0.6013,24
Dayton,0.5973,25
Iowa,0.5941,26
Baylor,0.5923,27
Arizona,0.591,28
Saint Mary's (CA),0.591,29
San Diego St.,0.5894,30
Valparaiso,0.5893,31
Providence,0.5879,32
UConn,0.5879,33
Texas,0.5878,34
George Washington,0.5878,35
Wisconsin,0.5878,36
Gonzaga,0.5875,37
VCU,0.5875,38
South Dakota St.,0.5874,39
Syracuse,0.5869,40
Wichita St.,0.5861,41
Little Rock,0.585,42
Yale,0.5839,43
Akron,0.5822,44
Florida,0.5816,45
St. Bonaventure,0.5814,46
Princeton,0.5814,47
Oregon St.,0.579,48
Colorado,0.5789,49
Texas Tech,0.5784,50
Georgia Tech,0.5761,51
UNCW,0.5759,52
Butler,0.5754,53
Pittsburgh,0.5746,54
Cincinnati,0.5743,55
Chattanooga,0.5741,56
Hofstra,0.5726,57
Michigan,0.5709,58
Georgia,0.5704,59
Monmouth,0.57,60
Southern California,0.5696,61
SFA,0.5691,62
Stony Brook,0.5681,63
Fresno St.,0.5677,64
UC Irvine,0.5666,65
UNI,0.5666,66
BYU,0.5661,67
Davidson,0.5649,68
Temple,0.5643,69
Tulsa,0.5636,70
Vanderbilt,0.5632,71
William & Mary,0.5627,72
South Carolina,0.5622,73
Fort Wayne,0.5608,74
Florida St.,0.5591,75
Hawaii,0.5586,76
Middle Tenn.,0.5585,77
Ohio St.,0.5568,78
Alabama,0.5564,79
Virginia Tech,0.5536,80
UAB,0.5529,81
Washington,0.551,82
ETSU,0.5508,83
Long Beach St.,0.5504,84
Iona,0.549,85
Ohio,0.5478,86
Stanford,0.5471,87
Grand Canyon,0.5466,88
Kansas St.,0.5463,89
Houston,0.5462,90
Buffalo,0.546,91
Evansville,0.5457,92
A&M-Corpus Chris,0.5456,93
Creighton,0.5433,94
LSU,0.5432,95
Nevada,0.543,96
Belmont,0.541,97
Ole Miss,0.5394,98
UC Santa Barbara,0.539,99
Morehead St.,0.5386,100
Boise St.,0.5381,101
Columbia,0.5371,102
Georgetown,0.5362,103
La.-Monroe,0.5353,104
Oakland,0.5352,105
James Madison,0.5346,106
UT Arlington,0.5342,107
Albany (NY),0.5338,108
Arizona St.,0.5333,109
UCLA,0.5332,110
New Mexico St.,0.5321,111
Weber St.,0.5321,112
Marquette,0.531,113
Northeastern,0.5309,114
Green Bay,0.5304,115
Old Dominion,0.53,116
Northwestern,0.5296,117
Illinois St.,0.5289,118
North Carolina St.,0.5283,119
Eastern Mich.,0.5272,120
Penn St.,0.5266,121
Rhode Island,0.5263,122
Siena,0.5262,123
CSU Bakersfield,0.5255,124
Richmond,0.5254,125
Vermont,0.5247,126
Clemson,0.5247,127
Kent St.,0.5246,128
Louisiana Tech,0.5241,129
Marshall,0.524,130
