team,conf,yusag_coeff,rpi,sor,wab,qual_bonus,yusag_rank,rpi_rank,sor_rank,resume_rank,wab_rank,mid_major,loss_bonus,wins,losses,blend,seed
Virginia,ACC,21.28,0.6703,5.8666,11.89977778,253,2,1,1,2,1,FALSE,TRUE,31,2,1.55,1
Villanova,Big East,22.87,0.6553,3.79964,10.18122222,232,1,2,2,3,2,FALSE,TRUE,30,4,2.35,1
Kansas,Big 12,16.32,0.6372,1.6846,8.361111111,255,10,5,6,1,4,FALSE,FALSE,27,7,3.7,1
North Carolina,ACC,17.3,0.6378,1.48944,8.140555556,227,8,4,8,4,6,FALSE,FALSE,25,10,5,2
Xavier,Big East,15.1,0.6417,2.59684,8.464333333,169,14,3,4,6,3,FALSE,FALSE,28,5,5.55,1
Cincinnati,AAC,17.73,0.6326,0.91828,5.326666667,164.056,7,6,10,7,11,FALSE,FALSE,29.768,4.232,7.45,2
Duke,ACC,21.14,0.6306,1.43612,7.620222222,144,3,7,9,10,8,FALSE,FALSE,26,7,8.25,2
Tennessee,SEC,15.21,0.6236,0.76416,7.199,156.053,13,8,11,8,10,FALSE,FALSE,25.709,7.291,9,3
Purdue,Big 10,20.37,0.6169,1.68008,7.725666667,133,4,9,7,15,7,FALSE,FALSE,28,6,10.8,2
West Virginia,Big 12,16.69,0.589,-1.2074,4.990555556,171,9,28,16,5,13,FALSE,FALSE,24,10,13.05,5
Wichita St.,AAC,16,0.6132,-1.34968,3.252777778,135,11,11,19,13,20,FALSE,FALSE,25,7,13.6,4
Michigan,Big 10,15.06,0.6088,2.0286,7.460333333,127,15,15,5,17,9,FALSE,FALSE,27,7,14.3,3
Kentucky,SEC,13.61,0.6108,-2.38656,4.147444444,143.792,20,13,26,12,17,FALSE,FALSE,23.576,10.424,14.95,5
Arizona,Pac 12,12.2,0.6082,-1.80752,3.407111111,156,29,18,21,9,19,FALSE,FALSE,27,7,15.45,4
Texas Tech,Big 12,15.41,0.5919,-0.97468,4.970888889,144,12,26,15,11,14,FALSE,FALSE,24,9,15.55,3
Auburn,SEC,13.86,0.6093,-1.30112,4.010222222,130,19,14,17,16,18,FALSE,FALSE,25,7,16.1,4
Clemson,ACC,13.05,0.6136,-0.76852,4.684222222,116,24,10,14,22,16,FALSE,FALSE,23,9,17.8,5
Gonzaga,WCC,18.57,0.5996,0.73132,4.823666667,120,6,22,12,19,15,TRUE,FALSE,30,4,19.35,4
Houston,AAC,14.5,0.6064,-1.33856,2.837666667,119.585,18,19,18,21,24,FALSE,FALSE,26.505,6.495,20.2,6
Michigan St.,Big 10,19.92,0.6085,2.85292,8.211444444,90,5,16,3,35,5,FALSE,TRUE,29,4,21.05,3
TCU,Big 12,13.53,0.5936,-3.35392,2.473666667,110,21,24,38,23,25,FALSE,FALSE,21,11,24.75,6
Arkansas,SEC,11.88,0.5858,-3.3096,2.991666667,121,31,31,37,18,22,FALSE,FALSE,23,11,24.85,7
Ohio St.,Big 10,14.83,0.6003,-0.2982,5.113777778,89,16,21,13,37,12,FALSE,FALSE,24,8,26,5
Texas A&M,SEC,11.5,0.5884,-3.93824,2.154222222,120,34,29,46,20,28,FALSE,FALSE,20,12,27.05,7
Miami (FL),ACC,9.93,0.5895,-1.87256,3.204,97,44,27,22,29,21,FALSE,FALSE,22,9,28.5,6
Nevada,MWC,9.71,0.612,-2.40084,2.307666667,95,48,12,27,30,27,TRUE,FALSE,27,7,28.7,7
Florida,SEC,11.66,0.5716,-4.09788,1.852111111,134,32,47,47,14,34,FALSE,FALSE,20,12,29.35,6
Seton Hall,Big East,12.31,0.5827,-3.12704,2.444888889,89,27,33,32,38,26,FALSE,FALSE,21,11,33.85,8
Kansas St.,Big 12,11.1,0.5633,-2.88796,2.863777778,104,38,56,30,27,23,FALSE,FALSE,22,11,35.25,9
Rhode Island,A-10,11.39,0.6084,-2.03784,2.036222222,70.58,35,17,23,49,29,TRUE,FALSE,25.658,6.342,37,7
St. Bonaventure,A-10,9.19,0.592,-2.64032,1.768555556,89,54,25,29,39,35,TRUE,FALSE,25,7,37.6,11
Texas,Big 12,9.22,0.5645,-4.46172,1.676666667,106,52,53,52,26,36,FALSE,FALSE,19,14,38.95,11
Oklahoma,Big 12,10.38,0.562,-4.52336,1.350222222,109,42,59,53,24,41,FALSE,FALSE,18,13,39.15,10
Virginia Tech,ACC,11.55,0.5607,-3.16528,1.895111111,92,33,61,33,33,33,FALSE,FALSE,21,11,40,8
Providence,Big East,8.06,0.5844,-3.93492,1.971444444,83,72,32,45,40,32,FALSE,FALSE,21,13,40.9,10
Butler,Big East,13.42,0.572,-4.11436,1.541888889,81,22,46,48,42,38,FALSE,FALSE,20,13,41.2,10
Southern California,Pac 12,9.72,0.5809,-6.01376,-0.833555556,95,47,36,73,32,59,FALSE,FALSE,23,11,41.3,
Florida St.,ACC,11.14,0.5575,-3.72252,1.361555556,99,37,70,41,28,40,FALSE,FALSE,20,11,41.9,
Creighton,Big East,12.95,0.5701,-3.19864,2.017444444,77,25,49,34,46,31,FALSE,FALSE,20,11,41.95,9
North Carolina St.,ACC,12.27,0.5625,-3.54208,1.653111111,81,28,58,39,41,37,FALSE,FALSE,21,11,43.35,9
Alabama,SEC,8.43,0.5734,-7.27872,-0.632444444,109,64,43,92,25,58,FALSE,FALSE,19,15,43.4,9
Missouri,SEC,9.59,0.5693,-5.55236,0.204333333,91,50,50,68,34,49,FALSE,FALSE,19,12,44.5,8
Saint Mary's (CA),WCC,11.9,0.5762,-1.74296,1.387666667,61,30,40,20,55,39,TRUE,FALSE,28,5,45.65,
Louisville,ACC,10.71,0.5747,-3.91148,1.205222222,63,40,41,44,53,42,FALSE,FALSE,20,13,46.7,
Loyola Chicago,MVC,8.7,0.6003,-2.19844,1.173555556,49,61,20,24,61,43,TRUE,FALSE,27,5,47.25,11
UCLA,Pac 12,9.11,0.5733,-5.36172,-0.357666667,81,56,44,66,43,57,FALSE,FALSE,21,11,48.25,11
Marquette,Big East,10.01,0.563,-4.38884,1.128777778,72,43,57,51,48,44,FALSE,FALSE,19,13,49.65,
Baylor,Big 12,13.23,0.5579,-5.31648,0.407666667,79,23,68,65,45,48,FALSE,FALSE,17,14,50.85,
Middle Tenn.,C-USA,8.34,0.5873,-3.6484,0.134111111,51,66,30,40,59,53,TRUE,FALSE,23,7,51.95,12
New Mexico St.,WAC,9.14,0.5793,-2.33728,0.823111111,48.02,55,37,25,63,45,TRUE,FALSE,24.802,5.198,52.1,11
Syracuse,ACC,8.22,0.5731,-5.24664,0.203333333,66,67,45,63,52,50,FALSE,FALSE,20,13,52.65,
Oklahoma St.,Big 12,9.65,0.5445,-5.24832,0.727333333,95,49,93,64,31,46,FALSE,FALSE,19,14,53.1,
South Dakota St.,Summit,7.84,0.5809,-2.59,0.618333333,37,75,35,28,68,47,TRUE,FALSE,24,6,56.35,12
