team,conf,yusag_coeff,rpi,sor,wab,qual_bonus,yusag_rank,rpi_rank,sor_rank,resume_rank,wab_rank,mid_major,loss_bonus,wins,losses,blend,seed
Villanova,Big East,23.17,0.6556,5.18476,11.43611111,250,1,1,1,1,1,FALSE,TRUE,31,3,1,1
Duke,ACC,21.67,0.6388,1.5478,8.017666667,209,2,5,8,3,4,FALSE,FALSE,27,8,4,2
Kansas,Big 12,16.23,0.6423,4.60588,10.77244444,200,10,4,2,4,2,FALSE,TRUE,28,4,4.2,1
North Carolina,ACC,17.62,0.6366,1.86492,7.786666667,210,8,8,6,2,3,FALSE,FALSE,26,7,4.8,1
Kentucky,SEC,12.91,0.6431,3.24164,9.848888889,191,25,3,3,5,3,FALSE,FALSE,29,5,6.1,2
Gonzaga,WCC,18.54,0.6369,2.77256,6.584777778,171,6,7,4,8,11,TRUE,FALSE,32,1,9.45,1
Arizona,Pac 12,12.06,0.6479,1.87836,7.067444444,156,30,2,5,11,6,FALSE,TRUE,30,4,9.55,2
Baylor,Big 12,13.23,0.6291,1.05832,6.661555556,174,22,10,11,7,9,FALSE,FALSE,24,7,9.85,3
Louisville,ACC,10.65,0.6382,0.95376,6.749222222,169,40,6,12,9,8,FALSE,FALSE,24,8,11.55,2
Butler,Big East,13.4,0.6185,0.0628,6.013666667,169,21,15,16,10,14,FALSE,FALSE,23,8,13.35,4
Florida,SEC,11.65,0.6281,0.19032,6.463444444,156,32,11,14,12,12,FALSE,FALSE,24,8,13.95,4
Florida St.,ACC,11.12,0.6224,-0.37484,4.795444444,188,36,14,21,6,22,FALSE,FALSE,25,8,14.1,3
Virginia,ACC,21.24,0.6094,-1.81112,3.603777778,154,3,18,29,13,25,FALSE,FALSE,22,10,16.05,5
UCLA,Pac 12,9.09,0.6138,1.77152,7.046444444,148,56,17,7,14,7,FALSE,TRUE,29,4,17.55,3
Notre Dame,ACC,12.83,0.6044,0.15456,5.564111111,148,26,21,15,15,16,FALSE,FALSE,25,9,17.7,5
Purdue,Big 10,20.34,0.6041,1.29104,6.660222222,132,4,22,10,22,10,FALSE,FALSE,25,7,17.8,4
Cincinnati,AAC,18.02,0.6238,-0.74396,3.294777778,110,7,13,25,27,27,FALSE,FALSE,29,5,21.3,6
West Virginia,Big 12,17.15,0.5956,-0.1178,5.577777778,129,9,26,19,24,15,FALSE,FALSE,26,8,21.6,4
Creighton,Big East,12.92,0.5942,-0.45176,5.255333333,135,24,28,22,20,20,FALSE,FALSE,24,9,22.6,6
SMU,AAC,4.56,0.6239,1.38768,5.547666667,143,101,12,9,17,17,FALSE,FALSE,30,4,23.35,6
Oregon,Pac 12,4.76,0.6313,0.2196,5.469333333,135,98,9,13,19,18,FALSE,FALSE,28,5,23.7,3
Michigan,Big 10,15.03,0.5963,-3.49076,2.631666667,133,14,25,43,21,32,FALSE,FALSE,24,11,24.6,7
Saint Mary's (CA),WCC,11.86,0.617,-0.09704,3.274555556,102,31,16,18,30,28,TRUE,FALSE,28,4,27.2,7
Minnesota,Big 10,4.15,0.605,-0.55148,5.072666667,141,107,20,24,18,21,FALSE,FALSE,24,9,28.3,5
Iowa St.,Big 12,2.8,0.6006,-0.22196,6.326222222,143,130,24,20,16,13,FALSE,FALSE,23,10,29.5,5
Maryland,Big 10,10.88,0.5884,-1.99632,2.788444444,120,38,34,31,26,31,FALSE,FALSE,23,8,30.2,6
Wisconsin,Big 10,7.42,0.5831,-0.47156,5.392111111,130,78,41,23,23,19,FALSE,FALSE,25,9,32.6,8
Virginia Tech,ACC,11.51,0.5753,-1.95908,3.263555556,120,34,49,30,25,29,FALSE,FALSE,22,10,32.8,9
Arkansas,SEC,12.54,0.5945,-2.16648,3.678666667,82,27,27,33,40,24,FALSE,FALSE,25,9,33.15,8
Wichita St.,AAC,16.19,0.5931,0.0078,4.240222222,70,11,30,17,46,23,FALSE,FALSE,29,4,33.3,10
Miami (FL),ACC,9.91,0.5829,-3.21972,2.058444444,97,46,42,37,31,37,FALSE,FALSE,21,11,36.45,8
Seton Hall,Big East,12.29,0.5762,-3.27096,1.948666667,92,28,48,38,32,38,FALSE,FALSE,21,11,36.8,9
Oklahoma St.,Big 12,9.65,0.58,-3.2774,2.466666667,89,49,44,39,34,34,FALSE,FALSE,19,12,38.5,10
Xavier,Big East,15.08,0.5841,-4.11156,2.217777778,80,13,40,48,42,36,FALSE,FALSE,21,13,38.6,11
Northwestern,Big 10,9.18,0.5712,-3.58016,1.627888889,105,54,53,45,28,41,FALSE,FALSE,23,11,39.85,8
Michigan St.,Big 10,19.91,0.5713,-5.2128,0.573666667,83,5,52,59,39,47,FALSE,FALSE,19,14,41.65,9
Rhode Island,A-10,11.51,0.5929,-4.14628,0.018777778,73,33,31,50,44,51,TRUE,FALSE,24,9,42.95,11
Wake Forest,ACC,5.55,0.578,-3.31764,2.619222222,89,93,46,40,33,33,FALSE,FALSE,19,13,42.95,11
Marquette,Big East,9.99,0.5608,-4.56868,0.567333333,103,44,63,55,29,48,FALSE,FALSE,19,12,43.5,10
Nevada,MWC,9.71,0.5926,-1.76192,2.862666667,65,48,32,28,52,30,TRUE,FALSE,28,6,44,12
South Carolina,SEC,5.97,0.5773,-3.45264,2.318111111,87,88,47,42,36,35,FALSE,FALSE,21,10,44.45,7
Middle Tenn.,C-USA,8.37,0.5938,-1.47276,1.911666667,66,66,29,27,50,39,TRUE,FALSE,29,4,44.95,12
Kansas St.,Big 12,11.09,0.5613,-4.47708,1.224555556,83,37,62,54,38,43,FALSE,FALSE,20,13,46,11
Southern California,Pac 12,10.28,0.5794,-4.23844,0.675555556,66,43,45,51,51,45,FALSE,FALSE,24,9,48.1,11
Vanderbilt,SEC,5.69,0.5857,-7.08848,-0.595888889,88,92,38,83,35,54,FALSE,FALSE,19,15,48.15,9
Vermont,Am. East,8.47,0.5878,-2.4516,0.227,47,65,35,34,56,50,TRUE,FALSE,28,5,50.85,13
Dayton,A-10,0.23,0.591,-3.09376,0.960222222,84,165,33,36,37,44,TRUE,FALSE,23,7,51.4,7
Providence,Big East,8.07,0.563,-3.5456,1.799111111,69,71,61,44,47,40,FALSE,FALSE,20,12,51.9,10
VCU,A-10,-0.56,0.6018,-3.921,0.274888889,82,175,23,47,41,49,TRUE,FALSE,26,8,53.3,11
Clemson,ACC,13.03,0.5519,-6.7116,-0.862,72,23,71,76,45,57,FALSE,FALSE,17,15,53.6,NA
Georgia,SEC,8.34,0.5674,-6.1358,-0.025666667,47,67,58,68,57,52,FALSE,FALSE,18,14,58.85,NA
Illinois,Big 10,4.18,0.5544,-6.09528,-0.331333333,68,105,68,66,48,53,FALSE,FALSE,17,14,61,NA
UNCW,CAA,-6.85,0.6052,-2.10284,1.230111111,75,276,19,32,43,42,TRUE,FALSE,27,5,61.1,12
Houston,AAC,14.41,0.563,-6.18044,-2.708,33,19,60,69,66,78,FALSE,FALSE,21,10,61.3,NA
TCU,Big 12,13.55,0.5512,-7.00964,-1.084111111,38,20,73,82,60,59,FALSE,FALSE,18,15,61.35,NA
New Mexico St.,WAC,9.14,0.5695,-3.0616,-0.757444444,26,55,54,35,72,56,TRUE,FALSE,25,5,62.5,14
Monmouth,MAAC,0.51,0.5846,-3.372,-0.625111111,40,164,39,41,59,55,TRUE,FALSE,27,6,64.3,NA
Illinois St.,MVC,-1.02,0.5874,-1.20204,3.339777778,32,182,36,26,67,26,TRUE,FALSE,26,6,64.55,NA
Indiana,Big 10,7.88,0.546,-6.7846,-1.234666667,60,72,77,79,54,60,FALSE,FALSE,18,15,64.65,NA
Iowa,Big 10,5.79,0.5422,-6.71744,-1.701888889,67,90,84,77,49,67,FALSE,FALSE,18,14,66.45,NA
UT Arlington,Sunbelt,3.4,0.5825,-4.78324,-1.452,27,118,43,57,70,64,TRUE,FALSE,23,8,68.15,NA
ETSU,Southern,6.57,0.5732,-4.41608,-1.419444444,19,83,50,53,76,63,TRUE,FALSE,25,7,68.6,13
Syracuse,ACC,8.2,0.5413,-7.4612,-2.7,65,68,86,90,53,77,FALSE,FALSE,18,14,68.85,NA
Col. of Charleston,CAA,4.05,0.5693,-6.19832,-3.524888889,36,108,55,70,63,84,TRUE,FALSE,24,9,70.3,NA
Princeton,Ivy,-1.15,0.586,-4.13368,-1.726,33,185,37,49,65,68,TRUE,FALSE,22,6,70.7,12
Ohio St.,Big 10,14.81,0.5368,-8.19012,-3.581,38,16,93,100,61,85,FALSE,FALSE,17,15,70.8,NA
Alabama,SEC,8.76,0.5402,-7.2338,-1.558888889,36,59,88,86,62,65,FALSE,FALSE,19,14,70.9,NA
Tennessee,SEC,14.65,0.5384,-9.18976,-3.770555556,36,18,89,114,64,86,FALSE,FALSE,15,16,72.85,NA
Belmont,OVC,6.13,0.5727,-3.82408,-1.368,2,87,51,46,90,61,TRUE,FALSE,21,6,74.65,NA
Bucknell,Patriot,7.24,0.5676,-6.1256,-3.981777778,16,80,57,67,80,92,TRUE,FALSE,26,8,76.15,13
Ole Miss,SEC,3.27,0.5427,-5.54864,0.653222222,25,120,83,61,73,46,FALSE,FALSE,20,13,76.3,NA
UNCG,Southern,7.03,0.5435,-6.5158,-3.798555556,30,81,82,74,69,88,TRUE,FALSE,22,9,77.85,NA
BYU,WCC,8.75,0.5546,-7.3706,-4.104222222,15,60,66,88,81,93,TRUE,FALSE,22,11,79.05,NA
Georgia Tech,ACC,3.25,0.5257,-7.28728,-2.396444444,58,122,108,87,55,73,FALSE,FALSE,16,15,79.95,NA
California,Pac 12,-6.76,0.569,-6.5736,-1.403111111,44,273,56,75,58,62,FALSE,FALSE,21,12,81.1,NA
Texas A&M,SEC,11.45,0.5331,-8.36936,-2.863333333,18,35,100,102,77,79,FALSE,FALSE,16,15,81.25,NA
Boise St.,MWC,9.8,0.5451,-7.67608,-3.846,12,47,78,91,84,89,TRUE,FALSE,18,11,82,NA
UCF,AAC,1.27,0.5489,-6.42348,-2.871,23,152,75,72,74,80,FALSE,FALSE,21,11,82.45,NA
Utah,Pac 12,7.45,0.5375,-7.20876,-3.467,16,77,92,85,79,83,FALSE,FALSE,18,11,83.05,NA
Texas Tech,Big 12,15.41,0.5144,-6.93844,-1.751444444,27,12,142,81,71,69,FALSE,FALSE,18,14,83.65,NA
Winthrop,Big South,1.58,0.5592,-4.36576,-2.291,10,149,64,52,87,71,TRUE,FALSE,24,6,84.35,13
Fresno St.,MWC,8.51,0.5446,-8.07208,-3.914888889,0,64,79,96,91,91,TRUE,FALSE,18,12,87.8,NA
Pittsburgh,ACC,-4.49,0.55,-8.15588,-2.487444444,32,231,74,98,68,74,FALSE,FALSE,16,17,89.4,NA
Valparaiso,MVC,-0.16,0.5534,-5.48252,-2.679,8,170,70,60,88,76,TRUE,FALSE,23,8,89.7,NA
FGCU,A-Sun,1.62,0.5542,-4.56936,-2.625888889,-3,148,69,56,97,75,TRUE,FALSE,23,7,90.8,14
Penn St.,Big 10,14.68,0.5235,-10.01408,-4.679777778,12,17,121,129,86,100,FALSE,FALSE,15,18,93.55,NA
Colorado St.,MWC,-4.05,0.5557,-6.4254,-1.646111111,4,227,65,73,89,66,TRUE,FALSE,21,11,94.9,NA
Auburn,SEC,14.97,0.5157,-6.9252,-1.039444444,-7,15,136,80,103,58,FALSE,FALSE,18,14,95.65,NA
Georgetown,Big East,3.63,0.5246,-10.25692,-4.685888889,20,115,114,137,75,101,FALSE,FALSE,14,18,97.55,NA
Grand Canyon,WAC,4.69,0.5257,-5.59316,-3.097,-3,100,109,62,98,81,TRUE,FALSE,20,9,97.65,NA
North Carolina St.,ACC,12.22,0.5152,-9.713,-4.513111111,12,29,138,125,85,96,FALSE,FALSE,15,17,97.75,NA
Nebraska,Big 10,8.71,0.5213,-10.50208,-4.768555556,14,61,127,147,82,103,FALSE,FALSE,11,19,99.75,NA
Colorado,Pac 12,2.09,0.5249,-9.34304,-4.666888889,13,136,112,116,83,99,FALSE,FALSE,18,14,100.45,NA
Davidson,A-10,10.79,0.5324,-10.29404,-6.185666667,-1,39,102,139,95,126,TRUE,FALSE,17,15,100.65,NA
CSU Bakersfield,WAC,-4.89,0.5546,-5.75916,-2.316333333,-4,240,67,64,100,72,TRUE,FALSE,19,9,101.35,NA
New Mexico,MWC,5.85,0.5412,-9.60932,-5.293555556,-6,89,87,122,102,111,TRUE,FALSE,17,14,101.85,NA
