"team","rpi","rpi_rank"
"Villanova",0.6556,1
"Arizona",0.6479,2
"Kentucky",0.6431,3
"Kansas",0.6423,4
"Duke",0.6388,5
"Louisville",0.6382,6
"Gonzaga",0.6369,7
"North Carolina",0.6366,8
"Oregon",0.6313,9
"Baylor",0.6291,10
"Florida",0.6281,11
"SMU",0.6239,12
"Cincinnati",0.6238,13
"Florida St.",0.6224,14
"Butler",0.6185,15
"Saint Mary's (CA)",0.617,16
"UCLA",0.6138,17
"Virginia",0.6094,18
"UNCW",0.6052,19
"Minnesota",0.605,20
"Notre Dame",0.6044,21
"Purdue",0.6041,22
"VCU",0.6018,23
"Iowa St.",0.6006,24
"Michigan",0.5963,25
"West Virginia",0.5956,26
"Arkansas",0.5945,27
"Creighton",0.5942,28
"Middle Tenn.",0.5938,29
"Wichita St.",0.5931,30
"Rhode Island",0.5929,31
"Nevada",0.5926,32
"Dayton",0.591,33
"Maryland",0.5884,34
"Vermont",0.5878,35
"Illinois St.",0.5874,36
"Princeton",0.586,37
"Vanderbilt",0.5857,38
"Monmouth",0.5846,39
"Xavier",0.5841,40
"Wisconsin",0.5831,41
"Miami (FL)",0.5829,42
"UT Arlington",0.5825,43
"Oklahoma St.",0.58,44
"Southern California",0.5794,45
"Wake Forest",0.578,46
"South Carolina",0.5773,47
"Seton Hall",0.5762,48
"Virginia Tech",0.5753,49
"ETSU",0.5732,50
"Belmont",0.5727,51
"Michigan St.",0.5713,52
"Northwestern",0.5712,53
"New Mexico St.",0.5695,54
"Col. of Charleston",0.5693,55
"California",0.569,56
"Bucknell",0.5676,57
"Georgia",0.5674,58
"Akron",0.5662,59
"Houston",0.563,60
"Providence",0.563,61
"Kansas St.",0.5613,62
"Marquette",0.5608,63
"Winthrop",0.5592,64
"Colorado St.",0.5557,65
"BYU",0.5546,66
"CSU Bakersfield",0.5546,67
"Illinois",0.5544,68
"FGCU",0.5542,69
"Valparaiso",0.5534,70
"Clemson",0.5519,71
"UNC Asheville",0.5515,72
"TCU",0.5512,73
"Pittsburgh",0.55,74
"UCF",0.5489,75
"Iona",0.5461,76
"Indiana",0.546,77
"Boise St.",0.5451,78
"Fresno St.",0.5446,79
"Northern Ky.",0.5436,80
"Towson",0.5436,81
"UNCG",0.5435,82
"Ole Miss",0.5427,83
"Iowa",0.5422,84
"Richmond",0.5421,85
"Syracuse",0.5413,86
"New Mexico",0.5412,87
"Alabama",0.5402,88
"Tennessee",0.5384,89
"Lehigh",0.5381,90
"Furman",0.538,91
"Utah",0.5375,92
"Ohio St.",0.5368,93
"North Dakota St.",0.5362,94
"Louisiana",0.5356,95
"St. Bonaventure",0.5352,96
"Oakland",0.5342,97
"San Francisco",0.534,98
"Texas Southern",0.5333,99
"Texas A&M",0.5331,100
"Georgia St.",0.5327,101
"Davidson",0.5324,102
"William & Mary",0.5315,103
"South Dakota",0.5287,104
"Stanford",0.5276,105
"Wright St.",0.5273,106
"Siena",0.527,107
"Georgia Tech",0.5257,108
"Grand Canyon",0.5257,109
"Marshall",0.5257,110
"Arkansas St.",0.5249,111
"Colorado",0.5249,112
"George Mason",0.5248,113
"Georgetown",0.5246,114
"San Diego St.",0.5244,115
"UConn",0.5242,116
"Ohio",0.524,117
"George Washington",0.5239,118
"Yale",0.5236,119
"Ga. Southern",0.5235,120
"Penn St.",0.5235,121
"Albany (NY)",0.5232,122
"Saint Peter's",0.523,123
"Louisiana Tech",0.5228,124
"New Hampshire",0.5226,125
"North Dakota",0.5217,126
"Nebraska",0.5213,127
"Northeastern",0.52,128
"Memphis",0.5197,129
"Chattanooga",0.5194,130
"Omaha",0.5192,131
"Harvard",0.5183,132
"UC Irvine",0.5181,133
"Santa Clara",0.5161,134
"Kent St.",0.5159,135
"Auburn",0.5157,136
"Tulsa",0.5153,137
"North Carolina St.",0.5152,138
"Arizona St.",0.5149,139
"Old Dominion",0.5147,140
"Troy",0.5147,141
"Texas Tech",0.5144,142
"South Dakota St.",0.5143,143
"New Orleans",0.5142,144
"La Salle",0.5139,145
"A&M-Corpus Chris",0.5123,146
"Southern Ill.",0.5122,147
"Mt. St. Mary's",0.5118,148
"Temple",0.5117,149
"Buffalo",0.5115,150
"St. John's (NY)",0.5109,151
"Jacksonville St.",0.5108,152
"Eastern Wash.",0.5103,153
"Tennessee St.",0.509,154
"Elon",0.507,155
"Canisius",0.5066,156
"UMBC",0.5062,157
"Toledo",0.506,158
"UT Martin",0.506,159
"Coastal Caro.",0.505,160
"Samford",0.5048,161
"Liberty",0.5047,162
"Mississippi St.",0.5043,163
"Stony Brook",0.5043,164
"Fort Wayne",0.5038,165
"Houston Baptist",0.5036,166
"Green Bay",0.5034,167
"Loyola Marymount",0.5031,168
"Wyoming",0.5026,169
"Texas",0.502,170
"Texas St.",0.5013,171
"Ball St.",0.501,172
"Rice",0.5008,173
"Weber St.",0.5006,174
"UC Davis",0.5004,175
"Boston U.",0.5,176
"UMKC",0.4998,177
"Washington St.",0.4998,178
"Lipscomb",0.4995,179
"Fairfield",0.4994,180
"Western Mich.",0.4984,181
"Eastern Mich.",0.4982,182
"Sam Houston St.",0.4982,183
"UNI",0.4968,184
"Oklahoma",0.495,185
"Gardner-Webb",0.4942,186
"Mercer",0.4939,187
"Evansville",0.4935,188
"Utah St.",0.493,189
"Hofstra",0.4924,190
"SFA",0.4916,191
"Wofford",0.491,192
"Morehead St.",0.4909,193
"Penn",0.4908,194
"Loyola Chicago",0.4903,195
"N.C. Central",0.49,196
"Rutgers",0.4899,197
"Navy",0.4884,198
"Rider",0.487,199
"Massachusetts",0.4867,200
"Denver",0.4855,201
"LSU",0.4847,202
"Idaho",0.4843,203
"San Jose St.",0.4838,204
"UAB",0.4835,205
"Holy Cross",0.4834,206
"Utah Valley",0.4818,207
"Loyola Maryland",0.4811,208
"North Florida",0.4772,209
"Saint Joseph's",0.4766,210
"East Carolina",0.4765,211
"IUPUI",0.4759,212
"Missouri St.",0.4759,213
"Washington",0.4745,214
"LIU Brooklyn",0.4731,215
"San Diego",0.473,216
"Long Beach St.",0.4729,217
"Montana",0.4725,218
"Boston College",0.4722,219
"Central Mich.",0.4719,220
"Fordham",0.4701,221
"Lamar University",0.4701,222
"Radford",0.4699,223
"South Ala.",0.4698,224
"UTEP",0.4698,225
"Alcorn",0.4691,226
"Murray St.",0.469,227
"Bowling Green",0.468,228
"USC Upstate",0.4679,229
"Bradley",0.4678,230
"Pacific",0.4648,231
"Delaware",0.4645,232
"High Point",0.4622,233
"Western Ky.",0.4617,234
"Norfolk St.",0.461,235
"Eastern Ky.",0.4599,236
"Southeastern La.",0.4599,237
"Wagner",0.459,238
"Campbell",0.4588,239
"Little Rock",0.4585,240
"Montana St.",0.4583,241
"Robert Morris",0.4583,242
"Nicholls St.",0.4556,243
"UNLV",0.4549,244
"DePaul",0.4541,245
"Indiana St.",0.4541,246
"Saint Louis",0.454,247
"Ill.-Chicago",0.4535,248
"James Madison",0.4531,249
"Northern Ill.",0.4531,250
"Charlotte",0.4524,251
"Air Force",0.4522,252
"Youngstown St.",0.4514,253
"Manhattan",0.4503,254
"Columbia",0.4501,255
"Pepperdine",0.4501,256
"Portland",0.45,257
"Cleveland St.",0.4496,258
"Kennesaw St.",0.4494,259
"Milwaukee",0.4492,260
"Saint Francis (PA)",0.4491,261
"Austin Peay",0.4489,262
"Army West Point",0.4487,263
"Eastern Ill.",0.4468,264
"Quinnipiac",0.444,265
"UTSA",0.4432,266
"Marist",0.4429,267
"Hampton",0.4428,268
"Missouri",0.4427,269
"Western Caro.",0.4421,270
"Cal St. Fullerton",0.442,271
"Cornell",0.441,272
"Seattle U",0.4409,273
"Southeast Mo. St.",0.4409,274
"Portland St.",0.4404,275
"Tennessee Tech",0.4403,276
"Duquesne",0.4402,277
