"team","qual_bonus","sor","wab","wins","losses"
"Canisius",-373.916,-17.46224,-15.3963333333333,7.925,19.075
"Central Ark.",-420.435,-19.47504,-16.9997777777778,3.846,22.154
"Central Conn. St.",-511.11,-20.0494,-18.197,9.071,21.929
"Central Mich.",-439.259,-20.96012,-17.8778888888889,5.209,24.791
"Charleston So.",-516.578,-20.18436,-18.1325555555556,4.094,21.906
"Charlotte",-168.593,-11.84128,-9.12988888888889,13.971,14.029
"Chattanooga",-56.458,-4.73896,-2.07133333333333,21,7
"Chicago St.",-457.002,-22.90928,-19.9823333333333,5.379,25.621
"Cincinnati",-22.537,-6.4942,-2.99166666666667,18.242,10.758
"Clemson",8.16,-6.3948,-1.83,18.766,11.234
"Cleveland St.",-154.676,-8.02508,-6.35377777777778,16.49,9.51
"Coastal Carolina",-207.229,-9.18436,-7.30722222222222,15.512,10.488
"Col. of Charleston",-200.687,-11.63264,-9.17266666666667,13.348,13.652
"Colgate",-208.369,-11.14732,-9.07133333333333,16.232,12.768
"Colorado",-15.258,-5.89276,-2.20144444444445,16.894,11.106
"Colorado St.",97.568,-0.658279999999998,2.498,22.51,3.49
"Columbia",-538.941,-19.85428,-18.461,4.203,20.797
"Coppin St.",-421.929,-18.23876,-15.9608888888889,8.16,20.84
"Cornell",-172.485,-8.24892,-6.56544444444445,13.195,9.805
"Creighton",16.34,-6.09436,-1.40866666666667,16.789,12.211
"CSU Bakersfield",-192.066,-11.53616,-8.91655555555555,12.637,14.363
"CSUN",-280.794,-15.56748,-12.952,8.016,17.984
"Dartmouth",-319.064,-14.69492,-12.652,7.702,16.298
"Davidson",-14.144,-4.46896,-1.37611111111111,20.629,7.371
"Dayton",-95.041,-8.04468,-4.62444444444445,18.589,11.411
"Delaware",-183.596,-10.4316,-8.34688888888889,16.983,12.017
"Delaware St.",-618.205,-21.06036,-19.9078888888889,2.115,21.885
"Denver",-383.941,-17.07636,-15.2312222222222,8.5,18.5
"DePaul",-36.866,-7.11488,-2.69922222222222,14.949,13.051
"Detroit Mercy",-237.044,-12.48632,-10.1467777777778,14.479,14.521
"Dixie St.",-276.731,-15.74452,-13.2037777777778,7.238,18.762
"Drake",-27.277,-5.69404,-2.566,20.098,8.902
"Drexel",-184.747,-10.15132,-8.00966666666667,15.211,11.789
"Duke",139.656,1.69028,5.63011111111111,23.605,3.395
"Duquesne",-226.263,-14.79656,-11.6207777777778,10.493,17.507
"East Carolina",-111.384,-10.44112,-7.314,13.977,14.023
"Eastern Ill.",-580.713,-23.74788,-21.2861111111111,2.971,26.029
"Eastern Ky.",-169.708,-10.0846,-8.23288888888889,14.019,11.981
"Eastern Mich.",-286.017,-14.99956,-12.4601111111111,10.498,17.502
"Eastern Wash.",-189.586,-10.95092,-8.64466666666667,14.871,13.129
"Elon",-285.168,-16.49048,-13.5648888888889,8.254,19.746
"ETSU",-180.26,-10.78724,-7.882,14.355,13.645
"Evansville",-269.785,-17.21888,-13.8478888888889,7.495,20.505
"Fairfield",-226.409,-10.79108,-8.95744444444444,16.782,12.218
"Fairleigh Dickinson",-474.961,-18.46312,-16.4507777777778,6.515,20.485
"FGCU",-221.824,-9.71256,-7.94477777777778,13.584,11.416
"FIU",-242.955,-13.83104,-11.5491111111111,11.437,15.563
"Fla. Atlantic",-182.931,-11.2642,-8.94833333333333,10.873,13.127
"Florida",36.581,-4.32612,0.222555555555555,19.525,10.475
"Florida A&M",-319.43,-14.99764,-13.1044444444444,10.463,16.537
"Florida St.",29.869,-4.78536,-0.50888888888889,17.88,10.12
"Fordham",-276.2,-14.75588,-11.8472222222222,12.782,17.218
"Fresno St.",-32.438,-7.36336,-3.91888888888889,18.376,10.624
"Furman",-96.945,-7.90836,-4.90388888888889,19.273,10.727
"Ga. Southern",-265.454,-13.05448,-10.8793333333333,11.352,14.648
"Gardner-Webb",-211.349,-10.19804,-8.36844444444444,13.887,12.113
"George Mason",-169.893,-11.18224,-8.12155555555556,14.812,14.188
"George Washington",-329.676,-18.05772,-14.945,8.337,20.663
"Georgetown",-96.992,-10.18496,-6.09622222222222,11.481,15.519
"Georgia",-207.512,-16.84908,-12.1044444444444,8.03,22.97
"Georgia St.",-151.368,-8.964,-6.84355555555556,12.244,10.756
"Georgia Tech",-50.42,-9.82184,-5.51166666666667,13.997,15.003
"Gonzaga",123.358,1.28864,4.48188888888889,24.169,2.831
"Grambling",-409.59,-17.55444,-15.4021111111111,8.997,20.003
"Grand Canyon",-78.201,-6.00928,-3.835,20.318,7.682
"Green Bay",-467.004,-20.5104,-18.3341111111111,7.73,22.27
"Hampton",-439.255,-17.64268,-16.1408888888889,6.31,18.69
"Hartford",-491.914,-19.95644,-18.2096666666667,8.821,21.179
"Harvard",-169.866,-7.72288,-6.38822222222222,14.333,8.667
"Hawaii",-196.544,-10.74652,-8.79666666666667,10.75,12.25
"High Point",-321.98,-13.17496,-11.2147777777778,9.43,15.57
"Hofstra",-123.585,-8.64992,-6.07066666666667,16.651,11.349
"Holy Cross",-590.498,-22.04708,-20.512,4.896,23.104
"Houston",128.762,0.477720000000002,4.40066666666667,26.318,3.682
"Houston Baptist",-361.177,-14.03004,-12.7015555555556,5.591,15.409
"Howard",-231.181,-9.28712,-7.97266666666667,14.217,10.783
"Idaho",-425.17,-18.88552,-16.8482222222222,5.62,20.38
"Idaho St.",-508.735,-21.48888,-19.5226666666667,4.1,22.9
"Illinois",161.83,-0.24056,5.05122222222222,22.651,7.349
"Illinois St.",-232.56,-14.8802,-11.646,10.943,18.057
"Indiana",58.076,-3.87628,0.800111111111112,19.591,10.409
"Indiana St.",-174.773,-12.01924,-8.84977777777778,11.439,15.561
"Iona",-29.385,-2.70332,-0.643777777777779,23.093,4.907
"Iowa",89.743,-2.59388,2.10588888888889,21.771,9.229
"Iowa St.",35.502,-4.904,0.0562222222222226,18.706,12.294
"IUPUI",-577.915,-23.15928,-21.6002222222222,2.745,24.255
"Jackson St.",-208.007,-11.42584,-8.98722222222222,14.681,14.319
"Jacksonville",-214.504,-11.24776,-9.34933333333333,12.209,12.791
"Jacksonville St.",-153.036,-8.23712,-6.29122222222222,16.735,10.265
"James Madison",-97.253,-5.92812,-4.05022222222222,18.745,7.255
"Kansas",187.11,1.40688,6.65333333333334,24.71,5.29
"Kansas City",-232.533,-11.43524,-9.52166666666667,10.793,13.207
"Kansas St.",-71.218,-9.22168,-4.25533333333333,13.319,16.681
"Kennesaw St.",-316.655,-16.25748,-13.9568888888889,6.802,18.198
"Kent St.",-218.352,-12.78196,-10.0633333333333,12.481,15.519
"Kentucky",110.874,-1.02148,3.63288888888889,22.385,8.615
"La Salle",-294.433,-16.07124,-13.413,8.581,18.419
"Lafayette",-385.14,-15.19608,-13.4795555555556,9.967,17.033
"Lamar University",-489.724,-22.39596,-19.4993333333333,3.977,25.023
"Lehigh",-515.352,-21.37988,-19.4583333333333,6.096,22.904
"Liberty",-128.661,-7.64036,-5.66122222222222,18.368,9.632
"Lipscomb",-290.359,-13.74516,-11.3923333333333,10.591,16.409
