"team","conf","yusag_coeff","sor","wab","qual_bonus","yusag_rank","sor_rank","resume_rank","wab_rank","blend","avg","odds","delta","bm_weight","autobid","atlarge","seed_overall","seed_line","first4"
"Alabama","SEC",13.8228020852236,-3.39524,1.68233333333333,81,23,40,28,31,28.925,30.5,98.144763886949,-2.11301851593193,0.75,FALSE,TRUE,23,6,FALSE
"Southern California","Pac 12",11.5583823768183,-0.379879999999999,3.51977777777778,103.54,42,19,19,18,24.625,24.5,97.8213854317979,0.344819424269517,0.75,FALSE,TRUE,24,6,FALSE
"Colorado St.","MWC",11.6701687987112,0.271879999999999,3.96344444444444,131.64,41,16,16,17,22.375,22.5,97.2781180850094,-2.85082411334592,0.75,TRUE,FALSE,25,7,FALSE
"Ohio St.","Big 10",13.0889460440198,-3.93132,0.673444444444445,55,26,46,38,40,36.45,37.5,96.5567358843391,-7.68898117911885,0.75,FALSE,TRUE,26,7,FALSE
"Seton Hall","Big East",12.294321990513,-2.97256,1.52533333333333,93,36,38,22,33,29.275,32.25,95.6893535488214,0.947528601571463,0.75,FALSE,TRUE,27,7,FALSE
"Michigan St.","Big 10",11.8623885307973,-3.0326,2.08788888888889,85.36,39,39,26,28,31.45,33,92.8850281742812,3.05996243429172,0.75,FALSE,TRUE,28,7,FALSE
"Iowa St.","Big 12",10.9654062957856,-2.8094,1.898,93,50,37,21,29,31.65,34.25,91.6450926844199,4.53987642077345,0.75,FALSE,TRUE,29,8,FALSE
"San Diego St.","MWC",13.3739622656486,-2.19812,1.719,90.36,25,28,23,30,25.125,26.5,90.7643263294291,9.56756489409452,0.75,FALSE,TRUE,30,8,FALSE
"Boise St.","MWC",12.1219815007528,-2.44204,1.56277777777778,76.648,37,31,29,32,31.675,32.25,90.639082474582,-7.84509242224965,0.75,FALSE,TRUE,31,8,FALSE
"North Carolina","ACC",12.7335021887316,-1.67016,2.575,73.16,29,24,30,22,27.85,26.25,90.4179491971909,8.81606773707878,0.75,FALSE,TRUE,32,8,FALSE
"Murray St.","OVC",11.5230889893526,0.47856,2.291,44,44,15,42,25,36.325,31.5,89.6305361425373,-21.187381523383,0.75,TRUE,FALSE,33,9,FALSE
"Marquette","Big East",11.7859296257746,-4.66908,0.0706666666666666,72,40,64,31,45,39.95,45,89.6380446581319,-5.07739287750924,0.75,FALSE,TRUE,34,9,FALSE
"TCU","Big 12",12.3230516119416,-2.60688,2.20144444444445,83.44,34,35,27,26,29.825,30.5,89.3785056036477,8.98865919513639,0.75,FALSE,TRUE,35,9,FALSE
"San Francisco","WCC",14.3544431075876,-2.74836,0.774888888888889,35,21,36,43,38,35.825,34.5,86.1074336225368,7.86464990679312,0.75,FALSE,TRUE,36,9,FALSE
"Loyola Chicago","MVC",13.9939268118093,-2.51468,0.966000000000001,61,22,33,36,36,32.05,31.75,84.1935996883565,21.1928006232869,0.5,TRUE,FALSE,37,10,FALSE
"Creighton","Big East",9.8321261119969,-3.60624,1.07444444444444,87.02,60,42,25,35,37.55,40.5,83.459134095862,13.2865438383511,0.5,FALSE,TRUE,38,10,FALSE
"Memphis","AAC",13.4678101736353,-4.1088,-0.396111111111113,27.004,24,50,49,49,42.9,43,79.5713006186275,0.664932508496705,0.75,FALSE,TRUE,39,10,FALSE
"Miami (FL)","ACC",9.77797259086939,-3.76516,0.543444444444444,61.76,62,44,35,41,43.85,45.5,73.7558698999118,6.6564842437266,0.75,FALSE,TRUE,40,10,FALSE
"Michigan","Big 10",13.0311406998799,-5.45652,-0.476555555555556,11,27,68,57,50,50.275,50.5,72.0995522298331,-16.1352425721083,0.75,FALSE,TRUE,41,11,FALSE
"Wake Forest","ACC",12.4844806559631,-4.07096,-0.567111111111111,35,32,49,44,51,42.625,44,70.3275983304997,49.7987883014065,0.5,FALSE,TRUE,42,11,FALSE
"Notre Dame","ACC",10.6401921520793,-4.21052,-0.266111111111111,50,54,53,40,48,46.45,48.75,67.462945193515,10.3180193874061,0.5,FALSE,TRUE,43,11,FALSE
