Player,Class,Team,Conf.,Min %,O-Rtg,Usage,Adjust
Malcolm Duvivier,Sr,Akron,MAC,82,99,21,0.85239
Daniel Giddens,So,Alabama,SEC,58,105,17,0.51765
Dylan Smith,So,Arizona,P12,50,107,20,0.535
DeSean Murray,Jr,Auburn,SEC,73,115,27,1.133325
Jontrell Walker,Jr,Ball St.,MAC,73,106,25,0.96725
Christian Sengfelder,Sr,Boise St.,MWC,76,108.9,18.1,0.7490142
Lexus Williams,Sr,Boise St.,MWC,49,106,13,0.33761
Deontae Hawkins,Sr,Boston College,ACC,74,108,22,0.87912
Paul Jorgensen,Jr,Butler,BE,66,103,21,0.71379
Sam Finley,Sr,CSUN,BW,83,88,30,1.0956
Lyrik Shreiner,So,CSUN,BW,78,88,24,0.82368
Anthony Swan,Jr,CSUN,BW,67,85,21,0.597975
Marcus Lee,Sr,California,P12,76,115,19,0.8303
Cane Broome,Jr,Cincinnati,Amer,80,112,24,1.0752
David Skara,Jr,Clemson,ACC,37,110,18,0.3663
Mark Donnal,Sr,Clemson,ACC,52,130,15,0.507
Dontel Highsmith,Sr,Cleveland St.,Horz,66,100,20,0.66
PJ Posey,Sr,Cleveland St.,Horz,0,0,0,0
Chas Brown,Sr,Coastal Caro.,SB,63,110,24,0.8316
Donte Clark,Sr,Coastal Caro.,SB,63,111,23,0.804195
Austin Howard,Sr,Col. of Charleston,CAA,38,102,18,0.34884
Namon Wright,Jr,Colorado,P12,80,103,24,0.9888
Lorenzo Jenkins,So,Colorado St.,MWC,29,86,21,0.26187
Antwoine Anderson,Sr,UConn,Amer,71,103,19,0.694735
David Onuorah,Sr,UConn,Amer,0,0,0,0
Rashard Todd,Sr,Coppin St.,MEAC,67,88,21,0.61908
Kaleb Joseph,Jr,Creighton,BE,63,108,18,0.61236
Derrick Woods,So,Delaware,CAA,72,101,19,0.69084
Marin Maric,Sr,DePaul,BE,67,112,19,0.71288
Austin Grandstaff,So,DePaul,BE,37,103,20,0.3811
Roschon Prince,Sr,Detroit Mercy,Horz,63,111,17,0.594405
Kameron Chatman,Jr,Detroit Mercy,Horz,82,108,28,1.23984
Troy Harper,Jr,Drexel,CAA,75,104,24,0.936
Tramaine Isabell,Jr,Drexel,CAA,66,99,25,0.81675
Isaac Fleming,Jr,East Carolina,Amer,66,110,18,0.6534
Aaron Jackson,Sr,East Carolina,Amer,27,103,13,0.180765
Jackson Davis,Jr,Eastern Ky.,OVC,69,108,24,0.89424
Paul Jackson,Jr,Eastern Mich.,MAC,66,107,20,0.7062
Elijah Minnie,Jr,Eastern Mich.,MAC,70,100,24,0.84
Terry Harris,Jr,Eastern Mich.,MAC,15,81,18,0.10935
Pat McNamara,So,Fairleigh Dickinson,NEC,44,121,18,0.47916
Payton Hulsey,Sr,FIU,CUSA,78,95,21,0.77805
Egor Koulechov,Sr,Florida,SEC,62,117,18,0.65286
Jalen Hudson,Jr,Florida,SEC,67,100,23,0.7705
Jason Massey,Jr,Fla. Atlantic,CUSA,74,102,22,0.83028
Ricky Doyle,Jr,FGCU,ASun,0,0,0,0
C.J. Williamson,So,FGCU,ASun,56,92,25,0.644
Ray Bowles,Sr,Fresno St.,MWC,76,103,23,0.90022
Trey Dickerson,Sr,Georgetown,BE,66,103,22,0.74778
Greg Malinowski,Sr,Georgetown,BE,64,106,16,0.54272
Jared Hamilton,So,Ga. Southern,SB,66,110,18,0.6534
Jordan Tyson,So,Georgia St.,SB,54,95,17,0.43605
Basil Smotherman,Sr,Georgia St.,SB,38,107,21,0.42693
Brandon Alston,Sr,Georgia Tech,ACC,44,108,13,0.30888
Shirmane Thomas,Sr,Grambling,SWAC,70,91,20,0.637
Casey Benson,Sr,Grand Canyon,WAC,65,113,18,0.66105
Jahaad Proctor,So,High Point,BSth,63,106,21,0.70119
Brandon Kamga,So,High Point,BSth,22,89,21,0.20559
Nura Zanna,Sr,Houston,Amer,55,108,16,0.4752
Mark Alstork,Sr,Illinois,B10,79,105,27,1.119825
Milik Yarbrough,Jr,Illinois St.,MVC,85,90,29,1.10925
Christian Romine,So,Illinois St.,MVC,20,79,17,0.1343
Qiydar Davis,Sr,Indiana St.,MVC,54,96,15,0.3888
Aakim Saintil,Sr,Iona,MAAC,80,104,25,1.04
Zach Lewis,Sr,Iona,MAAC,66,104,21,0.72072
Tarekeyi Edogi,Sr,Iona,MAAC,39,121,21,0.495495
Jeff Beverly,Sr,Iowa St.,B12,79,120,27,1.2798
Hans Brase,Sr,Iowa St.,B12,39,103,13,0.261105
Nick Rogers,So,IUPUI,Sum,64,98,21,0.65856
