Player,Class,Team,Conf.,Min %,O-Rtg,Usage,Adjust
Maurice Kirby,Sr,IUPUI,Sum,39,99,17,0.328185
Darius Austin,Jr,Jackson St.,SWAC,81,95,24,0.9234
Jace Hogan,Jr,Jacksonville,ASun,87,106,25,1.15275
Stuckey Mosley,Jr,James Madison,CAA,86,99,23,0.97911
Cameron Smith,Sr,James Madison,CAA,49,108,13,0.34398
Gerron Scissum,So,James Madison,CAA,68,87,22,0.65076
Malik Newman,So,Kansas,B12,76,105,23,0.9177
Jack Whitman,Sr,Kansas,B12,47,115,18,0.48645
Shazier Lawson,So,Kennesaw St.,ASun,36,100,22,0.396
Taishaun Johnson,Jr,Kent St.,MAC,16,80,19,0.1216
James Harrison,Sr,Lamar University,Slnd,31,87,18,0.24273
Da'Shawn Robinson,Sr,Lamar University,Slnd,18,81,17,0.12393
Lance Tejada,Jr,Lehigh,Pat,74,95,24,0.8436
Scottie James,So,Liberty,BSth,38,114,17,0.36822
Matt Rose,So,Lipscomb,ASun,65,112,19,0.6916
Wadly Mompremier,Sr,Little Rock,SB,80,103,21,0.8652
Khari Harley,Sr,Little Rock,SB,21,83,18,0.15687
Jamall Robinson,Sr,LIU Brooklyn,NEC,64,105,17,0.5712
Zach Coleman,Sr,LIU Brooklyn,NEC,34,85,23,0.33235
BK Ashe,Sr,Longwood,BSth,80,100,28,1.12
Charles Glover,Sr,Longwood,BSth,19,79,16,0.12008
Jakeenan Gant,Jr,Louisiana,SB,73,112,23,0.94024
Marcus Stroman,Jr,Louisiana,SB,50,99,18,0.4455
Malik Marquetti,Jr,Louisiana,SB,20,111,17,0.1887
Daishon Smith,Sr,La.-Monroe,SB,58,108,19,0.59508
Dwayne Sutton,So,Louisville,ACC,49,110,17,0.45815
Marques Townes,Jr,Loyola Chicago,MVC,59,110,18,0.5841
Carson Shanks,Sr,Loyola Chicago,MVC,31,102,20,0.3162
Jeremy Combs,Sr,LSU,SEC,50,107,16,0.428
Dusan Majstorovic,So,Maine,AE,32,90,20,0.288
Aleksandar Dozic,So,Marist,MAAC,33,99,15,0.245025
Rondale Watson,Jr,Marshall,CUSA,65,102,19,0.62985
Sean Obi,Jr,Maryland,B10,15,88,19,0.1254
Jaylen Brantley,Sr,Massachusetts,A10,66,104,20,0.6864
Jaaron Simmons,Sr,Michigan,B10,73,104,24,0.91104
Charles Matthews,So,Michigan,B10,53,105,16,0.4452
Ben Carter,Sr,Michigan St.,B10,34,115,18,0.3519
Nick King,Sr,Middle Tenn.,CUSA,73,101,23,0.847895
Markel Crawford,Sr,Ole Miss,SEC,66,116,16,0.61248
Kassius Robertson,Sr,Missouri,SEC,60,120,16,0.576
Tanveer Bhullar,Sr,Missouri St.,MVC,15,97,19,0.138225
Jamar Akoh,Jr,Montana,BSky,68,102,19,0.65892
Donaven Dorsey,Jr,Montana,BSky,37,112,17,0.35224
Keljin Blevins,Jr,Montana St.,BSky,65,97,22,0.69355
Byron Hawkins,Jr,Murray St.,OVC,72,120,22,0.9504
James Palmer,Jr,Nebraska,B10,66,101,21,0.69993
Duby Okeke,Sr,Nebraska,B10,11,97,12,0.06402
Lamar Wofford-Humphrey,Sr,Omaha,Sum,33,99,16,0.26136
Caleb Martin,Jr,Nevada,MWC,83,112,23,1.06904
Cody Martin,Jr,Nevada,MWC,73,112,20,0.8176
Kendall Stephens,Sr,Nevada,MWC,61,108,25,0.8235
Darien Williams,Sr,Nevada,MWC,17,110,28,0.2618
Hallice Cooke,Jr,Nevada,MWC,36,107,18,0.34668
A.J. Harris,So,New Mexico St.,WAC,68,104,22,0.77792
Greg King,Jr,Niagara,MAAC,22,89,24,0.23496
Jeremy Verhagen,Jr,Nicholls St.,Slnd,68,107,17,0.61846
Roddy Peters,Jr,Nicholls St.,Slnd,87,99,29,1.248885
Legend Robertin,Sr,Nicholls St.,Slnd,47,88,21,0.43428
Maurice O'Field,Sr,Nicholls St.,Slnd,32,97,21,0.32592
Steven Whitley,So,Norfolk St.,MEAC,62,94,19,0.55366
Cameron Johnson,Jr,North Carolina,ACC,70,119,17,0.70805
Aaren Edmead,Jr,N.C. A&T,MEAC,57,106,19,0.57399
Japhet Kadji,Jr,N.C. A&T,MEAC,39,103,18,0.36153
Femi Olujobi,Jr,N.C. A&T,MEAC,15,105,17,0.133875
Rashann London,Jr,N.C. Central,MEAC,93,95,23,1.016025
Raasean Davis,Jr,N.C. Central,MEAC,80,93,25,0.93
Cameron Gottfried,Jr,North Carolina St.,ACC,0,0,0,0
Marlon Stewart,So,North Dakota,BSky,70,99,23,0.79695
Dale Jones,Sr,North Dakota,BSky,65,95,22,0.67925
J.T. Escobar,So,North Florida,ASun,86,90,24,0.9288
Vasa Pusica,Jr,Northeastern,CAA,80,104,24,0.9984
Malcolm Allen,Sr,Northern Ariz.,BSky,66,83,23,0.62997
Andre Spight,Sr,Northern Colo.,BSky,63,111,20,0.6993
Lacey James,So,Northern Ill.,MAC,24,79,18,0.17064
Adam McDermott,So,UNI,MVC,50,114,13,0.3705
Kendrick Nunn,Sr,Oakland,Horz,93,112,25,1.302
Kevin Mickle,Sr,Ohio,MAC,51,105,10,0.26775
Kendall Smith,Sr,Oklahoma St.,B12,74,112,19,0.78736
Greg McClinton,Sr,Old Dominion,CUSA,45,104,15,0.351
Elijah Brown,Sr,Oregon,P12,82,106,26,1.12996
MiKyle McIntosh,Sr,Oregon,P12,76,106,23,0.92644
Paul White,Jr,Oregon,P12,55,111,17,0.518925
Seth Berger,Sr,Oregon St.,P12,9,111,11,0.054945
Miles Reynolds,Jr,Pacific,WCC,84,107,25,1.1235
TySean Powell,Jr,Pacific,WCC,72,105,22,0.8316
Kendall Small,So,Pacific,WCC,69,104,19,0.68172
Satchel Pierce,Jr,Penn St.,B10,28,92,18,0.23184
Eric Cooper Jr.,Jr,Pepperdine,WCC,28,99,22,0.30492
Matthew Atewe,Sr,Pepperdine,WCC,67,93,20,0.6231
Franklin Porter,So,Portland,WCC,70,98,22,0.7546
Ryan Edwards,Sr,Portland St.,BSky,0,0,0,0
Andrew Dakich,Sr,Quinnipiac,MAAC,79,106,24,1.00488
Isaiah Washington,Jr,Quinnipiac,MAAC,72,87,22,0.68904
Dylan Jones,Sr,Rice,CUSA,22,76,22,0.18392
Devine Eke,So,Rider,MAAC,79,107,20,0.8453
Jordan Madrid-Andrews,Sr,Robert Morris,NEC,73,95,21,0.728175
Xavier Williams,Sr,Robert Morris,NEC,67,75,19,0.477375
Kinnon LaRose,So,Sacred Heart,NEC,34,115,18,0.3519
Adonys Henriquez,Jr,Saint Louis,A10,68,113,17,0.65314
D.J. Foreman,Jr,Saint Louis,A10,73,101,20,0.7373
Javon Bess,Jr,Saint Louis,A10,30,108,19,0.3078
Cullen Neal,Sr,Saint Mary's (CA),WCC,58.4,114.7,18.1,0.60621244
Marcus Harris,Jr,Sam Houston St.,Slnd,0,0,0,0
Justin Coleman,Jr,Samford,SC,80,110,24,1.056
Isaiah Pineiro,Jr,San Diego,WCC,68,108,24,0.88128
Isaiah Wright,Jr,San Diego,WCC,37,98,17,0.30821
Devin Watson,Jr,San Diego St.,MWC,81,116,25,1.1745
Kameron Rooks,Sr,San Diego St.,MWC,37,115,15,0.319125
Henry Caruso,Sr,Santa Clara,WCC,64,99,22,0.69696
Richaud Gittens,Sr,Seattle U,WAC,56,101,16,0.45248
Josh Hearlihy,Sr,Seattle U,WAC,22,96,15,0.1584
Jordan Hill,Sr,Seattle U,WAC,47,103,15,0.363075
Kevin Degnan,Jr,Siena,MAAC,77,106,22,0.89782
Julian Torres,So,SIUE,OVC,37,96,19,0.33744
Jimmy Whitt,So,SMU,Amer,78,98,24,0.91728
Akoy Agau,Sr,SMU,Amer,64,100,21,0.672
Jordan Andrews,So,South Ala.,SB,79,96,24,0.91008
Kory Holden,Jr,South Carolina,SEC,80,102,27,1.1016
Frank Booker,Sr,South Carolina,SEC,52,105,13,0.3549
Nick Fuller,Sr,South Dakota,Sum,36,89,22,0.35244
Stephan Jiggets,Sr,South Fla.,Amer,64,104,19,0.63232
Payton Banks,Sr,South Fla.,Amer,83,104,21,0.90636
Terrence Samuel,Sr,South Fla.,Amer,46,105,17,0.41055
Malik Martin,Jr,South Fla.,Amer,32,102,18,0.29376
Richard Lee,Jr,Southern U.,SWAC,41.6,109.3,14.7,0.33419568
Marcus Bartley,Jr,Southern Ill.,MVC,67,110,20,0.737
Tyree Griffin,Jr,Southern Miss.,CUSA,84,103,21,0.90846
Dominic Magee,Jr,Southern Miss.,CUSA,37,95,22,0.38665
Jadon Cohee,Jr,Southern Utah,BSky,74,102,24,0.90576
Jamal Aytes,Sr,Southern Utah,BSky,19,107,21,0.213465
Marvin Clark Jr.,Jr,St. John's (NY),BE,20.7,112.7,18.3,0.213459435
Justin Simon,So,St. John's (NY),BE,12.9,89.7,18.9,0.109348785
Geno Thorpe,Sr,Syracuse,ACC,74,110,23,0.9361
James Daniel III,Sr,Tennessee,SEC,79,116,23,1.05386
A.C. Reid,Sr,Tennessee St.,OVC,56,95,17,0.4522
Shaq Calhoun,Sr,Tennessee Tech,OVC,64,96,22,0.67584
Dylan Osetkowski,Jr,Texas,B12,66,105,19,0.65835
Duane Wilson,Sr,Texas A&M,SEC,0,0,0,0
Brandone Francis-Ramirez,So,Texas Tech,B12,46,98,18,0.40572
Tre'Shaun Fletcher,Sr,Toledo,MAC,83,106,24,1.05576
Jordan Cornish,Jr,Tulane,Amer,63,96,19,0.57456
Samir Sehic,So,Tulane,Amer,32,90,21,0.3024
Curran Scott,So,Tulsa,Amer,57,108,19,0.58482
A.J. John,Jr,UC Davis,BW,67,91,18,0.54873
Elston Jones,Jr,UC Irvine,BW,79,97,24,0.91956
Idy Diallo,So,UC Riverside,BW,68,92,21,0.65688
Marcus Jackson,Sr,UC Santa Barbara,BW,70,112,18,0.7056
Leland King II,Sr,UC Santa Barbara,BW,21,103,21,0.227115
Terrell Allen,So,UCF,Amer,64,111,18,0.63936
Dayon Griffin,Jr,UCF,Amer,72,107,17.7,0.681804
Aubrey Dawkins,Jr,UCF,Amer,59,114,21,0.70623
Rokas Ulvydas,Jr,UCF,Amer,0,0,0,0
Robert Knar,Jr,UMKC,WAC,72,87,22,0.68904
Donovan Gilmore,Jr,UNC Asheville,BSth,45,93,20,0.4185
Ty Taylor II,So,UNCW,CAA,37,107,20,0.3959
Jordan Johnson,Sr,UNLV,MWC,80,118,21,0.9912
Derryck Thornton,So,Southern California,P12,66,108,20,0.7128
Justin Bibbins,Sr,Utah,P12,64,111,18,0.63936
Jake Toolson,Jr,Utah Valley,WAC,22,95,19,0.19855
Cory Calvert,Jr,Utah Valley,WAC,0,0,0,0
Joe Burton,Jr,Valparaiso,MVC,79,112,25,1.106
Bakari Evelyn,So,Valparaiso,MVC,31,93,21,0.302715
Larry Austin Jr.,Jr,Vanderbilt,SEC,46,97,17,0.37927
Khris Lane,Sr,VCU,A10,68,113,20,0.7684
Issac Vann,So,VCU,A10,80,109,24,1.0464
Samuel Dingba,Jr,Vermont,AE,36,109,15,0.2943
Nigel Johnson,Sr,Virginia,ACC,73,109,23,0.915055
Nick Madray,Sr,Wagner,NEC,53,100,16,0.424
Drick Bernstine,Sr,Washington St.,P12,65,101,15,0.492375
Brekkott Chapman,Jr,Weber St.,BSky,83,111,25,1.151625
Lamonte Bearden,Jr,Western Ky.,CUSA,82,111,23,1.04673
Darius Thompson,Sr,Western Ky.,CUSA,68,110,20,0.748
Dwight Coleby,Sr,Western Ky.,CUSA,38,100,17,0.323
Matt Milon,So,William & Mary,CAA,74,109,23,0.92759
Ny Redding,Jr,Wyoming,MWC,53,101,14,0.37471
Brodricks Jones,So,Wyoming,MWC,0,0,0,0
Kerem Kanter,Sr,Xavier,BE,22,112,17,0.20944
Makai Mason,Jr,Yale,Ivy,81,109,24,1.05948
