"Team","Conference","YUSAG_Coefficient","rank","info","Conference_Rank","record","conf_record"
"Wichita St.","AAC",16.1,15,"(Conference Rank:  19)",2,"24 - 6","14 - 4"
"Houston","AAC",12.61,36,"(Conference Rank:  8)",3,"23 - 7","13 - 5"
"SMU","AAC",10.66,49,"(Conference Rank:  19)",4,"21 - 10","11 - 7"
"Temple","AAC",4.29,108,"(Conference Rank:  8)",5,"15 - 15","7 - 11"
"UCF","AAC",4.01,115,"(Conference Rank:  19)",6,"18 - 12","9 - 9"
"Tulsa","AAC",3.26,126,"(Conference Rank:  8)",7,"17 - 13","10 - 8"
"Tulane","AAC",1.45,154,"(Conference Rank:  19)",8,"17 - 13","8 - 10"
"UConn","AAC",1.19,158,"(Conference Rank:  8)",9,"15 - 16","8 - 10"
"Memphis","AAC",0.74,161,"(Conference Rank:  19)",10,"18 - 13","9 - 9"
"East Carolina","AAC",-9.82,306,"(Conference Rank:  8)",11,"9 - 20","3 - 15"
"South Fla.","AAC",-11.67,324,"(Conference Rank:  19)",12,"9 - 22","2 - 16"
"Duke","ACC",23.01,3,"(Conference Rank:  2)",1,"27 - 4","14 - 4"
"Virginia","ACC",21.99,5,"(Conference Rank:  2)",2,"28 - 2","17 - 1"
"North Carolina","ACC",16.97,11,"(Conference Rank:  2)",3,"21 - 10","10 - 8"
"Florida St.","ACC",15.1,19,"(Conference Rank:  2)",4,"21 - 9","10 - 8"
"Clemson","ACC",15.01,20,"(Conference Rank:  2)",5,"22 - 8","11 - 7"
"Notre Dame","ACC",13.18,30,"(Conference Rank:  2)",6,"17 - 13","8 - 10"
"Louisville","ACC",13.07,31,"(Conference Rank:  2)",7,"21 - 10","11 - 7"
"Miami (FL)","ACC",12.79,32,"(Conference Rank:  2)",8,"21 - 9","10 - 8"
"Virginia Tech","ACC",12.4,38,"(Conference Rank:  2)",9,"19 - 12","8 - 10"
"Syracuse","ACC",10.29,51,"(Conference Rank:  2)",10,"19 - 12","8 - 10"
"North Carolina St.","ACC",10.19,54,"(Conference Rank:  2)",11,"19 - 12","9 - 9"
"Boston College","ACC",7.98,77,"(Conference Rank:  2)",12,"17 - 14","7 - 11"
"Wake Forest","ACC",6.54,87,"(Conference Rank:  2)",13,"12 - 18","5 - 13"
"Georgia Tech","ACC",4.14,113,"(Conference Rank:  2)",14,"13 - 18","6 - 12"
"Pittsburgh","ACC",-2.76,203,"(Conference Rank:  2)",15,"9 - 22","1 - 17"
"Vermont","Am. East",8.04,76,"(Conference Rank:  24)",1,"24 - 6","15 - 1"
"Albany (NY)","Am. East",2.88,131,"(Conference Rank:  24)",2,"21 - 9","10 - 6"
"UMBC","Am. East",-2.76,204,"(Conference Rank:  24)",3,"16 - 12","10 - 6"
"Stony Brook","Am. East",-3.25,211,"(Conference Rank:  24)",4,"12 - 17","8 - 8"
"New Hampshire","Am. East",-4.48,227,"(Conference Rank:  24)",5,"11 - 17","9 - 7"
"Hartford","Am. East",-4.66,235,"(Conference Rank:  24)",6,"15 - 14","9 - 7"
"Binghamton","Am. East",-7.93,277,"(Conference Rank:  24)",7,"11 - 18","4 - 12"
"UMass Lowell","Am. East",-10.4,311,"(Conference Rank:  24)",8,"9 - 19","4 - 12"
"Maine","Am. East",-12.16,329,"(Conference Rank:  24)",9,"5 - 24","4 - 12"
"Purdue","Big 10",25.22,2,"(Conference Rank:  5)",1,"28 - 3","17 - 1"
"Michigan St.","Big 10",22.28,4,"(Conference Rank:  5)",2,"27 - 4","15 - 3"
"Ohio St.","Big 10",15.6,16,"(Conference Rank:  5)",3,"23 - 8","14 - 4"
"Michigan","Big 10",14.1,23,"(Conference Rank:  5)",4,"21 - 9","11 - 7"
"Maryland","Big 10",12.19,40,"(Conference Rank:  5)",5,"19 - 11","9 - 9"
"Penn St.","Big 10",11.41,44,"(Conference Rank:  5)",6,"19 - 12","9 - 9"
"Northwestern","Big 10",9.84,56,"(Conference Rank:  5)",7,"16 - 14","8 - 10"
"Nebraska","Big 10",8.07,74,"(Conference Rank:  5)",8,"19 - 12","10 - 8"
"Minnesota","Big 10",7.13,81,"(Conference Rank:  5)",9,"17 - 14","6 - 12"
"Indiana","Big 10",6.6,86,"(Conference Rank:  5)",10,"15 - 15","8 - 10"
"Wisconsin","Big 10",6.11,91,"(Conference Rank:  5)",11,"13 - 18","6 - 12"
