team,region,seed,rating,first_round,second_round,sweet_sixteen,elite_eight,final_four,championship_game,champ
Gonzaga,West,1,24.6843277168284,1,1,1,0,0,0,0
Georgia St.,West,16,0.663734991587801,1,0,0,0,0,0,0
Boise St.,West,8,11.6935413445365,1,0,0,0,0,0,0
Memphis,West,9,14.3741980156019,1,1,0,0,0,0,0
UConn,West,5,15.1021597775627,1,0,0,0,0,0,0
New Mexico St.,West,12,7.78572154643094,1,1,0,0,0,0,0
Arkansas,West,4,15.7819905096647,1,1,1,1,0.3715,0.163,0.0568
Vermont,West,13,9.24659185003424,1,0,0,0,0,0,0
Alabama,West,6,13.0593539190613,1,0,0,0,0,0,0
Rutgers,West,11,9.00579286484925,0,0,0,0,0,0,0
Notre Dame,West,11,11.7658043193541,1,1,0,0,0,0,0
Texas Tech,West,3,19.6821064190712,1,1,1,0,0,0,0
Montana St.,West,14,0.6207259612259,1,0,0,0,0,0,0
Michigan St.,West,7,11.9065251926656,1,1,0,0,0,0,0
Davidson,West,10,10.4785079631997,1,0,0,0,0,0,0
Duke,West,2,18.8435789167039,1,1,1,1,0.6285,0.3391,0.1487
Cal St. Fullerton,West,15,0.692501981162965,1,0,0,0,0,0,0
Baylor,East,1,20.6460644527507,1,1,0,0,0,0,0
Norfolk St.,East,16,-1.47098510873434,1,0,0,0,0,0,0
North Carolina,East,8,14.3185844177247,1,1,1,0.3232,0.1267,0.0459,0.0134
Marquette,East,9,10.6279173080561,1,0,0,0,0,0,0
Saint Mary's (CA),East,5,14.7595834131683,1,1,0,0,0,0,0
Indiana,East,12,11.6202944979503,1,0,0,0,0,0,0
Wyoming,East,12,8.9240850628007,0,0,0,0,0,0,0
UCLA,East,4,18.6832369840037,1,1,1,0.6768,0.3751,0.2051,0.089
Akron,East,13,2.11055479058883,1,0,0,0,0,0,0
Texas,East,6,15.9990379085034,1,1,0,0,0,0,0
Virginia Tech,East,11,14.0595869020807,1,0,0,0,0,0,0
Purdue,East,3,18.0935672220139,1,1,1,0.9,0.4882,0.246,0.101
Yale,East,14,0.651688671279977,1,0,0,0,0,0,0
Murray St.,East,7,11.085215216879,1,1,0,0,0,0,0
San Francisco,East,10,13.8035054457376,1,0,0,0,0,0,0
Kentucky,East,2,20.1430266645742,1,0,0,0,0,0,0
Saint Peter's,East,15,4.55360037693832,1,1,1,0.1,0.01,9e-4,1e-4
Arizona,South,1,21.2640932460566,1,1,1,0,0,0,0
Wright St.,South,16,-0.493231213704238,1,0,0,0,0,0,0
Bryant,South,16,-2.59851656141051,0,0,0,0,0,0,0
Seton Hall,South,8,11.220039127376,1,0,0,0,0,0,0
TCU,South,9,13.3137700099712,1,1,0,0,0,0,0
Houston,South,5,22.1781963713582,1,1,1,1,0.6213,0.4078,0.2712
UAB,South,12,10.8499031900227,1,0,0,0,0,0,0
Illinois,South,4,15.6444065449278,1,1,0,0,0,0,0
Chattanooga,South,13,7.25309256540721,1,0,0,0,0,0,0
Colorado St.,South,6,10.8922196401096,1,0,0,0,0,0,0
Michigan,South,11,13.6121567322105,1,1,1,0,0,0,0
Tennessee,South,3,19.6443111066071,1,1,0,0,0,0,0
Longwood,South,14,0.72572556703803,1,0,0,0,0,0,0
Ohio St.,South,7,13.3325007328271,1,1,0,0,0,0,0
Loyola Chicago,South,10,13.3612938593377,1,0,0,0,0,0,0
Villanova,South,2,18.7931916032728,1,1,1,1,0.3787,0.2051,0.1083
Delaware,South,15,1.42733863815391,1,0,0,0,0,0,0
Kansas,Midwest,1,20.8400264072473,1,1,1,0.8014,0.6507,0.3222,0.1946
Texas Southern,Midwest,16,-1.36211271467889,1,0,0,0,0,0,0
A&M-Corpus Christi,Midwest,16,-5.4080389293779,0,0,0,0,0,0,0
San Diego St.,Midwest,8,12.9084381261682,1,0,0,0,0,0,0
Creighton,Midwest,9,10.9509991488443,1,1,0,0,0,0,0
Iowa,Midwest,5,18.2917338184712,1,0,0,0,0,0,0
Richmond,Midwest,12,7.09654416542627,1,1,0,0,0,0,0
Providence,Midwest,4,12.2241000896099,1,1,1,0.1986,0.1077,0.0218,0.0058
South Dakota St.,Midwest,13,7.42755370733013,1,0,0,0,0,0,0
LSU,Midwest,6,15.6204469892994,1,0,0,0,0,0,0
Iowa St.,Midwest,11,11.6923543285962,1,1,1,0.5254,0.1293,0.0232,0.0058
Wisconsin,Midwest,3,12.0176234214289,1,1,0,0,0,0,0
Colgate,Midwest,14,2.4226296072323,1,0,0,0,0,0,0
Southern California,Midwest,7,11.1227762027798,1,0,0,0,0,0,0
Miami (FL),Midwest,10,11.3549952341276,1,1,1,0.4746,0.1123,0.0199,0.0053
Auburn,Midwest,2,18.1971102956302,1,1,0,0,0,0,0
Jacksonville St.,Midwest,15,0.669763216366627,1,0,0,0,0,0,0
