"date","team","opponent","location","team_score","opp_score","score_diff","pred_score_diff","total_score","pred_total_score"
"2015-12-01","Cornell","Siena","H",81,80,1,-8.72334564750901,161,170.85835911826
"2015-12-02","Brown","Central Conn. St.","H",82,64,18,17.0105579883497,146,161.527087079436
"2015-12-02","Columbia","Bucknell","V",72,61,11,4.50206080609837,133,155.165983459238
"2015-12-02","Dartmouth","Vermont","H",63,68,-5,-4.49947801751158,131,148.157312210695
"2015-12-02","Harvard","Northeastern","V",71,80,-9,-12.7974044893502,151,127.342986152742
"2015-12-02","Penn","Navy","H",59,65,-6,-10.1250910525251,124,134.444565228707
"2015-12-02","Yale","Bryant","H",79,40,39,26.6648436598356,119,136.895301227857
"2015-12-04","Columbia","Saint Joseph's","H",78,80,-2,1.9803934532543,158,152.487162013485
"2015-12-05","Brown","Bryant","V",76,68,8,8.03515297251036,144,141.275480446527
"2015-12-05","Cornell","Lafayette","H",85,67,18,3.92449535700891,152,176.667122475915
"2015-12-05","Dartmouth","Hartford","H",74,65,9,5.09616139633513,139,138.029178152101
"2015-12-05","Harvard","Kansas","V",69,75,-6,-28.5987241200911,144,139.146537925117
"2015-12-05","Penn","George Mason","V",44,63,-19,-9.02027851577937,107,134.217946854252
"2015-12-05","Princeton","Stony Brook","V",77,91,-14,-2.62587964647821,168,137.328101314292
"2015-12-05","Yale","Vermont","H",72,54,18,8.69214750592391,126,147.227600247602
"2015-12-06","Columbia","Delaware","H",82,69,13,12.247442900996,151,133.241591029361
"2015-12-07","Brown","Georgetown","V",57,74,-17,-19.2707138164333,131,149.463533114609
"2015-12-08","Harvard","Boston U.","V",75,69,6,-0.180324478512785,144,140.931261856359
"2015-12-08","Princeton","Saint Joseph's","V",50,62,-12,1.63655124657718,112,159.216827614247
"2015-12-09","Columbia","Manhattan","V",72,71,1,16.9947878136453,143,145.998790500152
"2015-12-09","Dartmouth","Maine","V",79,69,10,6.17494366777857,148,145.615727385821
"2015-12-09","Penn","Temple","H",73,77,-4,-12.4569835352485,150,134.119306460617
"2015-12-09","Yale","Illinois","V",65,69,-4,-0.74576052165313,134,139.327587528509
"2015-12-12","Columbia","NJIT","H",65,56,9,5.58672096773428,121,154.810301859231
"2015-12-12","Dartmouth","Stanford","V",50,64,-14,-16.8057769462001,114,128.274012187423
"2015-12-12","Princeton","Lipscomb","V",78,64,14,7.7406531067667,142,149.383181257488
"2015-12-13","Yale","Southern California","V",56,68,-12,-11.8045379211472,124,149.716089033749
"2015-12-14","Columbia","Robert Morris","H",78,71,7,21.3803597153206,149,140.535075509514
"2015-12-14","Dartmouth","CSU Bakersfield","V",62,69,-7,-10.717273549636,131,122.302872498152
"2015-12-17","Princeton","Liberty","H",77,72,5,30.0194106514886,149,121.465387646576
"2015-12-19","Cornell","Syracuse","V",46,67,-21,-18.4544163895575,113,151.880150932397
"2015-12-19","Dartmouth","New Hampshire","V",56,76,-20,3.02182029677586,132,137.945134814433
"2015-12-19","Princeton","Maryland","N",61,82,-21,-7.3980389265573,143,142.936018295522
"2015-12-22","Brown","Marist","N",83,84,-1,3.81666982934186,167,144.143769262014
"2015-12-22","Dartmouth","Longwood","H",78,54,24,8.20475911143561,132,139.463812420952
"2015-12-22","Harvard","BYU","N",85,82,3,-3.80857996865423,167,134.895045876887
"2015-12-22","Penn","Drexel","V",52,53,-1,-11.0188484695046,105,140.841148848174
"2015-12-22","Princeton","Bucknell","H",89,77,12,12.0689078329135,166,150.580843541084
"2015-12-23","Cornell","Monmouth","H",69,78,-9,-16.5220367940268,147,157.537811977344
"2015-12-23","Harvard","Auburn","N",69,51,18,-5.35394252024111,120,155.026287261716
"2015-12-25","Harvard","Oklahoma","N",71,83,-12,-17.9787998495452,154,137.415022996191
"2015-12-28","Brown","Bethune-Cookman","H",81,73,8,11.5092716967322,154,155.415235236861
"2015-12-28","Columbia","Howard","H",72,59,13,10.8421587420652,131,153.977494243731
"2015-12-28","Cornell","Saint Peter's","V",65,62,3,-7.59936126281832,127,145.267105787769
"2015-12-28","Penn","Villanova","V",57,77,-20,-35.4010687763354,134,132.942183735553
"2015-12-29","Princeton","Miami (FL)","V",64,76,-12,-20.3645759129072,140,149.099289604906
"2015-12-30","Brown","Rhode Island","H",85,88,-3,-11.1465189015083,173,142.762267054475
"2015-12-30","Yale","Central Conn. St.","V",62,42,20,25.2125875373761,104,138.428906456842
"2015-12-31","Dartmouth","Bryant","H",60,62,-2,15.2973800435915,122,127.144059495442
"2015-12-31","Harvard","Wofford","H",77,57,20,13.8947789349103,134,130.213557230679
"2016-01-02","Brown","Maine","V",92,98,-6,5.2515685757319,190,167.881143029063
"2016-01-02","Columbia","Stony Brook","V",60,69,-9,-8.87976799050117,129,142.868061371444
"2016-01-02","Cornell","Albany (NY)","H",70,75,-5,-7.69394641911937,145,148.34676507651
"2016-01-02","Penn","Binghamton","H",80,45,35,5.82290074323044,125,123.047917716005
"2016-01-02","Yale","Hartford","V",88,53,35,15.1698806091725,141,137.37301820034
"2016-01-03","Harvard","Vermont","H",62,65,-3,10.4222442338296,127,139.479155969248
"2016-01-03","Princeton","Hampton","V",89,59,30,9.46094104339004,148,150.840192595968
"2016-01-04","Dartmouth","Fairfield","V",85,97,-12,-6.58947144846486,182,146.931646485608
"2016-01-05","Princeton","Norfolk St.","V",83,74,9,7.69032055769181,157,142.6422676554
"2016-01-06","Columbia","UMES","H",81,75,6,18.6495219607317,156,139.681602882796
"2016-01-06","Cornell","Howard","V",84,81,3,-4.33450195172575,165,158.219408066519
"2016-01-06","Yale","NJIT","H",83,65,18,13.5341783430819,148,136.829177887062
"2016-01-09","Harvard","Dartmouth","H",77,70,7,15.6222527225988,147,123.05854233203
"2016-01-09","Penn","Princeton","H",71,73,-2,-11.2833399791928,144,140.720877710576
"2016-01-12","Dartmouth","Canisius","H",80,69,11,-0.360157283534246,149,157.880669169891
"2016-01-16","Columbia","Cornell","H",74,70,4,12.4072533690495,144,151.229637460535
"2016-01-16","Harvard","Howard","V",69,61,8,9.48318670788077,130,140.097423452062
"2016-01-16","Yale","Brown","H",77,68,9,17.9681540884571,145,141.164033931052
"2016-01-20","Penn","Saint Joseph's","H",60,75,-15,-11.9615415304279,135,146.891942567892
"2016-01-22","Brown","Yale","H",66,90,-24,-10.1938120486117,156,142.649308440181
"2016-01-23","Cornell","Columbia","H",68,79,-11,-5.24923582534935,147,151.271760603029
"2016-01-23","Dartmouth","Harvard","H",63,50,13,-6.0859156454159,113,125.999323962231
"2016-01-29","Brown","Princeton","H",59,83,-24,-12.0515702054806,142,157.551585118511
"2016-01-29","Dartmouth","Columbia","H",60,77,-17,-2.94167681479242,137,133.789168160344
"2016-01-29","Harvard","Cornell","H",65,77,-12,13.0442270933535,142,141.693495030023
"2016-01-29","Yale","Penn","H",81,58,23,16.8412814590103,139,129.182915530729
"2016-01-30","Brown","Penn","H",89,83,6,1.34470140533469,172,153.320567702678
"2016-01-30","Dartmouth","Cornell","H",73,77,-4,3.32963048371294,150,142.274506605214
"2016-01-30","Harvard","Columbia","H",54,55,-1,1.51668211172077,109,133.738096680615
"2016-01-30","Yale","Princeton","H",79,75,4,2.52826553245146,154,132.719900845088
"2016-02-05","Brown","Cornell","H",86,80,6,0.571113859307652,166,164.529067148187
"2016-02-05","Penn","Dartmouth","H",71,64,7,2.28035079090757,135,134.457327497926
"2016-02-05","Princeton","Harvard","H",83,62,21,10.6325958585808,145,133.844737159518
"2016-02-05","Yale","Columbia","H",86,72,14,8.61561365948472,158,132.110175727223
"2016-02-06","Brown","Columbia","H",73,77,-4,-6.68725730689985,150,155.410400880107
