"date","team","opponent","location","team_score","opp_score","score_diff","pred_score_diff","total_score","pred_total_score"
2017-12-02,"Brown","Central Conn. St.","H",62,68,-6,2.86154810279103,130,153.153803264006
2017-12-02,"Columbia","Albany (NY)","V",82,86,-4,-5.58541764970943,168,156.172646444636
2017-12-02,"Cornell","Northeastern","V",66,84,-18,-4.12284401641535,150,142.061785696076
2017-12-02,"Dartmouth","Canisius","V",60,73,-13,-12.2422283799795,133,149.596412992828
2017-12-02,"Harvard","Kentucky","V",70,79,-9,-26.2614000355093,149,145.921709276373
2017-12-02,"Princeton","Miami (FL)","N",52,80,-28,-24.5203722720756,132,121.940935771749
2017-12-02,"Yale","TCU","V",66,92,-26,-18.5746844017441,158,158.119208237871
2017-12-04,"Columbia","Quinnipiac","H",87,89,-2,18.239883207642,176,157.03230057479
2017-12-04,"Penn","Howard","V",81,68,13,12.8815638474883,149,165.124270551718
2017-12-05,"Dartmouth","Sacred Heart","V",73,79,-6,-2.66839182851122,152,139.791799222832
2017-12-06,"Brown","Providence","V",72,77,-5,-21.1151275111446,149,142.889324035488
2017-12-06,"Harvard","Fordham","V",47,45,2,-1.95099934837161,92,131.322647264286
2017-12-06,"Penn","Lafayette","V",73,68,5,7.37704054209952,141,159.204341343277
2017-12-06,"Princeton","George Washington","V",60,71,-11,-10.5296795968788,131,125.767325732503
2017-12-06,"Yale","Lehigh","V",86,77,9,-0.248237752962774,163,160.742288707844
2017-12-07,"Columbia","Stony Brook","H",66,76,-10,5.62436904353523,142,157.219428048214
2017-12-08,"Dartmouth","Maine","V",73,66,7,-3.05089282785055,139,140.075144911809
2017-12-09,"Brown","UMass Lowell","H",89,75,14,7.38100475858364,164,155.221226591661
2017-12-09,"Penn","Dayton","V",78,70,8,-4.39268407794425,148,140.561064215978
2017-12-09,"Yale","St. Bonaventure","V",67,75,-8,-12.7595506169661,142,139.22978408936
2017-12-10,"Columbia","Navy","H",68,73,-5,4.35588409479669,141,148.972683618964
2017-12-12,"Columbia","Boston College","V",66,81,-15,-14.376449796392,147,154.297199397139
2017-12-12,"Princeton","Monmouth","H",69,58,11,-3.83953448835338,127,145.233560522077
2017-12-12,"Yale","Iona","V",67,83,-16,-4.13966322860221,150,158.258872206727
2017-12-15,"Dartmouth","Ill.-Chicago","V",60,76,-16,-3.84638796193453,136,143.846838051532
2017-12-16,"Cornell","Longwood","V",69,62,7,10.6057256782095,131,144.527780719642
2017-12-16,"Princeton","Cal Poly","V",80,60,20,-3.00503789296997,140,131.038984273041
2017-12-19,"Dartmouth","Notre Dame","V",87,97,-10,-30.7509345565964,184,145.155449983463
2017-12-19,"Princeton","Southern California","V",103,93,10,-18.8138115566969,196,141.85339098432
2017-12-20,"Cornell","Lafayette","H",80,71,9,3.86589072578078,151,152.060829086153
2017-12-21,"Harvard","Boston U.","H",74,63,11,7.80221261565204,137,146.282100952118
2017-12-22,"Brown","Marist","H",90,69,21,10.553283607404,159,152.307673822776
2017-12-22,"Dartmouth","Bryant","H",75,58,17,10.5893331972462,133,157.3889749047
2017-12-22,"Princeton","Middle Tenn.","N",67,69,-2,-9.4539133518989,136,132.281152269609
2017-12-22,"Yale","Monmouth","H",64,85,-21,2.99124040348492,149,154.721408625607
2017-12-23,"Cornell","Niagara","H",86,89,-3,0.381095242811341,175,176.277576720161
2017-12-23,"Harvard","George Washington","V",48,58,-10,-6.19810867307638,106,129.334652924306
2017-12-23,"Princeton","Akron","N",64,62,2,7.08222936328568,126,139.259967908783
2017-12-25,"Princeton","Hawaii","V",77,63,14,-1.33362836968471,140,134.45376410477
2017-12-27,"Penn","Delaware St.","H",105,52,53,27.9658673927054,157,150.535104719739
