"date","team","opponent","location","team_score","opp_score","score_diff","pred_score_diff","total_score","pred_total_score"
2016-12-01,"Columbia","Seton Hall","V",71,95,-24,-19.2643274324732,166,165.542166725238
2016-12-03,"Brown","Central Conn. St.","V",75,58,17,-5.07110263102096,133,158.857302851489
2016-12-03,"Dartmouth","Boston College","V",70,88,-18,-10.326107851882,158,133.694270073552
2016-12-03,"Harvard","Fordham","H",64,52,12,-0.0817055903068269,116,132.772835220179
2016-12-03,"Penn","Temple","V",62,70,-8,-5.45510462258055,132,146.974875160848
2016-12-03,"Yale","Albany (NY)","H",59,55,4,11.8305971163142,114,143.243609055037
2016-12-06,"Brown","Providence","V",57,95,-38,-15.947560267719,152,146.507622273971
2016-12-06,"Harvard","Northeastern","H",86,80,6,0.684640772676124,166,146.987731823003
2016-12-06,"Princeton","California","N",51,62,-11,-4.17799389992523,113,124.910151295979
2016-12-07,"Dartmouth","Vermont","V",58,73,-15,-23.2715279638534,131,148.488628893156
2016-12-07,"Harvard","Boston College","V",74,66,8,-1.47800100174398,140,142.481816626508
2016-12-07,"Penn","Lafayette","H",81,52,29,18.8383838505915,133,140.047318696069
2016-12-07,"Princeton","Hawaii","N",75,62,13,4.8273837200394,137,120.274405624602
2016-12-08,"Yale","Sacred Heart","V",66,52,14,13.835462253141,118,150.124759625588
2016-12-09,"Columbia","Navy","V",54,69,-15,-4.60747548065685,123,153.966402628684
2016-12-10,"Dartmouth","Maine","H",68,73,-5,-0.254449181105235,141,148.031710429709
2016-12-10,"Penn","George Mason","H",60,79,-19,8.9932522847707,139,141.397120068618
2016-12-10,"Princeton","Liberty","V",67,64,3,4.50031660672524,131,123.711633161112
2016-12-11,"Yale","Delaware","H",81,63,18,9.784068675754,144,115.144602618388
2016-12-12,"Penn","UCF","V",58,49,9,-15.589411466142,107,121.949795038202
2016-12-13,"Dartmouth","Hartford","V",66,70,-4,-8.56416073763574,136,152.754564570739
2016-12-13,"Yale","Central Conn. St.","H",90,59,31,18.7773925419656,149,132.458398885961
2016-12-14,"Princeton","Saint Joseph's","H",68,76,-8,5.00321090521631,144,130.147452549881
2016-12-17,"Cornell","Wyoming","V",78,97,-19,-13.2691069609004,175,151.019350860616
2016-12-18,"Dartmouth","LIU Brooklyn","V",82,68,14,-14.2876784193734,150,144.02724392123
2016-12-19,"Cornell","Southern California","V",67,79,-12,-23.8303270425311,146,152.437755043264
2016-12-20,"Princeton","Monmouth","V",90,96,-6,-10.9894075457486,186,143.266225633833
2016-12-22,"Brown","Maine","H",82,77,5,7.82940125487147,159,159.651304797965
2016-12-22,"Cornell","Troy","N",84,92,-8,-2.67782759326144,176,140.771567469932
2016-12-22,"Dartmouth","Bryant","V",75,69,6,-9.56286611340773,144,152.155356028295
2016-12-22,"Princeton","Bucknell","V",72,70,2,-6.67165113556114,142,142.613041295799
2016-12-22,"Yale","Temple","V",77,83,-6,-4.7623439802184,160,138.574038156831
2016-12-23,"Cornell","Southeast Mo. St.","N",78,62,16,-1.89644294940814,140,151.464729233532
2016-12-23,"Harvard","Houston","V",57,56,1,-19.3284749804552,113,146.668934064773
2016-12-27,"Cornell","Syracuse","V",56,80,-24,-20.7384578555985,136,147.793203218321
2016-12-28,"Columbia","Miami (FL)","V",67,78,-11,-26.8779556543728,145,146.223034561329
2016-12-28,"Penn","Drexel","H",75,67,8,10.5271421088398,142,146.57951722
2016-12-28,"Princeton","Hampton","H",77,49,28,16.9911990736305,126,137.129848630205
2016-12-29,"Brown","Quinnipiac","H",66,61,5,3.20485940535104,127,170.085419682344
2016-12-29,"Cornell","UMass Lowell","H",96,98,-2,4.34451435894331,194,161.456018872063
2016-12-30,"Columbia","Albany (NY)","H",67,70,-3,-3.0375743788965,137,152.011808422853
2016-12-30,"Harvard","Howard","H",67,46,21,16.4955705518093,113,137.807556958269
2016-12-30,"Penn","Fairfield","H",74,68,6,7.83695120896885,142,143.823475804955
2016-12-31,"Brown","Stony Brook","H",89,92,-3,3.28258001204397,181,150.383139721946
2016-12-31,"Dartmouth","New Hampshire","H",63,62,1,-6.88005986716605,125,133.339055676184
2016-12-31,"Princeton","Cal Poly","H",81,52,29,12.4177901854647,133,135.205052671618
2017-01-02,"Columbia","Maine","V",98,73,25,2.00309183324265,171,154.845555130166
2017-01-02,"Cornell","Albany (NY)","V",59,69,-10,-10.5056751822172,128,146.243748574467
2017-01-02,"Harvard","Vermont","V",71,82,-11,-5.95673538097254,153,133.515999600853
2017-01-02,"Yale","Hartford","H",88,72,16,20.2194938084481,160,147.915746144647
2017-01-03,"Dartmouth","CSU Bakersfield","H",60,64,-4,-10.1349512644226,124,127.736081058006
2017-01-04,"Brown","NJIT","V",73,75,-2,-7.39748057599928,148,158.944091821224
2017-01-07,"Columbia","Howard","H",66,48,18,12.2061151661856,114,147.922017961409
2017-01-07,"Dartmouth","Harvard","H",58,74,-16,-8.14751873108821,132,137.061882212475
2017-01-07,"Princeton","Penn","H",61,52,9,3.61681056693616,113,134.744962239774
2017-01-13,"Penn","Yale","H",60,68,-8,0.904240853346391,128,134.274992338588
2017-01-13,"Princeton","Brown","H",97,66,31,14.8810294954923,163,152.217754429437
2017-01-14,"Cornell","Columbia","H",75,79,-4,-0.431086308831776,154,156.38829166566
2017-01-14,"Penn","Brown","H",70,82,-12,13.8344699849247,152,147.652486879413
2017-01-14,"Princeton","Yale","H",66,58,8,2.88005257039782,124,139.316544132961
2017-01-16,"Harvard","Bryant","V",70,65,5,7.34321982965671,135,153.56776690341
2017-01-20,"Brown","Yale","H",74,75,-1,-8.89917509440683,149,154.432083719719
2017-01-21,"Columbia","Cornell","H",62,67,-5,7.39680455145013,129,156.271742841199
2017-01-21,"Harvard","Dartmouth","H",82,68,14,15.6919636600005,150,135.964432750516
2017-01-21,"Penn","Saint Joseph's","V",71,78,-7,-4.96322509170505,149,131.947033705464
2017-01-25,"Penn","La Salle","V",77,74,3,-6.87255461558375,151,153.676749080574
2017-01-27,"Columbia","Dartmouth","H",66,54,12,9.84509983126289,120,147.934983116076
2017-01-27,"Cornell","Harvard","H",71,77,-6,-5.81819796270396,148,143.772109480462
2017-01-27,"Yale","Brown","H",85,75,10,13.4795009324343,160,154.359889104866
2017-01-28,"Columbia","Harvard","H",65,62,3,-2.832567094309,127,145.079576838804
2017-01-28,"Cornell","Dartmouth","H",75,62,13,7.10177671590456,137,143.95673080331
2017-02-03,"Columbia","Yale","H",78,87,-9,-4.39079369845196,165,146.036087756316
2017-02-03,"Cornell","Brown","H",70,81,-11,2.93503572562052,151,160.92317631823
2017-02-03,"Dartmouth","Princeton","H",64,69,-5,-14.0993016356014,133,135.913329723465
2017-02-03,"Harvard","Penn","H",69,59,10,3.74226210980643,128,132.139756457272
2017-02-04,"Columbia","Brown","H",83,78,5,4.75649560510425,161,161.575198715385
2017-02-04,"Cornell","Yale","H",71,78,-7,-8.31569999579108,149,146.5574035786
2017-02-04,"Dartmouth","Penn","H",74,71,3,-8.21139166960936,145,132.122351408716
2017-02-04,"Harvard","Princeton","H",56,57,-1,-0.413183553996221,113,135.080009036777
2017-02-07,"Penn","Princeton","H",49,64,-15,-2.64888909268596,113,131.133445122177
2017-02-10,"Brown","Harvard","H",74,87,-13,-4.86012213859283,161,150.936476948045
2017-02-10,"Penn","Columbia","H",70,62,8,5.80295943070926,132,141.21587070605
2017-02-10,"Princeton","Cornell","H",69,60,9,15.4746839021512,129,139.999344481152
