"year","month","day","team","opponent","location","teamscore","oppscore","OT","D1"
2018,11,7,"A&M-Corpus Christi","Howard Payne","H",81,34,NA,1
2018,11,9,"A&M-Corpus Christi","Our Lady of the Lake","H",113,83,NA,1
2018,11,12,"A&M-Corpus Christi","UTRGV","H",69,76,NA,2
2018,11,16,"A&M-Corpus Christi","UT Arlington","V",73,67,NA,2
2018,11,17,"A&M-Corpus Christi","UC Davis","N",54,57,1,2
2018,11,21,"A&M-Corpus Christi","St. Mary's (TX)","H",61,58,NA,1
2018,11,26,"A&M-Corpus Christi","UTRGV","V",59,68,NA,2
2018,12,2,"A&M-Corpus Christi","Tennessee","V",51,79,NA,2
2018,12,5,"A&M-Corpus Christi","Texas St.","H",55,61,NA,2
2018,12,18,"A&M-Corpus Christi","Huston-Tillotson","H",81,63,NA,1
2018,12,20,"A&M-Corpus Christi","UTSA","H",50,64,NA,2
2018,12,22,"A&M-Corpus Christi","Louisiana Tech","V",68,73,NA,2
2018,12,29,"A&M-Corpus Christi","Oklahoma St.","V",59,69,NA,2
2019,1,2,"A&M-Corpus Christi","Central Ark.","H",87,75,NA,2
2019,1,5,"A&M-Corpus Christi","Lamar University","V",55,61,NA,2
2019,1,9,"A&M-Corpus Christi","Northwestern St.","V",62,61,NA,2
2019,1,16,"A&M-Corpus Christi","Sam Houston St.","V",NA,NA,NA,2
2019,1,19,"A&M-Corpus Christi","New Orleans","H",NA,NA,NA,2
2019,1,23,"A&M-Corpus Christi","Nicholls St.","H",NA,NA,NA,2
2019,1,30,"A&M-Corpus Christi","Abilene Christian","V",NA,NA,NA,2
2019,2,2,"A&M-Corpus Christi","Houston Baptist","V",NA,NA,NA,2
2019,2,6,"A&M-Corpus Christi","Southeastern La.","H",NA,NA,NA,2
2019,2,9,"A&M-Corpus Christi","Incarnate Word","H",NA,NA,NA,2
2019,2,13,"A&M-Corpus Christi","Sam Houston St.","H",NA,NA,NA,2
2019,2,16,"A&M-Corpus Christi","New Orleans","V",NA,NA,NA,2
2019,2,20,"A&M-Corpus Christi","SFA","V",NA,NA,NA,2
2019,2,23,"A&M-Corpus Christi","Lamar University","H",NA,NA,NA,2
2019,2,27,"A&M-Corpus Christi","Abilene Christian","H",NA,NA,NA,2
2019,3,2,"A&M-Corpus Christi","Incarnate Word","V",NA,NA,NA,2
2019,3,6,"A&M-Corpus Christi","McNeese","V",NA,NA,NA,2
2019,3,9,"A&M-Corpus Christi","Houston Baptist","H",NA,NA,NA,2
2018,11,6,"Abilene Christian","Arlington Baptist","H",107,54,NA,1
2018,11,9,"Abilene Christian","Arkansas St.","H",94,73,NA,2
2018,11,15,"Abilene Christian","Denver","V",67,61,NA,2
2018,11,22,"Abilene Christian","Elon","N",72,56,NA,2
2018,11,23,"Abilene Christian","Pacific","V",73,71,NA,2
2018,11,24,"Abilene Christian","UC Riverside","N",60,48,NA,2
2018,11,27,"Abilene Christian","Howard Payne","H",90,53,NA,1
2018,12,1,"Abilene Christian","Pepperdine","V",62,77,NA,2
2018,12,4,"Abilene Christian","Campbell","H",83,68,NA,2
2018,12,8,"Abilene Christian","Schreiner","H",93,53,NA,1
2018,12,15,"Abilene Christian","Texas Tech","V",48,82,NA,2
2018,12,21,"Abilene Christian","Southeast Mo. St.","V",70,68,NA,2
2018,12,29,"Abilene Christian","McMurry","H",88,40,NA,1
2019,1,2,"Abilene Christian","New Orleans","H",68,58,NA,2
2019,1,5,"Abilene Christian","Sam Houston St.","V",68,71,NA,2
2019,1,9,"Abilene Christian","McNeese","V",73,72,NA,2
2019,1,12,"Abilene Christian","Southeastern La.","V",75,72,NA,2
2019,1,16,"Abilene Christian","Houston Baptist","H",NA,NA,NA,2
2019,1,19,"Abilene Christian","Northwestern St.","H",NA,NA,NA,2
2019,1,23,"Abilene Christian","SFA","V",NA,NA,NA,2
2019,1,26,"Abilene Christian","Central Ark.","H",NA,NA,NA,2
2019,1,30,"Abilene Christian","A&M-Corpus Christi","H",NA,NA,NA,2
2019,2,6,"Abilene Christian","Lamar University","V",NA,NA,NA,2
2019,2,9,"Abilene Christian","Sam Houston St.","H",NA,NA,NA,2
2019,2,13,"Abilene Christian","Nicholls St.","V",NA,NA,NA,2
2019,2,16,"Abilene Christian","Incarnate Word","V",NA,NA,NA,2
2019,2,23,"Abilene Christian","Southeastern La.","H",NA,NA,NA,2
2019,2,27,"Abilene Christian","A&M-Corpus Christi","V",NA,NA,NA,2
2019,3,2,"Abilene Christian","Central Ark.","V",NA,NA,NA,2
2019,3,5,"Abilene Christian","SFA","H",NA,NA,NA,2
2019,3,9,"Abilene Christian","Incarnate Word","H",NA,NA,NA,2
2018,11,6,"Air Force","JWU (Denver)","H",90,65,NA,1
2018,11,9,"Air Force","Texas St.","V",57,67,NA,2
2018,11,16,"Air Force","UMBC","N",72,77,2,2
2018,11,18,"Air Force","South Dakota","N",65,62,NA,2
2018,11,19,"Air Force","High Point","N",62,69,NA,2
2018,11,24,"Air Force","Colorado","H",56,93,NA,2
2018,11,28,"Air Force","Missouri St.","H",88,69,NA,2
2018,12,1,"Air Force","Pacific","V",69,82,NA,2
2018,12,5,"Air Force","Denver","H",73,65,NA,2
2018,12,8,"Air Force","Army West Point","H",61,66,NA,2
2018,12,22,"Air Force","Michigan","V",50,71,NA,2
2018,12,28,"Air Force","UC Riverside","H",72,60,NA,2
2019,1,2,"Air Force","New Mexico","H",58,65,NA,2
2019,1,5,"Air Force","Utah St.","V",62,79,NA,2
2019,1,8,"Air Force","Colorado St.","V",64,87,NA,2
2019,1,12,"Air Force","San Diego St.","H",62,48,NA,2
2019,1,16,"Air Force","UNLV","H",NA,NA,NA,2
2019,1,19,"Air Force","Nevada","V",NA,NA,NA,2
2019,1,22,"Air Force","Boise St.","H",NA,NA,NA,2
2019,1,26,"Air Force","San Jose St.","V",NA,NA,NA,2
2019,1,30,"Air Force","San Diego St.","V",NA,NA,NA,2
2019,2,2,"Air Force","Colorado St.","H",NA,NA,NA,2
2019,2,6,"Air Force","Wyoming","H",NA,NA,NA,2
2019,2,12,"Air Force","UNLV","V",NA,NA,NA,2
2019,2,16,"Air Force","Utah St.","H",NA,NA,NA,2
2019,2,20,"Air Force","Fresno St.","V",NA,NA,NA,2
2019,2,23,"Air Force","San Jose St.","H",NA,NA,NA,2
2019,3,2,"Air Force","Wyoming","V",NA,NA,NA,2
2019,3,5,"Air Force","Nevada","H",NA,NA,NA,2
2019,3,9,"Air Force","Boise St.","V",NA,NA,NA,2
2018,11,6,"Akron","Cedarville","H",70,50,NA,1
2018,11,10,"Akron","Youngstown St.","N",98,69,NA,2
2018,11,16,"Akron","Chicago St.","H",87,46,NA,2
2018,11,19,"Akron","Clemson","N",69,72,NA,2
2018,11,20,"Akron","Illinois St.","N",68,73,NA,2
2018,11,21,"Akron","St. Bonaventure","N",61,49,NA,2
2018,11,28,"Akron","Alabama St.","H",86,54,NA,2
2018,12,1,"Akron","Detroit Mercy","H",71,59,NA,2
2018,12,5,"Akron","Purdue Fort Wayne","V",65,68,NA,2
2018,12,15,"Akron","Marshall","H",74,75,NA,2
2018,12,18,"Akron","Tennessee St.","H",82,60,NA,2
2018,12,22,"Akron","Nevada","V",62,68,NA,2
2018,12,30,"Akron","Carnegie Mellon","H",82,55,NA,1
2019,1,5,"Akron","Western Mich.","H",56,48,NA,2
2019,1,8,"Akron","Central Mich.","V",86,88,1,2
2019,1,12,"Akron","Northern Ill.","V",56,73,NA,2
2019,1,15,"Akron","Eastern Mich.","H",51,49,NA,2
2019,1,19,"Akron","Miami (OH)","V",NA,NA,NA,2
2019,1,22,"Akron","Central Mich.","H",NA,NA,NA,2
2019,1,26,"Akron","Northern Ill.","H",NA,NA,NA,2
2019,2,2,"Akron","Ohio","V",NA,NA,NA,2
2019,2,5,"Akron","Toledo","V",NA,NA,NA,2
2019,2,9,"Akron","Kent St.","H",NA,NA,NA,2
2019,2,12,"Akron","Buffalo","H",NA,NA,NA,2
2019,2,16,"Akron","Ball St.","V",NA,NA,NA,2
2019,2,19,"Akron","Bowling Green","V",NA,NA,NA,2
2019,2,23,"Akron","Miami (OH)","H",NA,NA,NA,2
2019,2,26,"Akron","Buffalo","V",NA,NA,NA,2
2019,3,2,"Akron","Ohio","H",NA,NA,NA,2
2019,3,5,"Akron","Bowling Green","H",NA,NA,NA,2
2019,3,8,"Akron","Kent St.","V",NA,NA,NA,2
2018,11,6,"Alabama","Southern U.","H",82,62,NA,2
2018,11,11,"Alabama","Appalachian St.","H",81,73,NA,2
2018,11,15,"Alabama","Northeastern","N",52,68,NA,2
2018,11,16,"Alabama","Ball St.","N",79,61,NA,2
2018,11,18,"Alabama","Wichita St.","N",90,86,NA,2
2018,11,26,"Alabama","Murray St.","H",78,72,NA,2
2018,11,29,"Alabama","UCF","V",64,70,NA,2
2018,12,4,"Alabama","Georgia St.","H",80,83,NA,2
