"year","month","day","team","opponent","location","teamscore","oppscore","canceled","postponed","OT","D1"
2022,11,7,"A&M-Corpus Christi","Mississippi St.","V",44,63,FALSE,FALSE,NA,2
2022,11,11,"A&M-Corpus Christi","UTSA","H",75,55,FALSE,FALSE,NA,2
2022,11,14,"A&M-Corpus Christi","Trinity (TX)","H",91,73,FALSE,FALSE,NA,1
2022,11,17,"A&M-Corpus Christi","UTRGV","H",97,75,FALSE,FALSE,NA,2
2022,11,22,"A&M-Corpus Christi","CSU Bakersfield","N",63,73,FALSE,FALSE,NA,2
2022,11,23,"A&M-Corpus Christi","Alcorn","N",98,67,FALSE,FALSE,NA,2
2022,11,25,"A&M-Corpus Christi","UTEP","V",67,72,FALSE,FALSE,NA,2
2022,11,30,"A&M-Corpus Christi","UTRGV","V",82,89,FALSE,FALSE,NA,2
2022,12,7,"A&M-Corpus Christi","Texas Lutheran","H",100,63,FALSE,FALSE,NA,1
2022,12,13,"A&M-Corpus Christi","Arizona","V",61,99,FALSE,FALSE,NA,2
2022,12,16,"A&M-Corpus Christi","Schreiner","H",104,69,FALSE,FALSE,NA,1
2022,12,20,"A&M-Corpus Christi","Oklahoma St.","V",58,81,FALSE,FALSE,NA,2
2022,12,28,"A&M-Corpus Christi","Our Lady of the Lake","H",88,74,FALSE,FALSE,NA,1
2022,12,31,"A&M-Corpus Christi","Northwestern St.","V",65,59,FALSE,FALSE,NA,2
2023,1,4,"A&M-Corpus Christi","UIW","H",NA,NA,FALSE,FALSE,NA,2
2023,1,7,"A&M-Corpus Christi","UIW","V",NA,NA,FALSE,FALSE,NA,2
2023,1,12,"A&M-Corpus Christi","Southeastern La.","H",NA,NA,FALSE,FALSE,NA,2
2023,1,14,"A&M-Corpus Christi","New Orleans","H",NA,NA,FALSE,FALSE,NA,2
2023,1,19,"A&M-Corpus Christi","Lamar University","V",NA,NA,FALSE,FALSE,NA,2
2023,1,21,"A&M-Corpus Christi","Houston Christian","V",NA,NA,FALSE,FALSE,NA,2
2023,1,26,"A&M-Corpus Christi","Nicholls","H",NA,NA,FALSE,FALSE,NA,2
2023,1,28,"A&M-Corpus Christi","McNeese","H",NA,NA,FALSE,FALSE,NA,2
2023,2,2,"A&M-Corpus Christi","New Orleans","V",NA,NA,FALSE,FALSE,NA,2
2023,2,4,"A&M-Corpus Christi","Southeastern La.","V",NA,NA,FALSE,FALSE,NA,2
2023,2,9,"A&M-Corpus Christi","Houston Christian","H",NA,NA,FALSE,FALSE,NA,2
2023,2,11,"A&M-Corpus Christi","Lamar University","H",NA,NA,FALSE,FALSE,NA,2
2023,2,16,"A&M-Corpus Christi","Nicholls","V",NA,NA,FALSE,FALSE,NA,2
2023,2,18,"A&M-Corpus Christi","McNeese","V",NA,NA,FALSE,FALSE,NA,2
2023,2,23,"A&M-Corpus Christi","Tex. A&M-Commerce","H",NA,NA,FALSE,FALSE,NA,2
2023,2,25,"A&M-Corpus Christi","Northwestern St.","H",NA,NA,FALSE,FALSE,NA,2
2023,3,1,"A&M-Corpus Christi","Tex. A&M-Commerce","V",NA,NA,FALSE,FALSE,NA,2
2022,11,7,"Abilene Christian","Jackson St.","H",65,56,FALSE,FALSE,NA,2
2022,11,11,"Abilene Christian","Texas A&M","V",58,77,FALSE,FALSE,NA,2
2022,11,15,"Abilene Christian","McMurry","H",104,46,FALSE,FALSE,NA,1
2022,11,21,"Abilene Christian","Wright St.","N",61,77,FALSE,FALSE,NA,2
2022,11,22,"Abilene Christian","Weber St.","N",67,77,FALSE,FALSE,NA,2
2022,11,23,"Abilene Christian","UC Riverside","N",65,76,FALSE,FALSE,NA,2
2022,11,27,"Abilene Christian","Northern Ariz.","V",92,82,FALSE,FALSE,NA,2
2022,11,30,"Abilene Christian","North American","H",93,46,FALSE,FALSE,NA,1
2022,12,3,"Abilene Christian","Arlington Baptist","H",88,42,FALSE,FALSE,NA,1
2022,12,6,"Abilene Christian","Kansas St.","V",64,81,FALSE,FALSE,NA,2
2022,12,10,"Abilene Christian","Tex. A&M-Commerce","H",83,64,FALSE,FALSE,NA,2
2022,12,17,"Abilene Christian","CSU Bakersfield","V",65,59,FALSE,FALSE,NA,2
2022,12,21,"Abilene Christian","Howard Payne","H",113,52,FALSE,FALSE,NA,1
2022,12,29,"Abilene Christian","SFA","V",68,75,FALSE,FALSE,NA,2
2022,12,31,"Abilene Christian","Tarleton St.","H",69,63,FALSE,FALSE,NA,2
2023,1,7,"Abilene Christian","Southern Utah","H",NA,NA,FALSE,FALSE,NA,2
2023,1,11,"Abilene Christian","UTRGV","V",NA,NA,FALSE,FALSE,NA,2
2023,1,14,"Abilene Christian","Tarleton St.","V",NA,NA,FALSE,FALSE,NA,2
2023,1,18,"Abilene Christian","Utah Valley","V",NA,NA,FALSE,FALSE,NA,2
2023,1,21,"Abilene Christian","UT Arlington","H",NA,NA,FALSE,FALSE,NA,2
2023,1,26,"Abilene Christian","Grand Canyon","H",NA,NA,FALSE,FALSE,NA,2
2023,1,28,"Abilene Christian","Utah Tech","H",NA,NA,FALSE,FALSE,NA,2
2023,2,1,"Abilene Christian","Seattle U","V",NA,NA,FALSE,FALSE,NA,2
2023,2,4,"Abilene Christian","California Baptist","V",NA,NA,FALSE,FALSE,NA,2
2023,2,11,"Abilene Christian","Sam Houston","H",NA,NA,FALSE,FALSE,NA,2
2023,2,15,"Abilene Christian","New Mexico St.","V",NA,NA,FALSE,FALSE,NA,2
2023,2,17,"Abilene Christian","Grand Canyon","V",NA,NA,FALSE,FALSE,NA,2
2023,2,22,"Abilene Christian","SFA","H",NA,NA,FALSE,FALSE,NA,2
2023,2,25,"Abilene Christian","Utah Valley","H",NA,NA,FALSE,FALSE,NA,2
2023,3,1,"Abilene Christian","New Mexico St.","H",NA,NA,FALSE,FALSE,NA,2
2023,3,3,"Abilene Christian","Sam Houston","V",NA,NA,FALSE,FALSE,NA,2
2022,11,7,"Air Force","Bowling Green","V",58,62,FALSE,FALSE,NA,2
2022,11,11,"Air Force","Delaware","H",75,71,FALSE,FALSE,NA,2
2022,11,14,"Air Force","Tex. A&M-Commerce","H",69,73,FALSE,FALSE,NA,2
2022,11,17,"Air Force","Portland","H",51,64,FALSE,FALSE,NA,2
2022,11,21,"Air Force","USC Upstate","H",83,56,FALSE,FALSE,NA,2
2022,11,23,"Air Force","Mississippi Val.","H",64,51,FALSE,FALSE,NA,2
2022,11,27,"Air Force","Montana","H",59,56,FALSE,FALSE,NA,2
2022,11,30,"Air Force","Ark.-Pine Bluff","H",81,53,FALSE,FALSE,NA,2
2022,12,3,"Air Force","Portland St.","V",64,68,FALSE,FALSE,NA,2
2022,12,6,"Air Force","South Dakota","H",79,58,FALSE,FALSE,NA,2
2022,12,9,"Air Force","Arkansas St.","H",80,55,FALSE,FALSE,NA,2
2022,12,18,"Air Force","Tarleton St.","H",81,67,FALSE,FALSE,NA,2
2022,12,20,"Air Force","Northern Colo.","V",67,65,FALSE,FALSE,NA,2
2022,12,28,"Air Force","San Diego St.","V",55,71,FALSE,FALSE,NA,2
2022,12,31,"Air Force","Nevada","H",69,75,FALSE,FALSE,NA,2
2023,1,3,"Air Force","Utah St.","H",65,77,FALSE,FALSE,NA,2
2023,1,10,"Air Force","Colorado St.","V",NA,NA,FALSE,FALSE,NA,2
2023,1,14,"Air Force","Fresno St.","V",NA,NA,FALSE,FALSE,NA,2
2023,1,17,"Air Force","Wyoming","H",NA,NA,FALSE,FALSE,NA,2
2023,1,21,"Air Force","San Diego St.","H",NA,NA,FALSE,FALSE,NA,2
2023,1,24,"Air Force","San Jose St.","V",NA,NA,FALSE,FALSE,NA,2
2023,1,27,"Air Force","New Mexico","V",NA,NA,FALSE,FALSE,NA,2
2023,1,31,"Air Force","Boise St.","H",NA,NA,FALSE,FALSE,NA,2
