"team","sor","qual_bonus","wab","wins","losses"
"A&M-Corpus Chris",-5.31308,5,-2.98466666666667,23,8
"Abilene Christian",-16.76052,-186,-15.2157777777778,9,18
"Air Force",-15.51336,-111,-12.3136666666667,12,18
"Akron",-6.37448,34,-3.60622222222222,25,9
"Alabama",-7.41852,65,-1.49455555555556,18,15
"Alabama A&M",-17.2466,-199,-16.1047777777778,10,18
"Alabama St.",-15.80608,-141,-14.1895555555556,12,17
"Albany (NY)",-6.44612,-1,-4.87388888888889,22,8
"Alcorn",-13.73772,-141,-12.5078888888889,13,15
"American",-17.57024,-174,-15.7748888888889,12,19
"Appalachian St.",-19.1162,-163,-16.364,9,22
"Arizona",-2.80876,111,2.72533333333333,25,9
"Arizona St.",-10.16384,9,-4.42044444444444,15,17
"Ark.-Pine Bluff",-21.5484,-234,-18.8397777777778,8,25
"Arkansas",-10.7178,-7,-5.50755555555556,16,16
"Arkansas St.",-17.58328,-180,-15.1421111111111,9,20
"Army West Point",-12.9806,-139,-11.5824444444444,17,14
"Auburn",-14.524,-46,-9.24533333333333,11,20
"Austin Peay",-15.18308,-106,-12.8782222222222,16,18
"BYU",-6.767,21,-2.62833333333333,25,11
"Ball St.",-12.5678,-71,-10.2932222222222,20,14
"Baylor",-2.73268,114,3.03166666666667,21,12
"Belmont",-9.60312,-28,-6.77655555555555,19,12
"Bethune-Cookman",-16.4338,-176,-14.96,12,18
"Binghamton",-19.14404,-182,-17.3807777777778,7,21
"Boise St.",-8.1552,-2,-4.66744444444444,18,12
"Boston College",-17.11048,-83,-11.9172222222222,6,25
"Boston U.",-13.58248,-129,-12.0905555555556,18,15
"Bowling Green",-16.34956,-99,-13.8215555555556,14,18
"Bradley",-22.614,-203,-18.786,4,27
"Brown",-16.47356,-149,-13.9794444444444,7,19
"Bryant",-20.72704,-254,-18.7653333333333,7,23
"Bucknell",-12.7364,-96,-11.0035555555556,16,14
"Buffalo",-11.26452,-7,-7.819,19,15
"Butler",-3.4544,102,1.79411111111111,22,11
"CSU Bakersfield",-7.08232,-9,-5.014,21,9
"CSUN",-17.86648,-147,-15.1773333333333,8,20
"Cal Poly",-16.8148,-107,-13.5475555555556,8,20
"Cal St. Fullerton",-17.8612,-165,-15.1133333333333,8,20
"California",-4.26964,126,1.37322222222222,23,11
"Campbell",-17.1992,-185,-15.9328888888889,9,18
"Canisius",-17.46656,-113,-15.1401111111111,14,19
"Central Ark.",-18.64064,-202,-16.709,7,21
"Central Conn. St.",-23.013,-327,-21.8895555555556,4,24
"Central Mich.",-14.1812,-85,-11.6972222222222,14,16
"Charleston So.",-18.7658,-156,-16.4607777777778,6,21
"Charlotte",-16.59668,-112,-13.9168888888889,14,19
"Chattanooga",-3.6042,42,-1.17977777777778,27,6
"Chicago St.",-25.60032,-262,-22.7584444444444,1,28
"Cincinnati",-5.28436,82,-0.250444444444444,22,11
"Clemson",-7.4958,52,-2.58044444444444,17,14
"Cleveland St.",-20.3644,-163,-17.2643333333333,7,23
"Coastal Caro.",-10.7358,-80,-8.856,18,12
"Col. of Charleston",-11.5406,-41,-8.615,16,14
"Colgate",-15.49728,-156,-13.7763333333333,12,17
"Colorado",-5.36496,82,0.193222222222222,21,12
"Colorado St.",-13.24676,-63,-9.75322222222222,16,16
"Columbia",-7.752,-2,-5.01811111111111,23,10
"Coppin St.",-19.24296,-193,-17.1145555555556,7,22
"Cornell",-15.31208,-120,-12.5842222222222,9,18
"Creighton",-7.65668,30,-2.67244444444444,20,15
"Dartmouth",-15.93544,-125,-13.6004444444444,8,18
"Davidson",-8.171,33,-3.85422222222222,19,13
"Dayton",-3.7584,102,0.635333333333334,25,8
"DePaul",-15.22736,-50,-9.84611111111111,9,22
"Delaware",-19.98136,-117,-16.7306666666667,7,23
"Delaware St.",-23.02132,-259,-20.9447777777778,5,25
"Denver",-13.81516,-99,-11.9151111111111,16,15
"Detroit Mercy",-12.39928,-67,-9.64933333333333,14,15
"Drake",-21.05632,-181,-17.9702222222222,6,24
"Drexel",-21.31488,-116,-17.8492222222222,6,24
"Duke",-1.74916,155,4.94733333333333,25,11
"Duquesne",-13.46164,-37,-9.65555555555556,16,17
"ETSU",-9.44884,-21,-6.85233333333333,22,12
"East Carolina",-15.25996,-82,-10.9553333333333,12,20
"Eastern Ill.",-15.28848,-138,-13.4734444444444,11,17
"Eastern Ky.",-13.6144,-97,-11.6602222222222,14,16
"Eastern Mich.",-11.96108,-57,-9.19944444444444,14,15
"Eastern Wash.",-14.5042,-129,-12.6412222222222,16,16
"Elon",-12.88716,-39,-9.68777777777778,14,16
"Evansville",-6.01056,33,-2.76077777777778,24,9
"FGCU",-11.71372,-101,-9.96422222222222,17,14
"FIU",-17.87752,-186,-16.1221111111111,11,19
"Fairfield",-11.64496,-69,-9.30444444444444,19,14
"Fairleigh Dickinson",-13.32936,-159,-11.9651111111111,17,15
"Fla. Atlantic",-21.59304,-201,-19.0231111111111,7,24
"Florida",-6.52768,66,-0.192666666666667,21,15
"Florida A&M",-20.31624,-276,-19.3518888888889,6,21
"Florida St.",-6.1796,84,-0.316111111111111,20,14
"Fordham",-11.39104,-43,-8.40588888888889,15,14
"Fort Wayne",-7.2052,-14,-4.55822222222222,22,10
"Fresno St.",-6.30816,9,-2.70055555555556,23,10
"Furman",-14.24748,-73,-12.0658888888889,17,16
"Ga. Southern",-14.9158,-124,-12.6245555555556,12,17
"Gardner-Webb",-13.61824,-109,-11.3246666666667,14,16
"George Mason",-17.30524,-85,-13.276,11,21
"George Washington",-5.389,121,-0.291777777777778,28,10
"Georgetown",-9.9018,18,-4.53077777777778,15,18
