"team","sor","qual_bonus","wab","wins","losses"
"A&M-Corpus Chris",-8.8206,-72,-6.62355555555555,17,11
"Abilene Christian",-14.5666,-162,-12.7963333333333,9,16
"Air Force",-17.52656,-146,-13.8225555555556,10,21
"Akron",-5.08532,-15,-2.23777777777778,25,8
"Alabama",-7.2338,36,-1.55888888888889,19,14
"Alabama A&M",-25.36836,-338,-23.4025555555556,2,27
"Alabama St.",-21.13316,-234,-19.2562222222222,7,23
"Albany (NY)",-9.7274,-50,-6.83533333333333,20,13
"Alcorn",-12.6346,-71,-10.9348888888889,15,14
"American",-19.36712,-208,-17.4124444444444,8,22
"Appalachian St.",-17.48216,-147,-14.7837777777778,7,21
"Arizona",1.87836,156,7.06744444444444,30,4
"Arizona St.",-12.45756,-23,-7.32422222222222,15,18
"Ark.-Pine Bluff",-22.38948,-237,-20.4546666666667,6,24
"Arkansas",-2.16648,82,3.67866666666667,25,9
"Arkansas St.",-9.4096,-38,-6.49544444444444,19,12
"Army West Point",-17.11608,-148,-14.8883333333333,12,19
"Auburn",-6.9252,-7,-1.03944444444444,18,14
"Austin Peay",-16.46504,-165,-13.6341111111111,9,19
"BYU",-7.3706,15,-4.10422222222222,22,11
"Ball St.",-10.04024,-61,-7.50177777777778,20,12
"Baylor",1.05832,174,6.66155555555556,24,7
"Belmont",-3.82408,2,-1.368,21,6
"Bethune-Cookman",-20.83964,-258,-19.5308888888889,8,22
"Binghamton",-18.14636,-168,-15.7695555555556,9,20
"Boise St.",-7.67608,12,-3.846,18,11
"Boston College",-15.99424,-54,-10.8763333333333,9,23
"Boston U.",-11.89532,-78,-9.56288888888889,17,14
"Bowling Green",-16.20684,-124,-13.3415555555556,12,19
"Bradley",-15.58616,-118,-11.4347777777778,12,20
"Brown",-14.58672,-134,-12.4272222222222,11,17
"Bryant",-17.41392,-192,-15.1515555555556,11,20
"Bucknell",-6.1256,16,-3.98177777777778,26,8
"Buffalo",-12.05936,-63,-9.18011111111111,15,15
"Butler",0.0628,169,6.01366666666667,23,8
"CSU Bakersfield",-5.75916,-4,-2.31633333333333,19,9
"CSUN",-15.2458,-168,-12.1892222222222,10,18
"Cal Poly",-17.59292,-196,-14.7026666666667,9,20
"Cal St. Fullerton",-12.40128,-124,-10.1833333333333,15,14
"California",-6.5736,44,-1.40311111111111,21,12
"Campbell",-15.6644,-130,-13.9022222222222,14,17
"Canisius",-12.60824,-104,-9.936,18,15
"Central Ark.",-20.95724,-219,-18.3058888888889,8,24
"Central Conn. St.",-21.54736,-292,-19.7767777777778,6,23
"Central Mich.",-14.06616,-120,-11.5162222222222,14,16
"Charleston So.",-16.6482,-123,-14.2947777777778,9,19
"Charlotte",-13.63908,-114,-10.0991111111111,12,17
"Chattanooga",-8.6666,-50,-5.688,17,12
"Chicago St.",-22.3502,-204,-18.4527777777778,3,26
"Cincinnati",-0.74396,110,3.29477777777778,29,5
"Clemson",-6.7116,72,-0.862,17,15
"Cleveland St.",-19.09444,-158,-16.4898888888889,8,22
"Coastal Caro.",-14.16092,-69,-11.1771111111111,14,17
"Col. of Charleston",-6.19832,36,-3.52488888888889,24,9
"Colgate",-19.54568,-209,-17.2476666666667,9,22
"Colorado",-9.34304,13,-4.66688888888889,18,14
"Colorado St.",-6.4254,4,-1.64611111111111,21,11
"Columbia",-13.97264,-117,-11.7227777777778,10,16
"Coppin St.",-20.68084,-219,-18.3578888888889,7,23
"Cornell",-18.31728,-144,-15.4995555555556,7,21
"Creighton",-0.45176,135,5.25533333333333,24,9
"Dartmouth",-17.62032,-177,-15.147,7,20
"Davidson",-10.29404,-1,-6.18566666666667,17,15
"Dayton",-3.09376,84,0.960222222222222,23,7
"DePaul",-15.47564,-83,-10.2497777777778,9,23
"Delaware",-17.56124,-105,-14.589,11,20
"Delaware St.",-20.17852,-253,-18.1522222222222,8,22
"Denver",-11.28456,-90,-8.18544444444444,16,14
"Detroit Mercy",-20.39024,-182,-17.3246666666667,7,23
