"team","rpi"
"A&M-Corpus Chris",0.5228
"Abilene Christian",0.4468
"Air Force",0.4398
"Akron",0.5658
"Alabama",0.5254
"Alabama A&M",0.3234
"Alabama St.",0.3865
"Albany (NY)",0.5196
"Alcorn",0.4737
"American",0.432
"Appalachian St.",0.439
"Arizona",0.634
"Arizona St.",0.5053
"Ark.-Pine Bluff",0.3802
"Arkansas",0.5889
"Arkansas St.",0.5419
"Army West Point",0.4517
"Auburn",0.5225
"Austin Peay",0.4541
"BYU",0.5522
"Ball St.",0.4976
"Baylor",0.6365
"Belmont",0.5764
"Bethune-Cookman",0.3695
"Binghamton",0.4326
"Boise St.",0.5512
"Boston College",0.4718
"Boston U.",0.508
"Bowling Green",0.4708
"Bradley",0.4655
"Brown",0.442
"Bryant",0.4419
"Bucknell",0.5668
"Buffalo",0.5166
"Butler",0.6242
"CSU Bakersfield",0.5574
"CSUN",0.4252
"Cal Poly",0.4292
"Cal St. Fullerton",0.4386
"California",0.566
"Campbell",0.4596
"Canisius",0.5116
"Central Ark.",0.438
"Central Conn. St.",0.3709
"Central Mich.",0.4764
"Charleston So.",0.4345
"Charlotte",0.455
"Chattanooga",0.5243
"Chicago St.",0.411
"Cincinnati",0.6234
"Clemson",0.5507
"Cleveland St.",0.4497
"Coastal Caro.",0.5055
"Col. of Charleston",0.5677
"Colgate",0.4363
"Colorado",0.5194
"Colorado St.",0.5519
"Columbia",0.4538
"Coppin St.",0.4054
"Cornell",0.447
"Creighton",0.585
"Dartmouth",0.4337
"Davidson",0.521
"Dayton",0.5965
"DePaul",0.4505
"Delaware",0.468
"Delaware St.",0.4097
"Denver",0.495
"Detroit Mercy",0.4351
"Drake",0.4136
"Drexel",0.4324
"Duke",0.6241
"Duquesne",0.4427
"ETSU",0.5672
"East Carolina",0.4626
"Eastern Ill.",0.4471
"Eastern Ky.",0.4641
"Eastern Mich.",0.5006
"Eastern Wash.",0.5181
"Elon",0.513
"Evansville",0.4913
"FGCU",0.5603
"FIU",0.388
"Fairfield",0.5035
"Fairleigh Dickinson",0.4425
"Fla. Atlantic",0.4278
"Florida",0.6371
"Florida A&M",0.3494
"Florida St.",0.6265
"Fordham",0.4709
"Fort Wayne",0.5121
"Fresno St.",0.5434
"Furman",0.5424
"Ga. Southern",0.5355
"Gardner-Webb",0.4974
"George Mason",0.5216
"George Washington",0.5249
"Georgetown",0.5288
"Georgia",0.5639
"Georgia St.",0.5346
"Georgia Tech",0.5307
"Gonzaga",0.6269
"Grambling",0.4202
"Grand Canyon",0.5286
"Green Bay",0.5136
"Hampton",0.4519
"Hartford",0.4121
"Harvard",0.5246
"Hawaii",0.4398
"High Point",0.4652
"Hofstra",0.4975
"Holy Cross",0.4887
"Houston",0.5728
"Houston Baptist",0.5205
"Howard",0.3882
"IUPUI",0.484
"Idaho",0.4828
"Idaho St.",0.3915
"Ill.-Chicago",0.4538
"Illinois",0.554
"Illinois St.",0.5907
"Incarnate Word",0.4396
"Indiana",0.5431
"Indiana St.",0.4519
"Iona",0.5405
"Iowa",0.5445
"Iowa St.",0.5856
"Jackson St.",0.4288
"Jacksonville",0.4388
"Jacksonville St.",0.5169
"James Madison",0.4581
"Kansas",0.6483
"Kansas St.",0.5528
"Kennesaw St.",0.4541
"Kent St.",0.4949
"Kentucky",0.6355
"LIU Brooklyn",0.4768
"LSU",0.4862
"La Salle",0.5149
"La.-Monroe",0.4342
