"team","conf","yusag_coeff","rpi","sor","wab","qual_bonus","yusag_rank","rpi_rank","sor_rank","resume_rank","wab_rank","blend","autobid","atlarge","pred_seed","seed_overall","seed_line","first4"
"TCU","Big 12",13.55,0.5943,-3.34668,2.46033333333333,104,20,25,39,25,24,25.8,FALSE,TRUE,6.196,23,6,FALSE
"Texas A&M","SEC",11.45,0.5882,-3.90468,2.16911111111111,122,35,30,43,18,27,26.1,FALSE,TRUE,6.782,24,6,FALSE
"Miami (FL)","ACC",9.91,0.5894,-1.87356,3.16722222222222,97,46,29,21,30,21,29.55,FALSE,TRUE,6.864,25,7,FALSE
"Seton Hall","Big East",12.29,0.5826,-3.1494,2.38911111111111,89,28,35,34,36,25,33.65,FALSE,TRUE,8.00171428571429,26,7,FALSE
"Florida","SEC",11.65,0.5722,-4.08204,1.85966666666667,136,32,46,47,13,33,28.55,FALSE,TRUE,8.032,27,7,FALSE
"Nevada","MWC",9.71,0.6117,-2.396,2.29533333333333,89,48,13,27,37,26,32,FALSE,TRUE,8.10533333333333,28,7,FALSE
"Providence","Big East",8.07,0.5837,-3.96932,1.95455555555556,84.785,71,34,45,39,32,40.85,FALSE,TRUE,8.24533333333333,29,8,FALSE
"Kansas St.","Big 12",11.09,0.5635,-2.89968,2.83122222222222,98,37,55,31,29,23,35.9,FALSE,TRUE,8.334,30,8,FALSE
"Texas","Big 12",9.22,0.5647,-4.44688,1.65722222222222,106,53,54,50,24,36,38.2,FALSE,TRUE,8.514,31,8,FALSE
"Oklahoma","Big 12",10.39,0.5627,-4.4734,1.38477777777778,109,42,59,51,23,39,38.3,FALSE,TRUE,8.548,32,8,FALSE
"Southern California","Pac 12",10.28,0.584,-5.59964,-0.51088888888889,98.724,43,33,70,28,59,38.05,FALSE,TRUE,8.726,33,9,FALSE
"Missouri","SEC",9.57,0.5697,-5.54556,0.177888888888888,93,51,48,69,32,51,43.5,FALSE,TRUE,8.77733333333333,34,9,FALSE
