"year","month","day","team","opponent","location","teamscore","oppscore","OT","D1"
2016,11,16,"A&M-Corpus Chris","UTRGV","V",94,72,NA,2
2016,11,21,"A&M-Corpus Chris","Texas St.","V",73,69,NA,2
2016,11,29,"A&M-Corpus Chris","UTRGV","H",84,68,NA,2
2016,12,3,"A&M-Corpus Chris","Cal Poly","V",70,82,NA,2
2016,12,5,"A&M-Corpus Chris","Texas A&M","V",69,86,NA,2
2016,12,18,"A&M-Corpus Chris","UTSA","H",73,69,NA,2
2016,12,20,"A&M-Corpus Chris","St. Mary's (CA)","V",46,67,NA,2
2016,12,22,"A&M-Corpus Chris","Oklahoma St.","V",70,92,NA,2
2016,12,31,"A&M-Corpus Chris","New Orleans","V",72,73,1,2
2017,1,2,"A&M-Corpus Chris","Nicholls St.","V",64,68,NA,2
2017,1,7,"A&M-Corpus Chris","Northwestern St.","H",99,82,NA,2
2017,1,11,"A&M-Corpus Chris","SFA","V",46,79,NA,2
2017,1,14,"A&M-Corpus Chris","Central Ark.","H",88,81,NA,2
2017,1,19,"A&M-Corpus Chris","SFA","H",NA,NA,NA,2
2017,1,21,"A&M-Corpus Chris","Sam Houston St.","V",NA,NA,NA,2
2017,1,25,"A&M-Corpus Chris","Lamar University","V",NA,NA,NA,2
2017,1,28,"A&M-Corpus Chris","Abilene Christian","H",NA,NA,NA,2
2017,2,1,"A&M-Corpus Chris","Houston Baptist","H",NA,NA,NA,2
2017,2,8,"A&M-Corpus Chris","Southeastern La.","H",NA,NA,NA,2
2017,2,11,"A&M-Corpus Chris","McNeese","V",NA,NA,NA,2
2017,2,15,"A&M-Corpus Chris","Incarnate Word","V",NA,NA,NA,2
2017,2,18,"A&M-Corpus Chris","Lamar University","H",NA,NA,NA,2
2017,2,22,"A&M-Corpus Chris","Abilene Christian","V",NA,NA,NA,2
2017,2,25,"A&M-Corpus Chris","McNeese","H",NA,NA,NA,2
2017,3,1,"A&M-Corpus Chris","Houston Baptist","V",NA,NA,NA,2
2017,3,4,"A&M-Corpus Chris","Incarnate Word","H",NA,NA,NA,2
2016,11,17,"Abilene Christian","New Hampshire","V",65,57,NA,2
2016,11,22,"Abilene Christian","Charleston So.","H",65,66,NA,2
2016,11,25,"Abilene Christian","Oklahoma","V",64,72,NA,2
2016,11,30,"Abilene Christian","New Mexico","V",55,64,NA,2
2016,12,3,"Abilene Christian","Charleston So.","V",85,82,1,2
2016,12,17,"Abilene Christian","Sacramento St.","V",86,88,2,2
2016,12,19,"Abilene Christian","San Francisco","V",51,86,NA,2
2016,12,29,"Abilene Christian","New Orleans","V",66,75,NA,2
2016,12,31,"Abilene Christian","Southeastern La.","V",53,75,NA,2
2017,1,5,"Abilene Christian","Central Ark.","H",76,81,NA,2
2017,1,7,"Abilene Christian","SFA","H",69,60,NA,2
2017,1,12,"Abilene Christian","Southeastern La.","H",50,56,NA,2
2017,1,14,"Abilene Christian","Lamar University","H",67,64,NA,2
2017,1,19,"Abilene Christian","Nicholls St.","V",NA,NA,NA,2
2017,1,26,"Abilene Christian","Incarnate Word","V",NA,NA,NA,2
2017,1,28,"Abilene Christian","A&M-Corpus Chris","V",NA,NA,NA,2
2017,2,1,"Abilene Christian","New Orleans","H",NA,NA,NA,2
2017,2,4,"Abilene Christian","Sam Houston St.","H",NA,NA,NA,2
2017,2,9,"Abilene Christian","Central Ark.","V",NA,NA,NA,2
2017,2,11,"Abilene Christian","Northwestern St.","H",NA,NA,NA,2
2017,2,16,"Abilene Christian","McNeese","V",NA,NA,NA,2
2017,2,22,"Abilene Christian","A&M-Corpus Chris","H",NA,NA,NA,2
2017,2,25,"Abilene Christian","Sam Houston St.","V",NA,NA,NA,2
2017,3,1,"Abilene Christian","Incarnate Word","H",NA,NA,NA,2
2017,3,4,"Abilene Christian","Houston Baptist","V",NA,NA,NA,2
2016,11,14,"Air Force","Jacksonville","H",86,68,NA,2
2016,11,20,"Air Force","Florida A&M","H",87,62,NA,2
2016,11,22,"Air Force","Stetson","H",85,72,NA,2
2016,11,25,"Air Force","Akron","N",75,84,NA,2
2016,11,26,"Air Force","East Carolina","N",63,70,NA,2
2016,11,30,"Air Force","New Mexico St.","V",70,78,NA,2
2016,12,3,"Air Force","Missouri St.","H",83,70,NA,2
2016,12,7,"Air Force","Army West Point","V",71,79,NA,2
2016,12,10,"Air Force","Denver","H",65,77,NA,2
2016,12,19,"Air Force","Colorado","H",68,75,NA,2
