"year","month","day","team","opponent","location","teamscore","oppscore","OT","D1","scorediff","predscorediff","wins"
2016,11,16,"A&M-Corpus Chris","UTRGV","V",94,72,0,2,22,5.7,1
2016,11,21,"A&M-Corpus Chris","Texas St.","V",73,69,0,2,4,-3.2,1
2016,11,29,"A&M-Corpus Chris","UTRGV","H",84,68,0,2,16,11.4,1
2016,12,3,"A&M-Corpus Chris","Cal Poly","V",70,82,0,2,-12,5.2,0
2016,12,5,"A&M-Corpus Chris","Texas A&M","V",69,86,0,2,-17,-13.8,0
2016,12,18,"A&M-Corpus Chris","UTSA","H",73,69,0,2,4,7.7,1
2016,12,20,"A&M-Corpus Chris","Saint Mary's (CA)","V",46,67,0,2,-21,-20.6,0
2016,12,22,"A&M-Corpus Chris","Oklahoma St.","V",70,92,0,2,-22,-22.8,0
2016,12,31,"A&M-Corpus Chris","New Orleans","V",72,73,1,2,-1,-1.8,0
2017,1,2,"A&M-Corpus Chris","Nicholls St.","V",64,68,0,2,-4,8.1,0
2017,1,7,"A&M-Corpus Chris","Northwestern St.","H",99,82,0,2,17,11.5,1
2017,1,11,"A&M-Corpus Chris","SFA","V",46,79,0,2,-33,1.1,0
2017,1,14,"A&M-Corpus Chris","Central Ark.","H",88,81,0,2,7,12.5,1
2017,1,19,"A&M-Corpus Chris","SFA","H",58,61,0,2,-3,6.8,0
2017,1,21,"A&M-Corpus Chris","Sam Houston St.","V",62,76,0,2,-14,1.6,0
2017,1,25,"A&M-Corpus Chris","Lamar University","V",69,66,1,2,3,1,1
2017,1,28,"A&M-Corpus Chris","Abilene Christian","H",72,60,0,2,12,11.2,1
2017,2,1,"A&M-Corpus Chris","Houston Baptist","H",90,79,0,2,11,6.8,1
2017,2,8,"A&M-Corpus Chris","Southeastern La.","H",80,75,0,2,5,6.8,1
2017,2,11,"A&M-Corpus Chris","McNeese","V",73,66,0,2,7,8.2,1
2017,2,15,"A&M-Corpus Chris","Incarnate Word","V",97,81,0,2,16,6.2,1
2017,2,18,"A&M-Corpus Chris","Lamar University","H",70,63,0,2,7,6.7,1
2017,2,22,"A&M-Corpus Chris","Abilene Christian","V",56,44,0,2,12,5.5,1
2017,2,25,"A&M-Corpus Chris","McNeese","H",81,70,0,2,11,14,1
2017,3,1,"A&M-Corpus Chris","Houston Baptist","V",80,94,0,2,-14,1.1,0
2017,3,4,"A&M-Corpus Chris","Incarnate Word","H",81,64,0,2,17,12,1
2017,3,10,"A&M-Corpus Chris","SFA","N",77,69,0,2,8,4,1
2017,3,11,"A&M-Corpus Chris","New Orleans","N",65,68,1,2,-3,1.1,0
2017,3,15,"A&M-Corpus Chris","Georgia St.","H",80,64,0,2,16,0.5,1
2017,3,20,"A&M-Corpus Chris","Weber St.","H",82,73,0,2,9,2.2,1
2017,3,26,"A&M-Corpus Chris","Fort Wayne","H",78,62,0,2,16,-0.2,1
2017,3,29,"A&M-Corpus Chris","UMBC","V",79,61,0,2,18,-1.8,1
2017,3,31,"A&M-Corpus Chris","Saint Peter's","H",61,62,0,2,-1,-1.9,0
