"team","conference","eligible","eliminated","mid_major","ncaa_id","conf_seed"
"Marshall","C-USA",TRUE,FALSE,TRUE,527634,NA
"Maryland","Big 10",TRUE,FALSE,FALSE,527636,NA
"Massachusetts","A-10",TRUE,FALSE,TRUE,527638,NA
"McNeese","Southland",TRUE,FALSE,TRUE,527639,NA
"Memphis","AAC",TRUE,FALSE,FALSE,527640,NA
"Mercer","Southern",TRUE,FALSE,TRUE,527641,NA
"Merrimack","NEC",FALSE,TRUE,TRUE,527737,NA
"Miami (FL)","ACC",TRUE,FALSE,FALSE,527643,NA
"Miami (OH)","MAC",TRUE,FALSE,TRUE,527642,NA
"Michigan","Big 10",TRUE,FALSE,FALSE,527645,NA
"Michigan St.","Big 10",TRUE,FALSE,FALSE,527644,NA
"Middle Tenn.","C-USA",TRUE,FALSE,TRUE,527646,NA
"Milwaukee","Horizon",TRUE,FALSE,TRUE,527458,NA
"Minnesota","Big 10",TRUE,FALSE,FALSE,527647,NA
"Mississippi St.","SEC",TRUE,FALSE,FALSE,527648,NA
"Mississippi Val.","SWAC",TRUE,FALSE,TRUE,527649,NA
"Missouri","SEC",TRUE,FALSE,FALSE,527651,NA
"Missouri St.","MVC",TRUE,FALSE,TRUE,527403,NA
"Monmouth","MAAC",TRUE,FALSE,TRUE,527652,NA
"Montana","Big Sky",TRUE,FALSE,TRUE,527654,NA
"Montana St.","Big Sky",TRUE,FALSE,TRUE,527653,NA
"Morehead St.","OVC",TRUE,FALSE,TRUE,527655,NA
"Morgan St.","MEAC",TRUE,FALSE,TRUE,527656,NA
"Mount St. Mary's","NEC",TRUE,FALSE,TRUE,527657,NA
"Murray St.","OVC",TRUE,FALSE,TRUE,527658,NA
"N.C. A&T","Big South",TRUE,FALSE,TRUE,527676,NA
"N.C. Central","MEAC",TRUE,FALSE,TRUE,527677,NA
"Navy","Patriot",TRUE,FALSE,TRUE,527432,NA
"NC State","ACC",TRUE,FALSE,FALSE,527678,NA
"Nebraska","Big 10",TRUE,FALSE,FALSE,527664,NA
"Nevada","MWC",TRUE,FALSE,TRUE,527667,NA
"New Hampshire","Am. East",TRUE,FALSE,TRUE,527668,NA
"New Mexico","MWC",TRUE,FALSE,TRUE,527671,NA
"New Mexico St.","WAC",TRUE,FALSE,TRUE,527670,NA
"New Orleans","Southland",TRUE,FALSE,TRUE,527672,NA
"Niagara","MAAC",TRUE,FALSE,TRUE,527673,NA
"Nicholls St.","Southland",TRUE,FALSE,TRUE,527674,NA
"NJIT","Am. East",TRUE,FALSE,TRUE,527669,NA
"Norfolk St.","MEAC",TRUE,FALSE,TRUE,527675,NA
"North Ala.","A-Sun",FALSE,TRUE,TRUE,527485,NA
"North Carolina","ACC",TRUE,FALSE,FALSE,527660,NA
"North Dakota","Summit",TRUE,FALSE,TRUE,527680,NA
"North Dakota St.","Summit",TRUE,FALSE,TRUE,527679,NA
"North Florida","A-Sun",TRUE,FALSE,TRUE,527475,NA
"North Texas","C-USA",TRUE,FALSE,TRUE,527681,NA
"Northeastern","CAA",TRUE,FALSE,TRUE,527683,NA
"Northern Ariz.","Big Sky",TRUE,FALSE,TRUE,527684,NA
"Northern Colo.","Big Sky",TRUE,FALSE,TRUE,527685,NA
"Northern Ill.","MAC",TRUE,FALSE,TRUE,527686,NA
"Northern Ky.","Horizon",TRUE,FALSE,TRUE,527688,NA
"Northwestern","Big 10",TRUE,FALSE,FALSE,527690,NA
"Northwestern St.","Southland",TRUE,FALSE,TRUE,527689,NA
"Notre Dame","ACC",TRUE,FALSE,FALSE,527691,NA
"Oakland","Horizon",TRUE,FALSE,TRUE,527692,NA
"Ohio","MAC",TRUE,FALSE,TRUE,527694,NA
"Ohio St.","Big 10",TRUE,FALSE,FALSE,527693,NA
"Oklahoma","Big 12",TRUE,FALSE,FALSE,527696,NA
"Oklahoma St.","Big 12",FALSE,TRUE,FALSE,527695,NA
"Old Dominion","C-USA",TRUE,FALSE,TRUE,527697,NA
"Ole Miss","SEC",TRUE,FALSE,FALSE,527650,NA
