"date","team","opponent","location","team_score","opp_score","score_diff","game_id","opp_game_id","team_conf","opp_conf","year","month","day","season_id","D1","OT","weights","pred_score_diff","wins"
2017-11-13,"A&M-Corpus Chris","Baylor","V",46,70,-24,1,2,NA,NA,2017,11,13,"2018-19",2,NA,1,-26.7,0
2017-11-15,"A&M-Corpus Chris","UTRGV","H",75,82,-7,2,3,NA,NA,2017,11,15,"2018-19",2,1,1,-0.1,0
2017-11-19,"A&M-Corpus Chris","Georgia","V",65,68,-3,3,3,NA,NA,2017,11,19,"2018-19",2,NA,1,-22.7,0
2017-11-24,"A&M-Corpus Chris","UTSA","V",58,72,-14,4,5,NA,NA,2017,11,24,"2018-19",2,NA,1,-12.7,0
2017-11-29,"A&M-Corpus Chris","Texas St.","V",53,66,-13,5,7,NA,NA,2017,11,29,"2018-19",2,NA,1,-9.2,0
2017-12-06,"A&M-Corpus Chris","UTRGV","V",78,82,-4,6,11,NA,NA,2017,12,6,"2018-19",2,NA,1,-6.8,0
2017-12-19,"A&M-Corpus Chris","Ole Miss","V",63,85,-22,7,11,NA,NA,2017,12,19,"2018-19",2,NA,1,-19.1,0
2017-12-28,"A&M-Corpus Chris","Central Ark.","V",69,81,-12,8,13,NA,NA,2017,12,28,"2018-19",2,NA,1,-9.6,0
2017-12-30,"A&M-Corpus Chris","Lamar University","H",72,77,-5,9,11,NA,NA,2017,12,30,"2018-19",2,NA,1,-3.6,0
2018-01-03,"A&M-Corpus Chris","Northwestern St.","H",67,65,2,10,10,NA,NA,2018,1,3,"2018-19",2,NA,1,12.2,1
2018-01-10,"A&M-Corpus Chris","Sam Houston St.","H",50,82,-32,11,13,NA,NA,2018,1,10,"2018-19",2,NA,1,-3.6,0
2018-01-13,"A&M-Corpus Chris","New Orleans","V",55,61,-6,12,14,NA,NA,2018,1,13,"2018-19",2,NA,1,-6.8,0
2018-01-16,"A&M-Corpus Chris","Nicholls St.","V",61,91,-30,13,16,NA,NA,2018,1,16,"2018-19",2,NA,1,-12,0
2018-01-24,"A&M-Corpus Chris","Abilene Christian","H",80,66,14,14,18,NA,NA,2018,1,24,"2018-19",2,NA,1,0.2,1
2018-01-27,"A&M-Corpus Chris","Houston Baptist","H",79,69,10,15,19,NA,NA,2018,1,27,"2018-19",2,1,1,7.3,1
2018-01-31,"A&M-Corpus Chris","Southeastern La.","V",67,54,13,16,20,NA,NA,2018,1,31,"2018-19",2,NA,1,-9.5,1
2018-02-03,"A&M-Corpus Chris","Incarnate Word","V",56,51,5,17,16,NA,NA,2018,2,3,"2018-19",2,NA,1,2.5,1
2018-02-07,"A&M-Corpus Chris","Sam Houston St.","V",64,66,-2,18,21,NA,NA,2018,2,7,"2018-19",2,NA,1,-10.3,0
2018-02-10,"A&M-Corpus Chris","New Orleans","H",53,62,-9,19,21,NA,NA,2018,2,10,"2018-19",2,NA,1,-0.1,0
2018-02-14,"A&M-Corpus Chris","SFA","H",68,87,-19,20,22,NA,NA,2018,2,14,"2018-19",2,NA,1,-11,0
2018-02-17,"A&M-Corpus Chris","Lamar University","V",76,79,-3,21,24,NA,NA,2018,2,17,"2018-19",2,NA,1,-10.3,0
2018-02-22,"A&M-Corpus Chris","Abilene Christian","V",76,67,9,22,24,NA,NA,2018,2,22,"2018-19",2,NA,1,-6.5,1
2018-02-24,"A&M-Corpus Chris","Incarnate Word","H",62,69,-7,23,22,NA,NA,2018,2,24,"2018-19",2,NA,1,9.2,0
2018-02-28,"A&M-Corpus Chris","McNeese","H",82,70,12,24,24,NA,NA,2018,2,28,"2018-19",2,NA,1,2.8,1
2018-03-03,"A&M-Corpus Chris","Houston Baptist","V",92,87,5,25,28,NA,NA,2018,3,3,"2018-19",2,NA,1,0.6,1
2018-03-07,"A&M-Corpus Chris","New Orleans","N",76,83,-7,26,27,NA,NA,2018,3,7,"2018-19",2,NA,1,-3.4,0
2017-11-13,"Abilene Christian","Arkansas St.","V",69,83,-14,1,2,NA,NA,2017,11,13,"2018-19",2,NA,1,-2.3,0
2017-11-20,"Abilene Christian","Lipscomb","H",67,75,-8,2,4,NA,NA,2017,11,20,"2018-19",2,NA,1,-3.1,0
2017-11-24,"Abilene Christian","Campbell","V",85,80,5,3,3,NA,NA,2017,11,24,"2018-19",2,1,1,-5.9,1
2017-11-25,"Abilene Christian","USC Upstate","N",78,88,-10,4,5,NA,NA,2017,11,25,"2018-19",2,NA,1,8.5,0
2017-11-26,"Abilene Christian","Bowling Green","N",88,83,5,5,6,NA,NA,2017,11,26,"2018-19",2,NA,1,-1.7,1
2017-12-06,"Abilene Christian","Air Force","V",62,58,4,6,8,NA,NA,2017,12,6,"2018-19",2,NA,1,-6.2,1
2017-12-09,"Abilene Christian","Texas St.","H",72,68,4,7,9,NA,NA,2017,12,9,"2018-19",2,NA,1,0.6,1
2017-12-17,"Abilene Christian","Lipscomb","V",65,67,-2,8,10,NA,NA,2017,12,17,"2018-19",2,NA,1,-9.8,0
2017-12-22,"Abilene Christian","Texas Tech","V",47,74,-27,9,12,NA,NA,2017,12,22,"2018-19",2,NA,1,-28.4,0
2017-12-28,"Abilene Christian","New Orleans","V",74,77,-3,10,9,NA,NA,2017,12,28,"2018-19",2,NA,1,-3.7,0
2017-12-30,"Abilene Christian","Sam Houston St.","H",75,72,3,11,10,NA,NA,2017,12,30,"2018-19",2,NA,1,-0.5,1
2018-01-03,"Abilene Christian","McNeese","H",79,74,5,12,10,NA,NA,2018,1,3,"2018-19",2,NA,1,5.9,1
2018-01-06,"Abilene Christian","Southeastern La.","H",70,72,-2,13,13,NA,NA,2018,1,6,"2018-19",2,NA,1,0.3,0
2018-01-10,"Abilene Christian","Houston Baptist","V",82,74,8,14,14,NA,NA,2018,1,10,"2018-19",2,NA,1,3.7,1
2018-01-13,"Abilene Christian","Northwestern St.","V",69,58,11,15,12,NA,NA,2018,1,13,"2018-19",2,NA,1,8.6,1
2018-01-17,"Abilene Christian","SFA","H",66,76,-10,16,15,NA,NA,2018,1,17,"2018-19",2,NA,1,-7.9,0
2018-01-20,"Abilene Christian","Central Ark.","V",80,63,17,17,20,NA,NA,2018,1,20,"2018-19",2,NA,1,-6.5,1
2018-01-24,"Abilene Christian","A&M-Corpus Chris","V",66,80,-14,18,14,NA,NA,2018,1,24,"2018-19",2,NA,1,-0.2,0
2018-01-31,"Abilene Christian","Lamar University","H",74,69,5,19,19,NA,NA,2018,1,31,"2018-19",2,NA,1,-0.5,1
2018-02-03,"Abilene Christian","Sam Houston St.","V",77,84,-7,20,20,NA,NA,2018,2,3,"2018-19",2,NA,1,-7.2,0
2018-02-07,"Abilene Christian","Nicholls St.","H",65,69,-4,21,20,NA,NA,2018,2,7,"2018-19",2,NA,1,-2.2,0
2018-02-10,"Abilene Christian","Incarnate Word","H",80,69,11,22,18,NA,NA,2018,2,10,"2018-19",2,NA,1,12.3,1
2018-02-17,"Abilene Christian","Southeastern La.","V",54,68,-14,23,25,NA,NA,2018,2,17,"2018-19",2,NA,1,-6.4,0
2018-02-22,"Abilene Christian","A&M-Corpus Chris","H",67,76,-9,24,22,NA,NA,2018,2,22,"2018-19",2,NA,1,6.5,0
2018-02-24,"Abilene Christian","Central Ark.","H",72,74,-2,25,28,NA,NA,2018,2,24,"2018-19",2,NA,1,0.2,0
2018-02-28,"Abilene Christian","SFA","V",56,76,-20,26,26,NA,NA,2018,2,28,"2018-19",2,NA,1,-14.6,0
2018-03-03,"Abilene Christian","Incarnate Word","V",69,59,10,27,24,NA,NA,2018,3,3,"2018-19",2,NA,1,5.6,1
2018-03-12,"Abilene Christian","Drake","V",73,80,-7,28,32,NA,NA,2018,3,12,"2018-19",2,1,1,-10.4,0
2017-11-12,"Air Force","Texas St.","H",65,57,8,1,1,NA,NA,2017,11,12,"2018-19",2,NA,1,3.5,1
2017-11-14,"Air Force","Canisius","H",93,79,14,2,2,NA,NA,2017,11,14,"2018-19",2,NA,1,-2.7,1
2017-11-20,"Air Force","Ark.-Pine Bluff","H",57,47,10,3,5,NA,NA,2017,11,20,"2018-19",2,NA,1,11.5,1
2017-11-21,"Air Force","Pacific","H",71,83,-12,4,4,NA,NA,2017,11,21,"2018-19",2,NA,1,-0.2,0
2017-11-26,"Air Force","Colorado","V",69,81,-12,5,6,NA,NA,2017,11,26,"2018-19",2,NA,1,-12.4,0
2017-11-29,"Air Force","Indiana St.","V",64,74,-10,6,6,NA,NA,2017,11,29,"2018-19",2,NA,1,-9.1,0
2017-12-02,"Air Force","Denver","V",61,59,2,7,7,NA,NA,2017,12,2,"2018-19",2,NA,1,-3.2,1
2017-12-06,"Air Force","Abilene Christian","H",58,62,-4,8,6,NA,NA,2017,12,6,"2018-19",2,NA,1,6.2,0
2017-12-08,"Air Force","UC Riverside","V",48,67,-19,9,8,NA,NA,2017,12,8,"2018-19",2,NA,1,-0.1,0
2017-12-17,"Air Force","Army West Point","N",54,79,-25,10,10,NA,NA,2017,12,17,"2018-19",2,NA,1,2.3,0
2017-12-27,"Air Force","New Mexico","V",58,87,-29,11,13,NA,NA,2017,12,27,"2018-19",2,NA,1,-12.8,0
2017-12-30,"Air Force","Fresno St.","V",59,71,-12,12,13,NA,NA,2017,12,30,"2018-19",2,NA,1,-15.3,0
2018-01-06,"Air Force","Nevada","H",75,86,-11,13,18,NA,NA,2018,1,6,"2018-19",2,NA,1,-14.9,0
2018-01-10,"Air Force","UNLV","H",76,81,-5,14,17,NA,NA,2018,1,10,"2018-19",2,NA,1,-7.6,0
2018-01-13,"Air Force","San Jose St.","V",78,71,7,15,16,NA,NA,2018,1,13,"2018-19",2,NA,1,1.1,1
2018-01-17,"Air Force","Colorado St.","V",76,71,5,16,19,NA,NA,2018,1,17,"2018-19",2,NA,1,-3.3,1
2018-01-24,"Air Force","Utah St.","V",49,71,-22,17,21,NA,NA,2018,1,24,"2018-19",2,NA,1,-9.8,0
2018-01-27,"Air Force","Boise St.","H",64,70,-6,18,21,NA,NA,2018,1,27,"2018-19",2,NA,1,-11.4,0
2018-02-03,"Air Force","San Diego St.","V",50,81,-31,19,20,NA,NA,2018,2,3,"2018-19",2,NA,1,-19.2,0
2018-02-06,"Air Force","Colorado St.","H",78,73,5,20,25,NA,NA,2018,2,6,"2018-19",2,NA,1,3.4,1
2018-02-10,"Air Force","New Mexico","H",100,92,8,21,25,NA,NA,2018,2,10,"2018-19",2,NA,1,-6.1,1
2018-02-14,"Air Force","UNLV","V",73,81,-8,22,26,NA,NA,2018,2,14,"2018-19",2,NA,1,-14.3,0
2018-02-17,"Air Force","Boise St.","V",52,76,-24,23,26,NA,NA,2018,2,17,"2018-19",2,NA,1,-18.1,0
2018-02-21,"Air Force","San Diego St.","H",56,67,-11,24,25,NA,NA,2018,2,21,"2018-19",2,NA,1,-12.5,0
2018-02-24,"Air Force","Utah St.","H",75,65,10,25,28,NA,NA,2018,2,24,"2018-19",2,NA,1,-3.1,1
2018-02-26,"Air Force","Fresno St.","H",48,54,-6,26,28,NA,NA,2018,2,26,"2018-19",2,NA,1,-8.7,0
2018-02-28,"Air Force","Wyoming","V",54,66,-12,27,29,NA,NA,2018,2,28,"2018-19",2,NA,1,-11.5,0
2018-03-03,"Air Force","San Jose St.","H",83,61,22,28,28,NA,NA,2018,3,3,"2018-19",2,NA,1,7.8,1
2018-03-07,"Air Force","UNLV","V",90,97,-7,29,32,NA,NA,2018,3,7,"2018-19",2,1,1,-14.3,0
2017-11-11,"Akron","Cleveland St.","H",67,57,10,1,1,NA,NA,2017,11,11,"2018-19",2,NA,1,6.6,1
