"team","conference","yusag_coeff","off_coeff","def_coeff","rank","off_rank","def_rank"
"Fla. Atlantic","C-USA",-1.28828799615201,-0.610873416963743,-0.677414579177779,171,174,191
"UTEP","C-USA",-1.32142497002023,-1.6513541632226,0.329929193712854,172,212,161
"South Dakota","Summit",-1.36316815690354,0.317558649830223,-1.68072680622328,173,154,222
"Radford","Big South",-1.72445040540443,-3.18585947713406,1.46140907187347,174,243,135
"Coastal Carolina","Sunbelt",-1.83255025526237,1.98571211720321,-3.81826237258843,175,124,271
"Princeton","Ivy",-1.8548025202793,-1.46731854196294,-0.387483978805856,176,202,178
"Western Caro.","Southern",-1.87714097286103,4.73838196463499,-6.61552293741888,177,77,318
"Eastern Ky.","OVC",-2.00751637158788,3.9855196572058,-5.99303602934983,178,87,311
"UMBC","Am. East",-2.02025815654543,-3.63971565657073,1.61945750003578,179,260,133
"Army West Point","Patriot",-2.03820086708617,-1.39761036019628,-0.640590507512738,180,196,189
"Towson","CAA",-2.07802818251846,-1.44302348877912,-0.635004693362212,181,199,188
"Northern Colo.","Big Sky",-2.09799853218601,-2.57070084541243,0.472702313170239,182,231,157
"Harvard","Ivy",-2.1142568872793,-1.44176248896294,-0.672494398805856,183,198,190
"Rice","C-USA",-2.18972073156284,1.31319604511993,-3.50291677663895,184,131,268
"UT Arlington","Sunbelt",-2.23369072184258,-1.22005033519359,-1.01364038667185,185,191,200
"Weber St.","Big Sky",-2.25422088594818,-0.250242852100223,-2.00397803440413,186,164,230
"Bellarmine","A-Sun",-2.40744189901878,-1.79296265953466,-0.614479239473636,187,215,186
"Fresno St.","MWC",-2.40963347692849,-4.65715977894084,2.24752630198951,188,285,119
"Southern Utah","Big Sky",-2.4266816412996,1.06327526075035,-3.48995690210612,189,135,267
"VMI","Southern",-2.51497985992628,2.63226742745339,-5.14724728733585,190,114,300
"Detroit Mercy","Horizon",-2.60777152152109,0.704002322845426,-3.31177384458937,191,149,261
"Wyoming","MWC",-2.62201548274982,1.28522904351239,-3.90724452618507,192,132,273
"Saint Peter's","MAAC",-2.70641369842345,-6.05923931196124,3.35282561348161,193,320,106
"Cleveland St.","Horizon",-2.81468328297875,-4.89908473288351,2.08440145041524,194,294,121
"Austin Peay","OVC",-2.8208867942538,0.00665225160507354,-2.82753904584838,195,160,253
"Montana","Big Sky",-3.17702373861452,-5.09430725742587,1.91728351872185,196,300,123
"UTSA","C-USA",-3.24063812963733,3.97787988963143,-7.21851801935827,197,88,326
"Boston U.","Patriot",-3.29009710155043,-3.66840200332795,0.378304901554697,198,261,160
"Valparaiso","MVC",-3.30617361094148,-3.62195746795017,0.315783857019171,199,259,162
"Saint Joseph's","A-10",-3.30650719004698,3.89274277638106,-7.19924996678425,200,90,325
"Hartford","Am. East",-3.36443526683197,-4.48998798751586,1.12555272039441,201,281,140
"Louisiana","Sunbelt",-3.4154057606708,0.0366332833429333,-3.45203904403657,202,159,265
"UNC Asheville","Big South",-3.41811329701196,1.85423725958888,-5.27235055649037,203,126,302
"New Mexico St.","WAC",-3.42120918222621,-7.1630977797236,3.74188859627455,204,330,95
"Southern Miss.","C-USA",-3.4436106929537,-4.78680235383591,1.34319166095937,205,289,137
"Nicholls St.","Southland",-3.49855179644915,-1.41974796450811,-2.07880383193056,206,197,232
"South Alabama","Sunbelt",-3.5070064435554,-2.41225214303023,-1.09475430064802,207,228,203
"George Washington","A-10",-3.53963734323266,0.709447517234707,-4.24908486089021,208,148,282
"Delaware","CAA",-3.55078046991794,-4.07870609496779,0.527925625060308,209,269,154
"Iona","MAAC",-3.55204152418924,-2.59138140484547,-0.960660119433284,210,232,197
"Morehead St.","OVC",-3.60025037590059,-7.08462310020334,3.48437272437993,211,329,99
"Northern Ky.","Horizon",-3.74495134425749,-4.24232084219275,0.497369498445743,212,275,156
"Lipscomb","A-Sun",-3.83716218729484,-1.56029384364087,-2.27686834314348,213,207,239
"Col. of Charleston","CAA",-3.88005171231937,-3.68267597138287,-0.197375740992678,214,262,171
"Mount St. Mary's","NEC",-3.93875817976284,-8.09344801557231,4.15468983578661,215,339,87
"Kansas City","WAC",-4.15914604603495,-7.56773359166599,3.40858754614153,216,334,101
"Utah Valley","WAC",-4.2790460596853,-0.20199161734501,-4.0770544418298,217,162,277
"Montana St.","Big Sky",-4.28302976919097,-4.85697287340234,0.573943104121863,218,292,152
"Saint Francis (PA)","NEC",-4.28692775922222,-0.564912393291278,-3.72201536592048,219,172,269
"Hawaii","Big West",-4.32360800060451,-1.89486861342343,-2.4287393866706,220,218,242
