"team","conference","yusag_coeff","off_coeff","def_coeff","rank","off_rank","def_rank"
"N.C. Central","MEAC",-8.1576177614543,-5.6094657151762,-2.5481520465676,291,312,245
"Portland","WCC",-8.38293089254793,-1.35620923781212,-7.02672165462535,292,194,323
"Middle Tenn.","C-USA",-8.41127357300618,-6.84853101203494,-1.56274256096078,293,325,219
"Northern Ill.","MAC",-8.50680464620253,-9.21317955927726,0.706374913018571,294,344,147
"Coppin St.","MEAC",-8.55780519192625,-1.47918181202237,-7.07862337966007,295,203,324
"Tennessee St.","OVC",-8.63377554931184,-7.03258262046463,-1.60119292883671,296,327,221
"Merrimack","NEC",-8.76448141667539,-8.55639288519333,-0.208088531638224,297,341,172
"Brown","Ivy",-8.8163277252793,-6.92130019196294,-1.89502753380586,298,326,226
"Tarleton St.","WAC",-8.83291083378331,-4.82257156145082,-4.01033927245535,299,291,275
"ULM","Sunbelt",-8.88640671076023,-7.38441935237972,-1.50198735837001,300,333,215
"Samford","Southern",-8.89926837379369,-0.236144976790795,-8.66312339969241,301,163,344
"Eastern Mich.","MAC",-8.95034927532346,-6.32221360186099,-2.62813567345199,302,322,248
"Jackson St.","SWAC",-9.01633427613238,-7.05045174105961,-1.96588253506228,303,328,229
"Manhattan","MAAC",-9.20832563855521,-9.11098470961335,-0.0973409290980318,304,343,167
"St. Francis Brooklyn","NEC",-9.2347110650277,-3.10192078305953,-6.1327902821577,305,241,314
"Lehigh","Patriot",-9.24838177286302,-4.87283749989527,-4.37554427312391,306,293,285
"Florida A&M","MEAC",-9.2973223832803,-5.04688446245723,-4.25043792091258,307,298,283
"Jacksonville","A-Sun",-9.42190958867063,-6.49052275661815,-2.93138683207532,308,323,256
"USC Upstate","Big South",-9.63876113121073,-4.20461430028721,-5.43414683091304,309,273,304
"SIUE","OVC",-9.72067845648981,-3.38339013263259,-6.3372883238134,310,246,317
"New Orleans","Southland",-9.7595743937609,-2.2223829142819,-7.53719148083521,311,226,331
"Columbia","Ivy",-9.8925088552793,-4.90669205996294,-4.98581679580586,312,295,296
"High Point","Big South",-9.92283590528871,-5.76724861918814,-4.15558728602341,313,316,278
"IUPUI","Horizon",-9.97542321239282,-1.99207913891787,-7.98334407343113,314,222,336
"Long Beach St.","Big West",-10.0063790128048,2.66760078960293,-12.6739798023639,315,113,353
"Hampton","Big South",-10.0396731994338,-2.63313228514754,-7.40654091610915,316,234,328
"Southeast Mo. St.","OVC",-10.1167016078078,-4.23059697075668,-5.88610463534063,317,274,309
"The Citadel","Southern",-10.2171353949984,2.39818063841401,-12.6153160349019,318,117,352
"Fairfield","MAAC",-10.2336960432262,-9.87027153776879,-0.363424505380242,319,347,177
"Lamar University","Southland",-10.2519402205451,-5.5582766627943,-4.69366355777365,320,309,290
"UMass Lowell","Am. East",-10.2621107462793,-1.93110602496294,-8.33100472180586,321,220,341
"Wagner","NEC",-10.2670223115798,-5.27184473895607,-4.99517757284661,322,305,297
"Tennessee Tech","OVC",-10.501726850337,-5.58616449865662,-4.91556235116993,323,310,295
"Dartmouth","Ivy",-10.5581172532793,-9.69537744896294,-0.862739804805856,324,346,195
"Western Ill.","Summit",-10.5627797406958,-3.16505789697593,-7.3977218432094,325,242,327
"Grambling","SWAC",-10.5939177463327,-7.95140095918116,-2.64251678717435,326,337,249
"N.C. A&T","MEAC",-10.8574855023654,-2.59541854537171,-8.26206695701656,327,233,340
"Maine","Am. East",-11.0346631694356,-12.0893447750681,1.05468160614298,328,354,141
"San Jose St.","MWC",-11.4559117971596,-0.476575299641635,-10.9793364975074,329,170,349
"UIW","Southland",-11.6124149800796,-7.16816217452803,-4.44425280290775,330,331,286
"Cal Poly","Big West",-11.7623815823735,-8.38300433078159,-3.3793772515481,331,340,264
"Presbyterian","Big South",-12.0519141618716,-9.87856036631392,-2.17335379418053,332,348,235
"Charleston So.","Big South",-12.0861426680991,-7.78637700483375,-4.29976566318816,333,335,284
"Central Conn. St.","NEC",-12.0878293470689,-5.20200713528744,-6.885822209771,334,302,320
"Southeastern La.","Southland",-12.1216132202467,-4.50785695553986,-7.613756264663,335,282,333
"A&M-Corpus Christi","Southland",-12.2170344572793,-9.30214331996294,-2.91489113680586,336,345,255
"Binghamton","Am. East",-12.2324088852623,-5.30068238251534,-6.93172650440317,337,306,322
"Alabama A&M","SWAC",-12.2341625328949,-6.02453903288049,-6.20962350283732,338,319,315
"Bethune-Cookman","MEAC",-12.5976469522793,-5.04023709396294,-7.55740985880586,339,297,332
"McNeese","Southland",-12.7558142901187,-3.44061279953422,-9.31520149074067,340,249,345
"Holy Cross","Patriot",-12.8210747812109,-4.59878154933601,-8.22229323283104,341,283,339
"Denver","Summit",-13.0885896088287,-4.98755335789198,-8.10103625095959,342,296,337
"Kennesaw St.","A-Sun",-13.2641454677957,-10.5041133686927,-2.76003210199253,343,349,252
"Alcorn","SWAC",-13.331314118897,-3.69700065314963,-9.63431346457023,344,263,346
"Houston Baptist","Southland",-13.6009172456643,0.909505576068497,-14.5104228248223,345,139,355
"Howard","MEAC",-13.6076269342352,-2.10250381925646,-11.5051231152349,346,225,351
"Idaho","Big Sky",-13.9454850999846,-8.06867928931323,-5.87680581266092,347,338,308
"Dixie St.","WAC",-15.1650721167579,-6.76085816422374,-8.40421395202366,348,324,342
"UT Martin","OVC",-15.9190316027606,-4.43038228437384,-11.4886493163762,349,280,350
"Alabama St.","SWAC",-16.9432898281518,-12.3484017912575,-4.59488803408379,350,355,288
"Delaware St.","MEAC",-17.2400782118472,-2.34445327817764,-14.8956249314591,351,227,356
"UC San Diego","Big West",-17.76211860505,-11.5477579877569,-6.21436061478261,352,353,316
"South Carolina St.","MEAC",-18.7491030637182,-9.10391186262385,-9.64519120058386,353,342,347
"Ark.-Pine Bluff","SWAC",-19.3099178839982,-10.8565281720314,-8.45338971098973,354,351,343
"UMES","MEAC",-20.7539307632793,-13.8494376569629,-6.90449310080586,355,357,321
"Chicago St.","WAC",-23.9303577557505,-11.147255541107,-12.7831022160329,356,352,354
"Mississippi Val.","SWAC",-29.4575144307728,-10.7835808780039,-18.6739335527251,357,350,357
