"team","conference","yusag_coeff","off_coeff","def_coeff","rank","off_rank","def_rank","info","conference_rank","record","conf_record"
"Holy Cross","Patriot",-12.8222585604247,-6.8968776092867,-5.92538095113795,351,338,328,"(Conference Rank:  28)",10,"7 - 23","5 - 13"
"Alabama","SEC",17.742761865787,15.2064059313019,2.53635593448516,6,1,106,"(Conference Rank:  3)",1,"22 - 9","14 - 4"
"Tennessee","SEC",15.641072929301,5.68244624180916,9.95862668749191,12,45,5,"(Conference Rank:  3)",2,"23 - 8","13 - 5"
"Auburn","SEC",14.2844678480202,8.52734921117682,5.75711863684342,17,23,41,"(Conference Rank:  3)",3,"23 - 8","12 - 6"
"Kentucky","SEC",14.244541748337,12.2000590245701,2.04448272376695,18,4,118,"(Conference Rank:  3)",4,"23 - 8","12 - 6"
"Texas A&M","SEC",13.1656063042842,6.89755487871363,6.26805142557055,24,35,31,"(Conference Rank:  3)",5,"21 - 10","12 - 6"
"Florida","SEC",12.5003121141533,11.692430489284,0.807881624869266,29,5,149,"(Conference Rank:  3)",6,"21 - 10","11 - 7"
"Mississippi St.","SEC",11.4065141714319,2.502536681528,8.90397748990388,35,98,6,"(Conference Rank:  3)",7,"21 - 10","10 - 8"
"Arkansas","SEC",8.21491331559091,5.35823423349784,2.85667908209305,64,49,100,"(Conference Rank:  3)",8,"17 - 14","8 - 10"
"Ole Miss","SEC",6.99227795680123,1.6095407684433,5.38273718835791,78,118,46,"(Conference Rank:  3)",9,"20 - 11","7 - 11"
"South Carolina","SEC",6.18205634471971,0.709593311947322,5.47246303277239,84,148,44,"(Conference Rank:  3)",10,"19 - 12","7 - 11"
"Missouri","SEC",6.03772205107286,4.3163818223277,1.72134022874518,85,69,129,"(Conference Rank:  3)",11,"15 - 16","7 - 11"
"Georgia","SEC",5.53357710619061,2.17169032709536,3.36188677909524,92,107,88,"(Conference Rank:  3)",12,"16 - 15","6 - 12"
"LSU","SEC",4.01570850854461,2.09777373367924,1.91793477486537,108,108,123,"(Conference Rank:  3)",13,"14 - 17","6 - 12"
"Vanderbilt","SEC",-0.675831427838632,-1.50828042771475,0.832448999876114,167,221,148,"(Conference Rank:  3)",14,"7 - 24","3 - 15"
"Samford","Southern",4.64895469012985,7.94478317019303,-3.29582848006315,96,26,275,"(Conference Rank:  21)",1,"23 - 6","14 - 4"
"UNC Greensboro","Southern",1.59564555350246,0.0597485955099275,1.53589695799254,131,173,137,"(Conference Rank:  21)",2,"19 - 10","12 - 6"
"Furman","Southern",1.24118802278462,5.17773309764179,-3.93654507485719,138,52,295,"(Conference Rank:  21)",3,"16 - 12","12 - 6"
"Western Caro.","Southern",-1.28848563917006,-0.336627749656091,-0.951857889513967,185,183,207,"(Conference Rank:  21)",4,"18 - 10","10 - 8"
"Wofford","Southern",-2.88297237720288,2.84281281402525,-5.72578519122812,222,91,325,"(Conference Rank:  21)",5,"13 - 15","9 - 9"
"Chattanooga","Southern",-3.05624384410086,-0.657254952596991,-2.39898889150387,230,194,249,"(Conference Rank:  21)",6,"15 - 14","9 - 9"
"The Citadel","Southern",-3.65741318795359,-4.11812866134168,0.460715473388093,237,291,158,"(Conference Rank:  21)",7,"13 - 15","8 - 10"
"ETSU","Southern",-3.78648724513558,-4.10870052788482,0.322213282749227,243,290,166,"(Conference Rank:  21)",8,"13 - 16","8 - 10"
"Mercer","Southern",-5.04991480219415,-4.93798457930434,-0.11193022288982,262,307,177,"(Conference Rank:  21)",9,"12 - 16","7 - 11"
"VMI","Southern",-13.5516292373334,-7.85933385447281,-5.69229538286059,355,350,322,"(Conference Rank:  21)",10,"2 - 26","2 - 16"
"McNeese","Southland",-0.39718099321265,-0.745160347906568,0.347979354693909,160,196,164,"(Conference Rank:  30)",1,"20 - 7","14 - 4"
"Nicholls","Southland",-4.02952652001536,-1.08715324654404,-2.94237327347132,248,206,265,"(Conference Rank:  30)",2,"14 - 14","12 - 6"
"Tex. A&M-Commerce","Southland",-6.34936598626389,-4.07235445110486,-2.27701153515902,284,289,247,"(Conference Rank:  30)",3,"13 - 15","10 - 8"
"A&M-Corpus Christi","Southland",-6.70528979596227,-4.05152438724183,-2.65376540872043,287,288,258,"(Conference Rank:  30)",4,"13 - 14","10 - 8"
"Lamar University","Southland",-7.65494128939139,0.746734405534072,-8.40167569492546,299,144,351,"(Conference Rank:  30)",5,"13 - 16","9 - 9"
"New Orleans","Southland",-7.69845373743623,-1.55572547052209,-6.14272826691413,302,225,334,"(Conference Rank:  30)",6,"10 - 17","9 - 9"
"Southeastern La.","Southland",-8.14023199026118,-6.07522245061367,-2.06500953964752,310,329,241,"(Conference Rank:  30)",7,"11 - 17","9 - 9"
"UIW","Southland",-8.66308361244553,-1.69623257098682,-6.96685104145869,322,232,340,"(Conference Rank:  30)",8,"12 - 17","8 - 10"
"Houston Christian","Southland",-13.3787259712703,-5.70505013847818,-7.67367583279201,354,324,349,"(Conference Rank:  30)",9,"5 - 22","5 - 13"
"Northwestern St.","Southland",-15.1836603145647,-7.85273662038483,-7.33092369417982,358,349,345,"(Conference Rank:  30)",10,"4 - 25","4 - 14"
"Oral Roberts","Summit",-0.74322867235199,0.994340709279681,-1.73756938163168,171,137,231,"(Conference Rank:  20)",1,"13 - 13","10 - 6"
"South Dakota St.","Summit",-1.20837329706493,-1.00687986700142,-0.201493430063506,183,203,180,"(Conference Rank:  20)",2,"14 - 14","10 - 6"
"St. Thomas (MN)","Summit",-1.58730892945265,-3.0953991785008,1.50809024904815,196,264,138,"(Conference Rank:  20)",3,"16 - 12","10 - 6"
"Denver","Summit",-2.33387573890556,2.95405193333956,-5.2879276722451,213,89,316,"(Conference Rank:  20)",4,"15 - 12","9 - 7"
"North Dakota St.","Summit",-2.86559096253554,-1.15750686448823,-1.7080840980473,221,210,228,"(Conference Rank:  20)",5,"14 - 14","9 - 7"
"North Dakota","Summit",-5.87108095665065,-2.28782189315224,-3.5832590634984,274,241,283,"(Conference Rank:  20)",6,"13 - 15","7 - 9"
"Kansas City","Summit",-6.5252048539142,-3.9055778888227,-2.61962696509148,285,284,256,"(Conference Rank:  20)",7,"9 - 19","6 - 10"
"Omaha","Summit",-7.4225723151797,-3.68557754897107,-3.73699476620864,293,278,289,"(Conference Rank:  20)",8,"9 - 18","6 - 10"
"South Dakota","Summit",-9.56194206373154,-0.830335245487513,-8.73160681824401,331,199,355,"(Conference Rank:  20)",9,"9 - 19","4 - 12"
"James Madison","Sunbelt",7.71030217845998,8.89512771435857,-1.18482553589854,70,20,216,"(Conference Rank:  17)",1,"26 - 3","16 - 3"
"App State","Sunbelt",4.02567874377272,0.600340229035475,3.42533851473726,107,150,84,"(Conference Rank:  17)",2,"20 - 8","13 - 5"
"Louisiana","Sunbelt",1.7326840447557,1.07848033269993,0.654203712055764,127,135,154,"(Conference Rank:  17)",3,"17 - 11","12 - 6"
"Marshall","Sunbelt",-1.16237258932973,0.824021110720992,-1.98639370005074,182,141,236,"(Conference Rank:  17)",4,"14 - 16","10 - 8"
"Arkansas St.","Sunbelt",-1.50282280033347,-1.58329692212964,0.0804741217961698,192,227,173,"(Conference Rank:  17)",5,"13 - 17","9 - 9"
"South Alabama","Sunbelt",-1.76903351957697,-1.10069706419879,-0.668336455378187,202,207,196,"(Conference Rank:  17)",6,"14 - 13","9 - 9"
"Texas St.","Sunbelt",-1.94340100026138,-5.21799041533942,3.27458941507805,207,314,90,"(Conference Rank:  17)",7,"13 - 15","9 - 9"
"Southern Miss.","Sunbelt",-2.30725724300865,-1.05824671723405,-1.2490105257746,212,205,218,"(Conference Rank:  17)",8,"13 - 15","9 - 9"
"Old Dominion","Sunbelt",-2.68366216254477,-1.56032660805913,-1.12333555448563,218,226,213,"(Conference Rank:  17)",9,"11 - 18","8 - 11"
"Troy","Sunbelt",-2.70906192642884,-0.6413255491876,-2.06773637724122,219,192,242,"(Conference Rank:  17)",10,"12 - 15","9 - 9"
"Georgia St.","Sunbelt",-2.97360952794712,-2.35082415378427,-0.622785374162846,225,243,195,"(Conference Rank:  17)",11,"11 - 16","8 - 10"
"ULM","Sunbelt",-7.70336621909397,-5.68387398698528,-2.01949223210869,303,323,238,"(Conference Rank:  17)",12,"7 - 19","5 - 13"
"Ga. Southern","Sunbelt",-8.29189505982333,-4.93282672805833,-3.35906833176499,312,306,277,"(Conference Rank:  17)",13,"5 - 25","5 - 13"
"Coastal Carolina","Sunbelt",-8.33651357670616,-2.30083759761537,-6.03567597909075,314,242,330,"(Conference Rank:  17)",14,"6 - 21","5 - 13"
"Jackson St.","SWAC",-4.59020876895052,-0.901520627782891,-3.68868814116759,252,201,286,"(Conference Rank:  31)",1,"17 - 14","13 - 5"
"Texas Southern","SWAC",-5.63038131729546,-4.55266813451909,-1.07771318277637,272,299,210,"(Conference Rank:  31)",2,"13 - 15","12 - 6"
"Southern U.","SWAC",-6.26365036145554,-3.38109643186624,-2.8825539295893,283,271,264,"(Conference Rank:  31)",3,"14 - 14","11 - 7"
"Grambling","SWAC",-7.86071058151192,-8.01197888955524,0.151268308043329,305,352,171,"(Conference Rank:  31)",4,"10 - 19","10 - 9"
"Alabama St.","SWAC",-7.87026069421738,-4.87421180574167,-2.99604888847574,306,304,269,"(Conference Rank:  31)",5,"13 - 16","11 - 8"
"Prairie View","SWAC",-8.34032675830959,-6.00758786144605,-2.33273889686354,315,328,248,"(Conference Rank:  31)",6,"13 - 16","10 - 8"
"Florida A&M","SWAC",-9.31430201316221,-7.21061597298876,-2.10368604017344,327,342,243,"(Conference Rank:  31)",7,"10 - 17","9 - 9"
"Bethune-Cookman","SWAC",-9.78919455609138,-5.42305391226157,-4.36614064382981,332,319,305,"(Conference Rank:  31)",8,"12 - 17","8 - 10"
"Alcorn","SWAC",-9.86146841713946,-1.02268059121277,-8.83878782592679,333,204,356,"(Conference Rank:  31)",9,"9 - 21","9 - 9"
"Ark.-Pine Bluff","SWAC",-12.2139455331035,1.23499014045863,-13.4489356735622,345,128,362,"(Conference Rank:  31)",10,"8 - 19","7 - 11"
"Alabama A&M","SWAC",-12.8797764574768,-3.72185916856017,-9.1579172889166,352,279,357,"(Conference Rank:  31)",11,"8 - 23","7 - 11"
"Mississippi Val.","SWAC",-19.32534414178,-13.4707360159091,-5.85460812587101,362,361,327,"(Conference Rank:  31)",12,"3 - 28","3 - 15"
"Grand Canyon","WAC",7.83543113452089,4.91164072320913,2.92379041131175,68,57,98,"(Conference Rank:  14)",1,"25 - 5","16 - 4"
"Seattle U","WAC",4.35910755403618,1.83167483120211,2.52743272283408,100,111,107,"(Conference Rank:  14)",2,"19 - 11","14 - 6"
"SFA","WAC",1.19900994748941,0.591753461128307,0.607256486361103,139,151,155,"(Conference Rank:  14)",3,"16 - 13","11 - 9"
"California Baptist","WAC",-0.670007821966482,-2.89095873420787,2.22095091224137,166,258,114,"(Conference Rank:  14)",4,"15 - 14","10 - 10"
"Utah Valley","WAC",-0.892454514687905,-4.26340012817863,3.37094561349074,174,293,87,"(Conference Rank:  14)",5,"13 - 16","10 - 10"
"UT Arlington","WAC",-1.10807792792546,0.0590267842093972,-1.16710471213484,178,174,214,"(Conference Rank:  14)",6,"13 - 16","10 - 10"
"Tarleton St.","WAC",-1.80714550708933,-3.76276950301979,1.95562399593045,204,280,122,"(Conference Rank:  14)",7,"13 - 15","10 - 10"
"Abilene Christian","WAC",-2.36105754914938,0.212505322201022,-2.57356287135042,214,168,254,"(Conference Rank:  14)",8,"12 - 18","8 - 12"
"Southern Utah","WAC",-2.94331301819155,2.58338535327884,-5.52669837147039,223,96,320,"(Conference Rank:  14)",9,"11 - 18","8 - 12"
"Utah Tech","WAC",-4.34875834471463,-2.37422842631343,-1.9745299184012,251,244,235,"(Conference Rank:  14)",10,"11 - 19","9 - 11"
"UTRGV","WAC",-8.62168959425451,-2.86153528230372,-5.76015431195075,321,257,326,"(Conference Rank:  14)",11,"6 - 23","4 - 16"
"Gonzaga","WCC",12.5131562582047,7.19840033276082,5.31475592544385,28,32,47,"(Conference Rank:  10)",1,"22 - 7","13 - 3"
"Saint Mary's (CA)","WCC",11.1998128517475,0.725329514933464,10.474483336814,37,145,3,"(Conference Rank:  10)",2,"21 - 9","13 - 3"
"San Francisco","WCC",8.73569290054222,0.565786610122115,8.1699062904201,58,153,12,"(Conference Rank:  10)",3,"22 - 8","12 - 4"
"Santa Clara","WCC",3.50519277222885,4.25592860181335,-0.750735829584504,113,70,200,"(Conference Rank:  10)",4,"17 - 13","9 - 7"
"LMU (CA)","WCC",2.06953367396217,0.305863773877245,1.76366990008492,123,164,127,"(Conference Rank:  10)",5,"15 - 14","8 - 8"
"San Diego","WCC",-1.93521752526183,0.123554143310355,-2.05877166857219,206,171,239,"(Conference Rank:  10)",6,"14 - 15","6 - 10"
"Pepperdine","WCC",-2.03477866236422,-1.36351500590817,-0.671263656456058,209,219,197,"(Conference Rank:  10)",7,"11 - 19","6 - 11"
"Portland","WCC",-4.0708137060526,-0.0229987319692446,-4.04781497408338,249,176,299,"(Conference Rank:  10)",8,"9 - 21","5 - 12"
"Pacific","WCC",-12.6536633683432,-6.94964894422988,-5.70401442411333,350,339,323,"(Conference Rank:  10)",9,"5 - 24","1 - 15"
