team,conference,off_coeff,def_coeff,yusag_coeff
Gonzaga,WCC,17.8229964599341,9.4671924208782,27.2901888808122
Duke,ACC,16.1770978704045,8.64604760204687,24.8231454724515
Virginia,ACC,4.0175523267799,20.2467368089731,24.264289135753
Michigan St.,Big 10,11.7849540596117,11.6874638462837,23.4724179058953
North Carolina,ACC,19.0934785319333,3.65079868781542,22.7442772197487
Texas Tech,Big 12,5.34923513333177,16.8380181352625,22.1872532685942
Kentucky,SEC,7.59132789807566,13.5288649949205,21.1201928929963
Purdue,Big 10,11.8041188968608,8.65595665353711,20.4600755503979
Michigan,Big 10,3.88038482170641,16.4998936074755,20.380278429182
Tennessee,SEC,14.2958380059966,6.01787254014586,20.3137105461425
Auburn,SEC,12.5748921162399,7.10456217765185,19.6794542938917
Houston,AAC,6.78495902218972,11.8241398151759,18.6090988373655
Virginia Tech,ACC,5.92197054224632,11.9807190298115,17.9026895720578
Iowa St.,Big 12,10.3304048409059,6.83957515106668,17.1699799919726
Kansas,Big 12,9.96103700712438,7.00546265504861,16.966499662173
Florida St.,ACC,8.10449065484932,8.8083729105946,16.912863565444
Wisconsin,Big 10,1.97518369726279,14.5700747529922,16.545258450255
Buffalo,MAC,14.7588187534426,1.48738695470191,16.2462057081446
Louisville,ACC,7.41163082630704,8.48987969655079,15.9015105228578
LSU,SEC,13.5638792216926,2.20287668709223,15.7667559087848
Wofford,Southern,8.5215334600719,6.71616602832672,15.2376994883987
Kansas St.,Big 12,-1.45544309611388,16.5966149947971,15.1411718986833
Mississippi St.,SEC,9.96385891376629,5.14130307451169,15.105161988278
Maryland,Big 10,4.69296840523181,10.1266312643033,14.8195996695351
Texas,Big 12,4.1623389275319,10.6220574060859,14.7843963336178
Nevada,MWC,8.84497010364384,5.90359009110757,14.7485601947514
Florida,SEC,0.480573696338475,13.9458181539579,14.4263918502964
Oklahoma,Big 12,6.08552747916259,7.75421017302086,13.8397376521834
UCF,AAC,3.39354766428245,10.318973179661,13.7125208439434
Cincinnati,AAC,2.2478301425209,11.376552925711,13.6243830682318
Villanova,Big East,4.60580029232042,8.7963879649609,13.4021882572813
Oregon,Pac 12,0.0849692455623838,13.0162767767524,13.1012460223148
NC State,ACC,11.4026162436529,1.67543801465291,13.0780542583058
Baylor,Big 12,5.43749255260516,7.55771566644218,12.9952082190473
Clemson,ACC,0.983358846848528,11.7422061616484,12.7255650084969
Marquette,Big East,7.69897434565477,4.91473987897868,12.6137142246335
Iowa,Big 10,11.7764982828997,0.822709196692726,12.5992074795925
TCU,Big 12,7.18136330255443,5.21284809134152,12.394211393896
Syracuse,ACC,2.92434297380205,9.39713505024396,12.321478024046
Nebraska,Big 10,5.55960645895754,6.58925464152812,12.1488611004857
Saint Mary's (CA),WCC,1.41933463004529,10.4608585641848,11.8801931942301
Ohio St.,Big 10,1.80242609901458,9.9688306000907,11.7712566991053
