"team","conference","eligible","eliminated","mid_major","conf_seed","ncaa_id"
"Grambling","SWAC",TRUE,TRUE,TRUE,2,542115
"Grand Canyon","WAC",TRUE,TRUE,TRUE,5,541969
"Green Bay","Horizon",TRUE,TRUE,TRUE,10,542541
"Hampton","CAA",TRUE,TRUE,TRUE,12,542117
"Hartford","Independent",TRUE,FALSE,TRUE,NA,542119
"Harvard","Ivy",TRUE,TRUE,TRUE,NA,542121
"Hawaii","Big West",TRUE,TRUE,TRUE,5,542123
"High Point","Big South",TRUE,TRUE,TRUE,8,541981
"Hofstra","CAA",TRUE,TRUE,TRUE,1,542125
"Holy Cross","Patriot",TRUE,TRUE,TRUE,9,542127
"Houston","AAC",TRUE,TRUE,FALSE,1,542130
"Houston Christian","Southland",TRUE,TRUE,TRUE,6,542128
"Howard","MEAC",TRUE,TRUE,TRUE,1,542132
"Idaho","Big Sky",TRUE,TRUE,TRUE,10,542136
"Idaho St.","Big Sky",TRUE,TRUE,TRUE,5,542134
"Illinois","Big 10",TRUE,TRUE,FALSE,7,542138
"Illinois St.","MVC",TRUE,TRUE,TRUE,9,542137
"Indiana","Big 10",TRUE,TRUE,FALSE,3,542143
"Indiana St.","MVC",TRUE,TRUE,TRUE,5,542141
"Iona","MAAC",TRUE,TRUE,TRUE,1,542147
"Iowa","Big 10",TRUE,TRUE,FALSE,5,542152
"Iowa St.","Big 12",TRUE,TRUE,FALSE,5,542150
"IUPUI","Horizon",TRUE,TRUE,TRUE,11,541974
"Jackson St.","SWAC",TRUE,TRUE,TRUE,3,542154
"Jacksonville","A-Sun",TRUE,TRUE,TRUE,NA,542157
"Jacksonville St.","A-Sun",TRUE,TRUE,TRUE,NA,542155
"James Madison","Sunbelt",TRUE,TRUE,TRUE,4,542159
"Kansas","Big 12",TRUE,TRUE,FALSE,1,542162
"Kansas City","Summit",TRUE,TRUE,TRUE,7,541975
"Kansas St.","Big 12",TRUE,TRUE,FALSE,3,542161
"Kennesaw St.","A-Sun",TRUE,TRUE,TRUE,1,541970
"Kent St.","MAC",TRUE,TRUE,TRUE,2,542165
"Kentucky","SEC",TRUE,TRUE,FALSE,3,542167
"La Salle","A-10",TRUE,TRUE,TRUE,11,542170
"Lafayette","Patriot",TRUE,TRUE,TRUE,6,542171
"Lamar University","Southland",TRUE,TRUE,TRUE,NA,542173
"Lehigh","Patriot",TRUE,TRUE,TRUE,3,542175
"Liberty","A-Sun",TRUE,TRUE,TRUE,2,542177
"Lindenwood","OVC",FALSE,TRUE,TRUE,8,542986
"Lipscomb","A-Sun",TRUE,TRUE,TRUE,5,541983
"Little Rock","OVC",TRUE,TRUE,TRUE,NA,542001
"LIU","NEC",TRUE,TRUE,TRUE,8,542179
"LMU (CA)","WCC",TRUE,TRUE,TRUE,4,542192
"Long Beach St.","Big West",TRUE,TRUE,TRUE,7,542024
"Longwood","Big South",TRUE,TRUE,TRUE,2,542181
"Louisiana","Sunbelt",TRUE,TRUE,TRUE,2,542442
"Louisiana Tech","C-USA",TRUE,TRUE,TRUE,10,542185
"Louisville","ACC",TRUE,TRUE,FALSE,15,542187
"Loyola Chicago","A-10",TRUE,TRUE,TRUE,15,542193
"Loyola Maryland","Patriot",TRUE,TRUE,TRUE,8,542190
"LSU","SEC",TRUE,TRUE,FALSE,14,542183
"Maine","Am. East",TRUE,TRUE,TRUE,7,542195
"Manhattan","MAAC",TRUE,TRUE,TRUE,6,542196
"Marist","MAAC",TRUE,TRUE,TRUE,11,542198
"Marquette","Big East",TRUE,FALSE,FALSE,1,542200
"Marshall","Sunbelt",TRUE,TRUE,TRUE,3,542202
"Maryland","Big 10",TRUE,TRUE,FALSE,6,542205
"Massachusetts","A-10",TRUE,TRUE,TRUE,13,542209
"McNeese","Southland",TRUE,TRUE,TRUE,8,542210
"Memphis","AAC",TRUE,TRUE,FALSE,2,542211
"Mercer","Southern",TRUE,TRUE,TRUE,8,542213
"Merrimack","NEC",FALSE,FALSE,TRUE,1,542397
"Miami (FL)","ACC",TRUE,TRUE,FALSE,1,542216
"Miami (OH)","MAC",TRUE,TRUE,TRUE,8,542214
"Michigan","Big 10",TRUE,TRUE,FALSE,8,542222
"Michigan St.","Big 10",TRUE,TRUE,FALSE,4,542219
"Middle Tenn.","C-USA",TRUE,TRUE,TRUE,4,542223
"Milwaukee","Horizon",TRUE,TRUE,TRUE,2,542544
"Minnesota","Big 10",TRUE,TRUE,FALSE,14,542225
"Mississippi St.","SEC",TRUE,TRUE,FALSE,9,542227
"Mississippi Val.","SWAC",TRUE,TRUE,TRUE,NA,542230
"Missouri","SEC",TRUE,TRUE,FALSE,4,542234
"Missouri St.","MVC",TRUE,TRUE,TRUE,6,542438
"Monmouth","CAA",TRUE,TRUE,TRUE,13,542235
"Montana","Big Sky",TRUE,TRUE,TRUE,4,542239
"Montana St.","Big Sky",TRUE,TRUE,TRUE,2,542237
"Morehead St.","OVC",TRUE,TRUE,TRUE,1,542240
"Morgan St.","MEAC",TRUE,TRUE,TRUE,5,542242
"Mount St. Mary's","MAAC",TRUE,TRUE,TRUE,8,542244
"Murray St.","MVC",TRUE,TRUE,TRUE,7,542246
"N.C. A&T","CAA",TRUE,TRUE,TRUE,7,542278
"N.C. Central","MEAC",TRUE,TRUE,TRUE,2,542281
"Navy","Patriot",TRUE,TRUE,TRUE,2,542496
"NC State","ACC",TRUE,TRUE,FALSE,6,542283
"Nebraska","Big 10",TRUE,TRUE,FALSE,11,542257
"Nevada","MWC",TRUE,TRUE,TRUE,4,542262
"New Hampshire","Am. East",TRUE,TRUE,TRUE,3,542264
"New Mexico","MWC",TRUE,TRUE,TRUE,6,542269
"New Mexico St.","WAC",TRUE,TRUE,TRUE,NA,542268
"New Orleans","Southland",TRUE,TRUE,TRUE,7,542271
"Niagara","MAAC",TRUE,TRUE,TRUE,5,542273
"Nicholls","Southland",TRUE,TRUE,TRUE,4,542274
"NIU","MAC",TRUE,TRUE,TRUE,7,542298
"NJIT","Am. East",TRUE,TRUE,TRUE,8,542266
"Norfolk St.","MEAC",TRUE,TRUE,TRUE,3,542276
"North Ala.","A-Sun",TRUE,TRUE,TRUE,6,541986
"North Carolina","ACC",TRUE,TRUE,FALSE,7,542249
"North Dakota","Summit",TRUE,TRUE,TRUE,9,542287
"North Dakota St.","Summit",TRUE,TRUE,TRUE,3,542285
"North Florida","A-Sun",TRUE,TRUE,TRUE,7,541976
"North Texas","C-USA",TRUE,TRUE,TRUE,2,542289
"Northeastern","CAA",TRUE,TRUE,TRUE,11,542292
"Northern Ariz.","Big Sky",TRUE,TRUE,TRUE,9,542294
"Northern Colo.","Big Sky",TRUE,TRUE,TRUE,8,542296
"Northern Ky.","Horizon",TRUE,TRUE,TRUE,4,542301
"Northwestern","Big 10",TRUE,TRUE,FALSE,2,542307
"Northwestern St.","Southland",TRUE,TRUE,TRUE,2,542305
"Notre Dame","ACC",TRUE,TRUE,FALSE,14,542309
"Oakland","Horizon",TRUE,TRUE,TRUE,5,542311
"Ohio","MAC",TRUE,TRUE,TRUE,5,542316
"Ohio St.","Big 10",TRUE,TRUE,FALSE,13,542314
"Oklahoma","Big 12",TRUE,TRUE,FALSE,10,542319
"Oklahoma St.","Big 12",TRUE,TRUE,FALSE,7,542317
"Old Dominion","Sunbelt",TRUE,TRUE,TRUE,6,542321
"Ole Miss","SEC",TRUE,TRUE,FALSE,13,542232
"Omaha","Summit",TRUE,TRUE,TRUE,10,542259
"Oral Roberts","Summit",TRUE,TRUE,TRUE,1,542323
"Oregon","Pac 12",TRUE,TRUE,FALSE,4,542327
"Oregon St.","Pac 12",TRUE,TRUE,FALSE,11,542325
"Pacific","WCC",TRUE,TRUE,TRUE,7,542329
"Penn","Ivy",TRUE,TRUE,TRUE,3,542335
"Penn St.","Big 10",TRUE,TRUE,FALSE,10,542333
"Pepperdine","WCC",TRUE,TRUE,TRUE,10,542337
"Pittsburgh","ACC",TRUE,TRUE,FALSE,5,542339
"Portland","WCC",TRUE,TRUE,TRUE,8,542342
"Portland St.","Big Sky",TRUE,TRUE,TRUE,7,542341
"Prairie View","SWAC",TRUE,TRUE,TRUE,6,542344
"Presbyterian","Big South",TRUE,TRUE,TRUE,10,541971
"Princeton","Ivy",TRUE,FALSE,TRUE,2,542346
"Providence","Big East",TRUE,TRUE,FALSE,5,542349
"Purdue","Big 10",TRUE,TRUE,FALSE,1,542350
"Purdue Fort Wayne","Horizon",TRUE,TRUE,TRUE,9,542145
"Queens (NC)","A-Sun",FALSE,TRUE,TRUE,9,542941
"Quinnipiac","MAAC",TRUE,TRUE,TRUE,3,542352
"Radford","Big South",TRUE,TRUE,TRUE,3,542354
"Rhode Island","A-10",TRUE,TRUE,TRUE,14,542356
"Rice","C-USA",TRUE,TRUE,TRUE,6,542357
"Richmond","A-10",TRUE,TRUE,TRUE,12,542359
"Rider","MAAC",TRUE,TRUE,TRUE,2,542361
"Robert Morris","Horizon",TRUE,TRUE,TRUE,6,542363
"Rutgers","Big 10",TRUE,TRUE,FALSE,9,542366
"Sacramento St.","Big Sky",TRUE,TRUE,TRUE,6,542026
"Sacred Heart","NEC",TRUE,TRUE,TRUE,4,542368
"Saint Francis (PA)","NEC",TRUE,TRUE,TRUE,3,542374
"Saint Joseph's","A-10",TRUE,TRUE,TRUE,10,542377
"Saint Louis","A-10",TRUE,TRUE,TRUE,4,542379
"Saint Mary's (CA)","WCC",TRUE,TRUE,TRUE,1,542381
"Saint Peter's","MAAC",TRUE,TRUE,TRUE,10,542383
"Sam Houston","WAC",TRUE,TRUE,TRUE,1,542385
"Samford","Southern",TRUE,TRUE,TRUE,2,542387
"San Diego","WCC",TRUE,TRUE,TRUE,9,542390
"San Diego St.","MWC",TRUE,FALSE,TRUE,1,542388
"San Francisco","WCC",TRUE,TRUE,TRUE,6,542391
"San Jose St.","MWC",TRUE,TRUE,TRUE,5,542393
"Santa Clara","WCC",TRUE,TRUE,TRUE,3,542407
"Seattle U","WAC",TRUE,TRUE,TRUE,4,541972
"Seton Hall","Big East",TRUE,TRUE,FALSE,7,542410
"SFA","WAC",TRUE,TRUE,TRUE,6,542445
"Siena","MAAC",TRUE,TRUE,TRUE,4,542411
"SIUE","OVC",TRUE,TRUE,TRUE,6,542429
"SMU","AAC",TRUE,TRUE,FALSE,10,542431
"South Alabama","Sunbelt",TRUE,TRUE,TRUE,8,542413
"South Carolina","SEC",TRUE,TRUE,FALSE,12,542416
"South Carolina St.","MEAC",TRUE,TRUE,TRUE,7,542414
"South Dakota","Summit",TRUE,TRUE,TRUE,6,542419
"South Dakota St.","Summit",TRUE,TRUE,TRUE,2,542417
"South Fla.","AAC",TRUE,TRUE,FALSE,8,542420
"Southeast Mo. St.","OVC",TRUE,TRUE,TRUE,5,542422
"Southeastern La.","Southland",TRUE,TRUE,TRUE,3,542424
"Southern California","Pac 12",TRUE,TRUE,FALSE,3,542425
"Southern Ill.","MVC",TRUE,TRUE,TRUE,3,542427
"Southern Ind.","OVC",FALSE,TRUE,TRUE,7,542773
"Southern Miss.","Sunbelt",TRUE,TRUE,TRUE,1,542433
"Southern U.","SWAC",TRUE,TRUE,TRUE,4,542434
"Southern Utah","WAC",TRUE,TRUE,TRUE,3,542436
"St. Bonaventure","A-10",TRUE,TRUE,TRUE,9,542370
"St. Francis Brooklyn","NEC",TRUE,TRUE,TRUE,7,542372
"St. John's (NY)","Big East",TRUE,TRUE,FALSE,8,542376
"St. Thomas (MN)","Summit",FALSE,TRUE,TRUE,5,542406
"Stanford","Pac 12",TRUE,TRUE,FALSE,10,542444
"Stetson","A-Sun",TRUE,TRUE,TRUE,4,542447
"Stonehill","NEC",FALSE,TRUE,TRUE,NA,542774
"Stony Brook","CAA",TRUE,TRUE,TRUE,10,542449
"Syracuse","ACC",TRUE,TRUE,FALSE,8,542451
"Tarleton St.","WAC",FALSE,TRUE,TRUE,7,542404
"TCU","Big 12",TRUE,TRUE,FALSE,6,542469
"Temple","AAC",TRUE,TRUE,FALSE,5,542454
"Tennessee","SEC",TRUE,TRUE,FALSE,5,542462
"Tennessee St.","OVC",TRUE,TRUE,TRUE,3,542456
"Tennessee Tech","OVC",TRUE,TRUE,TRUE,2,542457
"Tex. A&M-Commerce","Southland",FALSE,TRUE,TRUE,5,542631
"Texas","Big 12",TRUE,FALSE,FALSE,2,542477
"Texas A&M","SEC",TRUE,TRUE,FALSE,2,542467
"Texas Southern","SWAC",TRUE,TRUE,TRUE,8,542471
"Texas St.","Sunbelt",TRUE,TRUE,TRUE,11,542440
"Texas Tech","Big 12",TRUE,TRUE,FALSE,9,542473
"The Citadel","Southern",TRUE,TRUE,TRUE,9,542040
"Toledo","MAC",TRUE,TRUE,TRUE,1,542483
"Towson","CAA",TRUE,TRUE,TRUE,3,542485
"Troy","Sunbelt",TRUE,TRUE,TRUE,5,542487
"Tulane","AAC",TRUE,TRUE,FALSE,3,542489
"Tulsa","AAC",TRUE,TRUE,FALSE,11,542491
"UAB","C-USA",TRUE,TRUE,TRUE,3,541992
"UAlbany","Am. East",TRUE,TRUE,TRUE,NA,541993
"UC Davis","Big West",TRUE,TRUE,TRUE,6,542029
"UC Irvine","Big West",TRUE,TRUE,TRUE,1,542030
"UC Riverside","Big West",TRUE,TRUE,TRUE,3,542032
"UC San Diego","Big West",FALSE,TRUE,TRUE,NA,542400
"UC Santa Barbara","Big West",TRUE,TRUE,TRUE,2,542027
"UCF","AAC",TRUE,TRUE,FALSE,7,542036
"UCLA","Pac 12",TRUE,TRUE,FALSE,1,542031
"UConn","Big East",TRUE,TRUE,FALSE,4,542048
"UIC","MVC",TRUE,TRUE,TRUE,11,542140
"UIW","Southland",TRUE,TRUE,TRUE,NA,541977
"ULM","Sunbelt",TRUE,TRUE,TRUE,10,542290
"UMass Lowell","Am. East",TRUE,TRUE,TRUE,2,542188
"UMBC","Am. East",TRUE,TRUE,TRUE,4,542204
"UMES","MEAC",TRUE,TRUE,TRUE,4,542207
"UNC Asheville","Big South",TRUE,TRUE,TRUE,1,542248
"UNC Greensboro","Southern",TRUE,TRUE,TRUE,3,542253
"UNCW","CAA",TRUE,TRUE,TRUE,4,542255
"UNI","MVC",TRUE,TRUE,TRUE,8,542299
"UNLV","MWC",TRUE,TRUE,TRUE,7,542260
"USC Upstate","Big South",TRUE,TRUE,TRUE,4,541979
"UT Arlington","WAC",TRUE,TRUE,TRUE,12,542475
"UT Martin","OVC",TRUE,TRUE,TRUE,4,542465
"Utah","Pac 12",TRUE,TRUE,FALSE,7,542501
"Utah St.","MWC",TRUE,TRUE,TRUE,3,542499
"Utah Tech","WAC",FALSE,TRUE,TRUE,11,542402
"Utah Valley","WAC",TRUE,TRUE,TRUE,2,541985
"UTEP","C-USA",TRUE,TRUE,TRUE,9,542479
"UTRGV","WAC",TRUE,TRUE,TRUE,10,542331
"UTSA","C-USA",TRUE,TRUE,TRUE,11,542481
"Valparaiso","MVC",TRUE,TRUE,TRUE,10,542502
"Vanderbilt","SEC",TRUE,TRUE,FALSE,6,542504
"VCU","A-10",TRUE,TRUE,TRUE,1,542509
"Vermont","Am. East",TRUE,TRUE,TRUE,1,542505
"Villanova","Big East",TRUE,TRUE,FALSE,6,542507
"Virginia","ACC",TRUE,TRUE,FALSE,2,542515
"Virginia Tech","ACC",TRUE,TRUE,FALSE,11,542513
"VMI","Southern",TRUE,TRUE,TRUE,10,542511
"Wagner","NEC",TRUE,TRUE,TRUE,5,542517
"Wake Forest","ACC",TRUE,TRUE,FALSE,9,542519
"Washington","Pac 12",TRUE,TRUE,FALSE,8,542523
"Washington St.","Pac 12",TRUE,TRUE,FALSE,5,542521
"Weber St.","Big Sky",TRUE,TRUE,TRUE,3,542524
"West Virginia","Big 12",TRUE,TRUE,FALSE,8,542526
"Western Caro.","Southern",TRUE,TRUE,TRUE,4,542529
"Western Ill.","Summit",TRUE,TRUE,TRUE,4,542530
"Western Ky.","C-USA",TRUE,TRUE,TRUE,8,542532
"Western Mich.","MAC",TRUE,TRUE,TRUE,NA,542534
"Wichita St.","AAC",TRUE,TRUE,FALSE,6,542535
"William & Mary","CAA",TRUE,TRUE,TRUE,8,542537
"Winthrop","Big South",TRUE,TRUE,TRUE,6,542539
"Wisconsin","Big 10",TRUE,TRUE,FALSE,12,542542
"Wofford","Southern",TRUE,TRUE,TRUE,6,541978
"Wright St.","Horizon",TRUE,TRUE,TRUE,7,542545
"Wyoming","MWC",TRUE,TRUE,TRUE,11,542547
"Xavier","Big East",TRUE,TRUE,FALSE,2,542549
"Yale","Ivy",TRUE,TRUE,TRUE,1,542550
"Youngstown St.","Horizon",TRUE,TRUE,TRUE,1,542552
