"team","conf","conf_rank","stars_5","stars_4","stars_3","num_star_players","avg_recruit_score","composite_score"
"Duke","ACC",1,5,1,0,6,99.4,NA
"Miami","ACC",2,1,2,1,4,94.76,NA
"North Carolina","ACC",3,2,1,0,3,98.6,NA
"Georgia Tech","ACC",4,0,3,0,3,95.89,NA
"Florida State","ACC",5,0,2,2,4,92.59,NA
"NC State","ACC",6,0,2,1,3,95.07,NA
"Clemson","ACC",7,0,2,1,3,94.62,NA
"Notre Dame","ACC",8,0,2,1,3,93.69,NA
"Syracuse","ACC",9,1,1,0,2,97.63,NA
"Virginia Tech","ACC",10,0,1,2,3,91.44,NA
"Virginia","ACC",11,0,1,1,2,92.34,NA
"Boston College","ACC",12,0,0,3,3,87.68,NA
"Pittsburgh","ACC",13,0,0,2,2,90.19,NA
"SMU","ACC",14,0,0,2,2,89.91,NA
"Stanford","ACC",15,0,0,2,2,89.8,NA
"Louisville","ACC",16,0,1,0,1,98.79,NA
"Wake Forest","ACC",17,0,1,0,1,96.59,NA
"California","ACC",18,0,0,1,1,87.13,NA
"Baylor","Big%2012",1,2,1,0,3,98.99,NA
"Arizona State","Big%2012",2,2,1,0,3,98.62,NA
"Brigham Young","Big%2012",3,0,3,1,4,94.5,NA
"TCU","Big%2012",4,0,2,2,4,93.1,NA
"Colorado","Big%2012",5,0,2,1,3,93.73,NA
"Kansas","Big%2012",6,1,1,0,2,98.99,NA
"Arizona","Big%2012",7,1,1,0,2,97.82,NA
"Cincinnati","Big%2012",8,0,2,0,2,97.7,NA
"Houston","Big%2012",9,0,2,0,2,96.77,NA
"Utah","Big%2012",10,0,1,2,3,90.5,NA
"Iowa State","Big%2012",11,0,1,1,2,94.34,NA
"West Virginia","Big%2012",12,0,1,0,1,86.63,NA
"Kansas State","Big%2012",13,0,1,0,1,97.97,NA
"UCF","Big%2012",14,0,1,0,1,97.89,NA
"Texas Tech","Big%2012",15,0,1,0,1,94.37,NA
"Oklahoma State","Big%2012",NA,0,0,2,2,0,NA
"Rutgers","Big%20Ten",1,2,1,2,5,94.81,NA
"Illinois","Big%20Ten",2,1,1,1,3,95.91,NA
"Michigan State","Big%20Ten",3,0,2,1,3,96.01,NA
"Purdue","Big%20Ten",4,0,2,3,5,91.1,NA
"Penn State","Big%20Ten",5,0,2,2,4,90.51,NA
"USC","Big%20Ten",6,0,2,0,2,97.8,NA
"Washington","Big%20Ten",7,0,2,0,2,96.64,NA
"UCLA","Big%20Ten",8,0,2,0,2,96.49,NA
"Maryland","Big%20Ten",9,1,0,1,2,95.72,NA
"Ohio State","Big%20Ten",10,0,1,1,2,95,NA
"Iowa","Big%20Ten",11,0,1,1,2,94.67,NA
"Michigan","Big%20Ten",12,0,1,1,2,92.16,NA
"Nebraska","Big%20Ten",13,0,1,1,2,91.79,NA
"Wisconsin","Big%20Ten",14,0,1,1,2,91.72,NA
"Northwestern","Big%20Ten",15,0,0,2,2,88.96,NA
"Minnesota","Big%20Ten",16,0,0,2,2,87.7,NA
"Indiana","Big%20Ten",17,1,0,0,1,99.28,NA
"Oregon","Big%20Ten",18,0,1,0,1,98.1,NA
"Alabama","SEC",1,2,2,0,4,98.95,NA
"Arkansas","SEC",2,3,0,1,4,97.03,NA
"Missouri","SEC",3,0,5,0,5,96.13,NA
"Georgia","SEC",4,1,1,2,4,93.9,NA
"LSU","SEC",5,0,3,0,3,97.52,NA
"Texas","SEC",6,1,1,1,3,94.8,NA
"Oklahoma","SEC",7,0,2,1,3,93.53,NA
"Texas A&amp;M","SEC",8,0,2,1,3,92.64,NA
"Auburn","SEC",9,1,1,0,2,98.22,NA
"Kentucky","SEC",10,0,2,0,2,96.01,NA
"Mississippi State","SEC",11,0,1,2,3,90.19,NA
"South Carolina","SEC",12,0,1,1,2,95.09,NA
"Ole Miss","SEC",13,0,1,1,2,94.95,NA
"Florida","SEC",14,0,1,1,2,89.75,NA
"Tennessee","SEC",15,0,1,0,1,97.14,NA
"Vanderbilt","SEC",16,0,0,1,1,86.52,NA
"Tulane","AAC",1,0,1,2,3,90.54,NA
"USF","AAC",2,0,0,2,2,89.86,NA
"Temple","AAC",3,0,0,2,2,89.73,NA
"Wichita State","AAC",4,0,0,2,2,89.61,NA
"Memphis","AAC",5,0,1,0,1,96.41,NA
"Tulsa","AAC",6,0,0,1,1,90.55,NA
"East Carolina","AAC",7,0,0,1,1,89.27,NA
"Florida Atlantic","AAC",8,0,0,1,1,89.06,NA
"Rice","AAC",9,0,0,1,1,88.33,NA
"North Texas","AAC",10,0,0,0,0,0,NA
"UAB","AAC",NA,0,0,2,2,0,NA
"Charlotte","AAC",NA,0,0,2,2,0,NA
"Louisiana Tech","C-USA",1,0,0,2,2,85.08,NA
"Sam Houston State","C-USA",2,0,0,1,1,86.17,NA
"UTEP","C-USA",3,0,0,0,0,0,NA
"Western Kentucky","C-USA",3,0,0,0,0,0,NA
"New Mexico State","C-USA",3,0,0,0,0,0,NA
"Liberty","C-USA",3,0,0,0,0,0,NA
"FIU","C-USA",3,0,0,0,0,0,NA
"Middle Tennessee State","C-USA",NA,0,0,2,2,0,NA
"Jacksonville State","C-USA",NA,0,0,2,2,0,NA
"Miami (OH)","MAC",1,0,0,2,2,85.83,NA
"Ohio","MAC",2,0,0,1,1,88.38,NA
"Eastern Michigan","MAC",3,0,0,1,1,86.63,NA
"Ball State","MAC",4,0,0,1,1,84.33,NA
"Toledo","MAC",5,0,0,0,0,0,NA
"Western Michigan","MAC",5,0,0,0,0,0,NA
"Kent State","MAC",NA,0,0,2,2,0,NA
"Northern Illinois","MAC",NA,0,0,2,2,0,NA
"Central Michigan","MAC",NA,0,0,2,2,0,NA
"UNLV","MW",1,0,0,2,2,93.02,NA
"San Diego State","MW",2,0,1,1,2,91.99,NA
"Boise State","MW",3,0,0,2,2,88.2,NA
"San Jose State","MW",4,0,0,2,2,87.86,NA
"Fresno State","MW",5,0,1,0,1,94.32,NA
"Wyoming","MW",6,0,0,1,1,92.74,NA
"Utah State","MW",7,0,0,1,1,91.5,NA
"Colorado State","MW",8,0,0,1,1,88,NA
"New Mexico","MW",9,0,0,1,1,87.78,NA
"Air Force","MW",10,0,0,0,0,0,NA
"Loyola","A-10",1,0,0,2,2,92.05,NA
"VCU","A-10",2,0,1,1,2,89.68,NA
"La Salle","A-10",3,0,0,1,1,90.53,NA
"Massachusetts","A-10",4,0,0,1,1,89.07,NA
"Saint Joseph&#39;s","A-10",5,0,0,1,1,87.76,NA
"Fordham","A-10",6,0,0,1,1,87.06,NA
"Saint Louis","A-10",7,0,0,1,1,86.63,NA
"George Mason","A-10",8,0,0,1,1,86.17,NA
"Richmond","A-10",9,0,0,1,1,82.5,NA
"Davidson","A-10",10,0,0,0,0,0,NA
"St. Bonaventure","A-10",10,0,0,0,0,0,NA
"New Hampshire","A-East",1,0,0,1,1,86.22,NA
"Kennesaw State","A-Sun",1,0,0,1,1,85,NA
"Florida Gulf Coast","A-Sun",2,0,0,0,0,0,NA
"Central Arkansas","A-Sun",2,0,0,0,0,0,NA
"Connecticut","Big-East",1,1,2,0,3,98.37,NA
"Georgetown","Big-East",2,0,3,1,4,95.04,NA
"Creighton","Big-East",3,0,2,1,3,94.96,NA
"Villanova","Big-East",4,0,2,1,3,94.3,NA
"Marquette","Big-East",5,0,2,0,2,96.45,NA
"St. John&#39;s","Big-East",6,0,2,0,2,95.97,NA
"Seton Hall","Big-East",7,0,0,2,2,91.62,NA
"Providence","Big-East",8,0,1,1,2,91.05,NA
"Butler","Big-East",9,0,0,2,2,89.33,NA
"DePaul","Big-East",10,0,0,2,2,86.07,NA
"UC Santa Barbara","Big-west",1,0,1,1,2,91.27,NA
"Cal State Northridge","Big-west",2,0,0,1,1,86.67,NA
"Hawaii","Big-west",3,0,0,0,0,0,NA
"Cal State Fullerton","Big-west",3,0,0,0,0,0,NA
"Montana State","Big-Sky",1,0,0,0,0,0,NA
"Weber State","Big-Sky",1,0,0,0,0,0,NA
"High Point","B-South",1,0,0,1,1,86.5,NA
"South Carolina Upstate","B-South",2,0,0,1,1,85.28,NA
"College of Charleston","CAA",1,0,0,1,1,87.17,NA
"Hampton","CAA",2,0,0,0,0,0,NA
"Wisconsin-Green Bay","Horizon",1,0,0,1,1,93.36,NA
"Wisconsin-Milwaukee","Horizon",2,0,0,1,1,88.69,NA
"Wright State","Horizon",3,0,0,1,1,86.67,NA
"Cleveland State","Horizon",4,0,0,0,0,0,NA
"Oakland","Horizon",4,0,0,0,0,0,NA
"Princeton","Ivy",1,0,0,2,2,87.37,NA
"Harvard","Ivy",2,0,1,0,1,95.92,NA
"Brown","Ivy",3,0,0,1,1,89.12,NA
"Yale","Ivy",4,0,0,1,1,85.78,NA
"Dartmouth","Ivy",5,0,0,1,1,84.67,NA
"Iona","MAAC",1,0,0,2,2,88.62,NA
"Mount St. Mary&#39;s","MAAC",2,0,0,1,1,87,NA
"Manhattan","MAAC",3,0,0,1,1,86.74,NA
"Marist","MAAC",4,0,0,1,1,85.31,NA
"Maryland Eastern Shore","MEAC",1,0,0,1,1,86.33,NA
"Murray State","MVC",1,0,0,2,2,89.24,NA
"Illinois-Chicago","MVC",2,0,0,2,2,86.71,NA
"Illinois State","MVC",3,0,0,1,1,88.16,NA
"Belmont","MVC",4,0,0,0,0,0,NA
"Indiana State","MVC",4,0,0,0,0,0,NA
"Drake","MVC",4,0,0,0,0,0,NA
"Holy Cross","Patriot",1,0,0,0,0,0,NA
"Colgate","Patriot",1,0,0,0,0,0,NA
"American","Patriot",1,0,0,0,0,0,NA
"Arkansas State","SBC",1,0,1,2,3,90.51,NA
"Old Dominion","SBC",2,0,0,2,2,88.83,NA
"Georgia State","SBC",3,0,0,2,2,87.08,NA
"James Madison","SBC",4,0,0,1,1,90.27,NA
"Georgia Southern","SBC",5,0,0,1,1,88.04,NA
"Louisiana","SBC",6,0,0,1,1,86.14,NA
"Marshall","SBC",7,0,0,0,0,0,NA
"Troy","SBC",7,0,0,0,0,0,NA
"Southern Miss","SBC",NA,0,0,2,2,0,NA
"Louisiana-Monroe","SBC",NA,0,0,2,2,0,NA
"South Alabama","SBC",NA,0,0,2,2,0,NA
"Coastal Carolina","SBC",NA,0,0,2,2,0,NA
"Texas State","SBC",NA,0,0,2,2,0,NA
"Incarnate Word","SLC",1,0,0,1,1,88.47,NA
"Texas A&amp;M Corpus Christi","SLC",2,0,0,1,1,84.5,NA
"Lamar","SLC",4,0,0,0,0,0,NA
"Samford","Southern",1,0,0,1,1,81.92,NA
"East Tennessee State","Southern",2,0,0,1,1,91.09,NA
"UNC Greensboro","Southern",3,0,0,1,1,85,NA
"Western Carolina","Southern",4,0,0,0,0,0,NA
"Wofford","Southern",4,0,0,0,0,0,NA
"South Dakota State","Summit",1,0,0,2,2,84.75,NA
"Missouri-Kansas City","Summit",2,0,0,1,1,89.79,NA
"North Dakota State","Summit",3,0,0,0,0,0,NA
"Denver","Summit",3,0,0,0,0,0,NA
"Oral Roberts","Summit",3,0,0,0,0,0,NA
"UT-Arlington","WAC",1,0,0,1,1,85.14,NA
"Texas-Rio Grande Valley","WAC",2,0,0,0,0,0,NA
"Stephen F. Austin","WAC",2,0,0,0,0,0,NA
"Saint Mary&#39;s","WCC",1,0,2,1,3,94.87,NA
"San Francisco","WCC",2,0,1,0,1,94.15,NA
"Portland","WCC",3,0,0,1,1,91.44,NA
