team,conference,yusag_coeff,off_coeff,def_coeff,rank,off_rank,def_rank,date
Kansas,Big 12,22.8460092612919,9.81347563055306,13.032533630739,1,11,4,2020-03-12
Gonzaga,WCC,21.731953887696,18.2580718887335,3.47388199896255,2,1,100,2020-03-12
Michigan St.,Big 10,20.2898063073896,10.8950382515105,9.39476805587906,3,9,18,2020-03-12
Duke,ACC,20.1653868292984,15.1835484885909,4.98183834070759,4,2,76,2020-03-12
Baylor,Big 12,18.507953097001,5.78221971022435,12.7257333867767,5,55,5,2020-03-12
Dayton,A-10,17.6812049466004,10.5117492408634,7.16945570573701,6,10,43,2020-03-12
San Diego St.,MWC,17.1421075867675,4.03147342942883,13.1106341573386,7,90,3,2020-03-12
Ohio St.,Big 10,17.1082761086604,6.33328671419902,10.7749893944614,8,48,9,2020-03-12
Arizona,Pac 12,16.6751959659244,8.38624276305633,8.28895320286806,9,18,29,2020-03-12
West Virginia,Big 12,16.6120415165096,5.77896799497377,10.8330735215358,10,56,8,2020-03-12
Michigan,Big 10,16.3112136655409,8.84272093840277,7.4684927271381,11,15,37,2020-03-12
Creighton,Big East,16.2713435996761,11.4574889492567,4.81385465041933,12,8,82,2020-03-12
Maryland,Big 10,16.0674885678413,6.41535233409554,9.65213623374574,13,47,15,2020-03-12
BYU,WCC,16.0224532495948,11.6298624978141,4.39259075178081,14,7,87,2020-03-12
Louisville,ACC,15.8851114640386,7.52189022111451,8.36322124292415,15,24,27,2020-03-12
Oregon,Pac 12,15.7136079272018,9.29010007601008,6.42350785119184,16,13,58,2020-03-12
Florida St.,ACC,15.6580396736546,9.40172211913093,6.25631755452378,17,12,59,2020-03-12
Villanova,Big East,15.4228091781306,6.30560436034235,9.11720481778831,18,50,20,2020-03-12
Houston,AAC,15.3843266139349,4.71278258019394,10.671544033741,19,77,11,2020-03-12
Seton Hall,Big East,15.2004276368515,8.25582635270592,6.94460128414554,20,19,50,2020-03-12
Texas Tech,Big 12,15.1452597130506,5.57328557742419,9.57197413562641,21,61,17,2020-03-12
Minnesota,Big 10,14.8409768242042,6.51599743326738,8.32497939093687,22,45,28,2020-03-12
Purdue,Big 10,14.8205966960632,3.59168361200327,11.22891308406,23,98,7,2020-03-12
Wisconsin,Big 10,14.7893801194116,1.58422544776617,13.2051546716454,24,138,2,2020-03-12
Iowa,Big 10,14.5595416535395,12.4960801370781,2.06346151646138,25,5,132,2020-03-12
Penn St.,Big 10,14.5089474490149,8.64872251661246,5.86022493240246,26,17,64,2020-03-12
Rutgers,Big 10,14.26921942657,3.73165181603255,10.5375676105375,27,94,12,2020-03-12
Marquette,Big East,14.0035702253937,12.3181575744266,1.68541265096707,28,6,141,2020-03-12
Illinois,Big 10,13.9667835012544,4.22391202093454,9.74287148031985,29,89,14,2020-03-12
Kentucky,SEC,13.866776120174,6.85101911541812,7.0157570047559,30,40,47,2020-03-12
Butler,Big East,13.6987897508326,2.20717451439243,11.4916152364402,31,124,6,2020-03-12
Florida,SEC,13.411139629191,4.67842727448581,8.73271235470513,32,78,23,2020-03-12
Indiana,Big 10,12.9735022924194,4.54038337345005,8.43311891896932,33,82,25,2020-03-12
Colorado,Pac 12,12.7659638600394,5.13619317899238,7.62977068104711,34,68,34,2020-03-12
Auburn,SEC,12.7409608047096,9.20841874719829,3.53254205751131,35,14,98,2020-03-12
LSU,SEC,12.714900193204,13.2902430131456,-0.575342819941629,36,4,202,2020-03-12
Providence,Big East,12.4441687921805,4.75513818951138,7.68903060266914,37,75,32,2020-03-12
Utah St.,MWC,12.1673588856388,4.82299315079106,7.34436573484778,38,74,38,2020-03-12
Oklahoma,Big 12,11.9709419856555,5.94145587712936,6.02948610852612,39,54,62,2020-03-12
