team,conference,yusag_coeff,off_coeff,def_coeff,rank,off_rank,def_rank,date
Wichita St.,AAC,11.9300287402234,4.01477032384726,7.91525841637615,40,91,30,2020-03-12
Cincinnati,AAC,11.2463378322991,6.3267404807078496,4.91959735159129,41,49,80,2020-03-12
Xavier,Big East,10.9353602452725,3.63682951958887,7.29853072568355,42,97,40,2020-03-12
Stanford,Pac 12,10.9334816219963,1.91561909325432,9.01786252874193,43,132,21,2020-03-12
Arkansas,SEC,10.9274039688339,8.6922773621906,2.23512660664327,44,16,130,2020-03-12
Saint Mary's (CA),WCC,10.9095073505528,5.38705000359788,5.52245734695492,45,65,68,2020-03-12
Mississippi St.,SEC,10.8044247209406,5.49057596267528,5.31384875826534,46,64,72,2020-03-12
Syracuse,ACC,10.6009682216149,7.81197739547705,2.78899082613783,47,22,114,2020-03-12
Richmond,A-10,10.5219497891437,5.65764709773383,4.86430269140982,48,59,81,2020-03-12
Washington,Pac 12,10.4159888046597,4.50810690614417,5.90788189851545,49,83,63,2020-03-12
NC State,ACC,10.4007959707148,6.6688267453101,3.73196922540479,50,43,94,2020-03-12
Virginia,ACC,10.2270583001767,-9.89805049354912,20.1251087937258,51,342,1,2020-03-12
Oklahoma St.,Big 12,10.1785112966831,3.21418381818493,6.96432747849812,52,105,48,2020-03-12
Memphis,AAC,10.0123261404043,3.4885196886355,6.52380645176879,53,101,54,2020-03-12
UConn,AAC,9.93813346911552,6.15868814088604,3.77944532822948,54,52,93,2020-03-12
Southern California,Pac 12,9.89097541086876,2.58447662380937,7.30649878705938,55,117,39,2020-03-12
Alabama,SEC,9.82965149783861,14.5090426303542,-4.67939113251562,56,3,280,2020-03-12
Notre Dame,ACC,9.55591930696531,6.27202305078936,3.28389625617595,57,51,104,2020-03-12
Arizona St.,Pac 12,9.49263899743087,7.25187452048974,2.24076447694114,58,28,129,2020-03-12
UNI,MVC,9.35641840890421,5.11624957389091,4.24016883501325,59,69,88,2020-03-12
Georgia Tech,ACC,9.22307519808876,2.08866769658247,7.13440750150629,60,128,45,2020-03-12
Tennessee,SEC,9.11249893910218,-0.531567199661392,9.64406613876355,61,190,16,2020-03-12
South Carolina,SEC,9.00689281248053,7.15625570237512,1.85063711010536,62,33,138,2020-03-12
St. John's (NY),Big East,8.91773757612938,7.2479294488788,1.66980812725054,63,29,142,2020-03-12
Georgetown,Big East,8.75386057275908,7.40567085966605,1.34818971309303,64,25,150,2020-03-12
Clemson,ACC,8.61004104883118,-0.675144022872452,9.28518507170374,65,195,19,2020-03-12
ETSU,Southern,8.58374698817766,1.36735432474834,7.21639266342933,66,146,42,2020-03-12
Texas,Big 12,8.50156785098043,-1.28257867676273,9.7841465277431,67,209,13,2020-03-12
Rhode Island,A-10,8.42013158410205,4.89337836032228,3.52675322377973,68,72,99,2020-03-12
Davidson,A-10,8.39267536231782,5.0127824466345,3.37989291568327,69,70,103,2020-03-12
Saint Louis,A-10,8.22228021495372,2.09057813665837,6.13170207829533,70,127,61,2020-03-12
VCU,A-10,8.14287095397367,2.48628404283967,5.65658691113402,71,120,66,2020-03-12
Yale,Ivy,8.10323412521118,4.92578941505286,3.17744471015831,72,71,106,2020-03-12
Boise St.,MWC,8.07596673173515,5.66585323312145,2.41011349861372,73,58,126,2020-03-12
UCLA,Pac 12,8.06535087546393,1.87440339618743,6.19094747927643,74,133,60,2020-03-12
Nevada,MWC,7.86686318969959,8.16150103611532,-0.294637846415685,75,20,191,2020-03-12
North Carolina,ACC,7.73955528786208,6.79478660150298,0.944768686359122,76,41,164,2020-03-12
San Francisco,WCC,7.70740840498778,4.54174867679339,3.16565972819434,77,80,107,2020-03-12
Oregon St.,Pac 12,7.6691919895262,2.90821757248439,4.76097441704178,78,109,83,2020-03-12
Tulsa,AAC,7.49329102197078,-1.25395607659293,8.74724709856371,79,207,22,2020-03-12
North Texas,C-USA,7.47974249868409,0.956950581971491,6.52279191671264,80,152,55,2020-03-12
TCU,Big 12,7.32905949078577,-0.295355682723113,7.62441517350888,81,182,35,2020-03-12
Furman,Southern,7.26395697389401,3.64991646868336,3.6140405052107,82,96,97,2020-03-12
Vermont,Am. East,7.09748941718099,0.229747254713207,6.86774216246771,83,172,51,2020-03-12
Kansas St.,Big 12,7.05012576445908,-0.442587616166453,7.49271338062553,84,187,36,2020-03-12
Northern Colo.,Big Sky,7.00067935301018,2.05089957990408,4.94977977310608,85,129,79,2020-03-12
SMU,AAC,6.99756390379401,4.46786839361602,2.52969551017798,86,85,121,2020-03-12
Louisiana Tech,C-USA,6.99307397272601,1.63809965167905,5.35497432104699,87,136,71,2020-03-12
Iowa St.,Big 12,6.83363538827479,6.76288676065404,0.0707486276207515,88,42,180,2020-03-12
Missouri,SEC,6.74659383985095,-0.297295336569729,7.04388917642065,89,183,46,2020-03-12
Akron,MAC,6.57325678447477,4.44235230937482,2.13090447509989,90,86,131,2020-03-12
Georgia,SEC,6.40811353617343,7.531097173825,-1.12298363765161,91,23,208,2020-03-12
UNC Greensboro,Southern,6.09847977437046,0.914062016689625,5.18441775768094,92,153,74,2020-03-12
Utah,Pac 12,6.08186915397365,3.22182559917193,2.86004355480171,93,104,113,2020-03-12
Virginia Tech,ACC,5.90570342959032,0.438248884655744,5.4674545449346,94,166,69,2020-03-12
UNLV,MWC,5.90460570696495,3.96703534716176,1.93757035980319,95,92,135,2020-03-12
Colorado St.,MWC,5.88123186965188,6.89974863573159,-1.01851676607963,96,39,207,2020-03-12
DePaul,Big East,5.79267214197082,2.89157273340954,2.90109940856123,97,111,112,2020-03-12
Liberty,A-Sun,5.72038689789907,-4.98622884227014,10.7066157401694,98,286,10,2020-03-12
Texas St.,Sunbelt,5.62293186758154,-0.00182724537025614,5.62475911295175,99,177,67,2020-03-12
Ole Miss,SEC,5.56617919001797,1.02641719946676,4.53976199055122,100,149,85,2020-03-12
Wake Forest,ACC,5.52493763508085,7.31750210520631,-1.79256447012545,101,26,221,2020-03-12
Duquesne,A-10,5.42542567552697,2.82448296402368,2.60094271150325,102,112,119,2020-03-12
Loyola Chicago,MVC,5.22036734899876,-1.72963775204814,6.95000510104691,103,219,49,2020-03-12
Belmont,OVC,5.1240368708176,4.73353488517071,0.390501985646958,104,76,176,2020-03-12
Miami (FL),ACC,5.09279969611246,5.29903312101634,-0.206233424903872,105,66,187,2020-03-12
Temple,AAC,4.95240760306555,1.31253207745407,3.6398755256115,106,147,96,2020-03-12
New Mexico St.,WAC,4.90252071382654,-2.31953270781414,7.22205342164065,107,230,41,2020-03-12
Pittsburgh,ACC,4.85582525480943,-1.63492946486847,6.49075471967788,108,217,56,2020-03-12
Bradley,MVC,4.83727369354584,2.11309999796126,2.72417369558461,109,126,116,2020-03-12
UC Irvine,Big West,4.69985470129584,0.818170515195854,3.88168418609996,110,157,92,2020-03-12
SFA,Southland,4.55381201943791,3.4787337018057,1.0750783176321,111,102,159,2020-03-12
UCF,AAC,4.34324082135039,0.697845711672704,3.64539510967767,112,160,95,2020-03-12
South Fla.,AAC,4.23938520540668,-4.39009470627616,8.62947991168282,113,276,24,2020-03-12
Hofstra,CAA,4.15121937382394,3.54734487035988,0.603874503464019,114,100,170,2020-03-12
Harvard,Ivy,4.0343319025067,2.65577806317882,1.37855383932785,115,116,149,2020-03-12
Western Ky.,C-USA,4.01737719448401,5.55594430618576,-1.53856711170166,116,62,220,2020-03-12
Northwestern,Big 10,3.98737053949623,0.543803038476913,3.44356750101929,117,162,101,2020-03-12
Texas A&M,SEC,3.85181409307736,-4.54222796045104,8.39404205352838,118,279,26,2020-03-12
Ball St.,MAC,3.6580278150208,-2.8021680714824,6.46019588650315,119,244,57,2020-03-12
Washington St.,Pac 12,3.5476955615658,2.51843979450493,1.02925576706086,120,118,161,2020-03-12
Missouri St.,MVC,3.49707261274263,1.49244697073643,2.00462564200621,121,140,133,2020-03-12
North Dakota St.,Summit,3.48004151652907,0.435878204370816,3.04416331215827,122,167,109,2020-03-12
Pacific,WCC,3.45129935630862,-1.51986065468252,4.97116001099113,123,214,77,2020-03-12
South Dakota St.,Summit,3.29376512314189,4.54126943296903,-1.24750430982705,124,81,213,2020-03-12
Eastern Wash.,Big Sky,3.25130115369392,7.17829959524009,-3.9269984415462,125,32,258,2020-03-12
Georgia St.,Sunbelt,3.22108250404158,7.28797521771354,-4.06689271367205,126,27,261,2020-03-12
Kent St.,MAC,3.1655575002269,4.32676677953508,-1.1612092793082,127,88,211,2020-03-12
Colgate,Patriot,3.07182690954592,3.03864467621032,0.033182233335538,128,107,181,2020-03-12
Wright St.,Horizon,3.05718057748541,6.05422225565544,-2.99704167816999,129,53,243,2020-03-12
St. Bonaventure,A-10,2.98670118604464,0.452248842210567,2.53445234383404,130,165,120,2020-03-12
Oral Roberts,Summit,2.89620218462193,6.96479065114186,-4.06858846651989,131,38,262,2020-03-12
Little Rock,Sunbelt,2.86713232981978,3.04027121670318,-0.173138886883378,132,106,186,2020-03-12
Murray St.,OVC,2.78874099389358,0.842768827551346,1.94597216634222,133,156,134,2020-03-12
Indiana St.,MVC,2.78557366485747,-0.491126892405825,3.27670055726331,134,189,105,2020-03-12
Ga. Southern,Sunbelt,2.59775781674538,2.46835647927875,0.129401337466647,135,121,178,2020-03-12
UT Arlington,Sunbelt,2.58522271637496,-0.323829596831661,2.90905231320665,136,184,111,2020-03-12
Pepperdine,WCC,2.28476052120619,6.96510042771602,-4.68033990650982,137,37,281,2020-03-12
Winthrop,Big South,2.2761999002316,6.45736387150554,-4.18116397127395,138,46,267,2020-03-12
Chattanooga,Southern,1.9660129107442,1.50948461624821,0.456528294496074,139,139,174,2020-03-12
Marshall,C-USA,1.95841854866642,5.51819376326262,-3.55977521459618,140,63,252,2020-03-12
New Mexico,MWC,1.91461566307433,5.24267896312353,-3.32806330004915,141,67,250,2020-03-12
Northeastern,CAA,1.84232209724697,-0.594361768320681,2.43668386556763,142,193,124,2020-03-12
Montana,Big Sky,1.83819147357184,0.527842469599292,1.3103490039725,143,164,151,2020-03-12
Penn,Ivy,1.82566502370437,2.11394527612398,-0.288280252419616,144,125,190,2020-03-12
Valparaiso,MVC,1.52578339897334,2.78353683050589,-1.25775343153255,145,113,214,2020-03-12
Wofford,Southern,1.32536531395571,-0.541698527100518,1.86706384105623,146,191,137,2020-03-12
Fresno St.,MWC,1.29896559666943,-1.69952039906512,2.99848599573455,147,218,110,2020-03-12
Buffalo,MAC,1.28147798307396,7.15129105220896,-5.86981306913497,148,34,296,2020-03-12
FIU,C-USA,1.21803500112379,4.47088131948873,-3.25284631836487,149,84,248,2020-03-12
California,Pac 12,1.12335105663899,-3.4954365377863,4.6187875944253,150,257,84,2020-03-12
Nebraska,Big 10,1.05787666932534,5.58408719003426,-4.5262105207089,151,60,278,2020-03-12
Princeton,Ivy,1.01387347178449,0.420858109383984,0.593015362400523,152,168,172,2020-03-12
Western Caro.,Southern,1.00074497819822,6.97494931580572,-5.97420433760749,153,36,298,2020-03-12
Northern Ky.,Horizon,0.994624410433138,-3.18447962680507,4.17910403723813,154,252,90,2020-03-12
Vanderbilt,SEC,0.98569793662309,2.89479725673981,-1.90909932011674,155,110,224,2020-03-12
Southern Utah,Big Sky,0.976640710728566,-0.726459531611765,1.70310024234037,156,196,140,2020-03-12
Toledo,MAC,0.686319574119098,2.04286004583581,-1.35654047171673,157,130,215,2020-03-12
North Florida,A-Sun,0.682346535030826,7.12520524620735,-6.44285871117652,158,35,307,2020-03-12
South Alabama,Sunbelt,0.500308162412283,-1.76972321555342,2.27003137796573,159,221,128,2020-03-12
Siena,MAAC,0.48216627675116,0.857725056576317,-0.375558779825157,160,155,194,2020-03-12
Santa Clara,WCC,0.436692096630917,2.67933062216963,-2.24263852553868,161,114,230,2020-03-12
Towson,CAA,0.367078413516653,-1.11099627909642,1.47807469261308,162,204,147,2020-03-12
Charlotte,C-USA,0.318062131103842,-5.37383242520755,5.69189455631143,163,291,65,2020-03-12
Ohio,MAC,0.269087236970615,-0.324935081003273,0.594022317973851,164,185,171,2020-03-12
Col. of Charleston,CAA,0.188971200478157,-1.30061609328484,1.48958729376299,165,210,146,2020-03-12
Old Dominion,C-USA,0.116838132186569,-4.41077031076769,4.5276084429543,166,277,86,2020-03-12
Austin Peay,OVC,0.0879624838598581,2.27799649278427,-2.19003400892446,167,122,229,2020-03-12
Massachusetts,A-10,0.0757469679385316,0.542203805008393,-0.466456837069894,168,163,198,2020-03-12
UC Santa Barbara,Big West,0.0585320565237133,-2.4639291320889,2.52246118861261,169,234,122,2020-03-12
Drake,MVC,0.024096647546612,-1.10392387776528,1.1280205253119,170,203,157,2020-03-12
Boston U.,Patriot,-0.0313232733895319,-1.57553537213197,1.54421209874247,171,216,144,2020-03-12
Bowling Green,MAC,-0.151938374490928,2.93600834416575,-3.08794671865667,172,108,246,2020-03-12
George Mason,A-10,-0.15526490569059,-2.4986029159786,2.34333801028798,173,236,127,2020-03-12
Portland St.,Big Sky,-0.185836833596358,7.24647463997047,-7.43231147356681,174,30,316,2020-03-12
Southern Ill.,MVC,-0.207522260730491,-7.36599513508703,7.1584728743565,175,320,44,2020-03-12
Tulane,AAC,-0.260665646757806,0.0982278784981983,-0.35889352525598,176,174,193,2020-03-12
Boston College,ACC,-0.290512291890527,-2.08774468712715,1.79723239523663,177,226,139,2020-03-12
Saint Francis (PA),NEC,-0.384842350123073,3.87763663387983,-4.26247898400297,178,93,271,2020-03-12
Appalachian St.,Sunbelt,-0.529219980082004,-3.24647771994859,2.71725773986659,179,254,117,2020-03-12
UAB,C-USA,-0.853205291806621,-4.25225167072455,3.39904637891797,180,273,102,2020-03-12
Northern Ill.,MAC,-0.994036323696399,-6.01309763407905,5.01906131038262,181,303,75,2020-03-12
Coastal Carolina,Sunbelt,-1.03566235818942,5.70709474461454,-6.74275710280402,182,57,313,2020-03-12
La Salle,A-10,-1.04306698738756,-1.48866074480191,0.445593757414345,183,213,175,2020-03-12
South Dakota,Summit,-1.05415116836748,4.87867857726,-5.9328297456274,184,73,297,2020-03-12
Delaware,CAA,-1.0852626015642,2.01845966499991,-3.10372226656412,185,131,247,2020-03-12
Fla. Atlantic,C-USA,-1.2236010173308,-1.05909317640994,-0.164507840920812,186,202,184,2020-03-12
Air Force,MWC,-1.23482710341348,3.4483782710733,-4.68320537448673,187,103,282,2020-03-12
Sacramento St.,Big Sky,-1.26244781766913,-9.12090670652965,7.85845888886055,188,335,31,2020-03-12
Mercer,Southern,-1.42489089923892,-2.35322433259516,0.928333433356237,189,231,165,2020-03-12
Rider,MAAC,-1.4621321220463,0.331909677594259,-1.79404179964052,190,170,222,2020-03-12
California Baptist,WAC,-1.47395827543783,2.50397856699166,-3.97793684242944,191,119,259,2020-03-12
Stony Brook,Am. East,-1.50389585290923,-2.09020012806645,0.586304275157213,192,227,173,2020-03-12
Saint Peter's,MAAC,-1.59840299226996,-5.78083168663742,4.18242869436747,193,300,89,2020-03-12
Abilene Christian,Southland,-1.62323472920064,-2.48135871700315,0.858123987802443,194,235,166,2020-03-12
Radford,Big South,-1.73550349330939,-2.90649468606992,1.17099119276054,195,245,155,2020-03-12
William & Mary,CAA,-1.9170749667925,-1.01437302241477,-0.902701944377703,196,200,206,2020-03-12
LMU (CA),WCC,-1.97886758857222,-7.27610935222783,5.29724176365563,197,317,73,2020-03-12
UTEP,C-USA,-2.05871350175204,-5.13213635703583,3.07342285528386,198,288,108,2020-03-12
Hawaii,Big West,-2.32668178631229,-3.6199864178655,1.29330463155319,199,259,152,2020-03-12
Sacred Heart,NEC,-2.38079337638055,-0.927229187873772,-1.45356418850675,200,198,219,2020-03-12
American,Patriot,-2.47172075862002,-1.25442172488677,-1.21729903373325,201,208,212,2020-03-12
Monmouth,MAAC,-2.54478275339325,1.8471930710963,-4.39197582448958,202,134,274,2020-03-12
Dartmouth,Ivy,-2.55329039313397,-6.64269115099661,4.08940075786265,203,309,91,2020-03-12
UIC,Horizon,-2.6079813800361,-3.64685521064179,1.03887383060567,204,261,160,2020-03-12
Robert Morris,NEC,-2.62953009663966,-4.16410378407469,1.53457368743497,205,271,145,2020-03-12
East Carolina,AAC,-2.67662701746313,0.0537933770678229,-2.73042039453094,206,175,237,2020-03-12
Arkansas St.,Sunbelt,-2.68334718857453,-0.178147228632989,-2.50519995994143,207,181,235,2020-03-12
Rice,C-USA,-2.82581470651626,2.67467654408868,-5.50049125060495,208,115,292,2020-03-12
UTSA,C-USA,-2.85800591198828,6.64590751929471,-9.50391343128299,209,44,333,2020-03-12
Seattle U,WAC,-2.87186805584951,1.73256099153258,-4.60442904738211,210,135,279,2020-03-12
Eastern Mich.,MAC,-2.92009586859877,-8.32036913879528,5.40027327019649,211,328,70,2020-03-12
Nicholls St.,Southland,-2.99201836732415,-2.5670471973299,-0.424971169994299,212,239,196,2020-03-12
Brown,Ivy,-3.04042763546544,-4.06685810361631,1.02643046815089,213,269,162,2020-03-12
UC Riverside,Big West,-3.26821082220526,-9.86907639774839,6.6008655755431,214,341,53,2020-03-12
Illinois St.,MVC,-3.39356768396924,-3.18157153827078,-0.211996145698449,215,251,188,2020-03-12
UC Davis,Big West,-3.4298670913468,1.06762724636444,-4.49749433771123,216,148,277,2020-03-12
Northern Ariz.,Big Sky,-3.54081518044909,-2.39164578472065,-1.14916939572848,217,232,210,2020-03-12
Central Mich.,MAC,-3.57144853105333,4.57924967802894,-8.1506982090823,218,79,324,2020-03-12
Gardner-Webb,Big South,-3.71109032560177,-1.14966632023936,-2.5614240053624,219,205,236,2020-03-12
Wyoming,MWC,-3.88340227330833,-6.49763334992906,2.61423107662072,220,307,118,2020-03-12
Green Bay,Horizon,-3.88869865175185,8.1315902615745,-12.0202889133263,221,21,342,2020-03-12
Montana St.,Big Sky,-3.99552126189886,-5.86705506078186,1.87153379888297,222,301,136,2020-03-12
Prairie View,SWAC,-4.07118980721853,-2.26985791265271,-1.80133189456582,223,229,223,2020-03-12
Louisiana,Sunbelt,-4.07173936377209,2.22915538931123,-6.30089475308321,224,123,305,2020-03-12
Miami (OH),MAC,-4.09751552368337,-2.96728829586853,-1.13022722781482,225,247,209,2020-03-12
Eastern Ill.,OVC,-4.25449289192179,-1.94796373695403,-2.30652915496777,226,222,232,2020-03-12
Sam Houston St.,Southland,-4.27607148852845,0.97558759814903,-5.25165908667751,227,150,288,2020-03-12
Lafayette,Patriot,-4.31916004075495,-4.02273896016695,-0.296421080587992,228,268,192,2020-03-12
George Washington,A-10,-4.42036987243138,-3.64452612705187,-0.775843745379537,229,260,203,2020-03-12
Iona,MAAC,-4.44310961171743,0.0073256525951102,-4.45043526431255,230,176,276,2020-03-12
Merrimack,NEC,-4.50545178906243,-11.1188545446337,6.61340275557124,231,346,52,2020-03-12
Fordham,A-10,-4.52308731015215,-12.1982560314927,7.6751687213405,232,347,33,2020-03-12
San Diego,WCC,-4.53203431439717,-4.07708111457457,-0.454953199822532,233,270,197,2020-03-12
Youngstown St.,Horizon,-4.61173962373324,-1.7372437415478,-2.87449588218545,234,220,239,2020-03-12
Jacksonville,A-Sun,-4.86782398485293,-5.70715623481811,0.839332249965129,235,299,168,2020-03-12
North Dakota,Summit,-4.92203950485931,0.123414852509011,-5.04545435736835,236,173,286,2020-03-12
Western Mich.,MAC,-4.9924854291522,-2.95269712039222,-2.03978830875999,237,246,226,2020-03-12
CSUN,Big West,-5.05563942874251,4.42948096319819,-9.48512039194076,238,87,332,2020-03-12
Drexel,CAA,-5.07625504290484,-3.13073889098499,-1.94551615191983,239,249,225,2020-03-12
Kansas City,WAC,-5.08741483863124,-6.05859709761406,0.97118225898279,240,304,163,2020-03-12
Hartford,Am. East,-5.14208150528434,-6.26917586470457,1.1270943594201701,241,306,158,2020-03-12
Lipscomb,A-Sun,-5.24994546290119,-1.02295512144353,-4.22699034145764,242,201,269,2020-03-12
Bryant,NEC,-5.31659248309708,-2.4495010251408,-2.8670914579563,243,233,238,2020-03-12
Omaha,Summit,-5.33460820884641,1.37318690071791,-6.70779510956433,244,144,311,2020-03-12
VMI,Southern,-5.33685914470736,-1.21315247303117,-4.12370667167617,245,206,264,2020-03-12
Norfolk St.,MEAC,-5.36792171742097,-7.01608694726635,1.64816522984539,246,314,143,2020-03-12
Oakland,Horizon,-5.37503962626891,-4.80820131122081,-0.566838315048093,247,284,201,2020-03-12
Southern U.,SWAC,-5.40828065924306,-5.40261734178471,-0.00566331745829625,248,293,182,2020-03-12
New Hampshire,Am. East,-5.62008383248844,-5.11030284894537,-0.509780983543076,249,287,200,2020-03-12
UTRGV,WAC,-5.7622765838808,-0.424608703580967,-5.33766788029986,250,186,290,2020-03-12
La.-Monroe,Sunbelt,-5.94973595406542,-8.36656693667376,2.41683098260831,251,329,125,2020-03-12
Bucknell,Patriot,-6.00872285933953,-4.58851876669595,-1.42020409264357,252,281,218,2020-03-12
Lamar University,Southland,-6.0913811672456,-3.67355497019703,-2.41782619704862,253,264,234,2020-03-12
Navy,Patriot,-6.10694980066273,-8.59231622546191,2.48536642479913,254,331,123,2020-03-12
Utah Valley,WAC,-6.17628054867046,-2.68574045380593,-3.49054009486457,255,243,251,2020-03-12
Canisius,MAAC,-6.21134964747361,-2.53843889907055,-3.67291074840308,256,237,254,2020-03-12
Quinnipiac,MAAC,-6.24303718816381,-1.98884541646564,-4.25419177169818,257,224,270,2020-03-12
Tennessee St.,OVC,-6.29312888084823,-3.23377264201668,-3.05935623883154,258,253,244,2020-03-12
Saint Joseph's,A-10,-6.39757274499659,1.42816600082457,-7.82573874582118,259,141,318,2020-03-12
UMBC,Am. East,-6.41204284122827,-5.60677404785497,-0.805268793373294,260,297,204,2020-03-12
CSU Bakersfield,WAC,-6.43988016912146,-7.63310654507791,1.19322637595639,261,322,154,2020-03-12
Grand Canyon,WAC,-6.46724993273656,-0.173080851593932,-6.29416908114267,262,180,304,2020-03-12
Cal St. Fullerton,Big West,-6.51644743089036,-2.22914561264345,-4.28730181824688,263,228,273,2020-03-12
Cornell,Ivy,-6.60293699398533,-3.67231510956501,-2.93062188442027,264,263,241,2020-03-12
LIU,NEC,-6.62866092002733,1.42639590418739,-8.05505682421485,265,142,321,2020-03-12
Manhattan,MAAC,-6.77103480536287,-9.52706188065364,2.75602707529078,266,338,115,2020-03-12
Milwaukee,Horizon,-6.77824105789872,-2.59264483612874,-4.18559622176998,267,241,268,2020-03-12
Southern Miss.,C-USA,-6.83182156242153,-6.6618695794238,-0.16995198299767,268,310,185,2020-03-12
Weber St.,Big Sky,-6.85813273522908,-3.59846893619804,-3.259663799031,269,258,249,2020-03-12
Elon,CAA,-6.8772599037535,-3.93475798937146,-2.94250191438203,270,266,242,2020-03-12
Campbell,Big South,-7.01782384521002,-7.85081682219855,0.832992976988572,271,325,169,2020-03-12
Army West Point,Patriot,-7.08869400138696,-1.97323884328684,-5.11545515810016,272,223,287,2020-03-12
North Ala.,A-Sun,-7.08881220910373,-3.08988447183294,-3.99892773727076,273,248,260,2020-03-12
Purdue Fort Wayne,Summit,-7.12805830223598,-6.91245971244427,-0.215598589791669,274,313,189,2020-03-12
N.C. Central,MEAC,-7.1396886294917,-7.30863788607201,0.168949256580327,275,319,177,2020-03-12
N.C. A&T,MEAC,-7.16809385657882,-1.45271859762729,-5.71537525895151,276,212,295,2020-03-12
UMass Lowell,Am. East,-7.21789883064073,3.58837585072131,-10.8062746813621,277,99,340,2020-03-12
Jacksonville St.,OVC,-7.26201643747756,-5.18091089551622,-2.08110554196131,278,290,227,2020-03-12
Albany (NY),Am. East,-7.35448136967158,-5.95682861225604,-1.39765275741554,279,302,216,2020-03-12
Fairleigh Dickinson,NEC,-7.5132892099356,0.344104057821934,-7.85739326775761,280,169,319,2020-03-12
Idaho St.,Big Sky,-7.56385974863235,-1.52272823793364,-6.0411315106987296,281,215,299,2020-03-12
Eastern Ky.,OVC,-7.60935424909836,0.316129565081235,-7.92548381417956,282,171,320,2020-03-12
Portland,WCC,-7.65396747445392,-4.77150579017099,-2.88246168428288,283,283,240,2020-03-12
Stetson,A-Sun,-7.66881471063242,-8.8025613887593,1.1337466781269,284,334,156,2020-03-12
