"team","departing_ppg","returning_ppg","transfer_ppg","net_ppg","mins","off_coeff","def_coeff","yusag_coeff","stars_5","stars_4","stars_3","num_star_players","avg_recruit_score","composite_score"
"Auburn",8.024539,3.782812,2.874464,-1.367263,0.52683052073851,1.11751911957231,-2.30300180307018,-1.18548268349786,1,2,1,4,95,64.72
"Austin Peay",4.430682,3.963609,0,-0.467073,0.5996,1.40702408840841,-5.60229471550238,-4.19527062709397,0,0,0,0,0,0
"Ball St.",0.51348,8.937112,1.78897,10.212602,0.557288542291542,-2.78833160377045,3.45576653200951,0.66743492823901,0,0,1,1,82.87,12.87
"Baylor",10.47893,8.45439,2.25378,0.229239999999999,0.560287942411518,8.95253318499273,5.83048394648548,14.7830171314782,0,1,2,3,90.83,48.1
"Belmont",3.02405,10.942696,0,7.918646,0.821964392878576,9.64072770754314,-7.23014517925034,2.41058252829286,0,0,0,0,0,0
"Bethune-Cookman",3.936356,0.609357,0,-3.326999,0.462,-7.05519500918901,-4.5871873155987,-11.6423823247877,0,0,0,0,0,0
"Binghamton",0.15805,-0.959817,0.835542,-0.282325,0.979372251522524,-15.4791437958919,3.26709136580136,-12.2120524300907,0,0,0,0,0,0
"Boise St.",10.14803,3.71165,1.4295,-5.00688,0.376524695060988,4.85646642604859,1.99290683569968,6.84937326174826,0,0,1,1,85.46,15.46
"Boston College",3.66915,0.8805809,2.21991,-0.5686591,0.476699770817418,-7.66511370374002,5.01915911413255,-2.64595458960737,0,0,4,4,83.92,33.95
"Boston U.",3.43857,4.962531,0,1.523961,0.674265146970606,-0.886010134171923,-4.20394466357102,-5.08995479774294,0,0,0,1,0,0
"Bowling Green",2.0534561,4.505365,0,2.4519089,0.69126174765047,-3.94103348209622,-1.16488280711273,-5.10591628920896,0,0,1,1,83.33,13.33
"Bradley",0,0.2897378,0,0.2897378,0.824235152969406,-12.8441637182288,1.90198668321239,-10.9421770350164,0,0,1,1,83.33,13.33
"Brown",2.393914,8.01754,0,5.623626,0.734486071085495,1.11326508127579,-7.78119952907761,-6.66793444780186,0,0,0,0,0,0
"Bryant",-0.765849,4.305323,0,5.071172,0.733807183364839,-9.75614807637848,-7.05073768985661,-16.8068857662352,0,0,1,1,83.33,13.33
"Bucknell",5.0523,5.004103,0,-0.0481970000000009,0.620848339335734,4.29648452934235,-4.68404505355827,-0.387560524215899,0,0,0,0,0,0
"Buffalo",3.289045,6.961724,0,3.672679,0.645670865826835,5.06937523146792,-3.03547546196381,2.03389976950409,0,0,2,2,85.12,27.24
