team,yusag_coeff,off_coeff,def_coeff
A&M-Corpus Christi,-1.22324875093731,3.19670069385782,-4.41994944479513
Abilene Christian,-1.3880091347492,2.29309536627977,-3.68110450102892
Air Force,1.89022179684321,-2.94221438196129,4.83243617880449
Akron,5.15303014440351,1.86483557616911,3.28819456823443
Alabama,22.1520384804036,16.2152082021473,5.93683027825613
Alabama A&M,-9.10608431679422,-5.73645201331038,-3.36963230348387
Alabama St.,-13.8844788341176,-10.4056430912497,-3.47883574286799
Alcorn,-6.79019533880151,-2.85002061834253,-3.94017472045896
American,-6.84909824488553,-7.57868687637865,0.729588631493097
App State,-0.644247905725152,-5.14555328516089,4.50130537943576
Arizona,17.6669641091922,15.4513814658611,2.2155826433312
Arizona St.,10.3189745697944,4.6918461749719,5.62712839482244
Ark.-Pine Bluff,-11.1713086028764,-6.05307254138619,-5.1182360614902
Arkansas,14.3113635880384,8.07410511678306,6.23725847125538
Arkansas St.,-6.93296519088122,-7.78468758179679,0.851722390915524
Army West Point,-4.99315481837981,-0.640420607355597,-4.35273421102418
Auburn,13.0108451035157,6.48006568594514,6.53077941757063
Austin Peay,-10.9818493150439,-8.8956651032387,-2.0861842118053
BYU,8.76655340465423,4.94773246921253,3.81882093544172
Ball St.,-0.365469316057997,2.06706591995694,-2.4325352360149
Baylor,15.8752555107407,10.9490559486588,4.92619956208193
Bellarmine,-5.69221788661065,-7.47434430186038,1.78212641524969
Belmont,2.92242143821988,5.47456146520135,-2.55214002698144
Bethune-Cookman,-14.7994797713025,-5.67128000392768,-9.12819976737477
Binghamton,-8.10673238289054,-5.17164487133874,-2.9350875115518
Boise St.,12.2248669434202,4.0941921330796,8.13067481034063
Boston College,0.365170286263878,-1.87552643047913,2.240696716743
Boston U.,-6.24932396487777,-6.22128157833409,-0.0280423865436514
Bowling Green,-7.5609947343643,0.562626612632232,-8.1236213469965
Bradley,7.3422630604428,-0.154323766009404,7.49658682645217
Brown,0.0934275991899629,-0.846211020599798,0.939638619789789
Bryant,-2.08815412740845,3.9972986976656,-6.08545282507407
Bucknell,-8.59022789377573,-5.44754501043,-3.14268288334572
Buffalo,-2.41235729136886,3.89883267383314,-6.31118996520202
Butler,4.2660251382887,-3.77744492653148,8.04347006482026
CSU Bakersfield,-7.27736937423711,-10.5204956571567,3.24312628291953
CSUN,-9.69883479028869,-9.09530926075684,-0.6035255295319
Cal Poly,-6.95327506969659,-10.9957635814799,4.04248851178335
Cal St. Fullerton,3.25434448665099,-1.24560913885916,4.4999536255101
California,-4.62885861359012,-8.08167360692616,3.45281499333607
California Baptist,0.815301876105782,-4.28940698378625,5.10470885989203
Campbell,-3.69001892232791,-2.42273175608122,-1.26728716624673
Canisius,-5.45015297207799,-1.64938856978512,-3.80076440229289
Central Ark.,-12.3350399691996,-0.0777523033149423,-12.2572876658847
Central Conn. St.,-11.5810728896623,-7.97805051072909,-3.60302237893319
Central Mich.,-11.5257797318307,-9.23684356921002,-2.28893616262072
Charleston So.,-7.83234440591457,-1.7737346424244,-6.05860976349019
Charlotte,3.99416074122358,-4.05830834508263,8.05246908630623
Chattanooga,-1.21671373735872,2.6209481098472,-3.83766184720594
Chicago St.,-8.05132201636635,-5.2388952321556,-2.81242678421084
Cincinnati,10.7638416602336,6.99796700527755,3.76587465495613
Clemson,10.4732371370619,6.01240728650326,4.46082985055864
Cleveland St.,-1.33971626019286,-1.11666321262849,-0.223053047564379
Coastal Carolina,-8.05958186964195,-0.305346603148667,-7.75423526649331
Col. of Charleston,9.19191114959258,7.96874160059349,1.22316954899908
Colgate,3.69034937728912,5.44854183806445,-1.75819246077518
Colorado,10.3297175421123,3.40028631002441,6.92943123208786
Colorado St.,4.94722850715845,4.22003152273219,0.727196984426216
Columbia,-12.0139405003208,-5.18692166718107,-6.82701883313972
Coppin St.,-13.0254631723102,-0.323649633288494,-12.7018135390217
Cornell,2.5176029542237,9.49971401491993,-6.98211106069621
Creighton,16.9734652232196,9.29000289618862,7.68346232703096
Dartmouth,-5.22442963739,-1.83174391119818,-3.39268572619174
Davidson,1.68983804186677,-0.664103850126164,2.35394189199293
Dayton,8.05318183399805,-1.5052888923226,9.55847072632062
DePaul,2.26558583530478,4.31583856359024,-2.05025272828537
Delaware,-4.63119510052226,-2.26495702724434,-2.36623807327793
Delaware St.,-15.4137813594864,-8.89244702174139,-6.52133433774508
Denver,-8.38999115253448,-1.72721992648371,-6.66277122605074
Detroit Mercy,-1.7472808961311,3.61456247245332,-5.36184336858443
Drake,8.55588501388091,3.11653871682517,5.43934629705581
Drexel,-1.59980560540573,-5.91299908991824,4.31319348451257
Duke,14.5021883307824,4.13656259657296,10.3656257342094
Duquesne,2.30254883403849,2.55171196264996,-0.249163128611428
ETSU,-4.86342788780625,-5.02189724381575,0.158469356009514
East Carolina,-1.00854984766743,-2.55654950239632,1.54799965472888
Eastern Ill.,-12.59931786388,-8.05629139882459,-4.54302646505529
Eastern Ky.,0.584758123051081,3.82077129748978,-3.23601317443869
Eastern Mich.,-9.94285001780873,-0.889666315163531,-9.05318370264517
Eastern Wash.,3.1347541356215,5.17782225475791,-2.04306811913635
Elon,-11.2567123836679,-7.90799564008128,-3.34871674358668
Evansville,-14.9783709287118,-8.3526203865813,-6.62575054213057
FGCU,-1.92576400580404,-1.57126263184141,-0.35450137396264
FIU,-2.2641620306013,1.68905687170499,-3.95321890230627
Fairfield,-5.5161661070317,-6.39880791818794,0.882641811156264
Fairleigh Dickinson,-6.69562817777049,2.57147584740229,-9.26710402517283
Fla. Atlantic,14.2226922998151,7.73439086192484,6.48830143789009
Florida,10.0044880354851,4.73805588598146,5.26643214950365
Florida A&M,-15.5204892870372,-13.409361802716,-2.11112748432121
Florida St.,-1.37607440137982,1.47065688527608,-2.8467312866559
Fordham,1.6870861512651,0.779955167625384,0.9071309836397
Fresno St.,2.6056341047049,-4.07223592627507,6.67787003097996
Furman,5.8029714889139,7.6599614162072,-1.85698992729326
Ga. Southern,-2.00710622455545,-4.08779163141593,2.08068540686045
Gardner-Webb,-2.04399416093083,-4.52788969579601,2.4838955348652
George Mason,1.02615439422882,-2.8748622123064,3.90101660653527
George Washington,-2.67774310051603,5.62662167116238,-8.30436477167837
Georgetown,-1.99106753964898,1.35217193542226,-3.34323947507123
Georgia,0.253233490008762,-0.0485954295364803,0.301828919545257
Georgia St.,-6.95090919928906,-5.58396319450724,-1.36694600478185
Georgia Tech,1.05211175247378,-0.70916885515463,1.7612806076284
Gonzaga,17.984407280303,17.0276623802683,0.956744900034491
Grambling,-2.16219503934429,-5.84080061281957,3.6786055734753
Grand Canyon,4.46942972020194,3.00613708931082,1.46329263089111
Green Bay,-18.9034290099392,-13.2908308927447,-5.61259811719448
Hampton,-13.8044996291851,-4.64764147809176,-9.15685815109336
Hartford,-20.8904844996648,-13.6045869148143,-7.28589758485054
Harvard,1.19170873056684,-3.69072935146653,4.88243808203336
Hawaii,2.29596154001273,-4.72985925007628,7.02582079008902
High Point,-8.971860590547,-0.440982693353084,-8.53087789719393
Hofstra,6.32906236435489,3.19198077580773,3.13708158854718
Holy Cross,-12.3419378303068,-6.34632753257732,-5.99561029772953
Houston,20.3556526347813,5.07984634548732,15.275806289294
Houston Christian,-15.7212827793705,-0.625336496454068,-15.0959462829166
Howard,-2.40465231706405,0.811063924887935,-3.21571624195196
IUPUI,-16.7285821568911,-7.38674648611241,-9.34183567077866
Idaho,-7.25339933910149,-2.8223172063686,-4.43108213273289
Idaho St.,-4.85047958436446,-3.34617019674577,-1.5043093876187
Illinois,12.7017146392381,7.35978621919488,5.34192842004327
Illinois St.,-7.0168456257646,-5.26898233480284,-1.74786329096177
Indiana,13.1672118994728,7.58927279218632,5.57793910728643
Indiana St.,5.52388109442682,7.08304232765176,-1.55916123322493
Iona,8.14293518829594,5.46343794188566,2.67949724641024
Iowa,12.0986564000544,14.1543334032792,-2.0556770032249
Iowa St.,13.9300966223135,-0.0934519815867123,14.0235486039002
Jackson St.,-9.13806914184574,-4.32415637608606,-4.8139127657597
Jacksonville,-4.57768184090054,-11.2195138614538,6.64183202055322
Jacksonville St.,-4.50048428845377,-4.3051703741926,-0.195313914261249
James Madison,5.03896521836053,5.61808956138654,-0.579124343026025
Kansas,18.064094106597,10.270066823961,7.79402728263592
Kansas City,-9.2111715471888,-10.1207597597717,0.9095882125829
Kansas St.,14.6853498879004,10.7645687458729,3.92078114202745
Kennesaw St.,2.62256343997136,1.97517858444535,0.647384855526012
Kent St.,8.07581896563866,2.54976307376327,5.52605589187544
Kentucky,13.1649384057174,6.664892989097,6.50004541662039
LIU,-22.2939659544901,-7.97892146503619,-14.3150444894539
LMU (CA),3.98971911244691,3.03647361182879,0.953245500618112
LSU,1.51380112389597,-0.799088392813579,2.31288951670954
