"player","team","yr","trank_ppg","mins_pct","year"
"Kajon Mack","Tennessee Tech","Sr",2.04051,85.5,2018
"Hans Brase","Iowa St.","Sr",-0.464354,25.9,2018
"Peter Ryckbosch","DePaul","Sr",0.440258,10.9,2018
"Jalan West","Northwestern St.","Sr",2.67885,15,2018
"Josh Warren","Cornell","So",-0.0877069,37.9,2018
"Ben Carter","Michigan St.","Sr",-0.0362284,12.7,2018
"Marcus Lee","California","Sr",1.97765,70.2,2018
"Mike Thomas","Hawaii","Sr",2.92028,55,2018
"Jaaron Simmons","Michigan","Sr",0.190057,15.7,2018
"J.T. Miller","Missouri St.","Sr",0.965943,49.8,2018
"Tyler Smithpeters","Southern Illinois","Sr",1.44152,61.8,2018
"Gavin Schilling","Michigan St.","Sr",0.948263,23.3,2018
"B.J. Johnson","La Salle","Sr",3.70855,72.2,2018
"Luke Meikle","Cal Poly","Sr",0.744895,61.7,2018
"Ryan Edwards","Portland St.","Sr",1.18434,43.3,2018
"Josh Brown","Temple","Sr",1.89956,82.3,2018
"Anthony Johnson","Northern Colorado","Sr",1.20246,46.4,2018
"Tre'Shaun Fletcher","Toledo","Sr",3.99643,79.5,2018
"David Tillman","Arkansas Pine Bluff","Sr",-0.652106,9.6,2018
"Andrew Dakich","Ohio St.","Sr",0.914421,47,2018
"Khris Lane","VCU","Sr",1.10237,36,2018
"Kameron Rooks","San Diego St.","Sr",0.924553,23,2018
"Shannon Evans II","Arizona St.","Sr",4.11481,86.6,2018
"Josh Kozinski","Central Michigan","Sr",1.67311,60.2,2018
"Sam Burmeister","Incarnate Word","Sr",0.186653,54.3,2018
"Adonis Rwabigwi","UT Rio Grande Valley","Sr",-0.276065,19.1,2018
"Raekwon Harney","North Carolina Central","Sr",-0.266449,21.2,2018
"B.J. Glasford","Stetson","Sr",0.65077,66.9,2018
"Nigel Johnson","Virginia","Sr",0.785543,37.5,2018
"Marcus Foster","Creighton","Sr",4.12289,79.4,2018
"Tommy Hamilton IV","Texas Tech","Sr",0.719896,34.8,2018
"Austin Ruder","Oral Roberts","Sr",2.3749,54.8,2018
"Reggie Dillard","Presbyterian","Sr",1.46147,85.6,2018
"Brian Dawkins","Elon","Sr",1.72124,62.8,2018
"Wesley Myers","South Carolina","Sr",1.27744,54.3,2018
"Devin Harris","Jacksonville","Sr",1.06657,76.1,2018
"Alain Chigha","Quinnipiac","Sr",-0.692222,27.2,2018
"Ben Emelogu II","SMU","Sr",2.89485,79.3,2018
"Devin Wilson","Virginia Tech","Sr",0.95542,40.4,2018
"De'von Barnett","Sacred Heart","Sr",0.465591,34.9,2018
"Henry Caruso","Santa Clara","Sr",3.40902,90.4,2018
"Ethan Lee","Central Arkansas","Sr",0.365873,32.7,2018
"James Currington","Southeastern Louisiana","Sr",0.918431,39.3,2018
"Monty Boykins","Pittsburgh","Sr",-0.416116,8.8,2018
"Graham Woodward","Drake","Sr",0.990859,57.6,2018
"Geno Thorpe","Syracuse","Sr",0.398771,5.7,2018
"George King","Colorado","Sr",2.50451,70.5,2018
"Matt Mobley","St. Bonaventure","Sr",3.68966,92.5,2018
"Aram Martin","Bryant","Sr",-1.27885,6.3,2018
"Leland King II","UC Santa Barbara","Sr",3.44809,81.4,2018
"Mason Ramsey","Tennessee Tech","Sr",1.39118,69.2,2018
"Lexus Williams","Boise St.","Sr",2.07797,64.9,2018
"John Egbunu","Florida","Sr",0.448576,0.1,2018
"Desmond Ringer","Mercer","Sr",2.00377,64.3,2018
"Jaylen Shaw","Coastal Carolina","Sr",2.40636,77.8,2018
"Richaud Gittens","Seattle","Sr",1.30942,78.8,2018
"Nick Davis","South Alabama","Sr",-0.551824,57.7,2018
"JoJo McGlaston","Bradley","Sr",-0.219201,12.5,2018
"Javaris Jenkins","Savannah St.","Sr",1.25872,54.9,2018
"Calvin Hermanson","Saint Mary's","Sr",3.46653,79.7,2018
"Malcolm Allen","Northern Arizona","Sr",-1.08907,1.5,2018
"Jairus Lyles","UMBC","Sr",3.5142,83.3,2018
"Julian Moore","Penn St.","Sr",0.836173,29,2018
"David Onuorah","Connecticut","Sr",-0.747034,23.9,2018
"Matt Willms","UTEP","Sr",1.4484,41.4,2018
"Frank Booker","South Carolina","Sr",3.4987,67,2018
"Bobby Word","Cleveland St.","Sr",0.697246,67.7,2018
"Amadi Udenyi","Pepperdine","Sr",-1.28522,49.5,2018
"Jordan Hill","Seattle","Sr",1.66076,83.3,2018
"Keith Frazier","UTEP","Sr",1.28857,36.8,2018
"Collin Hartman","Indiana","Sr",1.03314,28.2,2018
"Chris Jenkins","NJIT","Sr",0.229218,8.5,2018
"Jamall Robinson","LIU Brooklyn","Sr",-0.104645,43.2,2018
"Manu Lecomte","Baylor","Sr",4.41303,84.2,2018
"Kendell Ramlal","UTSA","Sr",0.170698,20,2018
"Perrion Callandret","Idaho","Sr",1.40988,57.9,2018
