"team","conf","conf_rank","stars_5","stars_4","stars_3","num_star_players","avg_recruit_score","composite_score"
"Memphis","AAC",1,2,2,2,6,96.53,69.66
"Kentucky","SEC",1,3,1,0,4,99.33,69.45
"Michigan","Big-Ten",1,2,3,1,6,96.86,69.36
"Gonzaga","WCC",1,2,2,0,4,99,69.06
"Tennessee","SEC",2,2,2,3,7,94.16,69.03
"Duke","ACC",1,3,1,0,4,98.37,68.82
"LSU","SEC",4,1,2,2,5,94.58,65.97
"Creighton","Big-East",2,0,4,1,5,96.33,65.61
"Florida State","ACC",2,1,2,1,4,95.55,65.46
"Connecticut","Big-East",1,0,4,0,4,97.51,65.34
"Kansas","Big-12",2,0,4,0,4,96.21,63.68
"Michigan State","Big-Ten",2,1,2,0,3,98.3,63.03
"Colorado","Pac-12",2,0,3,2,5,93.33,62.81
"Alabama","SEC",3,1,2,0,3,97.5,62.45
"Baylor","Big-12",1,1,2,0,3,97.32,62.13
"Georgetown","Big-East",3,1,1,3,5,93.15,60.98
"Louisville","ACC",4,0,3,1,4,93.44,60.47
"Nebraska","Big-Ten",3,0,2,3,5,90.78,59.79
"Marquette","Big-East",4,0,2,3,5,92.57,58.64
"Stanford","Pac-12",1,1,1,1,4,94.16,57.76
"Dayton","A-10",1,0,1,3,4,92.38,57.58
"Villanova","Big-East",5,0,2,1,3,94.66,57.02
"Illinois","Big-Ten",4,0,3,0,3,95.57,57.01
"Miami","ACC",5,0,2,1,3,95.2,56.73
"NC State","ACC",3,0,2,1,3,94.44,56.37
"Texas A&amp;M","SEC",5,0,2,1,3,93.54,55.14
"Arizona State","Pac-12",3,0,1,4,6,90.48,54.73
"South Carolina","SEC",7,0,1,3,4,90.1,53.81
"Georgia Tech","ACC",6,0,1,2,3,93.09,53.8
"Seton Hall","Big-East",6,0,1,2,3,93.31,53.41
"Ole Miss","SEC",6,0,1,3,4,90.62,52.6
"Wisconsin","Big-Ten",6,0,0,4,4,91.96,52.58
"SMU","AAC",2,0,1,3,4,90.47,52.54
"UCLA","Pac-12",4,1,1,0,2,98.74,51.92
"Northwestern","Big-Ten",9,0,1,2,3,92.83,51.6
"Oklahoma","Big-12",3,0,1,3,4,90.12,51.45
"Indiana","Big-Ten",5,0,2,0,2,98.06,50.7
