team,departing_ppg,returning_ppg,mins,off_coeff,def_coeff,yusag_coeff,stars_5,stars_4,stars_3,num_star_players,avg_recruit_score,composite_score
A&M-Corpus Christi,1.94167614,1.94167614,0.828,-2.87163738152339,-2.54529765602373,-5.41693503754713,NA,NA,NA,NA,NA,NA
Abilene Christian,4.884375334,4.884375334,0.473,4.40609062087547,-1.58924587489559,2.81684474597986,0,0,0,NA,0,NA
Air Force,3.685007155,3.685007155,0.755,-9.08617160776048,3.36125467512691,-5.72491693263354,NA,NA,NA,NA,NA,NA
Akron,3.711428404,3.711428404,0.627,-3.47053538757247,5.56294023660628,2.09240484903386,NA,NA,NA,NA,NA,NA
Alabama,10.17436886,10.17436886,0.407,14.122811534899,-1.02293419222733,13.0998773426717,2,2,1,5,96.06,68.34
Alabama A&M,1.544377446,1.544377446,0.657,-12.031577579849,0.20471651707795,-11.826861062771,NA,NA,NA,NA,NA,NA
Alabama St.,6.947461724,6.947461724,0.28,-2.5454806456213,-7.91923171720265,-10.464712362824,NA,NA,NA,NA,NA,NA
UAlbany,4.009810366,4.009810366,0.27699999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcorn,4.955764174,4.955764174,0.415,-3.92666511272701,-3.25709168503039,-7.18375679775741,NA,NA,NA,NA,NA,NA
American,1.057596207,1.057596207,0.703,-9.64378371920514,-3.3987493333271,-13.042533052532301,NA,NA,NA,NA,NA,NA
App State,6.109488666,6.109488666,0.359,NA,NA,NA,0,0,1,3,89.15,19.15
Arizona,13.03293645,13.03293645,0.461,17.3857246896232,3.65811944859783,21.0438441382212,0,2,0,4,96.81,48.7
Arizona St.,7.651646733,7.651646733,0.534,0.0590033645440822,6.82610356763323,6.88510693217736,0,1,1,2,92.33,40.84
Ark.-Pine Bluff,7.37366426,7.37366426,0.254,-5.6858273745917,-11.4373451303596,-17.1231725049512,NA,NA,NA,NA,NA,NA
Arkansas,14.45548105,14.45548105,0.166,9.55267859867978,6.13407983358472,15.6867584322645,3,3,0,6,97.74,69.98
Arkansas St.,6.518745646,6.518745646,0.479,-1.41927194072829,-0.0689218854224114,-1.48819382615069,NA,NA,NA,NA,NA,NA
Army West Point,1.239947081,1.239947081,0.7140000000000001,-3.2535934698382,-6.00354133370006,-9.2571348035383,NA,NA,NA,NA,NA,NA
Auburn,8.976593137,8.976593137,0.647,11.5524133256013,6.71415726797839,18.2665705935797,1,1,1,3,97,61.58
Austin Peay,1.423848346,1.423848346,0.597,-8.16430731537707,-0.127959455061633,-8.29226677043869,NA,NA,NA,NA,NA,NA
Ball St.,2.439308763,2.439308763,0.705,1.0855671266804,-7.80477983501987,-6.71921270833945,NA,NA,NA,NA,NA,NA
Baylor,11.82416248,11.82416248,0.529,11.7839891559426,8.87360396981665,20.6575931257592,1,0,1,3,95.98,47.54
Bellarmine,9.846634984,9.846634984,0.579,-3.27564944677911,0.912418070210177,-2.36323137656895,NA,NA,NA,NA,NA,NA
Belmont,10.82398432,10.82398432,0.28800000000000003,6.3611129018745,1.44015645585309,7.80126935772754,NA,NA,NA,NA,NA,NA
Bethune-Cookman,3.171773627,3.171773627,0.431,-8.79315005866223,-3.94049092311024,-12.7336409817725,NA,NA,NA,NA,NA,NA
Binghamton,1.580077767,1.580077767,0.6729999999999999,-6.41166435962195,-2.04010792576173,-8.45177228538365,NA,NA,NA,NA,NA,NA
Boise St.,6.631832004,6.631832004,0.541,1.80694754866873,9.80970844692049,11.6166559955892,0,1,0,3,95.33,25.33
Boston College,3.301653564,3.301653564,0.7170000000000001,-0.0725218803987442,3.77931952790063,3.70679764750187,0,2,1,4,91.62,50.03
Boston U.,8.190980911,8.190980911,0.6859999999999999,-0.99990632559057,-3.09926121670952,-4.09916754230009,0,0,0,1,0,0
