team,off_coeff,def_coeff,yusag_coeff,off_sd,def_sd,yusag_sd,departing_ppg,returning_ppg,transfer_ppg,net_ppg,mins,stars_5,stars_4,stars_3,num_star_players,avg_recruit_score,composite_score
Brown,1.720972779,-5.145386731,-3.424413952,0.346762419,0.320902536,0.472464404,0,7.507452,0,7.507452,0.938187638,0,0,0,0,0,0
Bryant,-2.784768303,-9.615982034,-12.40075034,0.292121817,0.359696801,0.463375598,1.017011,2.567309,1.0668,2.617098,0.694260162,0,0,0,0,0,0
Bucknell,2.066418184,-1.148147828,0.918270357,0.422157104,0.291102537,0.51279363,9.85573,1.589026,0,-8.266704,0.595507653,0,0,0,2,80,18
Buffalo,10.4921071,0.039811195,10.5319183,0.598848024,0.405527981,0.723237098,3.67753,11.82841,0,8.15088,0.82346942,0,1,1,2,91.09,38.5
Butler,6.534135411,6.315836535,12.84997195,0.464051521,0.379009005,0.599159111,8.04285,11.7315998,0,3.6887498,0.73157439,0,0,2,2,85.52,28.6
BYU,1.615392808,3.672279079,5.287671888,0.264560549,0.210063506,0.33781498,4.765522,5.7334349,0,0.9679129,0.707319549,0,0,1,1,90.52,20.52
Cal Poly,-5.109431063,-4.700412895,-9.809843958,0.229627754,0.226254361,0.32236616,3.229453,1.912451,0,-1.317002,0.538052801,0,0,0,0,0,0
Cal St. Fullerton,2.343677672,0.20054642,2.544224092,0.350817502,0.277983206,0.447602036,0,7.914625,0,7.914625,0.904580916,0,0,1,1,86.81,16.81
California,-0.737230837,0.813568905,0.076338068,0.469647491,0.426029795,0.634090019,4.097246,3.621216,2.56819,2.09216,0.563512703,0,2,2,4,90.52,52.67
California Baptist,-8.554573298,-5.105342384,-13.65991568,0.354183505,0.179328372,0.396994484,0,0,1.485887,1.485887,0.7,0,0,0,0,0,0
Campbell,-1.216976759,-2.165896283,-3.382873041,0.264764862,0.25091606,0.364772945,3.484807,7.050096,0,3.565289,0.56770537,0,0,0,0,0,0
Canisius,0.75720222,0.2077018,0.96490402,0.26351773,0.256411713,0.36767997,3.08222,7.17719,0,4.09497,0.706859903,0,0,0,0,0,0
Central Ark.,2.845493146,-6.305931937,-3.460438791,0.482635299,0.375470616,0.611485908,6.81914,2.152662,0,-4.666478,0.587234894,0,0,2,2,85,27.21
Central Conn. St.,-5.85637267,-1.491595225,-7.347967895,0.329071358,0.215405193,0.393303135,2.032781,5.03429,0,3.001509,0.515300529,0,0,0,0,0,0
Central Mich.,0.504354003,-1.682502206,-1.178148203,0.397812128,0.380571049,0.550535024,6.76706,8.65837,0,1.89131,0.560955399,0,0,0,0,0,0
Charleston So.,-3.695086686,-1.062079156,-4.757165841,0.232581423,0.236615497,0.331784587,1.313381,4.60348097,0,3.29009997,0.660090692,0,0,0,0,0,0
Charlotte,-1.96693115,-5.893591637,-7.860522787,0.230290542,0.244625327,0.335969171,2.231524,3.9066279,0,1.6751039,0.655586576,0,0,0,0,0,0
Chattanooga,-5.692230786,-2.680102079,-8.372332865,0.490504083,0.349672424,0.602382819,8.209967,-0.26158,1.17753,-7.294017,0.223528977,0,0,2,2,86.05,29.11
Chicago St.,-4.873950305,-10.99728226,-15.87123256,0.287228016,0.400881152,0.493158829,3.4531611,0.1138876,0,-3.3392735,0.596857456,0,0,0,0,0,0
Cincinnati,1.726757528,12.02000328,13.74676081,0.431349177,0.446936235,0.621139365,10.17724,6.37544,0,-3.8018,0.587482503,0,0,3,3,89.01,42.65
Clemson,4.636020139,9.420784465,14.0568046,0.390157536,0.335270184,0.514421033,7.78469,9.4475,1.99473,3.65754,0.591681664,0,0,3,3,89.73,44.71
Cleveland St.,-5.932367591,-3.164015267,-9.096382857,0.283268509,0.223434745,0.360782668,5.536554,2.164781,0,-3.371773,0.344931014,0,0,0,0,0,0
Coastal Caro.,-4.064613701,-1.406930184,-5.471543885,0.23357759,0.244946295,0.338462964,5.35795,1.664806,0,-3.693144,0.506199275,0,0,0,0,0,0
Col. of Charleston,-1.164947527,2.65999501,1.495047483,0.363581086,0.335536739,0.494748531,4.92833,8.266029,-0.294285,3.043414,0.64964199,0,0,0,0,0,0
Colgate,-3.353741881,-0.62314437,-3.976886252,0.262784298,0.223982869,0.34528816,4.92659,4.97563,0,0.04904,0.63020497,0,0,0,0,0,0
Colorado,2.306492654,4.001143408,6.307636062,0.390942771,0.240592042,0.459043332,3.70585,8.152591,0,4.446741,0.67384464,0,0,3,3,85.43,34.35
Colorado St.,0.409924913,-2.745929199,-2.336004285,0.25007001,0.211230735,0.32734299,4.477921,5.46052,1.4501,2.432699,0.653044276,0,0,1,1,90.32,20.32
Columbia,3.677051457,-3.834003866,-0.156952408,0.381504832,0.328822871,0.503657043,0.31651,8.117636,0,7.801126,0.571834787,0,0,1,1,86.78,16.78
Coppin St.,-9.505572709,-4.522639682,-14.02821239,0.393766757,0.357060815,0.531549325,-0.380448,0.2686677,0,0.6491157,0.664056838,0,0,0,0,0,0
Cornell,0.811143826,-5.61102129,-4.799877465,0.262935345,0.314750659,0.410125557,3.10758,7.04307,0,3.93549,0.8138,0,0,0,0,0,0
Creighton,6.808262048,3.394401025,10.20266307,0.485726621,0.409324015,0.635198001,13.08184,3.88916,2.57264,-6.62004,0.466362808,0,3,0,3,93.59,53.1
CSU Bakersfield,-5.472653746,1.580369577,-3.892284169,0.317676874,0.320329751,0.451142711,0.2489894,5.268874,0,5.0198846,0.619327928,0,0,0,1,0,0
CSUN,-6.684251954,-3.807479627,-10.49173158,0.268797486,0.226398949,0.351437864,3.386934,1.65734,0,-1.729594,0.430401298,0,0,0,0,0,0
Dartmouth,-3.518342501,-0.966786861,-4.485129362,0.3911611,0.250886975,0.464705584,2.93126,3.7090019,0,0.7777419,0.716047208,0,0,2,2,84.67,26.56
Davidson,0.611379715,5.053658039,5.665037754,0.661198803,0.578494951,0.878544402,10.59506,10.52334,0,-0.07172,0.525410164,0,0,0,0,0,0
Dayton,3.44929234,1.667987376,5.117279716,0.506631111,0.338390518,0.609248082,2.97584,10.98198,0,8.00614,0.5914,0,1,1,2,90.39,37.36
Delaware,-4.737739669,-1.532983714,-6.270723384,0.230867198,0.210439357,0.312384997,4.16793,3.08586,0,-1.08207,0.691429454,0,0,0,0,0,0
Delaware St.,-9.450172477,-7.293262829,-16.74343531,0.368837899,0.314538738,0.484743245,1.433921,0.51432,0,-0.919601,0.580325071,0,0,0,0,0,0
Denver,-2.2465504,-0.537566793,-2.784117193,0.225942023,0.160682527,0.277252001,4.07356,4.38682,2.16241,2.47567,0.673632034,0,0,1,1,85.78,15.78
DePaul,2.575372047,3.569633718,6.145005765,0.370066098,0.297542807,0.474848017,5.32253,4.73654,2.770689,2.184699,0.529627844,0,0,3,3,89.23,44.59
