"team","departing_ppg","returning_ppg","transfer_ppg","net_ppg","mins"
"Butler",12.11789,8.33755,0,-3.78034,0.731574390057556
"BYU",7.23049,5.89636,0,-1.33413,0.707319549428526
"Cal Poly",4.190836,3.1056587,0,-1.0851773,0.538052800804219
"Cal St. Bakersfield",5.325663,2.399539,0,-2.926124,0.619327927646967
"Cal St. Fullerton",4.065296,2.605529,0,-1.459767,0.904580916183237
"Cal St. Northridge",6.508867,3.98629,0,-2.522577,0.430401298338524
"California",11.6303,0.718318,2.32726,-8.584722,0.563512702540508
"Campbell",0.938938,8.47451,0,7.535572,0.567705370134173
"Canisius",8.24198,3.069075,0,-5.172905,0.706859903381642
"Central Arkansas",2.103536,5.299675,0,3.196139,0.587234893957583
"Central Connecticut",1.073748,1.210929,0,0.137181,0.51530052933254
"Central Michigan",9.11165,6.78912,0,-2.32253,0.560955399105578
"Charleston Southern",1.902699,6.0728,0,4.170101,0.660090692003911
"Charlotte",2.866684,6.997653,0,4.130969,0.655586576170164
"Chattanooga",11.397179,-0.675873,0,-12.073052,0.223528976663338
"Chicago St.",3.172817,0,0,-3.172817,0.596857456418231
"Cincinnati",4.4237,13.81211,3.04995,12.43836,0.5874825034993
"Clemson",10.05124,7.97475,1.05223,-1.02426,0.591681663667266
"Cleveland St.",3.014607,1.629512,0.305268,-1.079827,0.344931013797241
"Coastal Carolina",2.42007,4.494622,0,2.074552,0.506199275464068
"Colgate",0,5.5237,0,5.5237,0.630204969577484
"College of Charleston",0,10.363313,0,10.363313,0.649641989616905
"Colorado",11.296337,2.14531,1.13097,-8.020057,0.673844640267329
"Colorado St.",8.73004,4.906577,0,-3.823463,0.653044275654446
"Columbia",2.47829,3.726621,0,1.248331,0.571834787218661
"Connecticut",6.96769,4.9249,1.01823,-1.02456,0.680211271832423
"Coppin St.",-0.66171,1.561723,-0.443007,1.780426,0.664056838182006
"Cornell",0.991205,5.256413,0,4.265208,0.8138
"Creighton",11.10731,8.38415,0,-2.72316,0.466362807657247
"Dartmouth",5.687215,1.999089,0,-3.688126,0.716047208032412
"Davidson",4.81916,8.514397,0,3.695237,0.525410164065626
"Dayton",13.742905,3.162022,0,-10.580883,0.5914
"Delaware",0.024183,4.172455,0,4.148272,0.691429453694099
"Delaware St.",3.65278,0.265972,0,-3.386808,0.580325070682615
"Denver",1.2278,8.42462,0,7.19682,0.673632034211294
"DePaul",2.76458,5.466244,2.5213,5.222964,0.529627843974562
"Detroit",0.9440444,6.496715,1.2935,6.8461706,0.271632849149381
"Drake",1.988704,6.186821,0,4.198117,0.173034606921384
"Drexel",4.74081,4.14465658,1.25121,0.65505658,0.541479234765501
"Duke",19.81124,4.1091,0,-15.70214,0.223444688937788
"Duquesne",4.866064,2.565558,0,-2.300506,0.404919016196761
"East Carolina",2.07509,2.667538,0,0.592448,0.664732224456224
"East Tennessee St.",7.57212,3.34237,1.993466,-2.236284,0.2432
"Eastern Illinois",3.6610424,4.556301,0,0.8952586,0.341366189527088
"Eastern Kentucky",-0.1215176,6.870745,0,6.9922626,0.553563495528523
"Eastern Michigan",6.343034,4.90672,2.535857,1.099543,0.739239431075384
"Eastern Washington",6.05833,6.783195,0,0.724864999999999,0.669843412852442
"Elon",1.0395,9.288197,0,8.248697,0.700620372223334
"Evansville",6.144603,4.335069,0,-1.809534,0.438887777555511
"Fairfield",3.062323,4.186499,0,1.124176,0.615398791548209
"Fairleigh Dickinson",4.93734,5.082792,0,0.145452,0.764105642256903
"FIU",9.46209,-0.205377,0,-9.667467,0.660524757102976
"Florida",10.64633,8.81632,4.726902,2.896892,0.6898
"Florida A&M",-0.2317881,3.045166,0,3.2769541,0.538990219402591
"Florida Atlantic",2.66687,3.092361,0,0.425491,0.384521447107312
"Florida Gulf Coast",4.5483,7.325457,0,2.777157,0.419049702419118
"Florida St.",9.53689,2.81411,0,-6.72278,0.693085646924922
"Fordham",5.1797,1.413695,0,-3.766005,0.402838603840464
"Fort Wayne",5.166902,9.58962,0,4.422718,0.570605465606592
"Fresno St.",1.699535,9.52412,0,7.824585,0.383304990324283
"Furman",2.4423,9.022622,0,6.580322,0.534151678862067
"Gardner Webb",4.709629,3.149245,0,-1.560384,0.705279858614665
"George Mason",6.48518,5.894497,0,-0.590682999999999,0.999200159968006
"George Washington",8.506985,2.841952,-0.0218281,-5.6868611,0.420315936812637
"Georgetown",7.73696,4.642291,1.19639,-1.898279,0.673665266946611
"Georgia",4.84739,8.413058,0,3.565668,0.699719996137878
"Georgia Southern",-0.601875,9.252278,0.802545,10.656698,0.555708077974757
"Georgia St.",2.377505,6.666988,0,4.289483,0.770108043217287
"Georgia Tech",-0.242742,7.7872581,0.576171,8.6061711,0.592424750379208
"Gonzaga",12.64108,6.1403,0,-6.50078,0.691185288826704
"Grambling St.",3.074709,-1.233953,-0.733735,-5.042397,0.711171194673578
"Grand Canyon",3.55544,4.3332997,1.82391,2.6017697,0.475389912902572
"Green Bay",8.207927,1.0598,1.15414,-5.993987,0.661033760392156
"Hampton",1.78789,2.953869,0,1.165979,0.838006913142887
"Hartford",2.48578,1.4771543,0,-1.0086257,0.794758951790358
"Harvard",3.48638,9.20118,0,5.7148,0.99077726382701
"Hawaii",2.04314,4.2602755,0,2.2171355,0.780796528185887
"High Point",6.39009,1.039139,0,-5.350951,0.515252659098235
"Hofstra",5.358321,8.43679,-0.026284,3.052185,0.748949789957992
"Holy Cross",3.663186,3.48627,0,-0.176916,0.896129164695697
"Houston",8.225705,7.88526,0.664422,0.323977000000001,0.540875474715171
"Houston Baptist",5.519172,3.46892,0,-2.050252,0.661322543754252
"Howard",-1.13334,1.75693,0,2.89027,0.903827281648675
"Idaho",0,7.316638,0,7.316638,0.245950809838032
"Idaho St.",2.498321,3.812931,0,1.31461,0.614285984526039
"Illinois",9.222899,3.686292,3.05607,-2.480537,0.412682536507302
"Illinois Chicago",-0.0690426,6.618803,0,6.6878456,0.684788189987163
"Illinois St.",10.339269,3.41973,0.490099,-6.42944,0.828175211431905
"Incarnate Word",0.189008,6.983653,0,6.794645,0.632342609748138
"Indiana",7.87586,7.43679,0,-0.439069999999999,0.593666539488745
"Indiana St.",3.3913615,3.1232,0,-0.2681615,0.633634354373699
"Iona",6.76612,7.25951,0.833518,1.326908,0.43
"Iowa",4.27918,10.218263,0,5.939083,0.904858431962336
"Iowa St.",17.60213,3.54765,2.04874,-12.00574,0.704166520894892
"IUPUI",6.25087,5.129411,0,-1.121459,0.539817785580241
"Jackson St.",2.553414,1.419462,-0.0979428,-1.2318948,0.481972215650632
"Jacksonville",4.34839,2.661458,1.23407,-0.452862000000001,0.616419296601049
"Jacksonville St.",4.84811,4.737078,0,-0.111032,0.593648288785876
"James Madison",5.534309,1.760213,1.4127,-2.361396,0.745952428542874
"Kansas",13.64992,9.70809,1.75015,-2.19168,0.463414634146342
"Kansas St.",8.87082,7.39037,0.374126,-1.106324,0.889944077275038
"Kennesaw St.",6.184916,2.4703764,0,-3.7145396,0.48222795027896
"Kent St.",6.51007,5.581526,-0.721569,-1.650113,0.640641124449728
"Kentucky",20.33113,1.18396,0,-19.14717,0.330866173234647
"La Salle",5.40784,9.69242,0,4.28458,0.525854785106743
"Lafayette",2.41814,0.3197928,0,-2.0983472,0.739617174466591
"Lamar",0.958267,7.432189,0,6.473922,0.384408977092341
"Lehigh",7.536188,4.829853,0,-2.706335,0.848758855036572
"Liberty",-0.1694032,6.754983,0,6.9243862,0.774418362802528
"Lipscomb",3.95238,5.6273688,0.298095,1.9730838,0.885233987811474
"Little Rock",7.204499,-0.243851,0,-7.44835,0.69566319001665
"LIU Brooklyn",4.353132,2.181917,0.525819,-1.645396,0.643928785757152
"Long Beach St.",7.36605,1.57726,0,-5.78879,0.783332220648847
"Longwood",2.231632,-0.3803172,0,-2.6119492,0.540959864993434
"Louisiana Lafayette",6.13581,6.383734,0,0.247924000000001,0.597358662416238
"Louisiana Monroe",2.54352,3.661025,0,1.117505,0.494099422616533
"Louisiana Tech",3.9563,9.157849,0,5.201549,0.74131913615385
"Louisville",8.97484,9.89914,1.79346,2.71776,0.437616362030305
"Loyola Chicago",3.13182,11.43827,1.46901,9.77546,0.584777107261048
"Loyola Marymount",8.444132,0,0,-8.444132,0.855628874225155
"Loyola MD",1.743523,5.234148,0,3.490625,0.70251591110812
