"team","conf","conf_rank","stars_5","stars_4","stars_3","num_star_players","avg_recruit_score","composite_score"
"Duke","ACC",1,4,2,1,7,98.3,71.11
"Arkansas","SEC",1,3,3,0,6,97.74,69.98
"Alabama","SEC",3,2,2,1,5,96.06,68.34
"Kansas","Big-12",1,1,3,0,4,98.78,68.14
"Kentucky","SEC",2,2,1,1,4,97.15,67.92
"Texas","Big-12",2,2,1,1,4,96.12,66.71
"USC","Pac-12",2,1,2,1,5,97.03,66.27
"Ohio State","Big-Ten",3,0,4,1,5,95.14,66.22
"Indiana","Big-Ten",1,1,2,1,4,96.16,65.88
"Illinois","Big-Ten",2,0,4,0,4,97.2,65.73
"Michigan","Big-Ten",4,0,4,0,5,96.98,65.68
"UCLA","Pac-12",1,2,1,0,4,99.13,64.87
"Virginia","ACC",2,0,4,0,4,96.62,64.24
"Florida State","ACC",4,0,4,2,6,92.75,63.46
"Texas Tech","Big-12",3,0,3,1,4,94.9,62.84
"LSU","SEC",6,0,3,1,4,93.76,62.48
"North Carolina","ACC",3,0,3,0,3,97.82,62.15
"Villanova","Big-East",1,1,2,0,3,97.31,61.91
"Syracuse","ACC",5,0,3,3,6,92.52,61.64
"Auburn","SEC",5,1,1,1,3,97,61.58
"Tennessee","SEC",4,1,2,1,4,93.45,61.39
"Notre Dame","ACC",6,1,1,1,3,96.42,60.31
"Miami","ACC",8,0,2,2,4,93.36,58.39
"Vanderbilt","SEC",10,0,3,2,5,91.8,57.51
"Ole Miss","SEC",8,0,2,2,4,92.6,57.27
"Louisville","ACC",10,0,2,1,3,93.12,55.04
"Penn State","Big-Ten",5,0,1,4,5,90.64,54.18
"Virginia Tech","ACC",9,0,1,2,4,93.12,53.28
"Houston","AAC",1,1,1,0,2,99.07,52.45
"Purdue","Big-Ten",8,0,2,1,3,92.82,52.43
"South Carolina","SEC",7,1,0,2,3,91.82,52.21
"Clemson","ACC",11,0,0,4,4,90.67,50.58
"Boston College","ACC",12,0,2,1,4,91.62,50.03
"Nebraska","Big-Ten",7,0,1,3,4,89.52,50.02
"Cincinnati","AAC",2,0,1,2,3,91.32,49.57
"Michigan State","Big-Ten",9,0,2,0,3,97.34,49.31
"Oklahoma","Big-12",4,0,2,0,3,97.23,49.05
"Xavier","Big-East",4,0,2,0,2,97.17,49.05
"Missouri","SEC",9,0,1,2,3,90.9,48.99
"Iowa State","Big-12",6,0,0,3,3,91.61,48.81
"Arizona","Pac-12",3,0,2,0,4,96.81,48.7
"Baylor","Big-12",5,1,0,1,3,95.98,47.54
"Washington","Pac-12",5,0,1,2,3,90.73,47.28
"Minnesota","Big-Ten",6,0,0,5,5,88.82,46.4
"Seton Hall","Big-East",5,0,0,3,3,90.27,45.75
"VCU","A-10",2,0,2,0,2,95.02,45.12
"Florida","SEC",11,0,1,1,3,94.59,44.65
"Oregon","Pac-12",4,1,0,1,3,93.47,43.51
"West Virginia","Big-12",8,0,0,3,5,88.37,42.98
"Stanford","Pac-12",9,0,1,1,2,93.78,42.92
"New Mexico","M-West",1,0,0,3,3,88.36,42.23
"Georgetown","Big-East",6,0,1,1,2,92.66,41.52
"BYU","WCC",1,0,1,1,2,92.08,41.09
"Arizona State","Pac-12",7,0,1,1,2,92.33,40.84
"Iowa","Big-Ten",10,0,0,2,2,92.49,40.57
"Wake Forest","ACC",13,0,1,1,2,91.93,39.84
"St. John&#39;s","Big-East",9,0,1,1,2,90.91,38.59
"Massachusetts","A-10",1,0,1,1,3,91.05,38.54
"Marquette","Big-East",2,0,0,2,3,91.22,38.39
"UCF","AAC",3,0,1,1,2,90.4,38.14
"Ohio","MAC",1,0,0,3,4,86.61,37.95
"San Diego State","M-West",2,0,0,2,2,90.64,37.38
"Creighton","Big-East",3,0,0,2,3,90.62,37.33
