team,departing_ppg,returning_ppg,mins,off_coeff,def_coeff,yusag_coeff,stars_5,stars_4,stars_3,num_star_players,avg_recruit_score,composite_score
A&M-Corpus Christi,2.182681361,0.780615805,0.404226115772671,-8.59129845573207,-4.85131441067777,-13.4426128665242,NA,NA,NA,NA,NA,NA
Abilene Christian,3.648102522,3.51386182,0.741610994741445,0.240815892398841,4.49014875772421,4.73096465000864,NA,NA,NA,NA,NA,NA
Air Force,1.402212769,3.971133947,0.519310639288902,-10.1233465192082,-1.26447859794361,-11.3878251172661,0,0,0,3,0,0
Akron,6.399490971,5.565771319,0.613564887614467,3.19471868591014,-0.499038411566127,2.69568027439631,0,0,1,2,85.28,15.28
Alabama,7.410432577,8.20803988,0.462907418516297,13.8893332636236,6.98965985185716,20.8789931153664,1,2,0,3,97.5,62.45
Alabama A&M,0,-0.091536134,0.920633003140855,-13.3600194543451,-3.66079689223315,-17.0208163453593,NA,NA,NA,NA,NA,NA
Alabama St.,1.768198013,-2.578438967,0.592714230154272,-11.3742581248571,-8.48017076763584,-19.8544288937072,NA,NA,NA,NA,NA,NA
Albany (NY),5.147012234,3.98196587,0.454270923209664,-3.54928535524968,-2.70942733394091,-6.2587126889716,0,0,1,1,82.78,12.78
Alcorn,6.856991708,0.542513981,0.263036367134886,-7.59187449118404,-8.4958539662067,-16.087728457505,NA,NA,NA,NA,NA,NA
American,4.365736961,2.378547966,0.815273890443823,-2.86216323237197,-3.48864830954591,-6.35081154183221,0,0,0,1,0,0
Appalachian St.,0,10.79855013,0.920234721305607,-4.4585407284079,1.09886249049112,-3.35967823799779,0,0,0,2,0,0
Arizona,9.215682745,8.396309078,0.52062285661321706,9.76722438478663,6.9174027221593,16.6846271068316,0,1,0,2,96.71,26.71
Arizona St.,11.16140974,3.238199949,0.360736711377136,9.6893979284945,-0.638390856851198,9.0510070715623,0,1,4,6,90.48,54.73
Ark.-Pine Bluff,1.879755571,1.391379952,0.26046046046046,-10.347430176414,-9.04820405479564,-19.3956342313907,NA,NA,NA,NA,NA,NA
Arkansas,11.84357452,3.788760066,0.38454658460419,12.4278123722077,5.85215259532401,18.2799649674174,0,1,0,1,96.1,26.1
Arkansas St.,0,7.827370971,1,-2.79749578720779,-2.42164937863559,-5.2191451659577,NA,NA,NA,NA,NA,NA
Army West Point,4.147407293,2.422230959,0.4974,-1.97338238064574,-0.217863427623667,-2.19124580811707,NA,NA,NA,NA,NA,NA
Auburn,4.329272509,7.247699857,0.597921662669864,9.94328070720324,0.439283698696801,10.3825644058857,1,0,0,1,99.8,29.8
Austin Peay,9.790501267,2.338169932,0.410347277505286,-0.979678503076176,-3.30699830963069,-4.28667681272121,0,0,1,3,86.77,16.77
Ball St.,7.3786093,1.41404596,0.51197628185976,2.30690418854711,-2.83252446006853,-0.525620271635702,0,0,0,1,0,0
Baylor,17.53680086,5.829080105,0.411517696460708,15.5786987608899,9.82159591562335,25.4002946763989,1,2,0,3,97.32,62.13
Bellarmine,10.22439265,4.597211897,0.562322015334064,0.0191073326720588,-0.39743065757335,-0.378323324948914,NA,NA,NA,NA,NA,NA
Belmont,0,14.97438014,0.965661064638339,7.7870695190704,-1.97374271420923,5.81332680474684,0,0,1,2,83.67,13.67
Bethune-Cookman,NA,NA,0.0924924924924925,-4.32939222973207,-9.49383313267777,-13.8232253615242,NA,NA,NA,NA,NA,NA
Binghamton,1.956794381,5.370229006,0.7857442745507,-4.88444174089454,-5.2940858648812,-10.17852760589,NA,NA,NA,NA,NA,NA
Boise St.,5.437613606,8.365970135,0.729373482043906,6.20074535109627,4.02325006422386,10.2239954152391,0,0,1,2,86.35,16.35
Boston College,11.02229154,2.786699116,0.412976470488337,4.46652530415782,-4.0139314838432,0.45259382023362,0,0,1,2,89.64,19.64
Boston U.,0,9.273490831,0.881683210465898,-3.99311903625911,-0.296974574255178,-4.29009361036197,0,0,1,1,83.93,13.93
Bowling Green,3.998495817,7.253204197,0.777555511102221,3.3178563029717,-1.88158494174627,1.43627136114447,NA,NA,NA,NA,NA,NA
Bradley,6.317328095,5.895900011,0.532147497224388,-1.04133248217729,2.2822323574563,1.24089987526467,0,0,0,2,0,0
Brown,NA,NA,0.380539661169079,-6.21045532773207,-3.83145080767777,-10.0419061345242,0,0,1,1,85.06,15.06
Bryant,1.561122298,10.41948605,0.760770500283272,5.10230453940684,-6.74269008363371,-1.6403855442411,NA,NA,NA,NA,NA,NA
Bucknell,1.829006329,3.359755933,0.531103206712102,-1.21635596467173,-6.72728849796572,-7.94364446241841,NA,NA,NA,NA,NA,NA
Buffalo,2.055690289,10.80227995,0.747992182115172,9.2137044701512,-1.02811428303371,8.18559018700321,0,0,1,2,87.51,17.51
Butler,0,12.42184305,0.967760938885612,-2.04573842324059,7.60855683387541,5.5628184105205,0,0,3,3,87.38,39.02
BYU,6.46386075,9.407078028,0.619083680424082,9.55915983723468,7.79713541718097,17.3562952543014,NA,NA,NA,NA,NA,NA
Cal Poly,-0.05097612,3.120165944,0.457685753063994,-10.1393481173404,-0.0178732418213787,-10.1572213592761,NA,NA,NA,NA,NA,NA
Cal St. Fullerton,0.68277669,9.726468205,0.768134356271396,4.90558740974552,-8.65096866310634,-3.74538125344183,NA,NA,NA,NA,NA,NA
California,5.077094734,6.700554013,0.764157197338969,-0.633186814836459,7.68771414405842,7.05452732910761,0,0,2,3,89.74,35.74
California Baptist,4.1734933850000004,8.945819974,0.772574913913107,4.22642451084425,-7.09913975649379,-2.87271524576382,NA,NA,NA,NA,NA,NA
Campbell,0,9.623019934,0.992095164610219,-4.21098829458447,0.0376945619517919,-4.17329373271366,NA,NA,NA,NA,NA,NA
Canisius,1.494274259,7.623349965,0.817941783957584,-1.41459546687507,-5.55626631560621,-6.9708617822956,NA,NA,NA,NA,NA,NA
Central Ark.,3.580749929,2.53222879,0.65203932993445,-1.45434308170661,-8.84985656474387,-10.3041996465648,NA,NA,NA,NA,NA,NA
Central Conn. St.,-0.518716365,3.423621982,0.553181708480342,-5.98195301238648,-8.61613569405105,-14.5980887071518,NA,NA,NA,NA,NA,NA
Central Mich.,7.837988809,0.207632005,0.219803201329866,0.34450209421205,-10.7624489496139,-10.4179468553163,NA,NA,NA,NA,NA,NA
Charleston So.,0.76781828,-0.026629031,0.592288604695553,-7.10385675586646,-6.32264624820674,-13.4265030039542,NA,NA,NA,NA,NA,NA
Charlotte,2.768122349,5.625270009,0.528104084362863,-7.91559217839912,4.1556945110284,-3.75989766735168,0,0,0,2,0,0
Chattanooga,2.636893988,9.336574934,0.871590319437652,-0.955540255606827,1.5369290565503,0.581388800929158,NA,NA,NA,NA,NA,NA
Chicago St.,-2.582529515,0.536781307,0.490800240771771,-11.3188463299613,-14.9007964394599,-26.2196427676356,NA,NA,NA,NA,NA,NA
Cincinnati,4.05182007,5.697379947,0.58448866308531,2.71752793154966,1.43804022774024,4.15556815917555,NA,NA,NA,NA,NA,NA
Clemson,6.224485874,4.144719958,0.512099736175056,-0.940651822559254,12.3987464929184,11.4580946701782,0,0,3,3,90.67,46.34
Cleveland St.,0,7.184924066,0.918687310323543,-3.98578536883345,1.17050751210616,-2.81527785684157,NA,NA,NA,NA,NA,NA
