"team","departing_ppg","returning_ppg","transfer_ppg","net_ppg","mins","off_coeff","def_coeff","yusag_coeff","stars_5","stars_4","stars_3","num_star_players","avg_recruit_score","composite_score"
"A&M-Corpus Chris",2.889423,1.8162569,0,-1.0731661,0.597870157784183,-8.11639500608736,-2.08140123106524,-10.1977962371512,0,0,0,0,0,0
"Abilene Christian",0.968916,4.2436472,0,3.2747312,0.733876855682648,-5.45350450986328,-1.56838264704513,-7.02188715690827,0,0,0,0,0,0
"Air Force",1.802645,3.8337465,0,2.0311015,0.584609376988857,-5.97614855579689,1.86839559597367,-4.10775295982319,0,0,0,0,0,0
"Akron",3.289624,4.98029,-1.49114,0.199526000000001,0.567057530230854,-3.04394386708474,-3.38538791171029,-6.429331778795,0,0,0,0,0,0
"Alabama",5.75933,6.457975,0,0.698644999999999,0.747742323901264,3.27247212304247,7.6274180611013,10.8998901841438,0,1,2,3,90.85,48.52
"Alabama A&M",-0.26113,-0.7335194,0,-0.4723894,0.831046117756831,-15.8241852371256,-5.76441281146214,-21.5885980485877,0,0,0,0,0,0
"Alabama St.",-0.625155,4.1170607,0,4.7422157,0.810407884715446,-6.92025648785568,-8.59549678667031,-15.515753274526,0,0,0,0,0,0
"Albany (NY)",11.2847,0.786974,-0.0507088,-10.5484348,0.200519792083167,-1.4185253336037,2.49421660623743,1.07569127263384,0,0,0,1,0,0
"Alcorn",2.960103,0.718552,0,-2.241551,0.609721514476029,-8.26747231580869,-6.74796533136465,-15.0154376471735,0,0,0,0,0,0
"American",0,6.468506,0,6.468506,0.961397750337945,-9.39653454957207,-3.035881788775,-12.432416338347,0,0,0,0,0,0
"Appalachian St.",3.04386,6.453417,0.483901,3.893458,0.763705482192877,0.582657268791273,-4.15440761920716,-3.57175035041588,0,0,0,0,0,0
"Arizona",20.53255,0,3.19319,-17.33936,0.235341204722834,9.32639059926391,4.77955440127787,14.1059450005418,0,3,0,3,96.82,60.72
"Arizona St.",11.21867,9.95601,4.10727,2.84461,0.50055148251476,12.1851392228955,-0.379954287777625,11.8051849351179,0,4,0,4,96.7,65.59
"Ark.-Pine Bluff",2.113317,0.991252,0,-1.122065,0.653575025176234,-8.8703270111569,-2.92682654888341,-11.7971535600403,0,0,0,0,0,0
"Arkansas",12.596369,3.09396,0.31517,-9.187239,0.202896233233765,10.9637027374123,1.78522649653387,12.7489292339462,0,3,4,7,90.55,54.17
"Arkansas St.",5.258516,4.513674,0,-0.744842,0.555572113354693,0.262586899661629,-8.4439551821979,-8.18136828253628,0,0,0,0,0,0
"Army West Point",1.00629,6.586803,0,5.580513,0.900219956008798,-2.14534891874024,-5.00412369723443,-7.14947261597465,0,0,0,0,0,0
"Auburn",6.331003,11.0253,1.40916,6.103457,0.663794606532605,12.1740164843741,2.7565112048352,14.9305276892093,0,0,0,0,0,0
"Austin Peay",1.58154,7.908183,0,6.326643,0.696182290625625,0.149270524771664,-2.63433291146553,-2.48506238669384,0,0,0,0,0,0
"Ball St.",1.26193,8.114686,2.130219,8.982975,0.715220949263503,0.27949998562365,-0.878923704647334,-0.599423719023649,0,0,1,1,88.13,18.13
"Baylor",12.64394,5.43388,4.27991,-2.93015,0.445,4.1704641464746,8.77118826738249,12.9416524138571,0,1,1,2,92.38,41.11
"Belmont",7.0022,6.7981,0,-0.2041,0.570652710575689,3.75800664821349,2.65878573753156,6.41679238574505,0,0,1,1,84,14
"Bethune-Cookman",2.616928,3.646615,0,1.029687,0.629932377201457,3.40274439691785,-12.9254995436932,-9.52275514677541,0,0,0,0,0,0
"Binghamton",1.628725,3.397416,-0.254897,1.513794,0.669802429178596,-7.8465800313107,-0.978043423456472,-8.82462345476719,0,0,0,0,0,0
"Boise St.",8.98549,6.217753,0,-2.767737,0.569541725035021,5.12942563552113,5.28627875328678,10.4157043888079,0,0,3,3,86.48,37.51
"Boston College",5.01298,12.34324,0,7.33026,0.7902,7.98949565642329,0.2942662515456,8.28376190796889,0,1,1,2,92.41,41.33
"Boston U.",1.769098,5.628448,0,3.85935,0.649524261610739,-4.98273697009,-1.09316974766487,-6.07590671775491,0,0,1,1,83,13
"Bowling Green",1.75452,6.61768,0,4.86316,0.664196969961731,-0.704788260001799,-4.81355523478679,-5.51834349478858,0,0,0,0,0,0
"Bradley",2.66722,6.878545,0,4.211325,0.835398133493424,-3.7892843199886,6.02453058150166,2.23524626151306,0,0,1,1,87,17
"Brown",0,7.507452,0,7.507452,0.938187637527505,1.49434701207417,-7.80554028358097,-6.31119327150678,0,0,0,0,0,0
"Bryant",1.017011,2.567309,1.0668,2.617098,0.694260161639488,-3.81207871916945,-13.0339937183197,-16.8460724374891,0,0,0,0,0,0
"Bucknell",9.85573,1.589026,0,-8.266704,0.595507653292274,7.210693091701,-1.01700992236433,6.19368316933664,0,0,0,2,80,18
"Buffalo",3.67753,11.82841,0,8.15088,0.823469419531639,12.1533449183281,-3.43773560718392,8.71560931114408,0,1,1,2,91.09,38.5
"Butler",8.04285,11.7315998,0,3.6887498,0.731574390057556,9.52988264006352,6.49098721526469,16.0208698553283,0,0,2,2,85.52,28.6
"BYU",4.765522,5.7334349,0,0.9679129,0.707319549428526,2.2506499123323,5.49228227019463,7.74293218252686,0,0,1,1,90.52,20.52
"Cal Poly",3.229453,1.912451,0,-1.317002,0.538052800804219,-6.04888007026528,-5.20648675319188,-11.2553668234572,0,0,0,0,0,0
"Cal St. Fullerton",0,7.914625,0,7.914625,0.904580916183237,0.520353034883845,-0.180747822641367,0.339605212242498,0,0,1,1,86.81,16.81
"California",4.097246,3.621216,2.56819,2.09216,0.563512702540508,-5.40207634309957,0.490304614498943,-4.91177172860052,0,2,2,4,90.52,52.67
"California Baptist",0,0,1.485887,1.485887,0.7,NA,NA,NA,0,0,0,0,0,0
