"team","mins"
"UC Santa Barbara",0.446
"Arkansas Pine Bluff",0.651930386077215
"Portland St.",0.413117376524695
"Indiana",0.417921536131668
"North Carolina St.",0.52749450109978
"Central Michigan",0.4466
"Brown",0.734486071085495
"Columbia",0.47719087635054
"UC Irvine",0.441711657668466
"Montana",0.812
"UAB",0.8496
"Tulane",0.6054
"FIU",0.641328265653131
"BYU",0.420715856828634
"Illinois Chicago",0.645415008790599
"Xavier",0.613077384523095
"Charlotte",0.627074585082983
"Canisius",0.567086582683463
"Wake Forest",0.603879224155169
"Florida Atlantic",0.628738961718341
"Northeastern",0.34753049390122
"Robert Morris",0.6172
"Seattle",0.750249950009998
"Villanova",0.723655268946211
"Howard",0.931780207492868
"Utah St.",0.482303539292142
"Marist",0.825730292116847
"Toledo",0.641743302678929
"Denver",0.681570373499947
"Cal St. Northridge",0.550119801165826
"Maryland",0.415833666533387
"Rice",0.812512492504497
"Abilene Christian",0.536985205917633
"Rider",0.4914
"Boston College",0.476699770817418
"Arizona",0.4378
"Penn St.",0.590445732560464
"Hawaii",0.202040408081616
"San Diego",0.4552
"UC Davis",0.6812
"LSU",0.512683785061578
"Houston Baptist",0.553886791689016
"St. Francis NY",0.490742451679663
"Fresno St.",0.4438
"UMKC",0.712942588517703
"Baylor",0.560287942411518
"Oral Roberts",0.626949220311875
"Ohio",0.860172034406881
"Winthrop",0.7166
"Northern Illinois",0.6654
"Georgia Tech",0.376324735052989
"Morgan St.",0.465506898620276
"Marquette",0.795440911817637
"Weber St.",0.847261095561775
"Maine",0.450490098019604
"Sam Houston St.",0.834466213514594
"Kansas",0.579684063187362
"St. Francis PA",0.430243715217808
"SMU",0.5428
"Richmond",0.581716343268654
"Providence",0.539184326269492
"Louisville",0.573114622924585
"Davidson",0.7666
"Savannah St.",0.300040032025621
"North Florida",0.527694461107779
"Missouri St.",0.742
"Vanderbilt",0.635527105421084
"Washington St.",0.606847697756789
"Akron",0.684726109556178
"Bowling Green",0.69126174765047
"Memphis",0.416366546618647
"Central Arkansas",0.494698939787958
"Murray St.",0.478
"American",0.609756097560976
"Notre Dame",0.665
"Creighton",0.7252
"Duke",0.593457943925234
"Indiana St.",0.630326065213043
"UCLA",0.748549709941988
"Pacific",0.847
"Texas A&M",0.4506
"North Texas",0.666866506794564
"Nevada",0.5326
"UTSA",0.785174733497392
"Hartford",0.611375440380635
"Mississippi Valley St.",0.72814180442143
"Gardner Webb",0.4614
"Prairie View A&M",0.591473178542834
"Chattanooga",0.711683028212612
"Georgia Southern",0.748649189513708
"Northern Arizona",0.798964470630245
"Nebraska",0.573114622924585
"Yale",0.259555733440064
"Tennessee Martin",0.34093637454982
"Morehead St.",0.540108021604321
"Tennessee",0.450290058011602
"Texas St.",0.420884176835367
"Jackson St.",0.731546309261852
"Mississippi",0.418131415299318
"Wyoming",0.7468
"Minnesota",0.5816
"Illinois",0.753049390121976
"UTEP",0.550654853620955
"Loyola Chicago",0.482703459308138
"Texas",0.368273654730946
"Maryland Eastern Shore",0.596319263852771
"Western Illinois",0.613081166272656
"Fairleigh Dickinson",0.847430513897221
"Cornell",0.975305275536203
"Fort Wayne",0.566240503983695
"West Virginia",0.657931586317263
"Oklahoma",0.434513097380524
"Southern Illinois",0.669467787114846
"San Diego St.",0.669466106778644
"Nebraska Omaha",0.440423830467813
"DePaul",0.4878
"UT Rio Grande Valley",0.373541615402239
"Chicago St.",0.666221837726403
"South Dakota",0.206641328265653
"Montana St.",0.608434939036578
"Oklahoma St.",0.599960814830193
"Wagner",0.647116229140236
"Bethune Cookman",0.462
"Wofford",0.4938
"Cal Poly",0.543603455368161
"Towson",0.700740148029606
"Delaware St.",0.780487804878049
"Norfolk St.",0.539507901580316
"Vermont",0.8568
"Liberty",0.767013676632939
"Cal St. Bakersfield",0.679993359292463
"Presbyterian",0.6304
"Boise St.",0.376524695060988
"East Carolina",0.513902780556111
"Northwestern",0.678471388555422
"College of Charleston",0.855828834233153
"Eastern Illinois",0.693138627725545
"Buffalo",0.645670865826835
"Northern Kentucky",0.608921784356871
"Valparaiso",0.489902019596081
"Elon",0.856942777110844
"Appalachian St.",0.556888622275545
"Cleveland St.",0.679664067186563
"St. John's",0.4663721970836
"Long Beach St.",0.614354258296681
"Samford",0.3802
"Eastern Washington",0.607876225501435
"Kansas St.",0.752342303083124
"Pepperdine",0.595480903819236
"Grambling St.",0.734352680724413
"Texas Southern",0.27374525094981
"Central Connecticut",0.599080183963207
"VMI",0.706649160648973
"Auburn",0.52683052073851
"New Orleans",0.883422536071145
"Idaho St.",0.70328131252501
"Western Carolina",0.403119376124775
"Eastern Kentucky",0.380047980807677
"Penn",0.760704281712685
"South Carolina St.",0.665666866626675
"Idaho",0.808501389446019
"Stony Brook",0.490101979604079
"SIU Edwardsville",0.554
"Saint Peter's",0.848830233953209
"Virginia",0.568913782756551
"UCF",0.527611044417767
"Drexel",0.244151169766047
"Charleston Southern",0.55628874225155
"Northern Iowa",0.485
"South Carolina",0.495899179835967
"Lamar",0.55631126225245
"Kentucky",0.311537692461508
"Lafayette",0.602723267921506
"VCU",0.651069786042791
"Wisconsin",0.997399479895979
"Alabama",0.438066308383311
"Tennessee Tech",0.4114
"NJIT",0.64627074585083
"IUPUI",0.515703140628126
"Alabama A&M",0.440471434278865
"Dartmouth",0.604079184163167
"La Salle",0.875074955026984
"Tulsa",0.178564287142572
"Incarnate Word",0.428878362202146
"Grand Canyon",0.471
"Michigan St.",0.392
"Cal St. Fullerton",0.552689462107579
"Southeastern Louisiana",0.717640570785174
"UC Riverside",0.633653461384554
"Clemson",0.692261547690462
"Colorado",0.6456
"Coastal Carolina",0.481130249661312
"North Carolina A&T",0.423671874142303
"Washington",0.511302260452091
"Colorado St.",0.421030927835052
"UMBC",0.899416988070679
"Louisiana Monroe",0.3646
"The Citadel",0.490501899620076
"Hofstra",0.418116376724655
"UMass Lowell",0.8328
"South Alabama",0.691861627674465
"Butler",0.5292
"Evansville",0.3648
"Northern Colorado",0.6468
"Iowa",0.403357985208875
"Florida A&M",0.622559537531254
"TCU",0.792175334038258
"Middle Tennessee",0.601
"Oregon",0.683336667333467
"Harvard",0.625525105021004
"Florida",0.756551310262052
"Saint Joseph's",0.353270654130826
"Saint Mary's",0.981796359271854
"Texas A&M Corpus Chris",0.378
"Ohio St.",0.7904
"Florida St.",0.484509294423346
"Seton Hall",0.721544308861772
"North Carolina",0.682063587282543
"Lehigh",0.6192
"Navy",0.535507101420284
"Santa Clara",0.937791892396787
"Loyola Marymount",0.628
"Delaware",0.339377099344037
"Miami OH",0.3968
"New Mexico",0.801760352070414
"Coppin St.",0.595016309120562
"Temple",0.561312262452491
"Monmouth",0.899220155968806
"Southern",0.607485988791033
"Southern Miss",0.711803544538399
"California",0.581316263252651
"Georgia St.",0.546272236658005
"Miami FL",0.428485697139428
"Georgia",0.705858828234353
"North Dakota",0.860316189713828
"Princeton",0.991398279655931
"Saint Louis",0.581632653061224
"Arizona St.",0.431913617276545
"Stetson",0.872
"Marshall",0.788223457852052
"Eastern Michigan",0.75624875024995
"Niagara",0.5412
"Campbell",0.593118623724745
"Mercer",0.722298833779304
"St. Bonaventure",0.5102
"Oregon St.",0.520493005966937
"Lipscomb",0.771897895375426
"Kennesaw St.",0.617076584683063
"James Madison",0.751150230046009
"Georgetown",0.7216
"USC Upstate",0.860055977608956
"Iona",0.402958071373649
"New Hampshire",0.838091435416251
"Wright St.",0.4664
"Iowa St.",0.52356523096826
"Alcorn St.",0.365326934613077
"Purdue",0.615523104620924
"Utah Valley",0.2834
"Mississippi St.",0.310462092418484
"Holy Cross",0.814325730292117
"Houston",0.623558904767623
"Hampton",0.337932413517297
"Western Michigan",0.649270145970806
"New Mexico St.",0.766553310662132
"Ball St.",0.557288542291542
"Milwaukee",0.141828365673135
"Portland",0.6862
"Albany",0.476895379075815
"Kent St.",0.3356
"San Francisco",0.3552
"Bucknell",0.620848339335734
"Connecticut",0.419832067173131
"Florida Gulf Coast",0.791558311662332
"San Jose St.",0.691138227645529
"Drake",0.720344068813763
"Missouri",0.476504699060188
"Cincinnati",0.598119623924785
"South Dakota St.",0.452090418083617
"Boston University",0.674265146970606
"Belmont",0.821964392878576
"Bradley",0.824235152969406
"Troy",0.812
"Gonzaga",0.439117061697123
"South Florida",0.453727763341995
"Army",0.3172
"Loyola MD",0.60214501510574
"Air Force",0.917553191489362
"Siena",0.749948667807382
"Southern Utah",0.397515422539394
"Pittsburgh",0.65347721822542
"Furman",0.727708916433427
"LIU Brooklyn",0.570485902819436
"Massachusetts",0.52101681345076
"Mount St. Mary's",0.59368126374725
"Bryant",0.733807183364839
"Syracuse",0.351
"Jacksonville St.",0.521131771960566
"McNeese St.",0.641728345669134
"Quinnipiac",0.495674484947208
"Rhode Island",0.743002849857507
"High Point",0.369652139144342
"Radford",0.332
"East Tennessee St.",0.486097219443889
"Duquesne",0.34766093562575
"Virginia Tech",0.844337735094038
"North Carolina Central",0.489380717064452
"North Dakota St.",0.811380305163519
"Northwestern St.",0.830966193238648
"Fairfield",0.7104
"Arkansas",0.525105021004201
"UNC Wilmington",0.691661667666467
"George Washington",0.358928214357129
"UNC Asheville",0.533013205282113
"Dayton",0.784713885554222
"Stephen F. Austin",0.348660535785686
"Arkansas St.",0.373305661845775
"Oakland",0.555311062212442
"Southeast Missouri St.",0.550269757062715
"Binghamton",0.979372251522524
"George Mason",0.763
"Old Dominion",0.58128374325135
"Green Bay",0.6742
"UNC Greensboro",0.761334784185709
"Little Rock",0.53
"Detroit",0.389
"Austin Peay",0.5996
"Rutgers",0.528328870291002
"Nicholls St.",0.6206
"Sacramento St.",0.7522
"William & Mary",0.724544908981796
"Colgate",0.722469863172991
"USC",0.4982
"UNLV",0.169867947178872
"Illinois St.",0.54561824729892
"Manhattan",0.648978301530572
"Louisiana Lafayette",0.411960132890365
"Utah",0.267853570714143
"Louisiana Tech",0.557985030695484
"Youngstown St.",0.797719087635054
"Jacksonville",0.698103325726685
"Tennessee St.",0.456891378275655
"Stanford",0.701556629092861
"Longwood",0.450936118167278
"Sacred Heart",0.474373890667595
"Western Kentucky",0.296281487405038
"UT Arlington",0.85988060382524
"Fordham",0.608454878714609
"Alabama St.",0.650608998260005
"Wichita St.",0.487097419483897
"Texas Tech",0.674469787915166
"Michigan",0.767353470694139
