team,departing_ppg,returning_ppg,mins,off_coeff,def_coeff,yusag_coeff,stars_5,stars_4,stars_3,num_star_players,avg_recruit_score,composite_score
A&M-Corpus Christi,2.498084515,2.01564002,0.610863717652592,-10.6022459921946,2.75566233388297,-7.84658365831072,NA,NA,NA,NA,NA,NA
Abilene Christian,7.313646555,1.831329942,0.456707897240723,-3.34835007114266,3.01827608543098,-0.330073985711674,NA,NA,NA,NA,NA,NA
Air Force,8.62777e-6,7.410082981,0.93577800917457,-3.60002423188177,-1.09677674645608,-4.69680097833791,NA,NA,NA,NA,NA,NA
Akron,4.685008734,3.695329949,0.622074820164041,-5.2940447501414,9.26338624138144,3.96934149124002,0,0,0,1,79,9
Alabama,6.768206358,5.495828986,0.5198,4.12800306887645,4.7400023295227,8.8680053983992,0,3,2,5,93.19,60.5
Alabama A&M,1.769498669,-2.470762961,0.519703940788158,-14.3581864725576,-2.51114440284323,-16.8693308754008,NA,NA,NA,NA,NA,NA
Alabama St.,1.428759851,1.036873981,0.599682500162496,-8.06100260888779,-5.05104492934724,-13.112047538235,NA,NA,NA,NA,NA,NA
Albany (NY),0.753469765,7.325120091,0.782737329560072,-5.70036002093058,-1.50469791012527,-7.20505793105582,0,0,1,1,86,16
Alcorn,0.961290434,-0.882606231,0.804087591824483,-13.9733685686634,-5.40998777256773,-19.3833563412311,NA,NA,NA,NA,NA,NA
American,3.161742896,6.995996028,0.658233898665156,-2.5130838320627,-0.373902506705865,-2.88698633876855,NA,NA,NA,NA,NA,NA
Appalachian St.,5.005147658,5.201028779,0.653206087369074,4.79070057347113,-7.51049561025201,-2.71979503678092,0,0,2,2,88.04,32.49
Arizona,7.812375113,4.312873915,0.49823056621881,0.42018025729748,5.85189323654479,6.27207349384224,2,1,1,4,96.95,67.78
Arizona St.,5.000759244,8.023420095,0.620111511193907,7.42166059250217,1.52650386814838,8.94816446065035,0,1,5,6,89.31,52.55
Ark.-Pine Bluff,4.00311625,2.049840987,0.530547969341908,-8.21265840068274,-3.11785747672885,-11.3305158774115,NA,NA,NA,NA,NA,NA
Arkansas,4.751227975,9.553585887,0.788242351529694,7.48738388386337,3.17339786008827,10.6607817439517,0,0,1,1,86.78,16.78
Arkansas St.,7.592112958,0.706961989,0.46922053840588,-0.0745322657816665,-5.60053049166271,-5.6750627574444,0,0,2,2,0,0
Army West Point,0.731388837,3.722947098,0.665424390666118,-4.58212603895964,-1.02038059546101,-5.60250663442059,NA,NA,NA,NA,NA,NA
Auburn,15.55342805,3.799250007,0.372850859656137,12.5748921162399,7.10456217765185,19.6794542938917,0,3,4,7,90.9,60.74
Austin Peay,9.035257459,4.859930038,0.341784713674075,5.36529590018564,-2.78809997180726,2.57719592837839,NA,NA,NA,NA,NA,NA
Ball St.,3.579607695,4.804719627,0.68780207765884,2.76727011333234,0.272405909735118,3.03967602306743,0,0,2,2,86,28.81
