team,departing_ppg,returning_ppg,mins,off_coeff,def_coeff,yusag_coeff,stars_5,stars_4,stars_3,num_star_players,avg_recruit_score,composite_score
Kentucky,17.88414836,0,0.0756302521008403,6.85101911541812,7.0157570047559,13.866776120174,2,4,0,6,98.92,70.34
Florida,7.09764576,9.739722103,0.679735947189438,4.67842727448581,8.73271235470513,13.411139629191,0,1,2,3,92.82,53.7
Georgia,9.490814805,2.465039968,0.359559559559559,7.531097173825,-1.12298363765161,6.40811353617343,0,1,4,5,90.15,54.78
Tennessee,3.053250313,9.319130063,0.706803525540611,-0.531567199661392,9.64406613876355,9.11249893910218,2,1,1,4,96.76,66.95
South Carolina,2.526556253,8.235199928,0.759911797702098,7.15625570237512,1.85063711010536,9.00689281248053,0,0,2,2,86.89,30.53
Vanderbilt,4.48944521,5.163922936,0.718988389741972,2.89479725673981,-1.90909932011674,0.98569793662309,0,0,3,4,86.33,43.93
Mississippi St.,13.72584319,3.257789969,0.370325934813037,5.49057596267528,5.31384875826534,10.8044247209406,0,1,4,5,90.4,53.95
Auburn,15.71763706,0,0.215015015015015,9.20841874719829,3.53254205751131,12.7409608047096,1,1,3,5,94.66,64.71
Alabama,5.401902556,9.718279958,0.535130879748081,14.5090426303542,-4.67939113251562,9.82965149783861,0,3,2,5,93.9,63.38
Arkansas,13.73172474,0.082202204,0.1824,8.6922773621906,2.23512660664327,10.9274039688339,0,4,0,4,96.93,65.02
Kansas,11.82145941,7.336170197,0.546709341868374,9.81347563055306,13.032533630739,22.8460092612919,1,0,3,4,92.89,58.71
Texas,0,12.66251981,0.999125099346484,-1.28257867676273,9.7841465277431,8.50156785098043,1,0,0,1,99.68,29.68
Oklahoma,3.921722412,9.116524115,0.687,5.94145587712936,6.02948610852612,11.9709419856555,0,0,2,2,89.05,34.45
Oklahoma St.,7.847988367,4.467939973,0.402760635438855,3.21418381818493,6.96432747849812,10.1785112966831,1,1,3,6,92.68,63.07
Missouri,0,9.093776107,0.889735669827868,-0.297295336569729,7.04388917642065,6.74659383985095,0,0,1,1,84.22,14.22
Colorado,6.606366575,9.308190107,0.592629681554176,5.13619317899238,7.62977068104711,12.7659638600394,0,1,3,5,90.57,52.71
Texas Tech,10.15347755,5.999180079,0.428084935897436,5.57328557742419,9.57197413562641,15.1452597130506,0,3,2,5,93.99,64.64
Texas A&M,4.762412906,3.860467941,0.652191314788873,-4.54222796045104,8.39404205352838,3.85181409307736,NA,NA,NA,NA,NA,NA
Iowa St.,8.571900964,7.530949414,0.443977591036414,6.76288676065404,0.0707486276207515,6.83363538827479,0,1,3,4,91.85,55.53
Baylor,5.282048345,12.05149949,0.678335667133427,5.78221971022435,12.7257333867767,18.507953097001,0,2,1,3,95.21,57.21
Kansas St.,4.540638328,5.415902298,0.416337567934526,-0.442587616166453,7.49271338062553,7.05012576445908,0,1,6,7,89.93,54.38
Nebraska,6.389418602,3.147557944,0.248347686761466,5.58408719003426,-4.5262105207089,1.05787666932534,0,0,4,4,87.52,42.54
Wake Forest,7.838082366,5.212044954,0.333266533066132,7.31750210520631,-1.79256447012545,5.52493763508085,0,0,2,2,86.29,29.54
Maryland,10.09452724,7.079469919,0.562087582483503,6.41535233409554,9.65213623374574,16.0674885678413,0,0,2,2,87.85,32.36
Duke,11.82950616,5.367916822,0.448949560098938,15.1835484885909,4.98183834070759,20.1653868292984,4,2,0,6,98.93,69.83
Georgia Tech,1.82322669,9.325289473,0.776709200433925,2.08866769658247,7.13440750150629,9.22307519808876,0,0,3,3,88.49,41.42
Virginia,4.484039187,3.683724821,0.694598168372594,-9.89805049354912,20.1251087937258,10.2270583001767,0,2,1,3,96.2,59.91
North Carolina,8.198369622,7.381674856,0.547947947947948,6.79478660150298,0.944768686359122,7.73955528786208,3,3,0,6,98.01,69.86
Clemson,3.09528023,6.454005003,0.724158617142128,-0.675144022872452,9.28518507170374,8.61004104883118,0,3,0,3,96.58,59.4
Florida St.,8.930899143,5.959447026,0.563783400473755,9.40172211913093,6.25631755452378,15.6580396736546,1,0,2,3,92.19,52.51
Boston College,3.664078355,4.478145123,0.493795036028823,-2.08774468712715,1.79723239523663,-0.290512291890527,0,1,1,2,90.29,37.6
UConn,3.913696289,9.015749782,0.699886929876945,6.15868814088604,3.77944532822948,9.93813346911552,0,2,1,3,95.52,58.58
Providence,7.470228612,6.056000233,0.425172812316012,4.75513818951138,7.68903060266914,12.4441687921805,0,0,2,2,87.89,32.34
Villanova,5.079329014,13.95341003,0.830732292917167,6.30560436034235,9.11720481778831,15.4228091781306,NA,NA,NA,NA,NA,NA
Virginia Tech,0,12.73114002,0.636036036036036,0.438248884655744,5.4674545449346,5.90570342959032,0,2,1,3,92.93,53.84
Syracuse,4.740100384,12.9145999,0.756702681072429,7.81197739547705,2.78899082613783,10.6009682216149,0,1,2,3,93.22,53.4
Pittsburgh,0.995328546,10.18065995,0.636909527622098,-1.63492946486847,6.49075471967788,4.85582525480943,0,2,3,5,91.52,57.47
Seton Hall,10.47442365,6.019459039,0.536797779691837,8.25582635270592,6.94460128414554,15.2004276368515,0,0,2,2,88.33,33
Notre Dame,10.4047426,6.259540081,0.538004557291667,6.27202305078936,3.28389625617595,9.55591930696531,0,0,3,3,88.11,40.73
Georgetown,11.8172617,3.682990074,0.382152861144458,7.40567085966605,1.34818971309303,8.75386057275908,0,1,2,4,89.79,46.14
West Virginia,3.42400229,8.464917853,0.739287144573488,5.77896799497377,10.8330735215358,16.6120415165096,0,1,2,4,90.26,47.53
Rutgers,2.463069201,11.96487105,0.818628768128046,3.73165181603255,10.5375676105375,14.26921942657,0,1,3,4,90.27,52.84
Wisconsin,4.120194077,10.9526,0.784510756419153,1.58422544776617,13.2051546716454,14.7893801194116,0,1,4,5,90.38,55.43
Illinois,3.202175617,13.30528486,0.695,4.22391202093454,9.74287148031985,13.9667835012544,0,2,2,4,92.89,62.29
Michigan,6.633765936,11.5484401,0.589039429812245,8.84272093840277,7.4684927271381,16.3112136655409,0,3,1,4,94.57,62.91
Purdue,4.607949555,11.15419698,0.570943245403677,3.59168361200327,11.22891308406,14.8205966960632,0,2,1,3,93.09,54.57
