"player","team","yr","trank_ppg","mins_pct","year"
"Chris Crawford","Oral Roberts","Fr",0.336076,3.4,2016
"Xavier Pollard","Kent St.","Sr",1.97148,41.2,2016
"Percy Gibson","Oakland","Sr",2.09023,56.1,2016
"Blake Wilkinson","Brown","Jr",-0.206165,1.3,2017
"Jerome Seagears","UNLV","Sr",1.9638,68.2,2016
"Arnold Richmond","Grambling St.","Sr",-0.479095,32.7,2016
"Nick Kerr","California","Sr",0.325014,0.8,2016
"Keron DeShields","Tennessee St.","Sr",2.73714,79.7,2016
"Patrick Onwenu","Alcorn St.","Sr",0.680785,59.6,2016
"John Cannon","UNC Asheville","Sr",0.135414,6.5,2016
"Mario Moody","Bethune Cookman","Sr",1.36506,69.4,2016
"Zach Price","Winthrop","Sr",0.45595,46.7,2016
"Joey Van Zegeren","Northwestern","Sr",0.528671,22.2,2016
"Henry Brooks","Wagner","Sr",-0.318634,42.9,2016
"Ryan Sawvell","Wofford","Sr",1.28933,34.3,2016
"Will Simonton","Quinnipiac","Sr",-0.292167,18.6,2016
"Daniel Green","Arkansas Little Rock","Sr",0.09619,8.8,2016
"Jordan Tolbert","SMU","Sr",3.59481,66.5,2016
"Trey Kellum","Southeast Missouri St.","Jr",0.404392,50,2016
"Shane Hammink","Valparaiso","Jr",1.2977,54.8,2016
"Brian Greene, Jr.","Chicago St.","Sr",-0.5955,30.5,2017
"Myles Hamilton","Cleveland St.","Jr",0.0088409,9.1,2016
"Matt Smith","Cal St. Bakersfield","Jr",0.51306,29.8,2016
"RaShid Gaston","Xavier","Sr",2.14592,45.2,2017
"Avry Holmes","Clemson","Jr",2.46804,76.7,2016
"Hans Brase","Iowa St.","Sr",-0.464354,25.9,2018
"Terry Brutus","Samford","Jr",-0.389119,19.4,2017
"Aaron Anderson","Oral Roberts","Jr",-0.257859,55.3,2016
"Mike LaTulip","Wright St.","Sr",1.0128,65.5,2017
"Atif Russell","Houston Baptist","Sr",1.19777,35.4,2017
"L.J. Rose","BYU","Sr",1.11986,47.9,2017
"Corvon Butler","Alabama St.","Jr",1.8062,53.6,2016
"Tony Hicks","Louisville","Sr",0.347113,16.9,2017
"Daquan Cook","Prairie View A&M","Sr",0.687516,31.9,2017
"Sergej Vucetic","Evansville","Jr",-0.00777726,2.5,2016
"Tyler Ott","Utah Valley","So",0.029497,4.2,2016
"Malik Morgan","Tulane","Jr",1.66977,77.3,2016
"Corey Haith","Tulsa","Sr",-0.0286693,3.2,2017
"Dakota Slaughter","UT Rio Grande Valley","Sr",1.10466,78.1,2016
"Cleveland Thomas","Hartford","Jr",3.79306,77.9,2016
"Malcolm Bernard","Florida A&M","Jr",0.759643,78.6,2016
"Kendrick Ray","Kennesaw St.","Jr",3.16169,84.8,2016
"Evans Ganapamo","Prairie View A&M","Sr",-0.202584,0.8,2017
"Terry Henderson","North Carolina St.","Sr",-1.54885,0.5,2016
"Willie Clayton","Georgia St.","Sr",0.381355,51.8,2017
"Zach LeDay","Virginia Tech","Jr",3.99054,75.6,2016
"Andrew Poulter","IPFW","Jr",0.172319,1.6,2016
"Tahjere McCall","Tennessee St.","Jr",2.36422,75.4,2016
"Greg Tucker","Jacksonville St.","Jr",0.979348,62.7,2016
"Marshall Wood","Richmond","Jr",1.65497,54.1,2016
"Shaquille Cleare","Texas","Jr",0.893534,30.2,2016
"Seth Allen","Virginia Tech","Jr",2.43845,69.1,2016
"Tyrone O'Garro","Fairleigh Dickinson","Jr",-0.0364325,27.6,2016
"Derrico Peck","Maryland Eastern Shore","Sr",0.865584,37.1,2016
"Dajuan Graf","North Carolina Central","Jr",0.420104,68.5,2016
"Brendyn Taylor","Santa Clara","Jr",-0.0913833,28.6,2016
"Brandon Bolden","Southern","Sr",0.245378,4.1,2017
"Stephen Domingo","California","Jr",0.106014,23.2,2016
"Jalen Ross","Hartford","Jr",1.43846,62.3,2016
"A.J. Hess","South Dakota St.","Sr",1.9244,53,2017
"Tre' Coggins","Cal St. Fullerton","Jr",2.48093,71.8,2016
"Raemond Robinson","Charleston Southern","Jr",0.891484,62.8,2016
"Valentine Izundu","Washington St.","Jr",0.620269,26.7,2016
"Alex Austin","Illinois","Jr",0.0155466,21.8,2016
"Kale Abrahamson","Drake","Jr",1.61287,66.7,2016
"Ben Carter","UNLV","Jr",1.88586,38.3,2016
"Ben Carter","Michigan St.","Sr",-0.0362284,12.7,2018
"Deon Edwin","Kent St.","Jr",1.0062,41,2016
"LaRon Smith","Bethune Cookman","Jr",0.702424,63.7,2016
"Durand Johnson","St. John's","Sr",1.39173,68.4,2016
"Deron Powers","Hofstra","Sr",2.61892,82.9,2017
"Ryan Weber","Ball St.","Sr",1.95279,67,2016
"Gee McGhee","Murray St.","Jr",1.50034,74.6,2016
"Maurice Watson Jr.","Creighton","Jr",3.42686,78.6,2016
"Javontae Hawkins","Eastern Kentucky","Jr",2.55773,70.4,2016
"Kelvin Amayo","Loyola Marymount","Sr",0.138062,42.5,2017
"Jorden Kaufman","Youngstown St.","Jr",0.909656,38.5,2016
"Devontae Morgan","James Madison","Jr",0.159221,11.8,2016
"Marcus Lee","California","Sr",1.97765,70.2,2018
"Darin Johnson","Cal St. Northridge","Jr",2.53086,76.7,2017
"Semi Ojeleye","SMU","Jr",5.96437,85.4,2017
"Jaaron Simmons","Ohio","So",3.64304,90.9,2016
"B.J. Johnson","La Salle","Jr",3.33312,77.5,2017
"Luke Meikle","Cal Poly","So",1.26981,47.6,2016
"Tre'Shaun Fletcher","Toledo","Sr",3.99643,79.5,2018
"Trevor Thompson","Ohio St.","So",1.36064,44.2,2016
"Andrew Dakich","Ohio St.","Sr",0.914421,47,2018
"Khris Lane","Longwood","So",1.21276,61.1,2016
"Ugo Mmonu","Charleston Southern","Jr",0.0925753,14.7,2016
"Nolan Berry","UC Davis","So",1.88316,13.8,2016
"Shannon Evans II","Arizona St.","Jr",3.73104,89,2017
"Adonis Rwabigwi","UT Rio Grande Valley","So",-0.267001,22.9,2016
"Raekwon Harney","North Carolina Central","Jr",-0.537428,0.3,2017
"Nigel Johnson","Rutgers","Jr",2.07301,63.6,2017
"Marcus Foster","Creighton","Jr",3.13622,78.3,2017
"Tommy Hamilton IV","Texas Tech","Sr",0.719896,34.8,2018
"Wes Myers","Maine","Jr",2.29517,66.8,2017
"Lincoln Davis","Lamar","Jr",-0.22945,49.6,2016
"Devin Harris","Jacksonville","Jr",1.71745,49.8,2017
"Leo Vincent","Southern Illinois","Jr",1.2154,52.9,2016
"Justin Foreman","Central Arkansas","Sr",0.41913,75.1,2016
"James Currington","Southeastern Louisiana","So",-0.516752,28.8,2016
"Monty Boykins","Pittsburgh","Sr",-0.416116,8.8,2018
"Graham Woodward","Drake","So",1.48825,74.7,2016
"Geno Thorpe","South Florida","Jr",2.78638,76.8,2017
"Bakari Copeland","Maryland Eastern Shore","Jr",1.1565,63,2016
"Matt Mobley","St. Bonaventure","Jr",3.99053,95,2017
"Aram Martin","Bryant","Sr",-1.27885,6.3,2018
"Ty'Quan Bitting","Morehead St.","Jr",0.0981255,6.5,2016
"Leland King II","Nevada","Jr",0.550059,21.6,2017
