Team,Returning,Lost
Purdue,18.3091929,1.064160347
Marquette,16.86183554,3.316307545
Florida Atlantic,14.86668408,1.555727601
Texas A&M,13.47699034,2.381593466
Duke,13.1320498,3.894785166
Michigan St.,12.46306992,4.658149242
Creighton,12.37842011,5.591134071
Wisconsin,11.86379507,1.008441925
Colgate,11.64130008,5.026903391
Cornell,11.63591003,3.309357643
Colorado,11.48964,0.310311303
Colorado St.,11.40653086,5.028477669
Stanford,11.25028992,3.417210877
Miami FL,10.74264991,9.896592617
Tennessee,10.66309595,6.472204804
Yale,10.36245,3.645972848
Nevada,10.29287016,5.098926544
Wake Forest,10.25939989,7.099561393
Saint Mary's,10.09161997,5.721432209
Florida Gulf Coast,9.880189896,1.335876377
Long Beach St.,9.79693985,-0.165662155
Northwestern,9.713470101,4.003396034
Boise St.,9.615190029,5.497836828
Eastern Kentucky,9.599245816,0.827606678
Stetson,9.487919927,5.883010983
Maryland,9.484320164,7.672219276
Saint Joseph's,9.24719993,1.722842216
USC,9.136719823,6.806810975
Rice,9.130749702,3.06758523
Tulane,9.119920015,6.088093162
Liberty,9.113619924,7.30369401
Winthrop,9.063639879,3.989508867
Illinois,9.041641057,5.24168098
Mississippi St.,9.013930082,0.389418453
St. Bonaventure,8.949758023,0
Kansas,8.897670031,8.644305229
Northern Iowa,8.780971207,0.401067317
New Mexico,8.74233973,9.007038474
Montana,8.70193696,4.559924543
Dayton,8.684598088,6.853758454
Utah,8.560359836,4.179341912
North Carolina,8.450269699,6.508134484
Ohio,8.343379855,5.515371919
Grand Canyon,8.252755105,4.884191155
Stephen F. Austin,8.13090384,2.858540416
TCU,8.124135911,8.329806805
Auburn,8.102920055,4.988436621
Iowa,8.102699995,13.77318066
Vanderbilt,8.046159983,9.409524977
Lipscomb,7.972866982,2.176488656
Radford,7.954142988,3.976028914
Texas,7.868809938,11.711483
BYU,7.846282065,4.424027801
Wright St.,7.827064991,0.430661124
UC Davis,7.702357054,3.244558454
UC Santa Barbara,7.664990187,6.795047522
Clemson,7.623779893,6.668753386
Weber St.,7.599327028,0.354018301
East Carolina,7.518662855,3.22446537
Ohio St.,7.317237139,10.36965954
Appalachian St.,7.279637814,1.158591509
Syracuse,7.26887393,6.899189234
Hofstra,7.195866942,7.075834513
Murray St.,7.082530141,4.055955961
Portland,7.064319968,6.829075873
Arizona,7.058599949,12.03115809
Drexel,7.051910073,0.704714596
San Diego St.,7.017789841,7.930964351
North Alabama,6.986171097,2.003105402
UNC Wilmington,6.911698878,1.886728704
Eastern Washington,6.881600022,7.305183887
Houston,6.850119829,10.53133678
Queens,6.813005984,4.651722312
Missouri,6.812610149,11.37967157
Seattle,6.808715383,1.99948591
Providence,6.790070057,9.737375081
Washington,6.729131877,4.497933641
Virginia Tech,6.679363072,9.066140056
Middle Tennessee,6.635609865,4.929177523
San Jose St.,6.574630022,7.762784958
Connecticut,6.572800159,12.85701752
Loyola Chicago,6.550679147,0.551200449
North Carolina St.,6.550410032,11.09610581
Penn,6.454869866,5.514845788
Oregon,6.424550056,6.505475521
Villanova,6.365139246,9.121711254
Akron,6.350639135,6.369038165
North Dakota St.,6.335640572,3.481873751
Northern Kentucky,6.298246145,3.925274253
College of Charleston,6.294380069,7.436973721
Mississippi,6.249656901,4.868591487
South Dakota St.,6.185030937,3.703713655
Belmont,6.161530018,8.788402319
Bellarmine,6.135365903,1.175427914
Missouri St.,6.12192535,4.001777709
