team,mins
SIU Edwardsville,0.6579999999999999
Tennessee Tech,0.5710000000000001
Grambling St.,0.503
Georgia Southern,0.326
Troy,0.35100000000000003
High Point,0.26899999999999996
Rider,0.462
Tulsa,0.096
Marist,0.677
Penn,0.429
New Orleans,0.72
Buffalo,0.271
Youngstown St.,0.2
Harvard,0.369
Jacksonville,0.266
Jacksonville St.,0.319
Norfolk St.,0.596
Lehigh,0.6990000000000001
North Dakota,0.63
Binghamton,0.467
USC Upstate,0.62
Tennessee Martin,0.594
Northern Arizona,0.495
Fairfield,0.39299999999999996
Lafayette,0.589
Montana St.,0.355
Loyola MD,0.6859999999999999
Little Rock,0.27699999999999997
Mercer,0.35700000000000004
Utah Tech,0.315
Oakland,0.616
UTSA,0.13
Niagara,0.366
McNeese St.,0.45899999999999996
East Tennessee St.,0.40700000000000003
Nicholls St.,0.195
Sacred Heart,0.8490000000000001
Columbia,0.983
Southeastern Louisiana,0.508
New Hampshire,0.496
Denver,0.498
Holy Cross,0.71
Canisius,0.59
Louisiana Monroe,0.46299999999999997
William & Mary,0.54
Bowling Green,0.20800000000000002
Wagner,0.569
Nebraska Omaha,0.7929999999999999
Sacramento St.,0.36
Robert Morris,0.511
Elon,0.569
Detroit,0.264
Southern Utah,0.03
Albany,0.445
Alcorn St.,0.466
Presbyterian,0.594
Green Bay,0.22899999999999998
St. Thomas,0.514
Saint Peter's,0.41200000000000003
George Washington,0.36200000000000004
Wofford,0.446
Cal St. Northridge,0.405
Merrimack,0.45299999999999996
Northern Colorado,0.391
Idaho St.,0.384
Ball St.,0.21
Fairleigh Dickinson,0.667
UT Rio Grande Valley,0.47100000000000003
Western Michigan,0.521
Chicago St.,0.708
Florida A&M,0.39
Hampton,0.483
Eastern Illinois,0.409
UMKC,0.677
Eastern Michigan,0.598
Army,0.449
Central Connecticut,0.6829999999999999
Miami OH,0.496
Campbell,0.43200000000000005
South Carolina St.,0.425
Siena,0.192
Coastal Carolina,0.29600000000000004
Texas A&M Corpus Chris,0.094
Evansville,0.48100000000000004
Morgan St.,0.384
Navy,0.298
Southeast Missouri St.,0.525
The Citadel,0.41600000000000004
North Florida,0.32899999999999996
Charleston Southern,0.49200000000000005
Incarnate Word,0.35200000000000004
IUPUI,0.7829999999999999
Lamar,0.745
Alabama A&M,0.364
Manhattan,0.18
Monmouth,0.503
Bethune Cookman,0.517
North Carolina Central,0.166
UMBC,0.124
Central Michigan,0.39799999999999996
Alabama St.,0.535
Lindenwood,0.272
Delaware St.,0.762
Central Arkansas,0.59
Bucknell,0.537
Stonehill,0.38299999999999995
Western Illinois,0.433
Arkansas Pine Bluff,0.541
Prairie View A&M,0.08
Southern,0.21
South Dakota,0.282
Valparaiso,0.21600000000000003
Fort Wayne,0.15
NJIT,0.408
Cal Poly,0.268
Mississippi Valley St.,0.59
Boston University,0.28600000000000003
Maryland Eastern Shore,0.22399999999999998
LIU Brooklyn,0.455
Houston Christian,0.36700000000000005
Southern Indiana,0.213
Le Moyne,0.7
Coppin St.,0.171
Idaho,0.11199999999999999
Northwestern St.,0.003
St. Francis PA,0.21899999999999997
North Carolina A&T,0.1
VMI,0.28
