Team,Returning,Lost
Gonzaga,14.90823209,8.18456912
Grambling St.,2.570234001,2.654549882
Grand Canyon,6.048584141,5.177738786
Green Bay,1.331414998,2.093120471
Hampton,2.995801017,0.834329456
Hartford,0.671576023,11.13491723
Harvard,1.612263978,4.575512767
Hawaii,7.466637969,3.776813626
High Point,5.237547085,1.750023127
Hofstra,6.849989891,8.261358738
Holy Cross,-0.082932994,4.035485029
Houston,4.896710038,14.25382423
Houston Christian,2.862374961,3.996488392
Howard,3.610679984,6.95535171
Idaho,1.280878946,5.839103818
Idaho St.,0.451420765,2.501058519
Illinois,1.432340026,16.59817517
Illinois Chicago,2.027949035,8.006035037
Illinois St.,2.536158025,8.077517688
Incarnate Word,1.295157127,3.509947896
Indiana,11.51993209,0.809206009
Indiana St.,7.435994029,1.184938431
Iona,4.811179996,7.377509356
Iowa,9.005499959,11.44463909
Iowa St.,3.851225093,7.057671905
IUPUI,-2.573240042,-0.765595168
Jackson St.,0.422820002,4.37193314
Jacksonville,7.797693998,1.476372361
Jacksonville St.,2.837049961,9.570420504
James Madison,9.132911801,1.407272816
Kansas,5.429330111,13.14047933
Kansas St.,4.101310968,10.4518525
Kennesaw St.,9.150063932,1.370344758
Kent St.,7.91888988,4.295718431
Kentucky,8.894770145,12.91448092
La Salle,3.659257025,4.814718783
Lafayette,2.767540991,5.10426116
Lamar,0.426174998,2.710613191
Lehigh,3.363543101,3.874026656
Liberty,10.22970301,1.834190011
Lipscomb,6.353240132,2.542936802
Little Rock,5.459159985,0.24966152
LIU Brooklyn,-0.614866972,9.137980342
Long Beach St.,7.911240101,3.442467421
Longwood,8.788915992,3.632295609
Louisiana Lafayette,6.770613164,2.294229597
Louisiana Monroe,4.160172999,6.267283559
Louisiana Tech,3.944299936,6.568618178
Louisville,1.753592968,7.319316149
Loyola Chicago,4.57585001,10.26406658
Loyola Marymount,4.061206087,7.265324593
Loyola MD,2.619337976,4.062453747
LSU,0.660634995,13.78878576
Maine,0.157611996,1.788161397
Manhattan,7.663535863,1.257958293
Marist,0.644315004,7.606931697
Marquette,6.105210066,7.769358158
Marshall,7.832560211,1.744889796
Maryland,8.045369983,8.105052143
Maryland Eastern Shore,1.705196925,1.880859286
Massachusetts,6.87954998,9.335633636
McNeese St.,3.329983026,3.186771303
Memphis,4.029289961,10.20307279
Mercer,3.763271987,7.088511705
Merrimack,3.355779652,1.720000803
Miami FL,7.289849997,11.15099716
Miami OH,3.68742013,8.540110737
Michigan,5.852359772,12.09142089
Michigan St.,9.000869989,6.855485678
Middle Tennessee,7.41508913,6.257055283
Milwaukee,NULL,5.269875064
Minnesota,3.578789949,10.30228043
Mississippi,5.298040032,7.658907831
Mississippi St.,7.870755315,7.289779425
Mississippi Valley St.,1.504913986,0.069613665
Missouri,5.60457015,7.24163419
Missouri St.,2.406980038,15.05289388
Monmouth,NULL,10.0866736
Montana,4.555553019,3.554635346
Montana St.,5.092949986,4.898899853
Morehead St.,1.138759971,10.15399301
Morgan St.,2.971073985,1.556912482
Mount St. Mary's,3.03023088,3.373758793
Murray St.,2.000699997,14.35860234
Navy,2.756297909,3.881598234
Nebraska,4.652070045,7.060235798
Nebraska Omaha,2.635746032,3.100758076
Nevada,2.655534059,10.45796132
New Hampshire,1.128039956,9.362263203
New Mexico,12.15898013,0
New Mexico St.,NULL,11.82634604
New Orleans,1.765374988,4.626149893
Niagara,2.621930003,7.767547859
Nicholls St.,3.691650033,6.379271984
NJIT,1.310428947,1.33446002
Norfolk St.,9.226100087,1.963475466
North Alabama,1.095255718,1.750686191
North Carolina,14.25045991,4.356098652
North Carolina A&T,3.867190003,1.526119843
North Carolina Central,4.609883919,0.795769095
North Carolina St.,6.483120084,8.179460108
North Dakota,2.149765968,2.797445834
North Dakota St.,1.474999964,8.603481054
North Florida,7.158055007,-0.218248919
North Texas,7.50180006,4.656416982
Northeastern,4.219529986,3.410926595
Northern Arizona,6.054819971,0.492176056
Northern Colorado,8.88561976,5.55930984
Northern Illinois,1.599957019,1.303404808
Northern Iowa,3.921620011,11.47448015
Northern Kentucky,7.58456403,2.286097735
Northwestern,7.111551851,6.516093314
Northwestern St.,0.300671011,5.43353647
