Team,Returning,Departing
Iowa,17.1435498,2.312282979
Richmond,15.84417665,0
St. Bonaventure,14.41295817,0
Creighton,14.06677032,4.648675442
SMU,13.97768527,3.848120451
Villanova,13.95341003,5.079329014
Illinois,13.30528486,3.202175617
Davidson,12.97931015,4.066585064
Syracuse,12.9145999,4.740100384
Northern Iowa,12.90668494,3.501879215
Virginia Tech,12.73114002,0
Texas,12.66251981,0
Utah,12.45803207,1.138207078
South Dakota St.,12.41254178,0.72508955
UCLA,12.10083669,0
Baylor,12.05149949,5.282048345
Rutgers,11.96487105,2.463069201
Indiana,11.87224996,2.153749943
Duquesne,11.86907181,1.970951915
UNLV,11.81089896,3.961740315
Loyola Chicago,11.56280607,0
Furman,11.5571759,2.925812721
Michigan,11.5484401,6.633765936
Miami FL,11.36173904,3.394911528
Pepperdine,11.34215714,2.464565516
Yale,11.30241096,1.759733796
North Carolina St.,11.2766,5.392855883
Purdue,11.15419698,4.607949555
St. John's,10.99964589,2.765435845
Wisconsin,10.9526,4.120194077
North Texas,10.6527068,6.473664522
Gonzaga,10.44147015,14.17321014
Austin Peay,10.38558006,1.011861444
Western Kentucky,10.30340588,4.369980156
Pittsburgh,10.18065995,0.995328546
Colorado St.,10.16777992,3.144061536
Ohio St.,10.1133399,8.702508092
Georgia St.,10.11319971,1.12737298
Drake,9.877147116,1.346375823
LSU,9.840349913,9.103550911
Florida,9.739722103,7.09764576
Alabama,9.718279958,5.401902556
George Mason,9.666420996,0
Colgate,9.644449949,3.124670029
Arizona St.,9.610425889,1.570083976
Old Dominion,9.526068091,1.225375652
Houston,9.455649853,8.231632113
Georgia Tech,9.325289473,1.82322669
Tennessee,9.319130063,3.053250313
Colorado,9.308190107,6.606366575
UTSA,9.288638681,0.213254988
Wichita St.,9.148460031,4.657108784
Penn St.,9.121231914,6.49369508
Oklahoma,9.116524115,3.921722412
Missouri,9.093776107,0
Dayton,9.090539932,11.15586877
UNC Asheville,9.031150103,0
Connecticut,9.015749782,3.913696289
Winthrop,8.993617833,2.007654428
Loyola Marymount,8.924204022,0.695539951
Siena,8.913970977,2.714860082
Minnesota,8.904281378,7.15456152
East Carolina,8.796995133,0
Oregon,8.704959869,12.1084969
Bowling Green,8.700285137,2.291684788
Northwestern,8.682886899,2.51013276
Saint Louis,8.650808096,1.026171207
Quinnipiac,8.636386901,0.947544575
Santa Clara,8.565122902,2.17905736
Utah St.,8.550975949,7.121259689
Grand Canyon,8.512570024,3.218510807
West Virginia,8.464917853,3.42400229
Ohio,8.455699682,3.588621557
Saint Joseph's,8.427353144,0
Buffalo,8.412650108,3.095537066
San Francisco,8.340708047,6.323000789
South Carolina,8.235199928,2.526556253
Princeton,8.159870148,2.887952805
Wofford,8.147939146,4.11225009
Stanford,8.144606888,3.430689096
Miami OH,7.995020032,1.354804158
Fairleigh Dickinson,7.986671031,1.900344968
Cal St. Northridge,7.877462119,6.100578468
Indiana St.,7.81755805,4.278119326
Marshall,7.639462113,0
Eastern Washington,7.603135943,3.750968695
Youngstown St.,7.586265981,1.925855935
Sacred Heart,7.542293862,3.730694056
Eastern Illinois,7.537123993,0.466610461
Tulsa,7.533340037,3.32502532
Iowa St.,7.530949414,8.571900964
Central Arkansas,7.494059987,0.079088159
Cornell,7.485342979,1.415687323
Massachusetts,7.479197428,2.460164964
UNC Greensboro,7.468880177,3.805966914
North Carolina,7.381674856,8.198369622
Kansas,7.336170197,11.82145941
Toledo,7.298059836,5.796190292
Chattanooga,7.269752979,3.03409776
Northwestern St.,7.158702537,0.283820391
Monmouth,7.091455132,0.250262111
Maryland,7.079469919,10.09452724
Drexel,7.069747157,1.1859833
Bradley,7.042939007,7.881721258
Butler,7.041179895,10.82843733
DePaul,6.903995931,3.602862835
UC Santa Barbara,6.850763977,6.204805613
IUPUI,6.849171907,0
Northern Arizona,6.784099936,2.763398647
Memphis,6.768648848,2.595461607
Texas St.,6.76480484,5.311152935
BYU,6.711959958,16.08819616
Cincinnati,6.702031076,7.747832179
Rhode Island,6.673989952,5.608179152
Cal St. Bakersfield,6.628481008,0
San Diego St.,6.613292009,9.877671838
Idaho St.,6.582009912,2.350065559
Stetson,6.560811944,1.43808651
Arkansas St.,6.519377083,4.109708786
Clemson,6.454005003,3.09528023
Western Carolina,6.452275816,6.069546938
UT Arlington,6.436632076,3.487666488
Louisiana Lafayette,6.435195953,1.446797609
Vermont,6.409280114,6.297671795
Little Rock,6.391923782,3.410633206
Mississippi,6.379850939,5.175289273
Boston University,6.373914063,3.940686226
Notre Dame,6.259540081,10.4047426
Mount St. Mary's,6.25921303,0
UAB,6.222720936,2.359924316
UMass Lowell,6.211674988,5.814976364
Columbia,6.194421373,-0.057790354
TCU,6.152424991,7.311327517
UCF,6.131219864,5.026061654
Charlotte,6.105980694,2.115504265
Gardner Webb,6.095702827,3.179258496
Penn,6.072370052,6.146435261
Providence,6.056000233,7.470228612
Oregon St.,6.051564038,8.085538149
Belmont,6.04039979,5.332577121
New Mexico St.,6.027570009,6.045728981
Seton Hall,6.019459039,10.47442365
Texas Tech,5.999180079,10.15347755
Murray St.,5.983157656,2.93571651
Nebraska Omaha,5.973086983,4.492954612
Florida St.,5.959447026,8.930899143
Navy,5.931837901,1.678503036
California,5.81793201,2.584292293
Michigan St.,5.817649961,9.839062691
Lipscomb,5.781725973,2.923523068
UC Davis,5.679238021,5.90944615
Lafayette,5.648115664,3.357029915
South Florida,5.646215081,1.931958795
Akron,5.527003795,8.07685937
UMBC,5.508585716,1.894025445
Elon,5.502544969,3.497101307
Oral Roberts,5.478410006,8.371330529
Florida Atlantic,5.463840008,3.625959516
Radford,5.435490131,4.575110644
Kansas St.,5.415902298,4.540638328
Canisius,5.412742972,1.579010248
Detroit,5.390905023,3.852570176
Duke,5.367916822,11.82950616
Stephen F. Austin,5.337539911,6.06770432
Seattle,5.314555109,4.302867502
Missouri St.,5.280187964,6.346338511
Northern Colorado,5.277530074,10.52827239
USC Upstate,5.266726077,0
UC Riverside,5.237262949,1.606203444
Wake Forest,5.212044954,7.838082366
VCU,5.178778976,5.754384696
Vanderbilt,5.163922936,4.48944521
Abilene Christian,5.148659915,2.360734463
Charleston Southern,5.147306085,-1.643793941
Wright St.,5.126252174,5.937096894
Stony Brook,5.10507983,2.458269596
Utah Valley,5.093718886,2.119837403
Boise St.,5.022307962,8.089265913
Delaware,4.939769983,5.27592206
Southern Utah,4.906580983,4.528077185
Coastal Carolina,4.839106098,5.860226154
McNeese St.,4.827526003,6.111071229
Louisiana Tech,4.813709974,7.041666508
Kent St.,4.812489986,8.105172873
Southeastern Louisiana,4.809281945,-0.2516931
Western Michigan,4.767882988,3.253760815
Xavier,4.731016994,7.525211051
UC Irvine,4.676892102,7.451067224
Niagara,4.657629192,1.536951065
San Jose St.,4.639571469,1.434734195
American,4.620947003,3.455446959
NJIT,4.566296875,-0.713705078
Hofstra,4.549979925,10.67754102
Fort Wayne,4.540486351,1.661661923
Cleveland St.,4.4982301,-1.069440126
Boston College,4.478145123,3.664078355
Rider,4.47637101,4.201367199
Oklahoma St.,4.467939973,7.847988367
UTEP,4.45036006,1.341468573
La Salle,4.446279019,3.785444796
Marquette,4.418480039,11.64554727
Green Bay,4.390780091,6.618359566
Robert Morris,4.380032063,4.257554173
Valparaiso,4.351347923,5.188098311
Eastern Kentucky,4.348176118,1.71115464
James Madison,4.341477728,3.918849349
Loyola MD,4.341354106,4.888389349
Southern Miss,4.226541966,0.648969769
North Dakota,4.199314117,5.55984062
North Alabama,4.182850927,1.265031457
Portland,4.161964029,2.171389639
Northern Kentucky,3.983001947,5.734593391
Mercer,3.972585052,6.527364735
Tennessee Martin,3.941286892,8.217886686
College of Charleston,3.913969994,7.892781615
Fresno St.,3.89030993,8.779776275
George Washington,3.883727044,3.165203333
Texas A&M,3.860467941,4.762412906
Wyoming,3.859260023,0.609406635
Howard,3.84028095,2.179294586
Montana St.,3.800007969,2.435881243
Portland St.,3.772230953,8.170921564
Houston Baptist,3.771893807,3.636529684
New Hampshire,3.768729784,0.791613579
Florida Gulf Coast,3.730670899,-0.477206945
New Orleans,3.697258949,3.469180703
Virginia,3.683724821,4.484039187
Georgetown,3.682990074,11.8172617
Jackson St.,3.606977217,0.905063391
Texas Southern,3.596561991,5.20447734
Middle Tennessee,3.587668017,2.907511115
Saint Mary's,3.580200076,12.10802424
Wagner,3.576730212,2.317535788
Hawaii,3.531025052,4.087706089
VMI,3.496482,3.951074004
North Florida,3.4801879,11.09945416
Campbell,3.472988009,2.661043078
Towson,3.460134983,9.149374366
Troy,3.451269865,2.184314964
Appalachian St.,3.445694894,5.381376266
FIU,3.418888986,7.760891438
Morehead St.,3.401115954,1.736475402
LIU Brooklyn,3.361192971,4.526661873
Saint Peter's,3.336787689,2.772881925
Southern,3.317294955,2.156323433
St. Francis PA,3.296613991,9.175376773
Incarnate Word,3.296497017,1.222844064
Mississippi St.,3.257789969,13.72584319
William & Mary,3.232680023,6.721853614
Nebraska,3.147557944,6.389418602
Brown,3.105051994,5.025946081
Louisiana Monroe,3.101450071,2.840085745
North Dakota St.,3.005261987,10.25854391
Lamar,3.004552066,3.613432407
Illinois St.,2.983981907,4.095189154
New Mexico,2.939819932,5.439946532
UNC Wilmington,2.897581071,0
Tennessee Tech,2.890225023,1.44162178
Texas A&M Corpus Chris,2.763224036,1.122326821
Iona,2.758744895,7.370675802
Southern Illinois,2.752316892,3.576615572
Northern Illinois,2.746785045,4.343176857
Bryant,2.736585572,4.477800071
Oakland,2.732622892,5.258189261
Liberty,2.700289935,10.32621646
Milwaukee,2.695787072,2.751986951
Bucknell,2.692384064,2.977098107
Air Force,2.621737003,9.268419266
Illinois Chicago,2.621251076,3.389896482
South Dakota,2.563299894,10.92509186
Long Beach St.,2.538871944,1.666957378
Manhattan,2.504137627,-0.265800551
Western Illinois,2.50158,5.127977371
Eastern Michigan,2.48866196,1.803154826
Northeastern,2.480170012,9.328363061
Albany,2.474113632,2.906909697
Georgia,2.465039968,9.490814805
Washington,2.452714995,6.685928464
The Citadel,2.376991589,2.303980246
San Diego,2.354708672,1.85529536
Cal Baptist,2.303050041,9.118039489
Hartford,2.286165982,2.973671913
Lehigh,2.27838916,4.887925267
Washington St.,2.269892037,6.290697128
Rice,2.217517085,9.171466708
Tennessee St.,2.151997983,4.950951576
Binghamton,2.139699072,5.3677212
Georgia Southern,2.119910002,7.894024253
Coppin St.,2.101221025,0.2193342
Jacksonville St.,2.094781011,3.946805805
Morgan St.,2.041647498,1.872607946
Evansville,2.033576667,2.376660347
UT Rio Grande Valley,2.022179253,4.607364535
Sacramento St.,2.008004934,4.879410744
Marist,1.983637005,0.720887482
Sam Houston St.,1.968279958,4.595612526
UMKC,1.961684063,4.163564712
Fairfield,1.951784015,1.361057401
High Point,1.93729192,1.348591805
Fordham,1.93220125,1.587548018
Army,1.878208995,6.026427269
Nevada,1.839591026,13.62881047
Hampton,1.761344016,9.131974652
Norfolk St.,1.690108001,3.295666754
Harvard,1.688740015,7.382510155
Nicholls St.,1.668799996,5.555459052
North Carolina A&T,1.648013994,2.424420357
Pacific,1.571467027,6.300501704
Central Michigan,1.570937976,8.612933874
Delaware St.,1.529842295,2.236315727
Alcorn St.,1.511085965,5.324043751
SIU Edwardsville,1.501273036,2.505211413
North Carolina Central,1.444824353,2.407973051
Arizona,1.434579968,13.47005141
Ball St.,1.386775047,6.691034943
Grambling St.,1.343377039,3.435750153
St. Francis NY,1.332214892,3.654239893
Holy Cross,1.319500983,4.071536064
