"team","conf","conf_rank","stars_5","stars_4","stars_3","num_star_players","avg_recruit_score","composite_score"
"Duke","ACC",1,2,2,0,4,99.28,69.32
"North Carolina","ACC",2,2,1,1,4,96.76,67.23
"Louisville","ACC",3,1,4,1,6,95.12,66.99
"Florida State","ACC",4,1,1,4,6,91.32,61.94
"Virginia","ACC",5,0,2,2,4,92.38,59.62
"Miami","ACC",6,0,2,1,3,94.54,57.27
"Syracuse","ACC",7,0,2,3,5,90.79,56.04
"N.C. State","ACC",8,0,2,1,3,92.48,53.6
"Clemson","ACC",9,0,2,1,3,91.7,50.53
"Virginia Tech","ACC",10,0,1,3,4,88.37,48.93
"Pittsburgh","ACC",11,0,1,3,4,88.51,47.93
"Wake Forest","ACC",12,0,1,3,4,87.2,45.3
"Boston College","ACC",13,0,0,4,4,87.62,42.23
"Georgia Tech","ACC",14,0,0,2,2,84.28,26.01
"Kansas","Big-12",1,0,5,0,5,95.48,64.4
"Texas Tech","Big-12",2,0,3,3,7,90.15,62.76
"Texas","Big-12",3,0,3,0,3,98.05,62.49
"Oklahoma State","Big-12",4,0,4,1,5,92.68,58.74
"Oklahoma","Big-12",5,0,3,4,7,89.56,58.68
"TCU","Big-12",6,0,3,2,5,91.57,57.74
"West Virginia","Big-12",7,0,1,3,4,89.95,52.2
"Kansas State","Big-12",8,0,1,4,5,86.81,47.03
"Iowa State","Big-12",9,0,0,4,4,89.24,46.68
"Baylor","Big-12",10,0,1,0,1,92.31,22.31
"Ohio State","Big-Ten",1,0,3,1,4,95.49,65.29
"Michigan State","Big-Ten",2,0,2,1,3,95.07,58.62
"Maryland","Big-Ten",3,0,2,3,5,91.63,57.75
"Minnesota","Big-Ten",4,0,2,2,4,90.38,53.57
"Nebraska","Big-Ten",5,0,1,5,6,88.36,50.22
"Indiana","Big-Ten",6,0,2,0,2,95.78,47.05
"Purdue","Big-Ten",7,0,1,2,3,90.51,46.62
"Northwestern","Big-Ten",8,0,1,2,3,90.15,46.59
"Michigan","Big-Ten",9,0,2,0,2,94.32,43.82
"Illinois","Big-Ten",10,0,1,1,2,92.6,41.8
"Iowa","Big-Ten",11,0,1,1,2,92.56,41.46
"Penn State","Big-Ten",12,0,0,3,3,86.7,38.36
"Rutgers","Big-Ten",13,0,1,0,1,92.41,22.41
"Wisconsin","Big-Ten",14,0,0,1,1,89.41,19.41
"Arizona","Pac-12",1,2,1,1,4,96.95,67.78
"USC","Pac-12",2,2,2,2,6,94.35,67.71
"Washington","Pac-12",3,2,1,1,4,95.98,67.14
"Oregon","Pac-12",4,1,2,2,5,93.61,64.77
"Arizona State","Pac-12",5,0,1,5,6,89.31,52.55
"Utah","Pac-12",6,0,1,3,4,88.68,48.94
"Stanford","Pac-12",7,0,1,2,3,90.01,46.45
"Oregon State","Pac-12",8,0,0,5,5,86.63,42.6
"California","Pac-12",9,0,0,3,3,88.62,42.13
"UCLA","Pac-12",10,0,1,1,2,91.87,40.34
"Washington State","Pac-12",11,0,0,3,4,85,38.99
"Kentucky","SEC",1,3,2,0,5,98.33,69.87
"Florida","SEC",2,2,1,2,5,94.4,67.62
"Georgia","SEC",3,1,4,2,7,94.36,67.2
"Auburn","SEC",4,0,3,4,7,90.9,60.74
"Alabama","SEC",5,0,3,2,5,93.19,60.5
"Tennessee","SEC",6,1,0,3,4,92.25,57.01
"LSU","SEC",7,1,1,1,3,92.89,54.3
"Texas A&amp;M","SEC",8,0,2,4,6,89.25,52.12
"Missouri","SEC",9,0,1,2,3,92.27,51.79
"Ole Miss","SEC",10,0,1,4,5,89.54,50.12
"South Carolina","SEC",11,0,2,2,4,88.79,49.75
"Vanderbilt","SEC",12,0,1,4,5,88.9,48.79
"Mississippi State","SEC",13,0,1,2,3,89.88,45.93
"Arkansas","SEC",14,0,0,1,1,86.78,16.78
"Memphis","AAC",1,2,5,0,7,97.63,70.11
"Connecticut","AAC",2,0,3,0,3,96.5,59.2
"Wichita State","AAC",3,0,2,4,6,89.17,51.34
"Cincinnati","AAC",4,0,1,2,3,91.46,50.14
"Houston","AAC",5,0,1,2,3,89.71,45.37
"SMU","AAC",6,0,0,5,5,86.61,41.57
"East Carolina","AAC",7,0,0,4,8,82.48,39.85
"UCF","AAC",8,0,0,4,4,85.7,38
"Tulsa","AAC",9,0,0,3,3,86.61,36.91
"Temple","AAC",10,0,1,1,2,88.99,34.84
"Tulane","AAC",11,0,0,3,3,84.81,33.79
"USF","AAC",12,0,0,2,2,86.65,30.05
"Charlotte","C-USA",1,0,0,4,4,87.14,41.23
"UTSA","C-USA",2,0,0,4,4,86.34,40.39
"Middle Tennessee State","C-USA",3,0,0,3,3,86.41,36.62
"Florida Atlantic","C-USA",4,0,0,3,3,86.23,36.07
"Rice","C-USA",5,0,0,3,3,86.09,35.66
"Marshall","C-USA",6,0,0,3,3,86.09,35.66
"Louisiana Tech","C-USA",7,0,0,3,3,85.67,35.18
"Western Kentucky","C-USA",8,0,0,2,2,87.39,31.43
"UAB","C-USA",9,0,0,2,2,85.5,28.01
"North Texas","C-USA",10,0,0,1,1,87.84,17.84
"FIU","C-USA",11,0,0,1,1,87,17
"UTEP","C-USA",12,0,0,1,1,85.78,15.78
"Ohio","MAC",1,0,0,2,3,84.55,35.09
"Miami (OH)","MAC",2,0,0,2,3,83.66,32.71
"Ball State","MAC",3,0,0,2,2,86,28.81
"Toledo","MAC",4,0,0,2,2,85.64,28.29
"Buffalo","MAC",5,0,0,1,1,88,18
"Kent State","MAC",6,0,0,1,1,87,17
"Central Michigan","MAC",7,0,0,1,1,85.59,15.59
"Northern Illinois","MAC",8,0,0,0,1,79,9
"Akron","MAC",9,0,0,0,1,79,9
"Western Michigan","MAC",10,0,0,0,1,79,9
"Bowling Green","MAC",11,0,0,0,1,79,9
"Utah State","M-West",1,0,0,4,4,87.19,43.92
"Fresno State","M-West",21,0,0,4,4,87.07,41.45
"Colorado State","M-West",31,0,0,4,4,86.64,39.49
"New Mexico","M-West",4,0,0,2,2,90.2,36.54
"Wyoming","M-West",5,0,0,2,2,86.64,30.03
"Nevada","M-West",6,0,0,1,1,88,18
"UNLV","M-West",7,0,0,1,1,88,18
"San Diego State","M-West",8,0,0,1,1,87.43,17.43
"San Jose State","M-West",9,0,0,1,1,86,16
"Boise State","M-West",10,0,0,1,1,85.56,15.56
"Massachusetts","A-10",1,0,1,2,4,87.02,47.91
"VCU","A-10",2,0,1,2,3,90.32,47.66
"Saint Louis","A-10",3,0,0,3,3,87.22,38.94
"Rhode Island","A-10",4,0,0,3,3,87.36,38.77
"La Salle","A-10",5,0,0,3,3,87.03,38.15
"Davidson","A-10",6,0,1,0,1,92.53,22.53
"George Mason","A-10",7,0,0,1,2,81.28,20.56
"Duquesne","A-10",8,0,0,1,1,87.7,17.7
"St. Bonaventure","A-10",9,0,0,1,1,87.43,17.43
"Dayton","A-10",10,0,0,1,1,86.89,16.89
"George Washington","A-10",11,0,0,1,1,86.78,16.78
"Fordham","A-10",12,0,0,1,1,86.78,16.78
"Vermont","A-East",1,0,0,1,1,87,17
"Binghamton","A-East",2,0,0,1,1,86,16
"Albany","A-East",3,0,0,1,1,86,16
"Liberty","A-Sun",1,0,0,1,1,86.78,16.78
"South Carolina Upstate","A-Sun",2,0,0,1,1,86,16
"Kennesaw State","A-Sun",3,0,0,0,1,80,10
"Villanova","Big-East",1,2,2,0,4,98.53,68.2
"Xavier","Big-East",2,0,4,1,5,93.07,58.66
"DePaul","Big-East",3,0,2,2,4,91.15,55.15
"Georgetown","Big-East",4,0,1,3,4,88.95,47.13
"Marquette","Big-East",5,0,1,1,2,91.99,40.64
"Butler","Big-East",6,0,1,1,2,91.62,39.76
"Seton Hall","Big-East",7,0,0,2,2,88.98,34.41
"Creighton","Big-East",8,0,0,2,2,87.79,32.24
"Providence","Big-East",9,0,1,0,1,97.48,27.48
"St. John&#39;s","Big-East",10,0,0,1,1,86.19,16.19
"Long Beach State","Big-west",1,0,0,2,2,91.28,38.34
"Cal State Fullerton","Big-west",2,0,0,1,1,90.24,20.24
