Team,Returning,Departing
Buffalo,10.80227995,2.055690289
Vermont,11.54242995,2.051625729
Lipscomb,7.70293498,2.003290609
Northwestern,9.476139903,1.981189549
North Florida,8.229029,1.977701306
Longwood,3.449782133,1.974568009
Binghamton,5.370229006,1.956794381
Kansas St.,6.688794136,1.956022233
Howard,3.641631991,1.88579154
Arkansas Pine Bluff,1.391379952,1.879755571
North Alabama,2.540921956,1.873711467
Jackson St.,1.262176037,1.829726953
Bucknell,3.359755933,1.829006329
Fort Wayne,7.455194071,1.770781159
Alabama St.,-2.578438967,1.768198013
High Point,4.425503954,1.743658647
Houston Baptist,1.321397386,1.683282524
Prairie View A&M,4.870065987,1.611820757
Bryant,10.41948605,1.561122298
Fordham,-3.751780152,1.518198609
Canisius,7.623349965,1.494274259
Air Force,3.971133947,1.402212769
UT Rio Grande Valley,0.157986701,1.382338524
Coppin St.,1.828451991,1.29857707
LIU Brooklyn,5.069720924,1.204085022
Tarleton St.,6.239805907,1.19768846
San Francisco,9.147987925,1.176935196
North Carolina A&T,1.765087038,1.128439426
Tennessee Tech,5.465226546,1.084926844
Marist,2.919802941,1.008722305
Idaho,0.516543001,1.000204701
UC Irvine,7.679744989,0.993297815
Middle Tennessee,1.358859979,0.985415854
Lamar,3.763483845,0.965996459
Florida A&M,1.982698947,0.941497624
Florida Gulf Coast,3.975783885,0.824656934
Xavier,13.71542001,0.778402627
Charleston Southern,-0.026629031,0.76781828
Texas St.,8.305901825,0.761538804
Stony Brook,4.775332034,0.703910947
Cal St. Fullerton,9.726468205,0.68277669
Portland St.,3.00240998,0.679623961
Southern Utah,13.278175,0.600037992
Missouri St.,13.95402014,0.598314941
Southeastern Louisiana,3.863835424,0.588892341
Purdue,16.98847008,0.553246737
Rider,9.074379891,0.442448832
South Carolina St.,1.109676063,0.36736393
Troy,3.454551935,0.354076624
Southern Miss,5.49290517,0.277549177
Valparaiso,3.616816409,0.271473408
Maine,-1.304742068,0.200065389
Nevada,11.12845713,0.19476597
Samford,1.812783308,0.17012547
Rice,11.99358487,0.144982144
Grambling St.,3.402045527,0.136421308
Stetson,8.989569128,0.06671112
Wagner,10.53021798,0.01048909
Fresno St.,8.019741058,0
Kennesaw St.,1.850914985,0
Merrimack,3.273796022,0
Butler,12.42184305,0
Montana St.,7.289228857,0
Saint Mary's,9.974757165,0
Sacred Heart,10.84020197,0
Cleveland St.,7.184924066,0
Manhattan,3.907975979,0
Southeast Missouri St.,3.335290991,0
Miami OH,12.65188295,0
Northern Kentucky,11.65746617,0
Fairfield,5.796558991,0
Northern Colorado,9.442749858,0
Georgia St.,12.67042202,0
Lehigh,4.516643107,0
Montana,7.802713051,0
Jacksonville St.,9.460296795,0
North Dakota St.,11.41992503,0
UCF,13.29652318,0
Idaho St.,3.949977435,0
Southern Illinois,7.347819865,0
Alabama A&M,-0.091536134,0
Arkansas St.,7.827370971,0
Seattle,9.094617613,0
Delaware,7.767289042,0
Northern Iowa,9.692588322,0
Colorado St.,13.81736517,0
Belmont,14.97438014,0
South Dakota St.,16.21959674,0
Boston University,9.273490831,0
St. Bonaventure,17.38837028,0
Presbyterian,6.687612951,0
Saint Peter's,4.743556332,0
Appalachian St.,10.79855013,0
UCLA,19.37804985,0
Campbell,9.623019934,0
St. Francis PA,4.158589974,-0.037098195
Cal Poly,3.120165944,-0.05097612
Western Illinois,5.275640965,-0.230768016
Central Connecticut,3.423621982,-0.518716365
San Diego,4.812397063,-0.775290694
Delaware St.,3.559838027,-0.828859329
UNC Asheville,9.599968076,-0.977237403
New Hampshire,7.236886993,-1.059766054
Dixie St.,4.352825999,-1.135619521
Chicago St.,0.536781307,-2.582529515
Mississippi Valley St.,-0.263409004,-2.962231815
