team,mins
Houston,0.77
Duke,0.266
Iowa St.,0.644
Kansas,0.541
North Carolina,0.47600000000000003
Tennessee,0.376
Auburn,0.5670000000000001
Gonzaga,0.8140000000000001
Alabama,0.521
Arizona,0.424
Texas,0.20800000000000002
Texas A&M,0.72
Connecticut,0.446
Creighton,0.513
Baylor,0.32899999999999996
St. John's,0.243
Purdue,0.542
Michigan St.,0.498
Rutgers,0.23800000000000002
Texas Tech,0.513
Illinois,0.142
Mississippi St.,0.425
Kentucky,0.001
UCLA,0.608
Marquette,0.725
Miami FL,0.326
Cincinnati,0.7090000000000001
BYU,0.494
Kansas St.,0.16699999999999998
Indiana,0.601
Wake Forest,0.586
Memphis,0.11800000000000001
Ohio St.,0.337
Michigan,0.26899999999999996
Arkansas,0.124
Florida,0.517
Georgia,0.28600000000000003
Mississippi,0.58
Saint Mary's,0.47100000000000003
Wisconsin,0.514
Villanova,0.259
Oregon,0.504
Iowa,0.5479999999999999
Clemson,0.374
Nebraska,0.382
Northwestern,0.66
TCU,0.087
Maryland,0.424
USC,0.067
Pittsburgh,0.5
VCU,0.622
Grand Canyon,0.578
South Carolina,0.48100000000000004
Oklahoma,0.255
New Mexico,0.501
SMU,0.33299999999999996
UCF,0.375
N.C. State,0.42200000000000004
Xavier,0.33299999999999996
Nevada,0.563
Providence,0.447
Louisville,0
LSU,0.41700000000000004
Missouri,0.379
McNeese St.,0.606
Dayton,0.507
Boise St.,0.38
Arizona St.,0.218
Notre Dame,0.8390000000000001
Minnesota,0.373
Syracuse,0.41100000000000003
Virginia,0.47600000000000003
Washington,0.16
Penn St.,0.611
Butler,0.574
Vanderbilt,0.11599999999999999
San Diego St.,0.251
Saint Joseph's,0.541
Utah,0.27699999999999997
Utah St.,0.381
Colorado St.,0.353
UAB,0.601
San Francisco,0.547
West Virginia,0.068
Washington St.,0.045
George Mason,0.41
North Texas,0.276
Oklahoma St.,0.263
UNLV,0.469
Seton Hall,0.259
Loyola Chicago,0.48100000000000004
Virginia Tech,0.14800000000000002
Georgia Tech,0.4
Bradley,0.638
Stanford,0.24100000000000002
Western Kentucky,0.7090000000000001
Princeton,0.657
Wichita St.,0.585
Santa Clara,0.7609999999999999
High Point,0.76
Vermont,0.754
Florida St.,0.263
Georgetown,0.233
California,0.05
UC Irvine,0.5760000000000001
Florida Atlantic,0.027999999999999997
Arkansas St.,0.6709999999999999
South Florida,0.41700000000000004
Colorado,0.19399999999999998
Saint Louis,0.391
Northern Iowa,0.514
Louisiana Tech,0.484
Duquesne,0.442
Sam Houston St.,0.54
Troy,0.7290000000000001
Towson,0.821
DePaul,0
Drake,0.07
Ohio,0.6559999999999999
Massachusetts,0.511
Charleston,0.251
Samford,0.302
Liberty,0.498
Yale,0.584
Charlotte,0.39399999999999996
Akron,0.27399999999999997
George Washington,0.396
UTEP,0.561
East Carolina,0.354
UMass Lowell,0.552
Tulsa,0.542
Lipscomb,0.504
James Madison,0.114
UT Arlington,0.158
Seattle,0.486
Temple,0.44799999999999995
Murray St.,0.523
Bryant,0.322
Southern Illinois,0.195
Oregon St.,0.257
Fordham,0.601
UNC Asheville,0.406
Loyola Marymount,0.38299999999999995
Stephen F. Austin,0.49700000000000005
Rhode Island,0.524
UC San Diego,0.498
Richmond,0.345
Appalachian St.,0.22899999999999998
Wofford,0.843
St. Bonaventure,0.07400000000000001
Boston College,0.163
Chattanooga,0.43200000000000005
Utah Valley,0.36200000000000004
UC Santa Barbara,0.47600000000000003
Louisiana,0.505
Northern Kentucky,0.6659999999999999
Wyoming,0.13699999999999998
Hofstra,0.24
Kent St.,0.396
Oakland,0.259
La Salle,0.42200000000000004
Davidson,0.601
