team,mins
Gonzaga,0.6920000000000001
Baylor,0.529
Tennessee,0.59
North Carolina,0.733
Duke,0.158
Houston,0.54
Texas,0.496
Kentucky,0.445
UCLA,0.473
Kansas,0.37
Indiana,0.7809999999999999
TCU,0.887
San Diego St.,0.684
Illinois,0.165
Arizona,0.461
Arkansas,0.166
Villanova,0.48700000000000004
Virginia,0.878
Texas A&M,0.6579999999999999
Xavier,0.631
Auburn,0.647
Creighton,0.598
Miami FL,0.498
Virginia Tech,0.47
Florida,0.489
Michigan St.,0.541
Texas Tech,0.192
Notre Dame,0.5479999999999999
Memphis,0.359
Iowa,0.62
Purdue,0.395
West Virginia,0.171
Oklahoma,0.46299999999999997
Kansas St.,0.266
Oklahoma St.,0.486
Dayton,0.89
Stanford,0.7829999999999999
Oregon,0.505
Michigan,0.275
USC,0.47
Saint Louis,0.6829999999999999
Alabama,0.40700000000000003
Tulane,0.873
UAB,0.589
Mississippi,0.537
Wyoming,0.8109999999999999
St. John's,0.596
Missouri,0.314
Iowa St.,0.44299999999999995
Arizona St.,0.534
Utah St.,0.63
Maryland,0.46799999999999997
Cincinnati,0.6920000000000001
Loyola Chicago,0.37799999999999995
Seton Hall,0.536
Rutgers,0.635
North Texas,0.514
Clemson,0.49700000000000005
Drake,0.6920000000000001
Connecticut,0.364
Wisconsin,0.523
Saint Mary's,0.5760000000000001
LSU,0.158
Fresno St.,0.703
Boise St.,0.541
Ohio St.,0.23
Providence,0.267
Washington St.,0.38799999999999996
Marquette,0.529
Temple,0.66
Liberty,0.81
Florida St.,0.45
Furman,0.6859999999999999
VCU,0.43700000000000006
Vanderbilt,0.608
Mississippi St.,0.48200000000000004
Boston College,0.7170000000000001
UC Santa Barbara,0.728
Syracuse,0.40700000000000003
Colorado,0.503
Penn St.,0.552
BYU,0.47
Washington,0.423
Wake Forest,0.29600000000000004
New Mexico,0.8190000000000001
Towson,0.696
Florida Atlantic,0.785
San Francisco,0.44799999999999995
DePaul,0.521
Utah Valley,0.6579999999999999
Nebraska,0.382
North Carolina St.,0.434
Toledo,0.752
Vermont,0.423
Louisiana Tech,0.635
Colorado St.,0.49
Northwestern,0.596
Bradley,0.65
Georgia Tech,0.584
Middle Tennessee,0.747
Louisville,0.284
George Mason,0.588
Portland,0.917
Oral Roberts,0.857
South Carolina,0.177
UNLV,0.424
Southern Illinois,0.634
Colgate,0.6940000000000001
UNC Greensboro,0.6779999999999999
Butler,0.423
UCF,0.305
Abilene Christian,0.473
Longwood,0.7709999999999999
Grand Canyon,0.561
South Florida,0.624
Richmond,0.40700000000000003
Jacksonville,0.7559999999999999
Davidson,0.439
Western Kentucky,0.64
Samford,0.812
Santa Clara,0.565
Sam Houston St.,0.5529999999999999
Iona,0.47100000000000003
Pittsburgh,0.462
South Dakota St.,0.635
Wichita St.,0.18899999999999997
Georgia,0.584
Akron,0.627
Utah,0.64
UTEP,0.165
Louisiana Lafayette,0.6990000000000001
Rhode Island,0.396
Montana St.,0.52
New Mexico St.,0.092
UC Irvine,0.618
Stephen F. Austin,0.544
Penn,0.861
Nicholls St.,0.607
Kent St.,0.635
Norfolk St.,0.885
Texas St.,0.593
Chattanooga,0.353
California,0.516
College of Charleston,0.505
Seattle,0.72
Indiana St.,0.8290000000000001
Fort Wayne,0.802
Ohio,0.336
Northern Kentucky,0.7240000000000001
Loyola Marymount,0.6809999999999999
SMU,0.294
Fordham,0.626
Hawaii,0.6659999999999999
Fairfield,0.57
San Diego,0.47700000000000004
La Salle,0.514
James Madison,0.821
South Dakota,0.5770000000000001
Yale,0.657
South Alabama,0.315
George Washington,0.696
Long Beach St.,0.465
Cal Baptist,0.496
Harvard,0.6629999999999999
Massachusetts,0.318
Northeastern,0.49700000000000005
Minnesota,0.209
Bryant,0.312
Tulsa,0.439
Valparaiso,0.474
Nevada,0.529
Old Dominion,0.32
Saint Joseph's,0.532
Marshall,0.8140000000000001
UC Riverside,0.504
Montana,0.556
Georgetown,0.295
Southern Utah,0.528
Rider,0.7170000000000001
Charlotte,0.35100000000000003
Georgia Southern,0.5489999999999999
Southern,0.622
Illinois St.,0.306
St. Bonaventure,0.005
Texas A&M Corpus Chris,0.828
Hofstra,0.34600000000000003
Tarleton St.,0.517
Georgia St.,0.26899999999999996
Duquesne,0.32799999999999996
UNC Asheville,0.667
Youngstown St.,0.555
Quinnipiac,0.61
Pepperdine,0.642
Ball St.,0.705
Appalachian St.,0.359
Lipscomb,0.612
Florida Gulf Coast,0.588
Delaware,0.41700000000000004
Belmont,0.28800000000000003
Princeton,0.46799999999999997
Jacksonville St.,0.249
FIU,0.43799999999999994
Missouri St.,0.185
Cleveland St.,0.402
Western Michigan,0.613
Murray St.,0.134
Utah Tech,0.759
Mercer,0.5479999999999999
North Florida,0.7809999999999999
Cal Poly,0.8029999999999999
Cornell,0.586
North Carolina A&T,0.5
Oakland,0.644
Northern Iowa,0.39
UNC Wilmington,0.41700000000000004
Troy,0.465
Rice,0.5329999999999999
Wofford,0.254
UC Davis,0.5710000000000001
Boston University,0.6859999999999999
San Jose St.,0.71
Austin Peay,0.597
Morehead St.,0.22699999999999998
East Carolina,0.268
Merrimack,0.617
Kennesaw St.,0.792
Eastern Kentucky,0.514
UMass Lowell,0.7490000000000001
UC San Diego,0.62
Gardner Webb,0.451
Queens,0.7
Air Force,0.755
High Point,0.736
Texas Southern,0.456
Loyola MD,0.767
Wright St.,0.65
Brown,0.652
Sacramento St.,0.43
Bellarmine,0.579
Coastal Carolina,0.40399999999999997
SIU Edwardsville,0.691
Tennessee St.,0.414
Saint Peter's,0.21600000000000003
Mount St. Mary's,0.654
North Dakota St.,0.312
Eastern Washington,0.624
Navy,0.528
Weber St.,0.39
Southern Indiana,0.7
Northern Colorado,0.574
St. Francis PA,0.785
Cal St. Fullerton,0.475
Buffalo,0.12300000000000001
Campbell,0.389
Pacific,0.31
Wagner,0.469
Winthrop,0.413
Northern Arizona,0.742
Siena,0.505
Army,0.7140000000000001
Denver,0.309
UT Arlington,0.28300000000000003
Arkansas St.,0.479
Louisiana Monroe,0.504
Dartmouth,0.414
Niagara,0.332
Bucknell,0.7559999999999999
Sacred Heart,0.474
UMBC,0.237
Stetson,0.63
East Tennessee St.,0.273
Detroit,0.261
Little Rock,0.7709999999999999
Oregon St.,0.263
St. Thomas,0.52
Tennessee Martin,0.672
Northern Illinois,0.5379999999999999
Presbyterian,0.638
North Carolina Central,0.7290000000000001
UTSA,0.6409999999999999
Robert Morris,0.5760000000000001
Western Carolina,0.479
Eastern Michigan,0.392
Howard,0.48100000000000004
William & Mary,0.32299999999999995
Stony Brook,0.25
USC Upstate,0.5760000000000001
Drexel,0.384
Manhattan,0.518
Morgan St.,0.47600000000000003
Hampton,0.5670000000000001
Binghamton,0.6729999999999999
Milwaukee,0.187
Lehigh,0.675
Southern Miss,0.355
Maryland Eastern Shore,0.743
Canisius,0.46
Idaho St.,0.42
Radford,0.21899999999999997
Columbia,0.826
NJIT,0.521
American,0.703
Coppin St.,0.5479999999999999
Jackson St.,0.196
Central Arkansas,0.688
Bowling Green,0.445
North Alabama,0.542
Northwestern St.,0.266
Alabama A&M,0.657
Bethune Cookman,0.431
Albany,0.27699999999999997
Charleston Southern,0.642
Prairie View A&M,0.17300000000000001
Portland St.,0.19699999999999998
Cal St. Bakersfield,0.433
Tennessee Tech,0.19699999999999998
Texas A&M Commerce,0.7
Maine,0.621
McNeese St.,0.563
Cal St. Northridge,0.408
New Orleans,0.506
Evansville,0.35200000000000004
Elon,0.28300000000000003
Marist,0.17800000000000002
Southeast Missouri St.,0.377
Grambling St.,0.43
Lafayette,0.633
Central Michigan,0.39799999999999996
Alcorn St.,0.415
North Dakota,0.621
Central Connecticut,0.5670000000000001
Chicago St.,0.33
Miami OH,0.278
Illinois Chicago,0.222
UMKC,0.302
South Carolina St.,0.41
Monmouth,0.18100000000000002
Alabama St.,0.28
Nebraska Omaha,0.41100000000000003
Incarnate Word,0.583
St. Francis NY,0.511
The Citadel,0.326
Eastern Illinois,0.561
Holy Cross,0.41700000000000004
Houston Christian,0.505
Western Illinois,0.239
Southeastern Louisiana,0.309
LIU Brooklyn,0.285
VMI,0.353
Green Bay,0.311
Idaho,0.28
Arkansas Pine Bluff,0.254
New Hampshire,0.147
IUPUI,0.217
Mississippi Valley St.,0.34299999999999997
Hartford,0.244
Fairleigh Dickinson,0.306
UT Rio Grande Valley,0.174
Lamar,0.293
Florida A&M,0.13699999999999998
Delaware St.,0.28800000000000003
Lindenwood,0.7
Stonehill,0.7
