"player","team","yr","trank_ppg","mins_pct","year"
"Malik Thomas","Norfolk St.","Sr",1.56114,63.5,2015
"David Brown","Western Michigan","Sr",2.62942,82.5,2015
"Brian Richardson","High Point","Sr",0.445591,59.4,2015
"Isaac Smith","Maryland Eastern Shore","Sr",-1.26009,25.7,2015
"Terence Smith","Mississippi","Sr",1.02709,39.4,2015
"Steve Frankoski","Columbia","Sr",1.42945,51.5,2015
"Dwayne Polee II","San Diego St.","Sr",1.1528,29,2015
"Ralph Hill","Oakland","Sr",0.804995,21.6,2015
"Jamal Mitchell","UNC Greensboro","Sr",-1.42771,1.7,2015
"Marcus Thornton","Georgia","Sr",2.621,67,2015
"Mikhail McLean","Houston","Sr",0.291305,11.5,2015
"James Carlton","Howard","Sr",1.90119,76.9,2015
"Trent Wiedeman","Georgia Southern","Sr",1.38509,73.9,2015
"Jeromie Hill","UTSA","Sr",2.12682,84.4,2015
"Gus Leeper","Arkansas Little Rock","Sr",0.26069,37.9,2015
"Justin Drummond","Toledo","Sr",2.43441,72.9,2015
"Cedric Jenkins","Southeastern Louisiana","Sr",0.791638,60.8,2015
"Mikel Trapp","Bethune Cookman","Sr",-0.0593066,73.3,2015
"Ben Hazel","Princeton","Sr",0.53804,35.5,2015
"Delino Dear","Bethune Cookman","Jr",0.314592,45.4,2015
"Alex Dragicevich","Boston College","Sr",0.0770045,7,2015
"C.J. Washington","UAB","Sr",0.427723,40.1,2015
"Pat Moore","Colgate","Sr",0.296087,24.9,2015
"Alandise Harris","Arkansas","Sr",1.66928,50.6,2015
"Alex Tiffin","Sacramento St.","Sr",-0.0503694,39.4,2015
"Tyler Lamb","Long Beach St.","Sr",0.775602,56,2015
"Riley Barker","Portland","Sr",0.549772,21.7,2015
"Chad Jackson","Northern Kentucky","Sr",1.31089,63.5,2015
"Bo Barnes","Arizona St.","Sr",2.20179,45.8,2015
"Ted Bancroft","Providence","Sr",0.219942,6.6,2015
"John Ryan","UC Irvine","Sr",0.666141,31.9,2015
"Evan Kelley","Sacred Heart","Sr",1.10916,76.4,2015
"Joshua Smith","Georgetown","Sr",2.73069,50.5,2015
"Kregg Jones","Cal St. Bakersfield","Sr",-0.17526,16.5,2015
"Javonte Maynor","Cal St. Bakersfield","Sr",0.493653,72.4,2015
"Scott Eatherton","Northeastern","Sr",2.97512,74.5,2015
"Aaron Bowen","Georgetown","Sr",1.10074,37,2015
"Brian Hornstein","Florida Atlantic","Sr",-0.482257,5.8,2015
"Anthony Brown","Stanford","Sr",3.83057,87.7,2015
"Ethan Jacobs","Colgate","Sr",1.99481,68.9,2015
"Nino Williams","Kansas St.","Sr",3.02455,60.8,2015
