"team","conf","conf_rank","stars_5","stars_4","stars_3","num_star_players","avg_recruit_score","composite_score"
"Kentucky","SEC",1,2,4,0,6,98.92,70.34
"North Carolina","ACC",1,3,3,0,6,98.01,69.86
"Duke","ACC",2,4,2,0,6,98.93,69.83
"Tennessee","SEC",2,2,1,1,4,96.76,66.95
"Arizona","Pac-12",1,0,5,1,7,93.07,65.64
"LSU","SEC",3,1,2,2,5,94.91,65.37
"Arizona State","Pac-12",2,1,2,1,4,94.14,65.06
"Arkansas","SEC",4,0,4,0,4,96.93,65.02
"Auburn","SEC",5,1,1,3,5,94.66,64.71
"Texas Tech","Big-12",1,0,3,2,5,93.99,64.64
"Alabama","SEC",6,0,3,2,5,93.9,63.38
"Oklahoma State","Big-12",2,1,1,3,6,92.68,63.07
"Gonzaga","WCC",1,1,2,0,3,98.22,63.06
"Michigan","Big-Ten",1,0,3,1,4,94.57,62.91
"Indiana","Big-Ten",2,1,1,2,4,95.07,62.4
"Illinois","Big-Ten",3,0,2,2,4,92.89,62.29
"Stanford","Pac-12",3,1,0,4,5,92.69,60.48
"Virginia","ACC",3,0,2,1,3,96.2,59.91
"Texas A&amp;M","SEC",7,0,2,2,4,92.57,59.41
"Clemson","ACC",4,0,3,0,3,96.58,59.4
"Marquette","Big-East",1,0,3,0,3,96.17,59.3
"Kansas","Big-12",3,1,0,3,4,92.89,58.71
"Connecticut","Big-East",2,0,2,1,3,95.52,58.58
"Xavier","Big-East",3,0,2,1,3,95.64,58.05
"NC State","ACC",5,0,1,4,5,91.4,57.94
"Louisville","ACC",6,0,3,1,4,94.15,57.72
"Pittsburgh","ACC",7,0,2,3,5,91.52,57.47
"Baylor","Big-12",4,0,2,1,3,95.21,57.21
"Iowa State","Big-12",5,0,1,3,4,91.85,55.53
"Wisconsin","Big-Ten",4,0,1,4,5,90.38,55.43
"Creighton","Big-East",4,0,2,1,3,94.23,55.29
"Georgia","SEC",8,0,1,4,5,90.15,54.78
"Washington State","Pac-12",4,0,2,4,6,90.09,54.66
"Purdue","Big-Ten",5,0,2,1,3,93.09,54.57
"Kansas State","Big-12",6,0,1,6,7,89.93,54.38
"Mississippi State","SEC",9,0,1,4,5,90.4,53.95
"Virginia Tech","ACC",8,0,2,1,3,92.93,53.84
"Florida","SEC",10,0,1,2,3,92.82,53.7
"Syracuse","ACC",9,0,1,2,3,93.22,53.4
"Rutgers","Big-Ten",6,0,1,3,4,90.27,52.84
"Colorado","Pac-12",5,0,1,3,5,90.57,52.71
"Florida State","ACC",10,1,0,2,3,92.19,52.51
"Butler","Big-East",5,0,0,5,5,91,52.46
"Cincinnati","AAC",1,0,0,5,5,89.22,52.27
"Ohio State","Big-Ten",7,0,1,2,3,93.38,52.18
"Utah","Pac-12",6,0,1,3,4,90.25,51.16
"Michigan State","Big-Ten",8,0,2,0,2,97.82,50.23
"Miami","ACC",11,0,2,0,2,97.73,50.15
"Houston","AAC",2,0,1,2,3,91.45,49.8
"Minnesota","Big-Ten",9,0,0,3,3,92.07,49.7
"West Virginia","Big-12",7,0,1,2,4,90.26,47.53
"TCU","Big-12",8,0,0,3,3,90.4,46.59
"St. Mary&#39;s","WCC",2,0,1,2,3,89.92,46.44
"Georgetown","Big-East",6,0,1,2,4,89.79,46.14
"UNLV","M-West",1,0,0,4,6,88.16,45.38
"Iowa","Big-Ten",10,0,0,5,5,87.98,45.17
"USC","Pac-12",7,1,0,1,2,94.34,44.94
"VCU","A-10",1,0,0,4,4,88.49,44.94
"Vanderbilt","SEC",11,0,0,3,4,86.33,43.93
"Memphis","AAC",3,1,0,1,2,93.48,43.52
"Kennesaw State","A-Sun",1,0,0,3,5,88.96,43.25
"Nebraska","Big-Ten",11,0,0,4,4,87.52,42.54
"Davidson","A-10",2,0,0,2,3,87.15,41.98
"Ole Miss","SEC",12,0,1,1,2,92.65,41.95
"Massachusetts","A-10",3,0,0,4,4,87.25,41.5
"Georgia Tech","ACC",12,0,0,3,3,88.49,41.42
"South Alabama","SBC",1,0,0,3,5,84.4,41.29
"Elon","CAA",1,0,0,3,4,85.46,41.18
"Wichita State","AAC",4,0,0,5,6,86.77,41.02
"New Mexico","M-West",22,0,0,3,6,88.19,40.94
"Notre Dame","ACC",13,0,0,3,3,88.11,40.73
"Harvard","Ivy",1,0,0,3,3,88.07,40.54
"Charlotte","C-USA",1,0,0,4,4,86.79,40.46
"BYU","WCC",3,0,0,3,6,87.72,40.37
"San Diego State","M-West",31,0,0,3,3,87.94,40.26
"Penn State","Big-Ten",12,0,0,4,4,86.75,39.68
"Georgia State","SBC",2,0,0,3,3,87.37,39.09
"Temple","AAC",5,0,0,3,4,84.97,38.92
"St. John&#39;s","Big-East",7,0,0,4,4,85.14,38.65
"Boston College","ACC",14,0,1,1,2,90.29,37.6
"California","Pac-12",8,0,1,1,2,90.47,37.59
"Northwestern","Big-Ten",13,0,0,2,2,90.33,37.11
"Fresno State","M-West",41,0,0,2,3,84.94,36.18
"Oral Roberts","SLC",1,0,0,2,2,89.04,34.49
"Oklahoma","Big-12",9,0,0,2,2,89.05,34.45
"Seton Hall","Big-East",8,0,0,2,2,88.33,33
"Maryland","Big-Ten",14,0,0,2,2,87.85,32.36
"Providence","Big-East",9,0,0,2,2,87.89,32.34
"UAB","C-USA",2,0,0,2,3,87.82,32.28
"Louisiana Tech","C-USA",3,0,0,2,4,87.15,31.21
"UCF","AAC",6,0,0,2,2,87.29,31.17
"Tulane","AAC",7,0,0,2,2,87.14,31.03
"South Carolina","SEC",13,0,0,2,2,86.89,30.53
"Oregon State","Pac-12",9,0,0,2,3,86.78,30.21
"Texas","Big-12",10,1,0,0,1,99.68,29.68
"Wake Forest","ACC",15,0,0,2,2,86.29,29.54
"Marshall","C-USA",43,0,0,2,2,86.29,29.47
"Appalachian State","SBC",3,0,0,2,5,86.29,29.47
"Howard","MEAC",1,1,0,0,2,99.39,29.39
"Rhode Island","A-10",4,0,0,2,2,86.17,29.23
"Murray State","OVC",1,0,0,2,3,85.56,28.01
"Oregon","Pac-12",10,0,1,0,1,97.18,27.18
"Yale","Ivy",2,0,0,2,3,85.06,27.13
"USF","AAC",8,0,1,0,1,96.84,26.84
"Iona","MAAC",1,0,0,1,7,84,26
"La Salle","A-10",5,0,0,1,2,83.86,25.53
"Troy","SBC",4,0,0,1,6,83.58,25.16
"Rice","C-USA",51,0,0,1,3,83.42,24.85
"Dayton","A-10",6,0,0,1,2,83.39,24.78
"UCLA","Pac-12",11,0,1,0,1,94.27,24.27
