"team","conf","conf_rank","stars_5","stars_4","stars_3","num_star_players","avg_recruit_score","composite_score"
"Kentucky","SEC",1,4,1,2,1,96.64,70.99
"Duke","ACC",1,4,0,0,4,99.34,69.05
"USC","Pac-12",1,2,2,0,4,98.33,68.42
"Connecticut","Big-East",1,1,3,1,5,97.03,67.84
"Michigan State","Big-Ten",1,1,3,0,4,97.81,67.7
"Louisville","ACC",2,1,4,0,6,97.61,67.64
"Iowa State","Big-12",2,1,2,2,5,95.33,66.95
"Ohio State","Big-Ten",2,0,3,1,4,96.13,65.29
"Kansas","Big-12",1,1,3,0,4,96.62,64.78
"Oklahoma State","Big-12",4,0,3,2,5,93.89,64.58
"Oregon","Pac-12",3,2,1,0,3,99.11,64.55
"Baylor","Big-12",3,1,2,0,4,98.89,64.25
"UCLA","Pac-12",2,0,4,0,7,96.33,63.52
"Memphis","AAC",1,0,4,1,5,94.03,63.21
"Georgia","SEC",3,0,4,0,4,96.04,62.39
"Alabama","SEC",2,0,4,0,4,95.78,61.84
"Xavier","Big-East",2,0,3,1,5,94.3,61.2
"Indiana","Big-Ten",3,1,2,0,3,96.62,60.4
"Maryland","Big-Ten",4,0,2,1,4,96.55,60.38
"Virginia","ACC",3,0,2,2,4,92.64,59.83
"Tennessee","SEC",4,0,2,1,3,96.15,59.34
"Pittsburgh","ACC",4,0,3,1,4,93.01,58.76
"Kansas State","Big-12",5,0,2,1,3,95.76,58.41
"Houston","Big-12",6,0,2,1,3,95.41,57.57
"Colorado","Pac-12",5,1,1,1,4,94.29,57.48
"Notre Dame","ACC",5,0,1,3,4,92.2,56.33
"Missouri","SEC",7,0,2,1,3,94.33,54.81
"Marquette","Big-East",3,0,2,1,4,93.63,53.83
"Illinois","Big-Ten",6,0,2,1,4,92.94,53.61
"Arkansas","SEC",6,0,2,0,2,98.76,51.81
"Iowa","Big-Ten",5,0,1,2,4,92.48,51.58
"North Carolina","ACC",6,1,1,0,2,98.45,51.47
"Stanford","Pac-12",4,1,1,0,3,98.52,51.46
"Wisconsin","Big-Ten",7,0,1,2,3,91.67,49.62
"Cincinnati","Big-12",7,0,2,0,3,97.39,49.36
"Mississippi State","SEC",8,0,1,3,5,88.4,48.82
"Vanderbilt","SEC",5,0,0,5,5,89.32,48.19
"Oklahoma","Big-12",8,0,2,0,2,96.45,47.87
"Texas A&amp;M","SEC",9,0,1,2,3,91.13,47.77
"St. John&#39;s","Big-East",4,0,1,1,2,95.51,46.57
"New Mexico","M-West",3,0,2,0,2,95.21,45.49
"Providence","Big-East",5,0,1,1,3,93.44,43.23
"Texas","Big-12",9,0,1,1,2,93.25,42.81
"Wake Forest","ACC",7,0,1,1,3,93.72,42.78
"Georgetown","Big-East",6,0,2,0,2,93.72,42.72
"Miami","ACC",9,0,0,3,4,88.33,42.7
"Saint Joseph&#39;s","A-10",1,0,0,3,3,88.25,41.81
"Rutgers","Big-Ten",9,0,1,1,3,92.31,41.37
"Arizona State","Pac-12",9,0,0,2,2,92.88,41.28
"LSU","SEC",10,0,1,1,2,92.61,41.04
"Boston College","ACC",8,0,0,3,3,87.99,40.78
"TCU","Big-12",10,0,1,1,2,92.2,40.75
"South Carolina","SEC",12,0,1,1,3,92.17,40.75
"Ole Miss","SEC",11,0,1,1,3,92.23,40.45
"Washington State","Pac-12",7,0,1,1,4,92.01,40.32
"Butler","Big-East",7,0,1,1,2,89.98,37.01
"Virginia Tech","ACC",10,0,0,2,2,90.07,36.72
"California","Pac-12",10,0,0,2,2,89.12,34.55
"Rice","AAC",4,0,1,1,2,88.47,34.29
"Dayton","A-10",6,0,0,2,3,88.52,34.29
"Tulsa","AAC",2,0,0,2,4,88.63,33.71
"George Washington","A-10",2,0,0,2,3,87.89,32.49
"Northwestern","Big-Ten",8,0,0,2,3,87.65,32.17
"Kennesaw State","A-Sun",1,0,0,2,4,86.13,29.71
"Auburn","SEC",14,1,0,0,2,99.28,29.28
"UNLV","M-West",1,0,1,0,3,98.41,28.41
"Washington","Pac-12",8,0,1,0,2,98.26,28.26
"Gonzaga","WCC",4,0,1,0,2,98.25,28.25
"Florida State","ACC",11,0,1,0,1,97.15,27.15
"Michigan","Big-Ten",12,0,1,0,1,95.84,25.84
"Purdue","Big-Ten",10,0,1,0,1,95.64,25.64
"Arizona","Pac-12",6,0,1,0,4,94.91,24.91
"Seton Hall","Big-East",9,0,1,0,1,94.37,24.37
"NC State","ACC",11,0,1,0,1,94.01,24.01
"Georgia Tech","ACC",13,0,1,0,4,94,24
"Minnesota","Big-Ten",11,0,1,0,2,93.59,23.59
"Cal State Northridge","Big-west",2,0,0,1,1,92.78,22.78
"San Diego","WCC",2,0,0,1,2,92.56,22.56
"Texas Tech","Big-12",11,0,0,1,2,92.32,22.32
"Missouri State","MVC",5,0,0,1,2,92.16,22.16
"San Diego State","M-West",2,0,0,1,3,91.76,21.76
"Toledo","MAC",1,0,0,1,3,91.61,21.61
"Nevada","M-West",7,0,0,1,1,91.14,21.14
"Massachusetts","A-10",3,0,0,1,7,90.06,20.06
"Florida Gulf Coast","A-Sun",2,0,0,1,1,90.02,20.02
"Loyola","A-10",7,0,0,1,1,89.67,19.67
"Utah","Pac-12",11,0,0,1,3,89.66,19.66
"Boise State","M-West",5,0,0,1,3,89.54,19.54
"Old Dominion","SBC",3,0,0,1,1,89.4,19.4
"Florida","SEC",13,0,0,1,2,89.39,19.39
