"player","team","yr","trank_ppg","mins_pct","year"
"Josh Warren","Cornell","Jr",-0.0877069,37.9,2019
"James Miller","Missouri St.","Sr",1.11356,59.1,2019
"Luke Worthington","BYU","Sr",0.568061,36.5,2019
"Parker Van Dyke","Utah","Sr",0.539962,46.2,2019
"Charles Taylor Jr.","Jackson St.","Sr",-1.45563,9.7,2019
"Andre Adams","Southern Utah","Jr",0.457724,6,2019
"Xavier Williams","Robert Morris","Sr",-0.30575,3.5,2019
"Mitch Hahn","Nebraska Omaha","Sr",1.14433,38.7,2019
"Chancellor Barnard","Binghamton","Sr",-0.254897,54.6,2019
"Tyler Simmons","Central Arkansas","Sr",-0.56263,1,2019
"Keon Williams","St. Francis NY","Sr",-1.04358,9.9,2019
"Glenn Sanabria","St. Francis NY","Sr",2.56329,71.1,2019
"Jacquil Taylor","Hofstra","Sr",0.126222,7.7,2019
"Tre'Shawn Thurman","Nevada","Sr",1.92127,74.7,2019
"Cheddi Mosely","La Salle","Sr",1.2791,67,2019
"David Bell","Jacksonville","Jr",0.276316,7.1,2019
"Dan Dwyer","Hofstra","Sr",-0.245807,1.8,2019
"Corey Henson","Nevada","Sr",2.60076,81.9,2019
"Antonio Woods","Penn","Sr",0.444357,69.5,2019
"Trevor John","Drexel","Sr",1.11378,16.4,2019
"Aleks Abrams","Miami OH","Sr",0.618189,23.8,2019
"Justin Coleman","Arizona","Sr",3.19319,82.2,2019
"Hassan Hussein","Illinois Chicago","Sr",0.0906574,42.8,2019
"Josh Delaney","Sam Houston St.","Sr",1.67426,57.2,2019
"Logan Power","South Dakota","Sr",0.337656,3.3,2019
"Albert Almanza","Sam Houston St.","Sr",-0.130288,23.7,2019
"Thatch Unruh","Central Arkansas","Sr",0.942102,57.9,2019
"Connor Kern","The Citadel","Jr",-0.258224,40.7,2019
"Bryan Alberts","Long Beach St.","Sr",1.63926,51.4,2019
"Josh Perkins","Gonzaga","Sr",3.69423,81.1,2019
"Zach McRoberts","Indiana","Sr",1.4421,48.8,2019
"Ami Lakoju","UC Santa Barbara","Sr",0.352256,29.4,2019
"Zoran Talley Jr.","Iowa St.","Sr",1.41369,49.3,2019
"Shawn Roundtree","Central Michigan","Sr",2.39909,83.1,2019
"Nick Hamilton","California","Sr",-0.798281,33.9,2019
"Jake Toolson","Utah Valley","Jr",2.7284,68.3,2019
"Namon Wright","Colorado","Sr",1.19983,53.1,2019
"Jakeenan Gant","Louisiana Lafayette","Sr",2.87627,60.3,2019
"Joe Burton","Valparaiso","Sr",1.75716,20.9,2019
"Tyree Griffin","Southern Miss","Sr",2.82774,90.1,2019
"Japhet Kadji","North Carolina A&T","Sr",-0.266721,28.6,2019
"Romone Saunders","Wagner","Sr",1.91274,63.5,2019
"Cameron Jackson","Wofford","Sr",2.28398,54.1,2019
