"Team","Conference","YUSAG_Coefficient"
"A&M-Corpus Chris","Southland",-6.86
"Abilene Christian","Southland",-7.02
"Air Force","MWC",-4.11
"Akron","MAC",-6.43
"Alabama","SEC",10.89
"Alabama A&M","SWAC",-21.58
"Alabama St.","SWAC",-15.51
"Albany (NY)","Am. East",1.07
"Alcorn","SWAC",-15.01
"American","Patriot",-12.44
"Appalachian St.","Sunbelt",-3.57
"Arizona","Pac 12",14.11
"Arizona St.","Pac 12",11.8
"Ark.-Pine Bluff","SWAC",-11.79
"Arkansas","SEC",12.75
"Arkansas St.","Sunbelt",-8.18
"Army West Point","Patriot",-7.15
"Auburn","SEC",14.93
"Austin Peay","OVC",-2.48
"BYU","WCC",7.74
"Ball St.","MAC",-0.6
"Baylor","Big 12",12.94
"Belmont","OVC",6.42
"Bethune-Cookman","MEAC",-9.52
"Binghamton","Am. East",-8.83
"Boise St.","MWC",10.42
"Boston College","ACC",8.28
"Boston U.","Patriot",-6.08
"Bowling Green","MAC",-5.52
"Bradley","MVC",2.24
"Brown","Ivy",-6.32
"Bryant","NEC",-16.85
"Bucknell","Patriot",6.19
"Buffalo","MAC",8.72
"Butler","Big East",15.97
"CSU Bakersfield","WAC",-5.38
"CSUN","Big West",-12.08
"Cal Poly","Big West",-11.25
"Cal St. Fullerton","Big West",0.35
"California","Pac 12",-4.91
"Campbell","Big South",-4.33
"Canisius","MAAC",2.31
"Central Ark.","Southland",-3.96
"Central Conn. St.","NEC",-9.92
"Central Mich.","MAC",-0.41
"Charleston So.","Big South",-5.86
"Charlotte","C-USA",-9.95
"Chattanooga","Southern",-9.75
"Chicago St.","WAC",-19.63
"Cincinnati","AAC",19.32
"Clemson","ACC",16.36
"Cleveland St.","Horizon",-9.23
"Coastal Caro.","Sunbelt",-3.23
"Col. of Charleston","CAA",3.29
"Colgate","Patriot",-3.24
"Colorado","Pac 12",4.64
"Colorado St.","MWC",-4.31
"Columbia","Ivy",-3.98
"Coppin St.","MEAC",-18.47
"Cornell","Ivy",-6.79
"Creighton","Big East",14.9
"Dartmouth","Ivy",-8.2
"Davidson","A-10",10.99
"Dayton","A-10",0.59
"DePaul","Big East",5.73
"Delaware","CAA",-5.97
"Delaware St.","MEAC",-22.14
"Denver","Summit",-3.77
"Detroit Mercy","Horizon",-11.51
"Drake","MVC",0.1
"Drexel","CAA",-5.99
"Duke","ACC",23.32
"Duquesne","A-10",-1.77
"ETSU","Southern",5.11
"East Carolina","AAC",-9.66
"Eastern Ill.","OVC",-6.95
"Eastern Ky.","OVC",-8.77
"Eastern Mich.","MAC",1.15
"Eastern Wash.","Big Sky",1.86
"Elon","CAA",-5.87
"Evansville","MVC",0.7
"FGCU","A-Sun",2.37
"FIU","C-USA",-3.57
"Fairfield","MAAC",-3.68
"Fairleigh Dickinson","NEC",-8.16
"Fla. Atlantic","C-USA",-4.5
"Florida","SEC",15.07
"Florida A&M","MEAC",-16.53
"Florida St.","ACC",14.47
"Fordham","A-10",-7.75
"Fort Wayne","Summit",-0.09
"Fresno St.","MWC",7.84
"Furman","Southern",5.83
"Ga. Southern","Sunbelt",0.54
"Gardner-Webb","Big South",-7.62
"George Mason","A-10",-3.34
"George Washington","A-10",-1.38
"Georgetown","Big East",5.89
"Georgia","SEC",9.68
"Georgia St.","Sunbelt",4.62
"Georgia Tech","ACC",4.43
"Gonzaga","WCC",17.52
"Grambling","SWAC",-9.7
"Grand Canyon","WAC",3.88
"Green Bay","Horizon",-6.85
"Hampton","MEAC",-7.19
"Hartford","Am. East",-3.53
"Harvard","Ivy",1.87
"Hawaii","Big West",-2.52
"High Point","Big South",-5.58
"Hofstra","CAA",0.69
"Holy Cross","Patriot",-7.89
"Houston","AAC",15.7
"Houston Baptist","Southland",-14.54
"Howard","MEAC",-14.96
"IUPUI","Horizon",-8.13
"Idaho","Big Sky",2.17
"Idaho St.","Big Sky",-4.06
"Ill.-Chicago","Horizon",-1.2
"Illinois","Big 10",7.04
"Illinois St.","MVC",1.19
"Incarnate Word","Southland",-16.18
"Indiana","Big 10",9.33
"Indiana St.","MVC",1.36
"Iona","MAAC",2.23
"Iowa","Big 10",7.55
"Iowa St.","Big 12",5.56
"Jackson St.","SWAC",-14.58
"Jacksonville","A-Sun",-11.71
"Jacksonville St.","OVC",0.63
"James Madison","CAA",-4.25
"Kansas","Big 12",19.15
"Kansas St.","Big 12",11.34
"Kennesaw St.","A-Sun",-9.85
"Kent St.","MAC",-3.16
"Kentucky","SEC",16.09
"LIU Brooklyn","NEC",-6.64
"LSU","SEC",9.81
"La Salle","A-10",1.11
"La.-Monroe","Sunbelt",-4.72
"Lafayette","Patriot",-7.68
"Lamar University","Southland",-3.46
"Lehigh","Patriot",-4.6
"Liberty","Big South",-1.98
"Lipscomb","A-Sun",-0.81
"Little Rock","Sunbelt",-8.96
"Long Beach St.","Big West",-2.95
"Longwood","Big South",-16.41
"Louisiana","Sunbelt",8.85
"Louisiana Tech","C-USA",1.54
"Louisville","ACC",12.7
"Loyola Chicago","MVC",11.04
"Loyola Maryland","Patriot",-10.96
"Loyola Marymount","WCC",-4.33
"Maine","Am. East",-12.6
"Manhattan","MAAC",-3.43
"Marist","MAAC",-11.24
"Marquette","Big East",11.09
"Marshall","C-USA",5.17
"Maryland","Big 10",12.45
"Massachusetts","A-10",-2.63
"McNeese","Southland",-9.41
"Memphis","AAC",0.88
"Mercer","Southern",0.14
"Miami (FL)","ACC",11.91
"Miami (OH)","MAC",-2.11
"Michigan","Big 10",18.93
"Michigan St.","Big 10",20.95
"Middle Tenn.","C-USA",10.77
"Milwaukee","Horizon",-3.26
"Minnesota","Big 10",5.1
"Mississippi St.","SEC",10.91
"Mississippi Val.","SWAC",-18.3
"Missouri","SEC",12.1
"Missouri St.","MVC",2.77
"Monmouth","MAAC",-1.1
"Montana","Big Sky",7.86
"Montana St.","Big Sky",-7.45
"Morehead St.","OVC",-8.85
"Morgan St.","MEAC",-12.18
"Mt. St. Mary's","NEC",-5.36
"Murray St.","OVC",7.64
"N.C. A&T","MEAC",-10.65
"N.C. Central","MEAC",-11.09
"North Carolina St.","ACC",11.8
"NJIT","A-Sun",-6.57
"Navy","Patriot",-5.06
"Nebraska","Big 10",10.57
"Nevada","MWC",13.43
"New Hampshire","Am. East",-7.13
"New Mexico","MWC",5.6
"New Mexico St.","WAC",9.38
"New Orleans","Southland",-6.89
"Niagara","MAAC",-3.11
"Nicholls St.","Southland",-1.3
"Norfolk St.","MEAC",-10.27
"North Carolina","ACC",18.82
"North Dakota","Big Sky",-5.97
"North Dakota St.","Summit",-0.8
"North Florida","A-Sun",-9.87
"North Texas","C-USA",1.92
"Northeastern","CAA",5.12
"Northern Ariz.","Big Sky",-12.78
"Northern Colo.","Big Sky",5.38
"Northern Ill.","MAC",-6.01
"Northern Ky.","Horizon",5.72
"Northwestern","Big 10",8.93
"Northwestern St.","Southland",-18.81
"Notre Dame","ACC",12.26
"Oakland","Horizon",-0.95
"Ohio","MAC",-2.16
"Ohio St.","Big 10",16.66
"Oklahoma","Big 12",11.71
"Oklahoma St.","Big 12",10.47
"Old Dominion","C-USA",9.93
"Ole Miss","SEC",5.37
"Omaha","Summit",-8.58
"Oral Roberts","Summit",-5.17
"Oregon","Pac 12",9.14
"Oregon St.","Pac 12",6.38
"Pacific","WCC",-0.66
"Penn","Ivy",3.82
"Penn St.","Big 10",15.17
"Pepperdine","WCC",-6.5
"Pittsburgh","ACC",-3.29
"Portland","WCC",-6.95
"Portland St.","Big Sky",0.72
"Prairie View","SWAC",-7.67
"Presbyterian","Big South",-12.73
"Princeton","Ivy",-1.22
"Providence","Big East",9.94
"Purdue","Big 10",21.74
"Quinnipiac","MAAC",-7.62
"Radford","Big South",-1.1
"Rhode Island","A-10",10.76
"Rice","C-USA",-7.68
"Richmond","A-10",0.09
"Rider","MAAC",2.03
"Robert Morris","NEC",-6.29
"Rutgers","Big 10",3.82
"SFA","Southland",4.48
"SIUE","OVC",-10.86
"SMU","AAC",7.1
"Sacramento St.","Big Sky",-7.65
"Sacred Heart","NEC",-9.43
"Saint Francis (PA)","NEC",-4.24
"Saint Joseph's","A-10",4.01
"Saint Louis","A-10",1.86
"Saint Mary's (CA)","WCC",11.83
"Saint Peter's","MAAC",-3.65
"Sam Houston St.","Southland",-3.24
"Samford","Southern",-9.27
"San Diego","WCC",2.29
"San Diego St.","MWC",11.6
"San Francisco","WCC",0.61
"San Jose St.","MWC",-8.56
"Santa Clara","WCC",-7.46
"Savannah St.","MEAC",-12.91
"Seattle U","WAC",-2.19
"Seton Hall","Big East",14.23
"Siena","MAAC",-9.22
"South Ala.","Sunbelt",-4.35
"South Carolina","SEC",8.27
"South Carolina St.","MEAC",-17.47
"South Dakota","Summit",7.12
"South Dakota St.","Summit",7.72
"South Fla.","AAC",-7.53
"Southeast Mo. St.","OVC",-6.92
"Southeastern La.","Southland",-3.44
"Southern California","Pac 12",11.31
"Southern Ill.","MVC",1.37
"Southern Miss.","C-USA",-3.38
