"team","conf","conf_rank","stars_5","stars_4","stars_3","num_star_players","avg_recruit_score","composite_score","year"
"Campbell","B-South",2,0,0,3,5,79.33,25.67,2010
"Iona","MAAC",1,0,0,2,3,80.47,25.28,2010
"Harvard","Ivy",1,0,0,2,2,83.84,25.25,2010
"High Point","B-South",3,0,0,2,6,78.7,25.08,2010
"UC Santa Barbara","Big-west",3,0,0,2,2,83.66,24.73,2010
"Southern Illinois","MVC",2,0,0,1,5,78.44,24.73,2010
"Grambling State","SW-AC",1,0,0,1,5,78.44,24.73,2010
"South Alabama","SBC",3,0,0,2,4,79.13,24.62,2010
"Nevada","M-West",3,0,0,1,3,79.83,24.24,2010
"Montana State","Big-Sky",2,0,0,1,4,78.89,23.94,2010
"UAB","C-USA",8,0,0,1,3,79.62,23.61,2010
"Jacksonville","A-Sun",1,0,0,1,4,78.65,23.6,2010
"Eastern Washington","Big-Sky",3,0,0,1,4,78.65,23.56,2010
"Montana","Big-Sky",4,0,0,1,4,78.62,23.45,2010
"Oregon","Pac-12",11,0,0,1,2,82.31,23.3,2010
"Chattanooga","Southern",3,0,0,1,4,78.57,23.25,2010
"UNC Greensboro","Southern",4,0,0,1,6,77.59,22.99,2010
"Oakland","Horizon",3,0,0,2,2,82.59,22.88,2010
"Weber State","Big-Sky",5,0,0,1,3,79.61,22.76,2010
"Robert Morris","NEC",1,0,0,2,3,79.63,22.75,2010
"Louisiana","SBC",4,0,0,2,3,79.63,22.75,2010
"Wisconsin-Green Bay","Horizon",4,0,0,1,3,79.14,22.15,2010
"Gonzaga","WCC",4,0,0,1,2,81.69,22.05,2010
"Tulane","AAC",10,0,0,2,2,82.05,21.72,2010
"Columbia","Ivy",2,0,0,1,2,81.7,21.65,2010
"Illinois State","MVC",3,0,0,1,4,78.14,21.55,2010
"Fairfield","MAAC",2,0,0,2,2,81.85,21.49,2010
"Penn State","Big-Ten",11,0,0,1,1,91.47,21.47,2010
"Idaho State","Big-Sky",6,0,0,1,5,77.75,21.26,2010
"Fresno State","M-West",4,0,0,1,4,78.04,21.13,2010
"Rhode Island","A-10",9,0,0,1,2,81.2,21.08,2010
"Central Connecticut State","NEC",2,0,0,2,2,81.61,21.01,2010
"Northwestern","Big-Ten",12,0,0,1,1,91,21,2010
"New Mexico State","WAC",1,0,0,1,2,81.11,20.89,2010
"Indiana State","MVC",4,0,0,1,2,81.1,20.87,2010
"Princeton","Ivy",3,0,0,1,2,81.11,20.58,2010
"Loyola Chicago","MVC",5,0,0,1,2,80.89,20.45,2010
"Utah","Pac-12",12,0,0,1,3,78.56,20.44,2010
"Liberty","B-South",4,0,0,1,5,77.56,20.28,2010
"Fordham","A-10",10,0,0,1,4,77.78,20.09,2010
"Jacksonville State","OVC",2,0,0,1,4,77.78,20.09,2010
"Sam Houston State","SLC",1,0,0,1,4,77.78,20.09,2010
"Sam Houston State","SLC",1,0,0,1,4,77.78,20.09,2010
"Navy","Patriot",1,0,0,2,2,81.11,20.01,2010
"Austin Peay","OVC",3,0,0,1,4,76.94,19.64,2010
"Creighton","Big-East",9,0,0,1,1,89.48,19.48,2010
"Drake","MVC",6,0,0,1,2,80.31,19.3,2010
"Marshall","C-USA",9,0,0,1,3,78.15,19.19,2010
"Wright State","Horizon",5,0,0,1,3,78.15,19.19,2010
"Valparaiso","Horizon",6,0,0,1,2,80.03,18.74,2010
"St. John's","Big-East",10,0,0,1,1,88.38,18.38,2010
"Pennsylvania","Ivy",4,0,0,1,2,79.69,18.05,2010
"Western Carolina","Southern",5,0,0,1,2,79.63,17.93,2010
"Murray State","OVC",4,0,0,0,4,77.22,17.87,2010
"Eastern Michigan","MAC",7,0,0,1,1,87.78,17.78,2010
"North Dakota State","Summit",2,0,0,1,2,79.38,17.42,2010
"South Carolina Upstate","A-Sun",2,0,0,1,2,78.89,16.45,2010
"Cleveland State","Horizon",7,0,0,1,2,78.89,16.45,2010
"Texas Southern","SW-AC",2,0,0,1,2,78.89,16.45,2010
"Georgia Southern","SBC",5,0,0,1,1,86.16,16.16,2010
"Illinois Chicago","Horizon",8,0,0,0,3,77.13,16.13,2010
"UC Irvine","Big-west",4,0,0,0,2,78.68,16.03,2010
"Stephen F. Austin","SLC",2,0,0,0,9,76.67,15.87,2010
"Lamar","SLC",3,0,0,0,9,76.67,15.87,2010
"UC Riverside","Big-west",5,0,0,0,6,76.67,15.86,2010
"Louisiana-Monroe","SBC",6,0,0,0,6,76.11,15.85,2010
"Youngstown State","Horizon",9,0,0,0,5,76.67,15.84,2010
"South Carolina State","MEAC",1,0,0,0,5,76.67,15.84,2010
"Southeast Missouri State","OVC",5,0,0,0,5,76.67,15.84,2010
"Seattle","WAC",2,0,0,0,5,76.67,15.84,2010
"Hawaii","Big-west",6,0,0,0,4,76.67,15.65,2010
"Sacramento State","Big-Sky",7,0,0,0,4,76.67,15.65,2010
"North Carolina Central","MEAC",2,0,0,0,4,76.67,15.65,2010
"Florida A&M","MEAC",3,0,0,0,4,76.67,15.65,2010
"Morehead State","OVC",6,0,0,0,4,76.67,15.65,2010
"UT-Arlington","SBC",7,0,0,0,4,76.67,15.65,2010
"Mississippi Valley State","SW-AC",3,0,0,0,4,76.67,15.65,2010
"South Dakota State","Summit",3,0,0,1,1,85.53,15.53,2010
"Yale","Ivy",5,0,0,1,1,85.52,15.52,2010
"Northeastern","CAA",2,0,0,1,1,85.12,15.12,2010
"Old Dominion","C-USA",10,0,0,1,1,84.91,14.91,2010
"Cal State Northridge","Big-west",7,0,0,1,1,84.9,14.9,2010
"SMU","AAC",11,0,0,0,3,76.67,14.75,2010
"Texas-San Antonio","C-USA",11,0,0,0,3,76.67,14.75,2010
"Coastal Carolina","B-South",5,0,0,0,3,76.67,14.75,2010
"Manhattan","MAAC",3,0,0,0,3,76.67,14.75,2010
"Coppin State","MEAC",4,0,0,0,3,76.67,14.75,2010
"Eastern Illinois","OVC",7,0,0,0,3,76.67,14.75,2010
"Troy","SBC",8,0,0,0,3,76.67,14.75,2010
"South Dakota","Summit",4,0,0,0,3,76.67,14.75,2010
"Arkansas-Pine Bluff","SW-AC",4,0,0,0,3,76.67,14.75,2010
"Pacific","WCC",5,0,0,0,3,76.67,14.75,2010
"Kent State","MAC",8,0,0,1,1,84.27,14.27,2010
"Siena","MAAC",4,0,0,1,1,84.26,14.26,2010
"Elon","Southern",6,0,0,1,1,84.05,14.05,2010
"Bradley","MVC",7,0,0,1,1,83.65,13.65,2010
"Denver","Summit",5,0,0,1,1,83.33,13.33,2010
"IUPUI","Summit",6,0,0,1,1,83.02,13.02,2010
"Saint Louis","A-10",11,0,0,1,1,82.78,12.78,2010
"Boston University","Patriot",2,0,0,1,1,82.4,12.4,2010
"William & Mary","CAA",3,0,0,1,1,82.15,12.15,2010
"Wyoming","M-West",5,0,0,0,2,76.67,12,2010
"Kennesaw State","A-Sun",3,0,0,0,2,76.67,12,2010
"Florida Gulf Coast","A-Sun",4,0,0,0,2,76.67,12,2010
"Southern Utah","Big-Sky",8,0,0,0,2,76.67,12,2010
"UNC Asheville","B-South",6,0,0,0,2,76.67,12,2010
"Hofstra","CAA",4,0,0,0,2,76.67,12,2010
"Bethune-Cookman","MEAC",5,0,0,0,2,76.67,12,2010
"Wichita State","MVC",8,0,0,0,2,76.67,12,2010
"St. Francis (NY)","NEC",3,0,0,0,2,76.67,12,2010
"Long Island","NEC",4,0,0,0,2,76.67,12,2010
"Eastern Kentucky","OVC",8,0,0,0,2,76.67,12,2010
"SIU Edwardsville","OVC",9,0,0,0,2,76.67,12,2010
"Arkansas State","SBC",9,0,0,0,2,76.67,12,2010
"Southeastern Louisiana","SLC",4,0,0,0,2,76.67,12,2010
"Northwestern State","SLC",5,0,0,0,2,76.67,12,2010
"Houston Baptist","SLC",6,0,0,0,2,76.67,12,2010
"Central Arkansas","SLC",7,0,0,0,2,76.67,12,2010
"Prairie View A&M","SW-AC",5,0,0,0,2,76.67,12,2010
"Northern Iowa","MVC",9,0,0,1,1,81.32,11.32,2010
"Army","Patriot",3,0,0,0,2,76.11,11.12,2010
"Nebraska","Big-Ten",13,0,0,1,1,81.11,11.11,2010
"UNC Wilmington","CAA",5,0,0,0,1,80.49,10.49,2010
"New Hampshire","A-East",2,0,0,0,1,80.21,10.21,2010
"Lipscomb","A-Sun",5,0,0,0,1,80.21,10.21,2010
"Mississippi State","SEC",14,0,0,0,1,80,10,2010
"Mercer","A-Sun",6,0,0,0,2,75,9.34,2010
"Wagner","NEC",5,0,0,0,1,78.47,8.47,2010
"Lehigh","Patriot",4,0,0,0,1,77.43,7.43,2010
"Boston College","ACC",14,0,0,0,1,76.67,6.67,2010
"Clemson","ACC",15,0,0,0,1,76.67,6.67,2010
"Buffalo","MAC",9,0,0,0,1,76.67,6.67,2010
"Northern Illinois","MAC",10,0,0,0,1,76.67,6.67,2010
"Air Force","M-West",6,0,0,0,1,76.67,6.67,2010
"UNLV","M-West",7,0,0,0,1,76.67,6.67,2010
"Utah State","M-West",8,0,0,0,1,76.67,6.67,2010
"San Diego State","M-West",9,0,0,0,1,76.67,6.67,2010
"Boise State","M-West",10,0,0,0,1,76.67,6.67,2010
"North Florida","A-Sun",7,0,0,0,1,76.67,6.67,2010
"Cal Poly","Big-west",8,0,0,0,1,76.67,6.67,2010
"Portland State","Big-Sky",9,0,0,0,1,76.67,6.67,2010
"North Dakota","Big-Sky",10,0,0,0,1,76.67,6.67,2010
"Idaho","Big-Sky",11,0,0,0,1,76.67,6.67,2010
"Gardner-Webb","B-South",7,0,0,0,2,73.33,6.67,2010
"Radford","B-South",8,0,0,0,1,76.67,6.67,2010
"Virginia Military Institute","B-South",9,0,0,0,1,76.67,6.67,2010
"Towson","CAA",6,0,0,0,1,76.67,6.67,2010
"Dartmouth","Ivy",6,0,0,0,1,76.67,6.67,2010
"Quinnipiac","MAAC",5,0,0,0,1,76.67,6.67,2010
"Canisius","MAAC",6,0,0,0,1,76.67,6.67,2010
"Norfolk State","MEAC",6,0,0,0,1,76.67,6.67,2010
"Hampton","MEAC",7,0,0,0,1,76.67,6.67,2010
"Morgan State","MEAC",8,0,0,0,1,76.67,6.67,2010
"Maryland Eastern Shore","MEAC",9,0,0,0,1,76.67,6.67,2010
"Evansville","MVC",10,0,0,0,1,76.67,6.67,2010
"Saint Francis (PA)","NEC",6,0,0,0,1,76.67,6.67,2010
"Tennessee-Martin","OVC",10,0,0,0,1,76.67,6.67,2010
"Texas State","SBC",10,0,0,0,1,76.67,6.67,2010
"Oral Roberts","SLC",8,0,0,0,1,76.67,6.67,2010
"Texas A&M Corpus Christi","SLC",9,0,0,0,1,76.67,6.67,2010
"McNeese State","SLC",10,0,0,0,1,76.67,6.67,2010
"Western Illinois","Summit",7,0,0,0,1,76.67,6.67,2010
"Alcorn State","SW-AC",6,0,0,0,1,76.67,6.67,2010
"Alabama State","SW-AC",7,0,0,0,1,76.67,6.67,2010
"Missouri-Kansas City","WAC",3,0,0,0,1,76.67,6.67,2010
"Portland","WCC",6,0,0,0,1,76.67,6.67,2010
"Tennessee Tech","OVC",11,0,0,0,1,73.33,3.33,2010
"Niagara","MAAC",NA,NA,NA,NA,1,0,0,2010
"Rider","MAAC",NA,NA,NA,NA,2,0,0,2010
"Saint Peter's","MAAC",NA,NA,NA,NA,1,0,0,2010
"New Orleans","SLC",NA,NA,NA,NA,1,0,0,2010
"San Francisco","WCC",NA,NA,NA,NA,1,0,NA,2010
"Kentucky","SEC",1,4,0,0,4,99.72,70.13,2011
"Duke","ACC",1,1,4,0,5,98.7,69.52,2011
"Louisville","ACC",2,1,3,1,5,96.19,67.94,2011
"Arizona","Pac-12",1,2,2,0,4,98.17,67.77,2011
"Texas","Big-12",1,1,3,3,7,93.23,67.56,2011
"Ohio State","Big-Ten",1,0,4,1,5,96.01,67.07,2011
"St. John's","Big-East",1,0,4,1,5,95.44,67.05,2011
"Arkansas","SEC",2,1,3,1,5,95.71,66.84,2011
"Alabama","SEC",3,0,4,1,5,95.17,65.82,2011
"Illinois","Big-Ten",2,0,4,2,6,93.16,65.15,2011
"Virginia Tech","ACC",3,1,2,2,5,94.63,64.62,2011
"North Carolina","ACC",4,2,0,3,5,90.56,63.96,2011
"Pittsburgh","ACC",5,1,2,1,4,94.25,63.78,2011
"Georgetown","Big-East",2,0,3,2,5,93.84,63.61,2011
"Syracuse","ACC",6,2,1,0,3,97.35,62.22,2011
"Mississippi State","SEC",4,0,3,2,6,88.92,62.15,2011
"Kansas","Big-12",2,0,2,2,4,93.21,60.41,2011
"Rutgers","Big-Ten",3,0,2,6,8,90.16,58.42,2011
"Michigan State","Big-Ten",4,1,0,3,4,92.35,57.79,2011
"Xavier","Big-East",3,0,3,0,3,95.53,57.51,2011
"Washington","Pac-12",2,1,0,4,5,90.65,57.35,2011
"Villanova","Big-East",4,0,2,2,4,91.89,57.08,2011
"Baylor","Big-12",3,1,1,1,3,92.86,56.52,2011
"Vanderbilt","SEC",5,0,2,1,3,93.02,55.26,2011
"Oregon","Pac-12",3,1,0,4,6,87.58,54.87,2011
"Cincinnati","AAC",1,0,2,4,6,87.71,54.05,2011
"West Virginia","Big-12",4,0,1,7,8,87.48,53.69,2011
"Gonzaga","WCC",1,0,1,4,5,89.87,53.6,2011
"Michigan","Big-Ten",5,0,2,1,3,92.28,53.16,2011
"South Carolina","SEC",6,0,2,1,3,92.57,52.38,2011
"Oklahoma State","Big-12",5,1,1,1,3,91.13,52.36,2011
"Georgia","SEC",7,1,0,4,5,87.58,52.12,2011
"Connecticut","AAC",2,1,1,0,2,98.51,51.49,2011
"Western Kentucky","C-USA",1,0,1,5,8,85.52,50.67,2011
"UCF","AAC",3,0,1,3,4,88.23,50.01,2011
"Indiana","Big-Ten",6,1,0,2,3,90.59,49.71,2011
"Tennessee","SEC",8,0,1,5,6,86.51,49.28,2011
"Marquette","Big-East",5,0,1,2,3,91.07,49.09,2011
"Virginia","ACC",7,0,2,1,3,90.66,48.99,2011
"Clemson","ACC",8,0,1,4,5,86.46,48.59,2011
"Harvard","Ivy",1,0,1,5,7,85.76,47.54,2011
"LSU","SEC",9,0,1,2,4,85.98,46.77,2011
"Wisconsin","Big-Ten",7,0,1,3,4,88.41,45.86,2011
"George Mason","A-10",1,0,1,2,3,88.82,45.8,2011
"Texas A&M","SEC",10,0,1,1,2,94.85,45.37,2011
"Northern Iowa","MVC",1,0,0,4,5,86.8,45.01,2011
"Florida State","ACC",9,0,2,0,2,94.65,44.9,2011
"Seton Hall","Big-East",6,0,0,7,7,86.02,44.35,2011
"DePaul","Big-East",7,0,1,4,7,83.28,44.26,2011
"Arizona State","Pac-12",4,0,1,1,3,86.97,43.88,2011
"Colorado","Pac-12",5,0,0,4,4,87.32,43.67,2011
"Kansas State","Big-12",6,0,0,5,6,85.05,43.65,2011
"Auburn","SEC",11,0,0,3,3,88.55,43.26,2011
"Minnesota","Big-Ten",8,0,2,0,2,93.76,42.95,2011
"Boston College","ACC",10,0,0,5,6,84.19,42.77,2011
"Georgia Tech","ACC",11,0,1,1,2,93.1,42.34,2011
"Notre Dame","ACC",12,0,1,1,2,93.29,42.33,2011
"Florida","SEC",12,1,0,1,2,92.7,42.3,2011
"New Mexico","M-West",1,0,1,1,3,86.32,41.68,2011
"Houston","AAC",4,0,1,4,5,84.13,40.85,2011
"Nebraska","Big-Ten",9,0,0,4,4,85.8,40.23,2011
"Ole Miss","SEC",13,0,0,5,5,85.1,39.79,2011
"Butler","Big-East",8,0,0,3,3,87.11,39.44,2011
"Alcorn State","SW-AC",1,0,0,2,5,81.85,39.2,2011
"SMU","AAC",5,0,0,3,4,84.47,38.72,2011
"Richmond","A-10",2,0,0,3,4,84.94,38.71,2011
"Texas Tech","Big-12",7,0,0,6,9,81.32,38.67,2011
"Memphis","AAC",6,1,0,1,2,90.37,38.52,2011
"Charlotte","C-USA",2,0,0,4,5,83.5,38.5,2011
"Iowa","Big-Ten",10,0,0,3,3,85.96,37.71,2011
"Washington State","Pac-12",6,0,0,3,3,86.43,37.35,2011
"USC","Pac-12",7,0,0,4,4,85.03,37.17,2011
"Iona","MAAC",1,0,1,0,4,82,36.97,2011
"Missouri State","MVC",2,0,0,3,5,81.78,36.89,2011
"UCLA","Pac-12",8,0,1,1,2,89.46,36.71,2011
"Penn State","Big-Ten",11,0,0,5,5,83.46,36.6,2011
"Rhode Island","A-10",3,0,0,2,5,81.27,35.82,2011
"Iowa State","Big-12",8,0,0,4,4,84.63,35.47,2011
"Cleveland State","Horizon",1,0,0,3,4,82.95,35.44,2011
"Southern Illinois","MVC",3,0,0,3,5,81.5,34.9,2011
"UNLV","M-West",2,1,0,0,2,88.06,34.79,2011
"Portland","WCC",2,0,0,2,3,84.34,33.95,2011
"Wake Forest","ACC",13,0,0,3,3,84.4,33.6,2011
"TCU","Big-12",9,0,0,2,5,80.49,33.19,2011
"Georgia Southern","SBC",1,0,0,3,3,84.17,32.4,2011
"Wichita State","MVC",4,0,0,3,5,80.76,32.19,2011
"UC Davis","Big-west",1,0,0,2,3,82.94,31.9,2011
"Chattanooga","Southern",1,0,0,4,6,80.59,30.97,2011
"Delaware","CAA",1,0,0,4,4,82.45,30.96,2011
"Furman","Southern",2,0,0,3,3,83.58,30.86,2011
"Purdue","Big-Ten",12,0,0,2,2,87.05,30.79,2011
"Southeast Missouri State","OVC",1,0,0,2,3,82.22,29.86,2011
"Utah","Pac-12",9,0,0,5,6,80.93,29.76,2011
"Louisiana Tech","C-USA",3,0,0,2,4,80.47,29.61,2011
"Citadel","Southern",3,0,0,4,4,82.4,29.37,2011
"Wright State","Horizon",2,0,0,2,5,80.01,29,2011
"Providence","Big-East",9,0,0,2,2,85.34,28.46,2011
"South Alabama","SBC",2,0,0,1,5,79.16,28.29,2011
"Maryland","Big-Ten",13,0,1,0,1,98.28,28.28,2011
"UT-Arlington","SBC",3,0,0,1,4,79.8,28.19,2011
"Hartford","A-East",1,0,0,3,3,82.6,27.98,2011
"UC Santa Barbara","Big-west",2,0,0,2,2,85.04,27.86,2011
"Northeastern","CAA",2,0,0,2,3,81.34,27.68,2011
"Stanford","Pac-12",10,0,1,0,1,97.58,27.58,2011
"Bradley","MVC",5,0,0,2,4,79.89,27.49,2011
"Pennsylvania","Ivy",2,0,0,2,2,85.03,27.42,2011
"Boise State","M-West",3,0,0,2,7,77.94,27.2,2011
"UC Irvine","Big-west",3,0,0,2,3,80.9,26.37,2011
"Northwestern","Big-Ten",14,0,0,2,3,80.74,26.08,2011
"Tulsa","AAC",7,0,0,4,4,81.11,26.08,2011
"High Point","B-South",1,0,0,1,2,83.6,25.87,2011
"Indiana State","MVC",6,0,0,1,3,80.36,25.83,2011
"Wisconsin-Milwaukee","Horizon",3,0,0,1,4,79.26,25.55,2011
"USF","AAC",8,0,0,3,4,80,25.48,2011
"Siena","MAAC",2,0,0,2,3,81.25,25.48,2011
"North Texas","C-USA",4,0,0,1,2,83.08,24.84,2011
"Illinois State","MVC",7,0,0,1,3,80.02,24.79,2011
"Morehead State","OVC",2,0,0,1,7,77.94,24.76,2011
"Central Michigan","MAC",1,0,0,1,4,78.89,24.54,2011
"California","Pac-12",11,0,0,2,2,83.12,24.02,2011
"San Diego","WCC",3,0,0,1,3,79.94,23.88,2011
"Weber State","Big-Sky",1,0,0,1,2,82.91,23.68,2011
"VCU","A-10",4,0,0,2,3,79.91,23.58,2011
"Towson","CAA",3,0,0,1,4,78.65,23.56,2011
"Old Dominion","C-USA",5,0,0,2,2,82.85,23.48,2011
"North Dakota State","Summit",1,0,0,2,2,82.86,23.32,2011
"Ohio","MAC",2,0,0,1,2,82.16,23,2011
"UAB","C-USA",6,0,0,1,3,79.26,22.52,2011
"Howard","MEAC",1,0,0,1,4,78.52,22.48,2011
"East Tennessee State","Southern",4,0,0,1,2,81.9,22.47,2011
"Hampton","MEAC",2,0,0,1,3,79.24,22.45,2011
"George Washington","A-10",5,0,0,1,2,81.79,22.26,2011
"East Carolina","AAC",9,0,0,1,4,78.28,22.09,2011
"Detroit","Horizon",4,0,0,1,3,79.1,22.04,2011
"UC Riverside","Big-west",4,0,0,2,2,82.18,21.98,2011
"Florida Gulf Coast","A-Sun",1,0,0,2,2,82.15,21.93,2011
"William & Mary","CAA",4,0,0,2,2,81.94,21.59,2011
"N.C. State","ACC",14,0,0,1,1,91.53,21.53,2011
"Colgate","Patriot",1,0,0,1,4,78.1,21.38,2011
"Southern Miss","C-USA",7,0,0,1,6,77.58,21.35,2011
"Loyola (MD)","Patriot",2,0,0,1,3,78.87,21.11,2011
"Wofford","Southern",5,0,0,1,2,81.6,21.1,2011
"Oakland","Horizon",5,0,0,1,2,81.63,21.09,2011
"Brigham Young","WCC",4,0,0,1,1,91.06,21.06,2011
"Drexel","CAA",5,0,0,1,2,81.15,20.97,2011
"Cal Poly","Big-west",5,0,0,1,2,81.09,20.86,2011
"Northern Colorado","Big-Sky",2,0,0,1,5,77.64,20.7,2011
"Appalachian State","SBC",4,0,0,1,4,77.88,20.51,2011
"IUPUI","Summit",2,0,0,1,3,78.68,20.51,2011
"Cal State Northridge","Big-west",6,0,0,1,3,78.58,20.47,2011
"Tulane","AAC",10,0,0,1,6,77.41,20.31,2011
"Texas State","SBC",5,0,0,1,7,77.3,20.31,2011
"Texas Southern","SW-AC",2,0,0,1,5,77.56,20.28,2011
"Binghamton","A-East",2,0,0,1,3,78.47,20.16,2011
"Coastal Carolina","B-South",2,0,0,1,4,77.78,20.09,2011
"Murray State","OVC",3,0,0,1,4,77.78,20.09,2011
"Manhattan","MAAC",3,0,0,1,2,80.94,19.87,2011
"Portland State","Big-Sky",3,0,0,1,3,78.37,19.85,2011
"FIU","C-USA",8,0,0,1,2,80.56,19.78,2011
"Prairie View A&M","SW-AC",3,0,0,1,3,78.16,19.22,2011
"Illinois Chicago","Horizon",6,0,0,1,3,78.15,19.19,2011
"James Madison","CAA",6,0,0,1,2,80.16,18.98,2011
"Toledo","MAC",3,0,0,1,3,77.41,18.93,2011
"Wyoming","M-West",4,0,0,1,2,80,18.67,2011
"Creighton","Big-East",10,0,0,1,1,88.5,18.5,2011
"Sam Houston State","SLC",1,0,0,0,7,76.98,18.09,2011
"Sam Houston State","SLC",1,0,0,0,7,76.98,18.09,2011
"Kent State","MAC",4,0,0,0,3,77.78,18.08,2011
"Georgia State","SBC",6,0,0,1,1,88.05,18.05,2011
"Princeton","Ivy",3,0,0,1,2,79.38,17.42,2011
"Quinnipiac","MAAC",4,0,0,1,2,79.38,17.42,2011
"Oregon State","Pac-12",12,0,0,1,1,87.33,17.33,2011
"Miami","ACC",15,0,0,1,1,87.29,17.29,2011
"Samford","Southern",6,0,0,1,2,79.22,17.11,2011
"Valparaiso","Horizon",7,0,0,1,2,79.1,16.87,2011
"Northern Arizona","Big-Sky",4,0,0,1,2,78.99,16.66,2011
"Brown","Ivy",4,0,0,1,2,78.99,16.66,2011
"Pepperdine","WCC",5,0,0,1,1,86.55,16.55,2011
"Western Michigan","MAC",5,0,0,1,2,78.89,16.45,2011
"Dartmouth","Ivy",5,0,0,1,2,78.89,16.45,2011
"Stetson","A-Sun",2,0,0,0,2,78.9,16.2,2011
"Marist","MAAC",5,0,0,0,2,78.75,16.17,2011
"Wagner","NEC",1,0,0,0,2,78.68,16.03,2011
"Army","Patriot",3,0,0,0,9,76.67,15.87,2011
"Stephen F. Austin","SLC",2,0,0,0,8,76.67,15.87,2011
"Pacific","WCC",6,0,0,0,7,76.67,15.87,2011
"Rice","C-USA",9,0,0,0,5,76.67,15.84,2011
"Fresno State","M-West",5,0,0,0,5,76.67,15.84,2011
"Montana State","Big-Sky",5,0,0,0,5,76.67,15.84,2011
"Eastern Illinois","OVC",4,0,0,0,5,76.67,15.84,2011
"Troy","SBC",7,0,0,0,5,76.67,15.84,2011
"Central Arkansas","SLC",3,0,0,0,5,76.67,15.84,2011
"Missouri-Kansas City","WAC",1,0,0,0,5,76.67,15.84,2011
"Texas-San Antonio","C-USA",10,0,0,0,4,76.67,15.65,2011
"Charleston Southern","B-South",3,0,0,0,4,76.67,15.65,2011
"Winthrop","B-South",4,0,0,0,4,76.67,15.65,2011
"Cornell","Ivy",6,0,0,0,4,76.67,15.65,2011
"Fairleigh Dickinson","NEC",2,0,0,0,4,76.67,15.65,2011
"Louisiana","SBC",8,0,0,0,4,76.67,15.65,2011
"Texas A&M Corpus Christi","SLC",4,0,0,0,4,76.67,15.65,2011
"Oklahoma","Big-12",10,0,0,1,1,85.56,15.56,2011
"Northern Illinois","MAC",6,0,0,1,1,85.56,15.56,2011
"Dayton","A-10",6,0,0,1,1,85.56,15.56,2011
"Morgan State","MEAC",3,0,0,1,1,85.56,15.56,2011
"Eastern Kentucky","OVC",5,0,0,0,4,75.83,15.2,2011
"Saint Louis","A-10",7,0,0,1,1,85.12,15.12,2011
"Saint Joseph's","A-10",8,0,0,1,1,84.79,14.79,2011
"Middle Tennessee State","C-USA",11,0,0,0,3,76.67,14.75,2011
"San Jose State","M-West",6,0,0,0,3,76.67,14.75,2011
"Campbell","B-South",5,0,0,0,3,76.67,14.75,2011
"Hofstra","CAA",7,0,0,0,3,76.67,14.75,2011
"Bethune-Cookman","MEAC",4,0,0,0,3,76.67,14.75,2011
"Maryland Eastern Shore","MEAC",5,0,0,0,3,76.67,14.75,2011
"Tennessee-Martin","OVC",6,0,0,0,3,76.67,14.75,2011
"Northwestern State","SLC",5,0,0,0,3,76.67,14.75,2011
"Oral Roberts","SLC",6,0,0,0,3,76.67,14.75,2011
"Western Carolina","Southern",7,0,0,0,3,76.67,14.75,2011
"South Dakota","Summit",3,0,0,0,3,76.67,14.75,2011
"Temple","AAC",11,0,0,1,1,84.44,14.44,2011
"UTEP","C-USA",12,0,0,1,1,84.38,14.38,2011
"Long Beach State","Big-west",7,0,0,0,2,77.78,14.23,2011
"Maine","A-East",3,0,0,1,1,83.96,13.96,2011
"Vermont","A-East",4,0,0,0,2,77.57,13.81,2011
"UNC Asheville","B-South",6,0,0,0,3,75.56,13.38,2011
"Southeastern Louisiana","SLC",7,0,0,0,3,75.56,13.38,2011
"Fordham","A-10",9,0,0,1,1,83.33,13.33,2011
"Bucknell","Patriot",4,0,0,1,1,82.4,12.4,2011
"Monmouth","MAAC",6,0,0,1,1,82.15,12.15,2011
"Holy Cross","Patriot",5,0,0,1,1,82.08,12.08,2011
"Missouri","SEC",14,0,0,0,2,76.67,12,2011
"Eastern Michigan","MAC",7,0,0,0,2,76.67,12,2011
"Colorado State","M-West",7,0,0,0,2,76.67,12,2011
"La Salle","A-10",10,0,0,0,2,76.67,12,2011
"Mercer","A-Sun",3,0,0,0,2,76.67,12,2011
"Hawaii","Big-west",8,0,0,0,2,76.67,12,2011
"Montana","Big-Sky",6,0,0,0,2,76.67,12,2011
"North Dakota","Big-Sky",7,0,0,0,2,76.67,12,2011
"Eastern Washington","Big-Sky",8,0,0,0,2,76.67,12,2011
"Idaho State","Big-Sky",9,0,0,0,2,76.67,12,2011
"Idaho","Big-Sky",10,0,0,0,2,76.67,12,2011
"Gardner-Webb","B-South",7,0,0,0,2,76.67,12,2011
"Virginia Military Institute","B-South",8,0,0,0,2,76.67,12,2011
"Radford","B-South",9,0,0,0,2,76.67,12,2011
"Wisconsin-Green Bay","Horizon",8,0,0,0,2,76.67,12,2011
"Florida A&M","MEAC",6,0,0,0,2,76.67,12,2011
"North Carolina Central","MEAC",7,0,0,0,2,76.67,12,2011
"Tennessee Tech","OVC",7,0,0,0,2,76.67,12,2011
"Austin Peay","OVC",8,0,0,0,2,76.67,12,2011
"Arkansas State","SBC",9,0,0,0,2,76.67,12,2011
"Houston Baptist","SLC",8,0,0,0,2,76.67,12,2011
"UNC Greensboro","Southern",8,0,0,0,2,76.67,12,2011
