"team","conf","conf_rank","stars_5","stars_4","stars_3","num_star_players","avg_recruit_score","composite_score","year"
"West Virginia","Big-12",7,0,1,1,3,82.33,38.29,2009
"Marshall","C-USA",2,0,1,1,3,84.92,37.95,2009
"St. Mary's","WCC",1,0,0,4,4,85.3,37.84,2009
"Western Kentucky","C-USA",3,0,1,1,5,74.38,37.75,2009
"Michigan State","Big-Ten",6,0,1,1,3,82.25,36.97,2009
"Southern Miss","C-USA",4,0,0,2,4,82.22,36.1,2009
"Missouri","SEC",7,0,0,3,3,85.4,34.86,2009
"Cincinnati","AAC",2,1,0,1,3,77.46,34.42,2009
"Valparaiso","Horizon",1,0,0,3,4,82.77,34.06,2009
"San Diego","WCC",2,0,0,3,6,74.35,33.52,2009
"South Alabama","SBC",1,0,0,4,8,77.11,33.39,2009
"Wake Forest","ACC",11,0,1,1,3,79.72,32.84,2009
"Bowling Green","MAC",1,0,0,4,4,82.94,32.84,2009
"UAB","C-USA",5,0,0,3,6,77.33,32.74,2009
"Central Michigan","MAC",2,0,0,2,5,76.25,32.01,2009
"Arkansas State","SBC",2,0,0,3,4,81.93,31.8,2009
"Cal State Fullerton","Big-west",1,0,0,2,7,79.1,31.33,2009
"Saint Francis (PA)","NEC",1,0,0,3,3,83.75,31.29,2009
"Lipscomb","A-Sun",1,0,0,3,3,83.77,31.09,2009
"UCF","AAC",3,0,1,1,4,74.4,30.52,2009
"St. John's","Big-East",3,0,0,3,4,77.67,30.28,2009
"South Carolina State","MEAC",1,0,0,2,5,79.97,30.14,2009
"Northern Colorado","Big-Sky",1,0,0,3,3,83.45,29.96,2009
"Florida","SEC",8,1,0,0,1,99.56,29.56,2009
"Middle Tennessee State","C-USA",6,0,0,2,8,71.61,29.43,2009
"Vanderbilt","SEC",9,1,0,0,1,99.01,29.01,2009
"Liberty","B-South",1,0,0,2,4,80.56,29.01,2009
"USF","AAC",4,0,0,2,5,72.94,28.96,2009
"Texas Tech","Big-12",8,0,0,3,5,73.82,28.89,2009
"Jackson State","SW-AC",1,0,0,2,3,81.64,28.47,2009
"La Salle","A-10",1,0,1,0,1,98.37,28.37,2009
"Western Michigan","MAC",3,0,0,2,5,73.41,28.36,2009
"Akron","MAC",4,0,1,0,1,98.18,28.18,2009
"Louisiana-Monroe","SBC",3,0,0,2,5,79.6,28.03,2009
"Texas-San Antonio","C-USA",7,0,0,2,2,85.56,28.01,2009
"Cleveland State","Horizon",2,0,0,2,3,81.44,27.97,2009
"Tennessee","SEC",10,0,1,0,1,97.55,27.55,2009
"San Diego State","M-West",1,0,1,0,5,70.06,27.15,2009
"Lehigh","Patriot",1,0,0,2,3,81.48,26.78,2009
"South Dakota","Summit",1,0,0,2,6,79.39,26.53,2009
"Wright State","Horizon",3,0,0,2,2,84.29,26.11,2009
