"player","old_team","new_team","yr","trank_ppg","mins_pct","year"
"Jibri Blount","Cleveland St.","North Carolina Central","So",-0.401456,35.2,2017
"Phillip Whittington","USC Upstate","Kent St.","So",0.796538,44.3,2017
"K.J. Smith","Pacific","North Carolina","Fr",-0.210892,22.2,2017
"Drew Rackley","UNC Asheville","College of Charleston","So",0.372267,32.7,2018
"Elijah Holifield","St. John's","Prairie View A&M","So",0.15235,1,2017
"Michael Gilmore","Florida Gulf Coast","VCU","Jr",-0.0248869,32.6,2018
"Jacquil Taylor","Purdue","Hofstra","Jr",0.126222,7.7,2018
"DeAndre Abram","George Mason","Milwaukee","So",0.445492,6.1,2017
"Patrick Fisher","Winthrop","San Diego St.","Fr",-0.255082,0.6,2017
"Chancellor Barnard","Loyola MD","Binghamton","Jr",-0.254897,54.6,2017
"Curtis Cobb","Fairfield","Massachusetts","So",0.479583,75.6,2017
"Makai Mason","Yale","Baylor","So",2.98102,82.2,2016
"Corey Henson","Wagner","Nevada","Jr",2.60076,81.9,2017
"Vance Jackson","Connecticut","New Mexico","Fr",1.49342,63.1,2017
"Trey Touchet","UTEP","McNeese St.","Jr",-0.333105,24.2,2018
"Ryan Taylor","Evansville","Northwestern","Jr",3.1964,72.9,2018
"Baylee Steele","Eastern Michigan","Utah Valley","So",0.419384,48.6,2017
"Ryan Johnson","Mercer","Delaware","Jr",0.292177,14.9,2018
"Curtis Jones","Indiana","Oklahoma St.","So",-0.244099,6.4,2018
"Josh Parrish","TCU","Rice","Fr",0.222636,2,2017
"Marcel Pettway","Bryant","Nevada","So",1.50916,70.6,2017
"Tom Wilson","SMU","Boise St.","Fr",-0.10688,4.4,2017
"Paris Austin","Boise St.","California","So",2.56819,72.2,2017
"Patrick Good","Appalachian St.","East Tennessee St.","Fr",1.66902,55.1,2017
"Ed Morrow","Nebraska","Marquette","So",1.75785,44.9,2017
"Dion Wiley","Maryland","Saint Louis","Jr",1.13469,48.8,2018
"Ifeanyi Umezurike","St. Francis PA","Florida A&M","So",-0.636918,9.7,2017
"Braden Burke","Robert Morris","Michigan St.","Fr",-0.673301,36.8,2017
"Jeremy Peck","Drexel","UNC Asheville","Fr",0.202136,8.2,2017
"Lonnie Rivera","American","Wagner","So",0.215283,31.1,2017
"Michael Bibby","South Florida","Appalachian St.","Fr",0.483901,55.6,2017
"Kain Harris","Tulane","Kent St.","So",1.08747,43.9,2017
"Rayjon Tucker","Florida Gulf Coast","Little Rock","So",1.46431,45.8,2017
"Jay Harvey","FIU","South Dakota","Sr",-0.574041,38.6,2018
"Tre'Shawn Thurman","Nebraska Omaha","Nevada","Jr",1.92127,74.7,2017
"David Nichols","Albany","Florida St.","Jr",1.90946,85.6,2018
"Marcus Weathers","Miami OH","Duquesne","Fr",1.75826,62.5,2017
"Marcus Evans","Rice","VCU","So",3.43455,79.4,2017
"Malik Smith","UNC Asheville","Bryant","Fr",-0.417004,7.5,2017
"C.J. Bryce","UNC Wilmington","North Carolina St.","So",3.5344,85.5,2017
"Matz Stockman","Louisville","Minnesota","Jr",0.471874,5.4,2017
"Adam Traore","Coppin St.","College of Charleston","Jr",-0.192298,42.1,2018
"Isiaha Mike","Duquesne","SMU","Fr",1.19718,70.9,2017
"Aubrey Dawkins","Michigan","UCF","So",1.69273,38.5,2016
"Quincy McKnight","Sacred Heart","Seton Hall","So",1.99199,79.7,2017
"Dashawn McDowell","SMU","Seattle","Fr",-0.0879457,16.5,2017
"Jeremiah Jefferson","Jackson St.","Nicholls St.","Jr",0.471261,60.3,2018
"Marcus DeBerry","Northern Arizona","Fort Wayne","So",0.134612,82,2017
"Fallou Ndoye","Cal St. Bakersfield","Santa Clara","Sr",-0.927003,30.6,2018
"A.J. Turner","Boston College","Northwestern","So",2.23321,77.3,2017
"Jeremy Verhagen","Northern Colorado","Nicholls St.","So",0.376035,50.5,2016
"Austin Nehls","Central Connecticut","Ball St.","Jr",1.37463,84.4,2018
"Dani Koljanin","Marshall","Little Rock","Jr",0.0514667,15.8,2018
"Christian Lutete","Radford","UMass Lowell","So",0.460648,30.2,2017
"Greg Malinowski","William & Mary","Georgetown","Jr",0.786232,54,2017
"Jahmiah Simmons","Arkansas St.","North Texas","Fr",1.0767,36.2,2017
"Adonis De La Rosa","Kent St.","Illinois","Jr",1.87018,64.2,2018
"Cameron Oluyitan","Boise St.","Southern Utah","So",-0.166948,9.1,2017
"Kevin Larkin","Niagara","Maryland Eastern Shore","Jr",-0.0643594,27.5,2018
"Zeke Moore","Saint Louis","Tennessee Tech","Fr",0.180858,45.4,2017
"Joseph Chartouny","Fordham","Marquette","Jr",1.56233,83.4,2018
"Mario Kegler","Mississippi St.","Baylor","Fr",1.29889,70.1,2017
"Tyler Singleton","Incarnate Word","Prairie View A&M","So",0.189008,67.6,2017
"Jaylan Robertson","Coastal Carolina","Nicholls St.","Jr",-0.199522,21.3,2017
"Wyatt Walker","Samford","North Carolina St.","Jr",1.28485,2.9,2018
"Joe Cremo","Albany","Villanova","Jr",4.19509,89,2018
"Matt Neufeld","Saint Louis","UC Davis","So",-0.328953,11.4,2017
"Noah Blackwell","Long Beach St.","Fresno St.","So",1.48584,50.3,2017
"Danny Hummer","Air Force","Ohio St.","Fr",0.0592488,2.6,2016
"Devon Daniels","Utah","North Carolina St.","Fr",2.49391,60.5,2017
"Jhan Paul Mejia","Cal St. Fullerton","College of Charleston","Jr",-0.50799,2,2017
"Luis Santos","South Florida","Saint Louis","So",0.958803,42.5,2017
"Zach Johnson","Florida Gulf Coast","Miami FL","Jr",2.60564,82.5,2018
"Matt Holba","Lehigh","Fort Wayne","So",0.541697,47.9,2017
"Jalyn Patterson","LSU","Texas Southern","Jr",0.728902,55.6,2017
"Josh Williams","Akron","Robert Morris","So",0.752754,52.7,2017
"Isaiah Still","Robert Morris","Iona","So",1.65662,76.3,2017
"Obi Momah","Marist","Norfolk St.","Jr",0.424729,12.2,2017
"Braedon Bayer","Syracuse","Siena","Jr",-0.135873,1.1,2018
"Jerry Johnson Jr.","Fairfield","Chattanooga","So",1.17753,62,2017
"Torry Johnson","Northern Arizona","Wake Forest","Jr",1.06939,65.3,2018
"Troy Baxter Jr.","UNLV","Florida Gulf Coast","Fr",0.216964,24.3,2017
"Tareq Coburn","St. Bonaventure","Hofstra","Fr",-0.112694,2.1,2017
"Cheddi Mosely","Boston University","La Salle","So",1.2791,67,2016
"Jalen Harris","New Mexico","Arkansas","Fr",0.31517,51.2,2017
"Laquarious Paige","Indiana St.","Lamar","So",-0.0414785,50.4,2017
"Armani Branch","VMI","Norfolk St.","Jr",0.820661,39.9,2017
"Elijah Long","Mount St. Mary's","Texas","So",2.0096,85.7,2017
"Jeremy Lieberman","Wyoming","Cal Baptist","Jr",0.140427,54.1,2017
"Julian Walters","Alabama A&M","North Carolina Central","Sr",-0.26113,54,2018
"Von Julien","Tulane","Southeastern Louisiana","So",0.320871,16.3,2017
"Rob Edwards","Cleveland St.","Arizona St.","So",2.07448,76.4,2017
"Charlie Moore","California","Kansas","Fr",2.11943,71,2017
"Dedric Lawson","Memphis","Kansas","So",4.28963,85.6,2017
"Brandon Clarke","San Jose St.","Gonzaga","So",3.96257,82.1,2017
"Jonathan Laurent","Rutgers","Massachusetts","So",-0.281314,31,2017
"Malik Martin","South Florida","Tennessee Tech","Jr",0.76494,57.9,2018
"Keon Clergeot","Memphis","Massachusetts","Fr",0.466565,19.9,2017
"Mikey Dixon","Quinnipiac","St. John's","Fr",3.0104,73.9,2017
"Jordan Nobles","Eastern Michigan","Oakland","Jr",0.916555,56.9,2018
"Connor Cashaw","Rice","Creighton","Jr",2.57264,83.8,2018
"Ronnie Suggs","Bradley","Missouri","So",-0.0674392,7.7,2017
"Isaiah Traylor","Stephen F. Austin","North Alabama","Jr",0.265463,38.2,2017
"Nat Dixon","Chattanooga","SMU","Jr",2.12979,86,2018
"Daishon Smith","Wichita St.","Louisiana Monroe","Jr",1.13424,36.8,2017
"Ehab Amin","Texas A&M Corpus Chris","Oregon","Jr",2.73884,84.4,2017
"Aleks Abrams","Cal Poly","Miami OH","Jr",0.618189,23.8,2018
"Sedee Keita","South Carolina","St. John's","Fr",-1.03782,17.8,2017
"Noah Robotham","Akron","UNLV","Jr",2.12777,68.6,2017
"Carlton Bragg Jr.","Kansas","New Mexico","So",1.33112,29.5,2017
"Jermaine Haley","New Mexico St.","West Virginia","Fr",-1.0112,48.2,2017
"Christian Mekowulu","Tennessee St.","Texas A&M","Jr",2.17383,73.2,2018
"Connor MacDougall","New Mexico","Utah Valley","So",0.739466,21.6,2017
"Kris Martin","Oral Roberts","Colorado St.","So",1.4501,73.8,2017
"Michael Finke","Illinois","Grand Canyon","Jr",2.72798,53.7,2018
"Byron Hawkins","Murray St.","Bryant","Jr",1.0668,42.5,2018
"Austin Howard","Maine","College of Charleston","Jr",-0.101987,53.5,2017
"Tarekeyi Edogi","Tulsa","Iona","Jr",1.39974,28.6,2017
"Travis Atson","Tulsa","Quinnipiac","Fr",0.0191243,10.4,2017
"Tim Cameron","UTEP","High Point","Fr",0.159087,1.8,2017
