"Team","YUSAG_Coefficient"
"Nebraska",7.86
"Nevada",2.73
"New Hampshire",-5.41
"New Mexico",4.12
"New Mexico St.",4.43
"New Orleans",-12.03
"Niagara",-10.05
"Nicholls St.",-14.16
"Norfolk St.",-5.65
"North Carolina",22.64
"North Dakota",-2.14
"North Dakota St.",0.32
"North Florida",-1.03
"North Texas",-9.13
"Northeastern",2.34
"Northern Ariz.",-16.99
"Northern Colo.",-10.95
"Northern Ill.",-0.39
"Northern Ky.",-5.53
"Northwestern",9.17
"Northwestern St.",-13.55
"Notre Dame",13.21
"Oakland",7.59
"Ohio",1.7
"Ohio St.",8.16
"Oklahoma",18.46
"Oklahoma St.",6.89
"Old Dominion",4.92
"Ole Miss",7.99
"Omaha",0.83
"Oral Roberts",-1.7
"Oregon",17.54
"Oregon St.",9.28
"Pacific",-3.08
"Penn",-4.96
"Penn St.",2.82
"Pepperdine",2.62
"Pittsburgh",13.98
"Portland",-2.38
"Portland St.",-6.81
"Prairie View",-14.75
"Presbyterian",-12
"Princeton",8.67
"Providence",11.03
"Purdue",18.57
"Quinnipiac",-9.1
"Radford",-4.4
"Rhode Island",6.89
"Rice",-7.98
"Richmond",6.11
"Rider",-3.69
"Robert Morris",-11.21
"Rutgers",-8.48
"SFA",12.21
"SIUE",-9.97
"SMU",17.17
"Sacramento St.",-8.11
"Sacred Heart",-10.64
"Saint Francis (PA)",-10.75
"Saint Joseph's",11.66
"Saint Louis",-3.88
"Saint Mary's (CA)",12.33
"Saint Peter's",-3.79
"Sam Houston St.",-3.95
"Samford",-4.31
"San Diego",-7.44
"San Diego St.",11.36
"San Francisco",-2.79
"San Jose St.",-5.18
"Santa Clara",-4.43
"Savannah St.",-13.91
"Seattle U",-9.14
"Seton Hall",14.2
"Siena",2.62
"South Ala.",-6.47
"South Carolina",10.61
"South Carolina St.",-7.88
"South Dakota",-4.49
"South Dakota St.",6.29
"South Fla.",-3.35
"Southeast Mo. St.",-14.33
"Southeastern La.",-11.29
"Southern California",11.91
"Southern Ill.",2.74
"Southern Miss.",-9.72
"Southern U.",-5.57
"Southern Utah",-16.11
"St. Bonaventure",6.38
"St. Francis Brooklyn",-8.98
"St. John's (NY)",-2.78
"Stanford",6.44
"Stetson",-8.65
"Stony Brook",5.06
"Syracuse",14.11
"TCU",2.85
"Temple",7.04
"Tennessee",6.76
"Tennessee St.",-0.32
"Tennessee Tech",-1.98
"Texas",13.48
"Texas A&M",17.03
"Texas Southern",-1.5
"Texas St.",-3.27
"Texas Tech",11.15
"The Citadel",-13.72
"Toledo",3.56
"Towson",1.07
"Troy",-8.14
"Tulane",-1.32
"Tulsa",9.16
"UAB",4.16
"UC Davis",-4.73
"UC Irvine",6.55
"UC Riverside",-4.64
"UC Santa Barbara",5.17
"UCF",-0.62
"UCLA",9.22
"UConn",14.71
"UMBC",-13.72
"UMES",-11.92
"UMKC",-5.42
"UMass Lowell",-11.63
"UNC Asheville",2.15
"UNCG",-3.91
"UNCW",6.87
"UNI",8.75
"UNLV",4.78
"USC Upstate",-12.5
"UT Arlington",6.28
"UT Martin",-3.31
"UTEP",-3.81
"UTRGV",-16.69
"UTSA",-15.14
"Utah",14.71
"Utah St.",2.68
"Utah Valley",-8.12
"VCU",13.1
"VMI",-11.25
"Valparaiso",11.21
"Vanderbilt",15.62
"Vermont",0.35
"Villanova",23.27
"Virginia",21.24
"Virginia Tech",9.71
"Wagner",-3.01
"Wake Forest",4.69
"Washington",9.72
"Washington St.",-1.12
"Weber St.",1.17
"West Virginia",20.2
"Western Caro.",-3.08
"Western Ill.",-5.58
"Western Ky.",-1.01
"Western Mich.",-1.56
"Wichita St.",17.66
"William & Mary",6.07
"Winthrop",0.36
"Wisconsin",12.7
"Wofford",-1.69
"Wright St.",1.61
"Wyoming",0.02
"Xavier",17.33
"Yale",10.71
"Youngstown St.",-9.93
"Maine",-15.52
